Database ID entry,"NED identifier, alternative IDs",I/O,year,type,line,z(optical),ez(optical),z(line),ez(line),FWHM,eFWHM,SdV,eSdV,u,eu,reference,Comments,LIR[8-1000] (literature),eLIR[8-1000] (literature),M★ (literature),Good LIR fit?,LIR[8-1000]_CIGALE,LIR[40-120]_CIGALE,Reference url,NED url
,,,,,,,,,,km/s,km/s,Jy km/s,Jy km/s,,,,,L⊙ ,L⊙ ,M⊙ ,,L⊙ ,L⊙ ,,
,Colour Coding:,,,,,,,,,,,,,,,,,,,,,,,,
,-999 = value is undefined,,,,,,,,,,,,,,,,,,,,,,,,
,99 = upper limit,,,,,,,,,,,,,,,,,,,,,,,,
,I/O = 0.  This entry should be ignored,,,,,,,,,,,,,,,,,,,,,,,,
,These entries are averaged in  EMGs.py,,,,,,,,,,,,,,,,,,,,,,,,
,IDs in bold means they have NED.bsv files,,,,,,,,,,,,,,,,,,,,,,,,
,Text in red means something is fishy and sources needs to be checked,,,,,,,,,,,,,,,,,,,,,,,,
,The value has been adopted from some other line,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
HS1700.DRG55,,1,2015,DRG,12CO(3-2),2.3,-999,2.296,-999,680,141,1.140,0.31,1,-999,Chapman et al. (2015a),,2.10E+12,-999,1E+11,,,,https://arxiv.org/pdf/1501.02839v2.pdf,Nan
,,,,,,,,,,,,,,,,,,,,,,,,,
HS1700.850.1,,1,2015,SMG,12CO(3-2),-999,-999,2.816,-999,585,14,2.320,0.21,1,-999,Chapman et al. (2015b),,3.80E+13,-999,3.0E+11,,,,https://arxiv.org/pdf/1503.02195v2.pdf,Nan
HS1700.850.1,,1,2015,SMG,12CO(5-4),-999,-999,2.816,-999,530,28,3.440,0.3,1,-999,Chapman et al. (2015b),,3.80E+13,-999,3.0E+11,,,,https://arxiv.org/pdf/1503.02195v2.pdf,Nan
,,,,,,,,,,,,,,,,,,,,,,,,,
spARCS1049+56,,1,2017,BCG,12CO(2-1),-999,-999,1.7091,0.0004,569,63,3.590,0.34,1,-999,Webb et al. (2017),LMT/RSR,,,,,,,https://arxiv.org/pdf/1706.01366.pdf,Nan
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS429,SST24 J171611.81+591213.3,1,2010,MIPS,12CO(3-2),2.213,-999,2.201,-999,565,80,1.000,0.17,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,5.20E+12,-999,,,,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171611.8%2B591213&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS506,SST24 J171138.59+583836.7,1,2010,MIPS,12CO(3-2),2.47,-999,2.4704,-999,300,80,0.520,0.11,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,8.50E+12,-999,,,,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171138.5%2B583836&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS8196,SST24 J171510.28+600955.2,1,2010,MIPS,12CO(3-2),2.586,-999,-999,-999,-999,-999,0.500,99,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,9.80E+12,-999,,,,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171510.2%2B600955&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS8327,SST24 J171535.78+602825.5,1,2010,MIPS,12CO(3-2),2.441,-999,2.4421,-999,253,50,0.420,0.07,1,-999,Yan et al. (2010),SELECTION=MIPS-24um,6.80E+12,-999,,,,,https://arxiv.org/pdf/1003.2369v1.pdf,https://ned.ipac.caltech.edu/byname?objname=SSTXFLS%20J171535.7%2B602825&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1
