# ALMA, Llano de Chajnantor, alt. 5040m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
          0.25000  0.50000  1.00000  2.00000  3.00000  5.00000 
10.00000  0.99657  0.99654  0.99650  0.99640  0.99630  0.99611 
10.10000  0.99655  0.99653  0.99648  0.99638  0.99628  0.99608 
10.20000  0.99651  0.99648  0.99643  0.99634  0.99623  0.99603 
10.30000  0.99652  0.99650  0.99645  0.99634  0.99624  0.99603 
10.40000  0.99652  0.99650  0.99645  0.99634  0.99624  0.99602 
10.50000  0.99652  0.99649  0.99644  0.99633  0.99622  0.99600 
10.60000  0.99651  0.99648  0.99642  0.99632  0.99620  0.99598 
10.70000  0.99650  0.99647  0.99641  0.99630  0.99619  0.99596 
10.80000  0.99649  0.99646  0.99640  0.99628  0.99617  0.99594 
10.90000  0.99647  0.99644  0.99638  0.99626  0.99615  0.99591 
11.00000  0.99645  0.99642  0.99635  0.99623  0.99611  0.99587 
11.10000  0.99641  0.99638  0.99632  0.99619  0.99607  0.99582 
11.20000  0.99643  0.99640  0.99634  0.99621  0.99608  0.99583 
11.30000  0.99643  0.99640  0.99634  0.99620  0.99607  0.99581 
11.40000  0.99642  0.99639  0.99633  0.99619  0.99606  0.99579 
11.50000  0.99642  0.99638  0.99631  0.99618  0.99604  0.99576 
11.60000  0.99641  0.99637  0.99630  0.99616  0.99602  0.99574 
11.70000  0.99639  0.99636  0.99629  0.99614  0.99600  0.99571 
11.80000  0.99638  0.99635  0.99627  0.99613  0.99598  0.99569 
11.90000  0.99637  0.99633  0.99626  0.99611  0.99596  0.99566 
12.00000  0.99636  0.99632  0.99625  0.99609  0.99594  0.99563 
12.10000  0.99635  0.99631  0.99623  0.99607  0.99592  0.99560 
12.20000  0.99634  0.99629  0.99621  0.99605  0.99589  0.99557 
12.30000  0.99632  0.99628  0.99620  0.99603  0.99587  0.99554 
12.40000  0.99631  0.99627  0.99619  0.99602  0.99585  0.99551 
12.50000  0.99630  0.99625  0.99617  0.99600  0.99582  0.99548 
12.60000  0.99629  0.99624  0.99615  0.99598  0.99580  0.99545 
12.70000  0.99627  0.99623  0.99614  0.99596  0.99577  0.99541 
12.80000  0.99626  0.99621  0.99612  0.99594  0.99575  0.99538 
12.90000  0.99625  0.99620  0.99610  0.99591  0.99572  0.99534 
13.00000  0.99623  0.99618  0.99609  0.99589  0.99570  0.99531 
13.10000  0.99622  0.99617  0.99607  0.99587  0.99567  0.99527 
13.20000  0.99620  0.99616  0.99605  0.99585  0.99564  0.99524 
13.30000  0.99619  0.99614  0.99603  0.99583  0.99562  0.99520 
13.40000  0.99618  0.99612  0.99602  0.99580  0.99559  0.99516 
13.50000  0.99616  0.99611  0.99600  0.99578  0.99556  0.99512 
13.60000  0.99615  0.99609  0.99598  0.99576  0.99553  0.99508 
13.70000  0.99613  0.99608  0.99596  0.99573  0.99550  0.99504 
13.80000  0.99612  0.99606  0.99594  0.99571  0.99547  0.99500 
13.90000  0.99610  0.99604  0.99592  0.99568  0.99544  0.99496 
14.00000  0.99609  0.99603  0.99590  0.99566  0.99541  0.99492 
14.10000  0.99607  0.99601  0.99589  0.99563  0.99538  0.99487 
14.20000  0.99606  0.99599  0.99586  0.99560  0.99535  0.99483 
14.30000  0.99604  0.99598  0.99584  0.99558  0.99531  0.99478 
14.40000  0.99603  0.99596  0.99582  0.99555  0.99528  0.99473 
14.50000  0.99601  0.99594  0.99580  0.99552  0.99524  0.99468 
14.60000  0.99599  0.99592  0.99578  0.99549  0.99520  0.99463 
14.70000  0.99597  0.99590  0.99575  0.99546  0.99516  0.99457 
14.80000  0.99594  0.99586  0.99571  0.99541  0.99511  0.99450 
14.90000  0.99591  0.99583  0.99568  0.99537  0.99506  0.99444 
15.00000  0.99592  0.99584  0.99568  0.99536  0.99504  0.99440 
15.10000  0.99590  0.99582  0.99566  0.99533  0.99501  0.99435 
15.20000  0.99589  0.99581  0.99564  0.99530  0.99497  0.99430 
15.30000  0.99587  0.99579  0.99562  0.99527  0.99493  0.99423 
15.40000  0.99586  0.99577  0.99559  0.99524  0.99488  0.99417 
15.50000  0.99584  0.99575  0.99557  0.99520  0.99484  0.99411 
15.60000  0.99582  0.99573  0.99554  0.99516  0.99479  0.99404 
15.70000  0.99580  0.99570  0.99551  0.99513  0.99474  0.99397 
15.80000  0.99578  0.99568  0.99548  0.99509  0.99469  0.99389 
15.90000  0.99576  0.99566  0.99546  0.99505  0.99464  0.99382 
16.00000  0.99574  0.99563  0.99542  0.99500  0.99458  0.99374 
16.10000  0.99571  0.99560  0.99538  0.99495  0.99452  0.99364 
16.20000  0.99568  0.99557  0.99534  0.99490  0.99445  0.99355 
16.30000  0.99568  0.99556  0.99533  0.99487  0.99441  0.99348 
16.40000  0.99566  0.99554  0.99530  0.99483  0.99435  0.99340 
16.50000  0.99564  0.99552  0.99527  0.99478  0.99429  0.99330 
16.60000  0.99562  0.99549  0.99524  0.99473  0.99423  0.99321 
16.70000  0.99560  0.99547  0.99521  0.99468  0.99416  0.99310 
16.80000  0.99558  0.99544  0.99517  0.99463  0.99409  0.99300 
16.90000  0.99555  0.99541  0.99513  0.99457  0.99401  0.99289 
17.00000  0.99553  0.99539  0.99510  0.99452  0.99394  0.99277 
17.10000  0.99551  0.99536  0.99506  0.99446  0.99386  0.99265 
17.20000  0.99548  0.99533  0.99502  0.99440  0.99377  0.99252 
17.30000  0.99546  0.99530  0.99498  0.99433  0.99368  0.99239 
17.40000  0.99543  0.99527  0.99493  0.99426  0.99359  0.99225 
17.50000  0.99541  0.99524  0.99489  0.99419  0.99350  0.99210 
17.60000  0.99538  0.99520  0.99484  0.99412  0.99339  0.99194 
17.70000  0.99536  0.99517  0.99479  0.99404  0.99329  0.99178 
17.80000  0.99533  0.99513  0.99474  0.99396  0.99318  0.99160 
17.90000  0.99530  0.99510  0.99469  0.99388  0.99306  0.99142 
18.00000  0.99527  0.99505  0.99463  0.99378  0.99293  0.99122 
18.10000  0.99524  0.99502  0.99457  0.99369  0.99280  0.99102 
18.20000  0.99521  0.99497  0.99451  0.99359  0.99266  0.99080 
18.30000  0.99518  0.99493  0.99445  0.99348  0.99251  0.99057 
18.40000  0.99514  0.99489  0.99439  0.99337  0.99236  0.99032 
18.50000  0.99511  0.99485  0.99432  0.99326  0.99219  0.99006 
18.60000  0.99508  0.99480  0.99424  0.99313  0.99202  0.98978 
18.70000  0.99504  0.99475  0.99417  0.99300  0.99183  0.98949 
18.80000  0.99501  0.99470  0.99409  0.99286  0.99163  0.98917 
18.90000  0.99497  0.99464  0.99400  0.99271  0.99142  0.98883 
19.00000  0.99493  0.99459  0.99391  0.99255  0.99119  0.98846 
19.10000  0.99489  0.99453  0.99381  0.99238  0.99094  0.98807 
19.20000  0.99484  0.99447  0.99371  0.99220  0.99068  0.98765 
19.30000  0.99480  0.99440  0.99360  0.99200  0.99040  0.98719 
19.40000  0.99476  0.99433  0.99348  0.99179  0.99010  0.98670 
19.50000  0.99471  0.99426  0.99336  0.99156  0.98977  0.98617 
19.60000  0.99466  0.99418  0.99323  0.99132  0.98941  0.98559 
19.70000  0.99460  0.99410  0.99308  0.99106  0.98903  0.98497 
19.80000  0.99455  0.99401  0.99293  0.99077  0.98861  0.98430 
19.90000  0.99449  0.99391  0.99276  0.99046  0.98816  0.98356 
20.00000  0.99442  0.99381  0.99258  0.99012  0.98767  0.98276 
20.10000  0.99436  0.99370  0.99238  0.98976  0.98713  0.98189 
20.20000  0.99428  0.99358  0.99217  0.98936  0.98655  0.98094 
20.30000  0.99421  0.99345  0.99194  0.98892  0.98591  0.97991 
20.40000  0.99413  0.99331  0.99169  0.98845  0.98522  0.97878 
20.50000  0.99404  0.99317  0.99142  0.98794  0.98446  0.97754 
20.60000  0.99395  0.99300  0.99112  0.98737  0.98363  0.97619 
20.70000  0.99385  0.99283  0.99080  0.98676  0.98273  0.97472 
20.80000  0.99374  0.99264  0.99045  0.98609  0.98175  0.97312 
20.90000  0.99362  0.99244  0.99007  0.98536  0.98067  0.97137 
21.00000  0.99350  0.99222  0.98966  0.98457  0.97951  0.96948 
21.10000  0.99337  0.99199  0.98922  0.98372  0.97826  0.96744 
21.20000  0.99323  0.99173  0.98874  0.98280  0.97691  0.96525 
21.30000  0.99308  0.99146  0.98824  0.98182  0.97546  0.96290 
21.40000  0.99293  0.99118  0.98770  0.98079  0.97394  0.96043 
21.50000  0.99277  0.99088  0.98714  0.97970  0.97234  0.95784 
21.60000  0.99260  0.99058  0.98656  0.97858  0.97069  0.95518 
21.70000  0.99243  0.99027  0.98597  0.97745  0.96903  0.95249 
21.80000  0.99226  0.98997  0.98539  0.97634  0.96740  0.94987 
21.90000  0.99210  0.98968  0.98485  0.97529  0.96587  0.94739 
22.00000  0.99196  0.98942  0.98436  0.97436  0.96450  0.94519 
22.10000  0.99184  0.98920  0.98396  0.97360  0.96339  0.94342 
22.20000  0.99175  0.98905  0.98369  0.97310  0.96266  0.94225 
22.30000  0.99170  0.98899  0.98360  0.97294  0.96243  0.94190 
22.40000  0.99169  0.98901  0.98366  0.97310  0.96269  0.94233 
22.50000  0.99172  0.98909  0.98386  0.97351  0.96332  0.94336 
22.60000  0.99177  0.98922  0.98415  0.97412  0.96423  0.94485 
22.70000  0.99184  0.98939  0.98451  0.97486  0.96533  0.94666 
22.80000  0.99192  0.98958  0.98492  0.97569  0.96657  0.94868 
22.90000  0.99200  0.98978  0.98535  0.97656  0.96788  0.95082 
23.00000  0.99209  0.98998  0.98578  0.97745  0.96921  0.95300 
23.10000  0.99217  0.99018  0.98621  0.97833  0.97054  0.95518 
23.20000  0.99225  0.99038  0.98663  0.97919  0.97183  0.95730 
23.30000  0.99233  0.99056  0.98703  0.98002  0.97307  0.95934 
23.40000  0.99240  0.99073  0.98741  0.98080  0.97425  0.96129 
23.50000  0.99246  0.99089  0.98776  0.98154  0.97536  0.96312 
23.60000  0.99251  0.99103  0.98809  0.98222  0.97639  0.96484 
23.70000  0.99255  0.99116  0.98838  0.98284  0.97734  0.96643 
23.80000  0.99254  0.99123  0.98860  0.98338  0.97818  0.96787 
23.90000  0.99255  0.99131  0.98883  0.98390  0.97899  0.96923 
24.00000  0.99267  0.99149  0.98915  0.98448  0.97983  0.97059 
24.10000  0.99271  0.99160  0.98938  0.98496  0.98055  0.97179 
24.20000  0.99274  0.99168  0.98958  0.98539  0.98121  0.97288 
24.30000  0.99276  0.99176  0.98976  0.98578  0.98181  0.97389 
24.40000  0.99277  0.99182  0.98993  0.98614  0.98235  0.97482 
24.50000  0.99278  0.99188  0.99007  0.98646  0.98286  0.97567 
24.60000  0.99279  0.99193  0.99020  0.98676  0.98332  0.97646 
24.70000  0.99279  0.99197  0.99032  0.98703  0.98374  0.97718 
24.80000  0.99279  0.99200  0.99042  0.98728  0.98413  0.97785 
24.90000  0.99278  0.99203  0.99052  0.98750  0.98448  0.97846 
25.00000  0.99277  0.99205  0.99060  0.98770  0.98481  0.97903 
25.10000  0.99276  0.99207  0.99067  0.98789  0.98511  0.97954 
25.20000  0.99275  0.99208  0.99074  0.98806  0.98538  0.98003 
25.30000  0.99273  0.99209  0.99080  0.98821  0.98563  0.98047 
25.40000  0.99271  0.99209  0.99084  0.98835  0.98586  0.98088 
25.50000  0.99267  0.99207  0.99087  0.98846  0.98605  0.98124 
25.60000  0.99262  0.99204  0.99088  0.98855  0.98622  0.98156 
25.70000  0.99260  0.99203  0.99091  0.98865  0.98640  0.98189 
25.80000  0.99262  0.99207  0.99098  0.98879  0.98661  0.98223 
25.90000  0.99260  0.99207  0.99101  0.98889  0.98677  0.98252 
26.00000  0.99258  0.99207  0.99104  0.98898  0.98692  0.98278 
26.10000  0.99256  0.99206  0.99106  0.98905  0.98704  0.98303 
26.20000  0.99253  0.99204  0.99107  0.98911  0.98716  0.98325 
26.30000  0.99250  0.99203  0.99107  0.98917  0.98727  0.98345 
26.40000  0.99247  0.99200  0.99108  0.98922  0.98736  0.98364 
26.50000  0.99244  0.99198  0.99108  0.98927  0.98745  0.98382 
26.60000  0.99240  0.99196  0.99107  0.98930  0.98753  0.98398 
26.70000  0.99237  0.99193  0.99107  0.98934  0.98760  0.98412 
26.80000  0.99233  0.99191  0.99106  0.98936  0.98766  0.98426 
26.90000  0.99229  0.99188  0.99105  0.98939  0.98772  0.98439 
27.00000  0.99225  0.99185  0.99103  0.98940  0.98777  0.98450 
27.10000  0.99222  0.99182  0.99102  0.98942  0.98782  0.98461 
27.20000  0.99218  0.99178  0.99100  0.98943  0.98786  0.98470 
27.30000  0.99213  0.99175  0.99098  0.98944  0.98789  0.98479 
27.40000  0.99209  0.99171  0.99095  0.98944  0.98792  0.98487 
