2MASS_H
frq          wvl          transmission
[GHz]        [micron]                 
2.32578e+05  1.28900e+00  0.00000e+00
2.27979e+05  1.31500e+00  0.00000e+00
2.23559e+05  1.34100e+00  0.00000e+00
2.19147e+05  1.36800e+00  0.00000e+00
2.14597e+05  1.39700e+00  0.00000e+00
2.11419e+05  1.41800e+00  0.00000e+00
2.08189e+05  1.44000e+00  5.00000e-04
2.05056e+05  1.46200e+00  2.80000e-03
2.02837e+05  1.47800e+00  8.10000e-03
2.01745e+05  1.48600e+00  2.87000e-02
2.00799e+05  1.49300e+00  8.71000e-02
1.99330e+05  1.50400e+00  2.01400e-01
1.97883e+05  1.51500e+00  4.38200e-01
1.96199e+05  1.52800e+00  6.86400e-01
1.94797e+05  1.53900e+00  8.18100e-01
1.93915e+05  1.54600e+00  8.82100e-01
1.93290e+05  1.55100e+00  9.11800e-01
1.92669e+05  1.55600e+00  9.26900e-01
1.91561e+05  1.56500e+00  9.29300e-01
1.90708e+05  1.57200e+00  8.72700e-01
1.90103e+05  1.57700e+00  8.56600e-01
1.89382e+05  1.58300e+00  8.82600e-01
1.88312e+05  1.59200e+00  9.18100e-01
1.87722e+05  1.59700e+00  9.26700e-01
1.87136e+05  1.60200e+00  9.07600e-01
1.85860e+05  1.61300e+00  9.26000e-01
1.85171e+05  1.61900e+00  9.20500e-01
1.84148e+05  1.62800e+00  9.24200e-01
1.83584e+05  1.63300e+00  9.23500e-01
1.82578e+05  1.64200e+00  9.41800e-01
1.81913e+05  1.64800e+00  9.49100e-01
1.80925e+05  1.65700e+00  9.80700e-01
1.80707e+05  1.65900e+00  9.93700e-01
1.79409e+05  1.67100e+00  1.00000e+00
1.78024e+05  1.68400e+00  9.56100e-01
1.76245e+05  1.70100e+00  9.24100e-01
1.74806e+05  1.71500e+00  9.82100e-01
1.73591e+05  1.72700e+00  9.91600e-01
1.72394e+05  1.73900e+00  9.88700e-01
1.71702e+05  1.74600e+00  9.79200e-01
1.71212e+05  1.75100e+00  9.68200e-01
1.71017e+05  1.75300e+00  9.37000e-01
1.70725e+05  1.75600e+00  9.19000e-01
1.69950e+05  1.76400e+00  8.42300e-01
1.68897e+05  1.77500e+00  6.67100e-01
1.67951e+05  1.78500e+00  2.69400e-01
1.67482e+05  1.79000e+00  4.51600e-01
1.66922e+05  1.79600e+00  1.73100e-01
1.66274e+05  1.80300e+00  1.07700e-01
1.65631e+05  1.81000e+00  7.07000e-02
1.65357e+05  1.81300e+00  5.10000e-03
1.64902e+05  1.81800e+00  2.00000e-02
1.64000e+05  1.82800e+00  4.00000e-04
1.63375e+05  1.83500e+00  0.00000e+00
1.62050e+05  1.85000e+00  1.00000e-04
1.60231e+05  1.87100e+00  0.00000e+00
1.58369e+05  1.89300e+00  0.00000e+00
1.56631e+05  1.91400e+00  0.00000e+00
