2MASS_J
frq          wvl          transmission
[GHz]        [micron]                 
2.82823e+05  1.06000e+00  0.00000e+00
2.82796e+05  1.06010e+00  0.00000e+00
2.82770e+05  1.06020e+00  0.00000e+00
2.82743e+05  1.06030e+00  0.00000e+00
2.82716e+05  1.06040e+00  0.00000e+00
2.82690e+05  1.06050e+00  0.00000e+00
2.82663e+05  1.06060e+00  0.00000e+00
2.82637e+05  1.06070e+00  0.00000e+00
2.82610e+05  1.06080e+00  0.00000e+00
2.82583e+05  1.06090e+00  0.00000e+00
2.82557e+05  1.06100e+00  0.00000e+00
2.82530e+05  1.06110e+00  0.00000e+00
2.82504e+05  1.06120e+00  0.00000e+00
2.82477e+05  1.06130e+00  0.00000e+00
2.82450e+05  1.06140e+00  0.00000e+00
2.82424e+05  1.06150e+00  0.00000e+00
2.82397e+05  1.06160e+00  0.00000e+00
2.82371e+05  1.06170e+00  0.00000e+00
2.82344e+05  1.06180e+00  0.00000e+00
2.82317e+05  1.06190e+00  0.00000e+00
2.82291e+05  1.06200e+00  0.00000e+00
2.82264e+05  1.06210e+00  0.00000e+00
2.82238e+05  1.06220e+00  0.00000e+00
2.82211e+05  1.06230e+00  0.00000e+00
2.82185e+05  1.06240e+00  0.00000e+00
2.82158e+05  1.06250e+00  0.00000e+00
2.82132e+05  1.06260e+00  0.00000e+00
2.82105e+05  1.06270e+00  0.00000e+00
2.82079e+05  1.06280e+00  0.00000e+00
2.82052e+05  1.06290e+00  0.00000e+00
2.82026e+05  1.06300e+00  0.00000e+00
2.81999e+05  1.06310e+00  0.00000e+00
2.81972e+05  1.06320e+00  0.00000e+00
2.81946e+05  1.06330e+00  0.00000e+00
2.81919e+05  1.06340e+00  0.00000e+00
2.81893e+05  1.06350e+00  0.00000e+00
2.81867e+05  1.06360e+00  0.00000e+00
2.81840e+05  1.06370e+00  0.00000e+00
2.81814e+05  1.06380e+00  0.00000e+00
2.81787e+05  1.06390e+00  0.00000e+00
2.81761e+05  1.06400e+00  0.00000e+00
2.81734e+05  1.06410e+00  0.00000e+00
2.81708e+05  1.06420e+00  0.00000e+00
2.81681e+05  1.06430e+00  0.00000e+00
2.81655e+05  1.06440e+00  0.00000e+00
2.81628e+05  1.06450e+00  0.00000e+00
2.81602e+05  1.06460e+00  0.00000e+00
2.81576e+05  1.06470e+00  0.00000e+00
2.81549e+05  1.06480e+00  0.00000e+00
2.81523e+05  1.06490e+00  0.00000e+00
2.81496e+05  1.06500e+00  0.00000e+00
2.81470e+05  1.06510e+00  0.00000e+00
2.81443e+05  1.06520e+00  0.00000e+00
2.81417e+05  1.06530e+00  0.00000e+00
2.81391e+05  1.06540e+00  0.00000e+00
2.81364e+05  1.06550e+00  0.00000e+00
2.81338e+05  1.06560e+00  0.00000e+00
2.81312e+05  1.06570e+00  0.00000e+00
2.81285e+05  1.06580e+00  0.00000e+00
2.81259e+05  1.06590e+00  0.00000e+00
2.81232e+05  1.06600e+00  0.00000e+00
2.81206e+05  1.06610e+00  0.00000e+00
2.81180e+05  1.06620e+00  0.00000e+00
2.81153e+05  1.06630e+00  0.00000e+00
2.81127e+05  1.06640e+00  0.00000e+00
2.81101e+05  1.06650e+00  0.00000e+00
2.81074e+05  1.06659e+00  0.00000e+00
2.81048e+05  1.06669e+00  0.00000e+00
2.81022e+05  1.06679e+00  0.00000e+00
2.80995e+05  1.06689e+00  0.00000e+00
2.80969e+05  1.06699e+00  0.00000e+00
2.80943e+05  1.06709e+00  0.00000e+00
2.80916e+05  1.06719e+00  0.00000e+00
2.80890e+05  1.06729e+00  0.00000e+00
2.80864e+05  1.06739e+00  0.00000e+00
2.80838e+05  1.06749e+00  0.00000e+00
2.80811e+05  1.06759e+00  0.00000e+00
2.80785e+05  1.06769e+00  0.00000e+00
2.80759e+05  1.06779e+00  0.00000e+00
2.80732e+05  1.06789e+00  0.00000e+00
2.80706e+05  1.06799e+00  0.00000e+00
2.80680e+05  1.06809e+00  0.00000e+00
2.80654e+05  1.06819e+00  0.00000e+00
2.80627e+05  1.06829e+00  0.00000e+00
2.80601e+05  1.06839e+00  0.00000e+00
2.80575e+05  1.06849e+00  0.00000e+00
2.80549e+05  1.06859e+00  0.00000e+00
2.80522e+05  1.06869e+00  0.00000e+00
2.80496e+05  1.06879e+00  0.00000e+00
2.80470e+05  1.06889e+00  0.00000e+00
2.80444e+05  1.06899e+00  0.00000e+00
2.80418e+05  1.06909e+00  0.00000e+00
2.80391e+05  1.06919e+00  0.00000e+00
2.80365e+05  1.06929e+00  0.00000e+00
2.80339e+05  1.06939e+00  0.00000e+00
2.80313e+05  1.06949e+00  0.00000e+00
2.80287e+05  1.06959e+00  0.00000e+00
2.80260e+05  1.06969e+00  0.00000e+00
2.80234e+05  1.06979e+00  0.00000e+00
2.80208e+05  1.06989e+00  0.00000e+00
2.80182e+05  1.06999e+00  0.00000e+00
2.80156e+05  1.07009e+00  0.00000e+00
2.80130e+05  1.07019e+00  0.00000e+00
2.80103e+05  1.07029e+00  0.00000e+00
2.80077e+05  1.07039e+00  0.00000e+00
2.80051e+05  1.07049e+00  0.00000e+00
2.80025e+05  1.07059e+00  0.00000e+00
2.79999e+05  1.07069e+00  0.00000e+00
2.79973e+05  1.07079e+00  0.00000e+00
2.79947e+05  1.07089e+00  0.00000e+00
2.79920e+05  1.07099e+00  0.00000e+00
2.79894e+05  1.07109e+00  0.00000e+00
2.79868e+05  1.07119e+00  0.00000e+00
2.79842e+05  1.07129e+00  0.00000e+00
2.79816e+05  1.07139e+00  0.00000e+00
2.79790e+05  1.07149e+00  0.00000e+00
2.79764e+05  1.07159e+00  0.00000e+00
2.79738e+05  1.07169e+00  0.00000e+00
2.79712e+05  1.07179e+00  0.00000e+00
2.79686e+05  1.07189e+00  0.00000e+00
2.79660e+05  1.07199e+00  0.00000e+00
2.79633e+05  1.07209e+00  0.00000e+00
2.79607e+05  1.07219e+00  0.00000e+00
2.79581e+05  1.07229e+00  0.00000e+00
2.79555e+05  1.07239e+00  0.00000e+00
2.79529e+05  1.07249e+00  0.00000e+00
2.79503e+05  1.07259e+00  0.00000e+00
2.79477e+05  1.07269e+00  0.00000e+00
2.79451e+05  1.07279e+00  0.00000e+00
2.79425e+05  1.07289e+00  0.00000e+00
2.79399e+05  1.07299e+00  0.00000e+00
2.79373e+05  1.07309e+00  0.00000e+00
2.79347e+05  1.07319e+00  0.00000e+00
2.79321e+05  1.07329e+00  0.00000e+00
2.79295e+05  1.07339e+00  0.00000e+00
2.79269e+05  1.07349e+00  0.00000e+00
2.79243e+05  1.07359e+00  0.00000e+00
2.79217e+05  1.07369e+00  0.00000e+00
2.79191e+05  1.07379e+00  0.00000e+00
2.79165e+05  1.07389e+00  0.00000e+00
2.79139e+05  1.07399e+00  0.00000e+00
2.79113e+05  1.07409e+00  0.00000e+00
2.79087e+05  1.07419e+00  0.00000e+00
2.79061e+05  1.07429e+00  0.00000e+00
2.79035e+05  1.07439e+00  0.00000e+00
2.79009e+05  1.07449e+00  0.00000e+00
2.78983e+05  1.07459e+00  0.00000e+00
2.78957e+05  1.07469e+00  0.00000e+00
2.78932e+05  1.07479e+00  0.00000e+00
2.78906e+05  1.07489e+00  0.00000e+00
2.78880e+05  1.07499e+00  0.00000e+00
2.78854e+05  1.07509e+00  0.00000e+00
2.78828e+05  1.07519e+00  0.00000e+00
2.78802e+05  1.07529e+00  0.00000e+00
2.78776e+05  1.07539e+00  0.00000e+00
2.78750e+05  1.07549e+00  0.00000e+00
2.78724e+05  1.07559e+00  0.00000e+00
2.78698e+05  1.07569e+00  0.00000e+00
2.78672e+05  1.07579e+00  0.00000e+00
2.78647e+05  1.07589e+00  0.00000e+00
2.78621e+05  1.07599e+00  0.00000e+00
2.78595e+05  1.07609e+00  0.00000e+00
2.78569e+05  1.07619e+00  0.00000e+00
2.78543e+05  1.07629e+00  0.00000e+00
2.78517e+05  1.07639e+00  0.00000e+00
2.78491e+05  1.07649e+00  0.00000e+00
2.78466e+05  1.07659e+00  0.00000e+00
2.78440e+05  1.07669e+00  0.00000e+00
2.78414e+05  1.07679e+00  0.00000e+00
2.78388e+05  1.07689e+00  0.00000e+00
2.78362e+05  1.07699e+00  0.00000e+00
2.78336e+05  1.07709e+00  0.00000e+00
2.78311e+05  1.07719e+00  0.00000e+00
2.78285e+05  1.07729e+00  0.00000e+00
2.78259e+05  1.07739e+00  0.00000e+00
2.78233e+05  1.07749e+00  0.00000e+00
2.78207e+05  1.07759e+00  0.00000e+00
2.78182e+05  1.07769e+00  0.00000e+00
2.78156e+05  1.07779e+00  0.00000e+00
2.78130e+05  1.07789e+00  0.00000e+00
2.78104e+05  1.07799e+00  0.00000e+00
2.78078e+05  1.07809e+00  0.00000e+00
