2MASS_Ks
frq          wvl          transmission
[GHz]        [micron]                 
1.61018e+05  1.86186e+00  0.00000e+00
1.60758e+05  1.86486e+00  0.00000e+00
1.60500e+05  1.86787e+00  0.00000e+00
1.60242e+05  1.87087e+00  0.00000e+00
1.59985e+05  1.87387e+00  0.00000e+00
1.59729e+05  1.87688e+00  0.00000e+00
1.59474e+05  1.87988e+00  0.00000e+00
1.59220e+05  1.88288e+00  0.00000e+00
1.58966e+05  1.88588e+00  0.00000e+00
1.58714e+05  1.88889e+00  0.00000e+00
1.58462e+05  1.89189e+00  0.00000e+00
1.58211e+05  1.89489e+00  0.00000e+00
1.57960e+05  1.89790e+00  -8.33474e-08
1.57711e+05  1.90090e+00  2.61611e-07
1.57462e+05  1.90390e+00  9.51214e-07
1.57214e+05  1.90691e+00  4.02664e-06
1.56967e+05  1.90991e+00  8.17169e-06
1.56720e+05  1.91291e+00  2.47491e-06
1.56475e+05  1.91591e+00  8.31621e-06
1.56230e+05  1.91892e+00  5.70388e-05
1.55986e+05  1.92192e+00  6.06043e-05
1.55742e+05  1.92492e+00  9.23762e-05
1.55500e+05  1.92793e+00  5.00654e-05
1.55258e+05  1.93093e+00  1.00547e-04
1.55017e+05  1.93393e+00  2.96743e-04
1.54777e+05  1.93694e+00  3.70889e-04
1.54537e+05  1.93994e+00  4.35322e-04
1.54298e+05  1.94294e+00  1.25191e-03
1.54060e+05  1.94594e+00  1.56502e-03
1.53823e+05  1.94895e+00  2.40563e-03
1.53586e+05  1.95195e+00  3.71564e-03
1.53350e+05  1.95495e+00  3.87334e-03
1.53115e+05  1.95796e+00  4.38336e-03
1.52880e+05  1.96096e+00  9.05538e-03
1.52647e+05  1.96396e+00  1.01575e-02
1.52414e+05  1.96697e+00  1.58486e-02
1.52181e+05  1.96997e+00  2.39862e-02
1.51950e+05  1.97297e+00  2.68943e-02
1.51719e+05  1.97597e+00  3.99591e-02
1.51489e+05  1.97898e+00  4.50188e-02
1.51259e+05  1.98198e+00  6.42873e-02
1.51030e+05  1.98498e+00  8.72075e-02
1.50802e+05  1.98799e+00  9.47526e-02
1.50575e+05  1.99099e+00  1.10010e-01
1.50348e+05  1.99399e+00  1.29775e-01
1.50122e+05  1.99700e+00  1.20458e-01
1.49896e+05  2.00000e+00  9.86935e-02
1.49672e+05  2.00300e+00  7.08262e-02
1.49448e+05  2.00600e+00  9.21392e-02
1.49224e+05  2.00901e+00  1.55149e-01
1.49001e+05  2.01201e+00  1.31500e-01
1.48779e+05  2.01501e+00  1.32654e-01
1.48558e+05  2.01802e+00  1.58040e-01
1.48337e+05  2.02102e+00  1.99284e-01
1.48117e+05  2.02402e+00  2.42124e-01
1.47898e+05  2.02703e+00  2.74619e-01
1.47679e+05  2.03003e+00  2.90837e-01
1.47461e+05  2.03303e+00  3.03937e-01
1.47243e+05  2.03603e+00  3.16731e-01
1.47026e+05  2.03904e+00  3.09709e-01
1.46810e+05  2.04204e+00  3.17334e-01
1.46595e+05  2.04504e+00  3.19774e-01
1.46380e+05  2.04805e+00  3.04140e-01
1.46165e+05  2.05105e+00  2.65746e-01
1.45952e+05  2.05405e+00  2.45744e-01
1.45739e+05  2.05706e+00  2.58610e-01
1.45526e+05  2.06006e+00  3.01893e-01
1.45314e+05  2.06306e+00  2.68185e-01
1.45103e+05  2.06606e+00  2.71311e-01
1.44893e+05  2.06907e+00  2.86205e-01
1.44683e+05  2.07207e+00  3.02928e-01
1.44473e+05  2.07507e+00  3.21872e-01
1.44264e+05  2.07808e+00  3.32643e-01
1.44056e+05  2.08108e+00  3.48491e-01
1.43849e+05  2.08408e+00  3.38975e-01
1.43642e+05  2.08709e+00  3.49326e-01
1.43435e+05  2.09009e+00  3.51601e-01
1.43229e+05  2.09309e+00  3.53001e-01
1.43024e+05  2.09609e+00  3.62539e-01
1.42820e+05  2.09910e+00  3.54378e-01
1.42616e+05  2.10210e+00  3.58176e-01
1.42412e+05  2.10510e+00  3.65322e-01
1.42209e+05  2.10811e+00  3.65759e-01
1.42007e+05  2.11111e+00  3.61086e-01
1.41805e+05  2.11411e+00  3.70001e-01
1.41604e+05  2.11712e+00  3.67418e-01
1.41404e+05  2.12012e+00  3.65630e-01
1.41204e+05  2.12312e+00  3.71152e-01
1.41004e+05  2.12612e+00  3.69259e-01
1.40805e+05  2.12913e+00  3.71446e-01
1.40607e+05  2.13213e+00  3.77463e-01
1.40409e+05  2.13513e+00  3.76593e-01
1.40212e+05  2.13814e+00  3.80066e-01
1.40015e+05  2.14114e+00  3.81807e-01
1.39819e+05  2.14414e+00  3.82975e-01
1.39624e+05  2.14715e+00  3.83796e-01
1.39429e+05  2.15015e+00  3.80218e-01
1.39234e+05  2.15315e+00  3.75984e-01
1.39040e+05  2.15615e+00  3.88666e-01
1.38847e+05  2.15916e+00  3.85548e-01
1.38654e+05  2.16216e+00  3.81335e-01
1.38462e+05  2.16516e+00  3.88048e-01
1.38270e+05  2.16817e+00  3.85384e-01
1.38079e+05  2.17117e+00  3.94612e-01
1.37888e+05  2.17417e+00  3.89626e-01
1.37698e+05  2.17718e+00  3.91864e-01
1.37508e+05  2.18018e+00  3.93572e-01
1.37319e+05  2.18318e+00  3.83639e-01
1.37130e+05  2.18618e+00  3.85936e-01
1.36942e+05  2.18919e+00  3.92010e-01
1.36755e+05  2.19219e+00  4.01123e-01
1.36568e+05  2.19519e+00  3.92893e-01
1.36381e+05  2.19820e+00  3.86283e-01
1.36195e+05  2.20120e+00  3.86555e-01
1.36009e+05  2.20420e+00  3.93844e-01
1.35824e+05  2.20721e+00  4.06990e-01
1.35640e+05  2.21021e+00  4.12036e-01
1.35456e+05  2.21321e+00  4.14739e-01
1.35272e+05  2.21621e+00  4.05506e-01
1.35089e+05  2.21922e+00  4.15442e-01
1.34907e+05  2.22222e+00  4.11596e-01
1.34725e+05  2.22522e+00  4.12246e-01
1.34543e+05  2.22823e+00  4.13162e-01
1.34362e+05  2.23123e+00  4.09927e-01
1.34181e+05  2.23423e+00  4.11282e-01
1.34001e+05  2.23724e+00  4.06263e-01
1.33822e+05  2.24024e+00  4.07218e-01
1.33642e+05  2.24324e+00  4.03934e-01
1.33464e+05  2.24624e+00  3.99461e-01
1.33286e+05  2.24925e+00  4.04910e-01
1.33108e+05  2.25225e+00  4.02627e-01
1.32931e+05  2.25525e+00  3.94910e-01
1.32754e+05  2.25826e+00  3.98681e-01
