AKARI_18micron
frq          wvl          transmission
[GHz]        [micron]                 
2.23741e+04  1.33991e+01  1.31510e-03
2.23452e+04  1.34164e+01  1.22460e-03
2.23163e+04  1.34338e+01  1.12590e-03
2.22872e+04  1.34513e+01  1.60870e-03
2.22585e+04  1.34687e+01  1.70990e-03
2.22296e+04  1.34862e+01  2.36190e-03
2.22006e+04  1.35038e+01  3.49930e-03
2.21717e+04  1.35214e+01  3.96810e-03
2.21427e+04  1.35391e+01  4.50910e-03
2.21138e+04  1.35568e+01  5.37470e-03
2.20850e+04  1.35745e+01  6.45090e-03
2.20561e+04  1.35923e+01  8.18190e-03
2.20272e+04  1.36101e+01  1.02140e-02
2.19983e+04  1.36280e+01  1.21270e-02
2.19694e+04  1.36459e+01  1.54720e-02
2.19405e+04  1.36639e+01  1.95680e-02
2.19116e+04  1.36819e+01  2.36600e-02
2.18827e+04  1.37000e+01  2.96040e-02
2.18536e+04  1.37182e+01  3.77250e-02
2.18248e+04  1.37363e+01  4.80140e-02
2.17960e+04  1.37545e+01  6.04060e-02
2.17670e+04  1.37728e+01  7.61780e-02
2.17381e+04  1.37911e+01  9.69990e-02
2.17091e+04  1.38095e+01  1.23660e-01
2.16803e+04  1.38279e+01  1.56800e-01
2.16514e+04  1.38463e+01  1.96830e-01
2.16224e+04  1.38649e+01  1.62610e-01
2.15936e+04  1.38834e+01  2.02670e-01
2.15647e+04  1.39020e+01  2.49580e-01
2.15357e+04  1.39207e+01  3.02970e-01
2.15068e+04  1.39394e+01  3.60560e-01
2.14779e+04  1.39582e+01  4.18840e-01
2.14490e+04  1.39770e+01  4.73790e-01
2.14202e+04  1.39958e+01  5.22840e-01
2.13913e+04  1.40147e+01  5.63610e-01
2.13623e+04  1.40337e+01  5.96070e-01
2.13334e+04  1.40527e+01  6.19530e-01
2.13045e+04  1.40718e+01  6.34960e-01
2.12756e+04  1.40909e+01  6.45210e-01
2.12467e+04  1.41101e+01  6.51080e-01
2.12178e+04  1.41293e+01  6.54320e-01
2.11888e+04  1.41486e+01  6.56600e-01
2.11600e+04  1.41679e+01  6.58520e-01
2.11310e+04  1.41873e+01  6.60040e-01
2.11022e+04  1.42067e+01  6.66140e-01
2.10733e+04  1.42262e+01  6.72870e-01
2.10443e+04  1.42458e+01  6.79560e-01
2.10154e+04  1.42654e+01  6.85840e-01
2.09865e+04  1.42850e+01  6.92480e-01
2.09576e+04  1.43047e+01  7.00080e-01
2.09287e+04  1.43245e+01  7.07990e-01
2.08998e+04  1.43443e+01  7.15380e-01
2.08708e+04  1.43642e+01  7.22120e-01
2.08419e+04  1.43841e+01  7.28440e-01
2.08131e+04  1.44040e+01  7.35020e-01
2.07841e+04  1.44241e+01  7.39170e-01
2.07552e+04  1.44442e+01  7.42470e-01
2.07264e+04  1.44643e+01  7.45250e-01
2.06975e+04  1.44845e+01  7.48470e-01
2.06685e+04  1.45048e+01  7.51580e-01
2.06396e+04  1.45251e+01  7.53230e-01
2.06107e+04  1.45455e+01  7.55720e-01
2.05818e+04  1.45659e+01  7.59850e-01
2.05529e+04  1.45864e+01  7.63320e-01
2.05240e+04  1.46069e+01  7.65830e-01
2.04951e+04  1.46275e+01  7.68760e-01
2.04662e+04  1.46482e+01  7.70480e-01
2.04373e+04  1.46689e+01  7.71720e-01
2.04083e+04  1.46897e+01  7.72420e-01
2.03795e+04  1.47105e+01  7.72480e-01
2.03506e+04  1.47314e+01  7.73030e-01
2.03216e+04  1.47524e+01  7.74470e-01
2.02927e+04  1.47734e+01  7.76040e-01
2.02638e+04  1.47945e+01  7.77490e-01
2.02349e+04  1.48156e+01  7.81420e-01
2.02060e+04  1.48368e+01  7.84910e-01
2.01770e+04  1.48581e+01  7.87890e-01
2.01482e+04  1.48794e+01  7.91530e-01
2.01194e+04  1.49007e+01  7.95920e-01
2.00904e+04  1.49222e+01  8.00000e-01
2.00615e+04  1.49437e+01  8.02320e-01
2.00325e+04  1.49653e+01  8.03660e-01
2.00036e+04  1.49869e+01  8.05730e-01
1.99747e+04  1.50086e+01  8.10750e-01
1.99459e+04  1.50303e+01  8.17090e-01
1.99170e+04  1.50521e+01  8.21440e-01
1.98880e+04  1.50740e+01  8.25420e-01
1.98591e+04  1.50960e+01  8.31180e-01
1.98302e+04  1.51180e+01  8.35870e-01
1.98014e+04  1.51400e+01  8.38800e-01
1.97724e+04  1.51622e+01  8.41260e-01
1.97435e+04  1.51844e+01  8.44100e-01
1.97146e+04  1.52066e+01  8.47120e-01
1.96858e+04  1.52289e+01  8.49300e-01
1.96567e+04  1.52514e+01  8.50880e-01
1.96279e+04  1.52738e+01  8.53350e-01
1.95990e+04  1.52963e+01  8.57870e-01
1.95701e+04  1.53189e+01  8.62760e-01
1.95411e+04  1.53416e+01  8.67180e-01
1.95123e+04  1.53643e+01  8.70800e-01
1.94834e+04  1.53871e+01  8.74770e-01
1.94544e+04  1.54100e+01  8.78840e-01
1.94255e+04  1.54329e+01  8.83490e-01
1.93966e+04  1.54559e+01  8.86400e-01
1.93677e+04  1.54790e+01  8.87740e-01
1.93388e+04  1.55021e+01  8.88800e-01
1.93099e+04  1.55253e+01  8.84570e-01
1.92810e+04  1.55486e+01  8.80240e-01
1.92521e+04  1.55719e+01  8.76730e-01
1.92231e+04  1.55954e+01  8.73490e-01
1.91943e+04  1.56188e+01  8.69250e-01
1.91654e+04  1.56424e+01  8.67070e-01
1.91365e+04  1.56660e+01  8.65340e-01
1.91076e+04  1.56897e+01  8.64630e-01
1.90787e+04  1.57135e+01  8.64160e-01
1.90497e+04  1.57374e+01  8.63300e-01
1.90208e+04  1.57613e+01  8.61940e-01
1.89919e+04  1.57853e+01  8.60540e-01
1.89630e+04  1.58093e+01  8.58050e-01
1.89341e+04  1.58335e+01  8.54210e-01
1.89052e+04  1.58577e+01  8.50550e-01
1.88762e+04  1.58820e+01  8.47300e-01
1.88474e+04  1.59063e+01  8.43500e-01
1.88185e+04  1.59307e+01  8.38980e-01
1.87895e+04  1.59553e+01  8.34530e-01
1.87607e+04  1.59798e+01  8.31090e-01
1.87318e+04  1.60045e+01  8.30900e-01
1.87029e+04  1.60292e+01  8.35100e-01
1.86739e+04  1.60541e+01  8.39050e-01
1.86451e+04  1.60789e+01  8.42800e-01
1.86161e+04  1.61039e+01  8.46360e-01
1.85872e+04  1.61290e+01  8.50090e-01
1.85583e+04  1.61541e+01  8.54220e-01
1.85294e+04  1.61793e+01  8.55610e-01
1.85005e+04  1.62046e+01  8.54920e-01
1.84716e+04  1.62299e+01  8.54470e-01
1.84426e+04  1.62554e+01  8.54540e-01
1.84138e+04  1.62809e+01  8.54400e-01
1.83848e+04  1.63065e+01  8.53620e-01
1.83560e+04  1.63321e+01  8.51830e-01
1.83271e+04  1.63579e+01  8.50130e-01
1.82981e+04  1.63838e+01  8.54380e-01
1.82692e+04  1.64097e+01  8.59160e-01
1.82403e+04  1.64357e+01  8.62820e-01
1.82114e+04  1.64618e+01  8.65920e-01
1.81826e+04  1.64879e+01  8.69850e-01
1.81536e+04  1.65142e+01  8.76710e-01
1.81248e+04  1.65405e+01  8.85450e-01
1.80958e+04  1.65670e+01  8.91990e-01
1.80669e+04  1.65935e+01  8.97300e-01
1.80379e+04  1.66201e+01  9.02540e-01
1.80091e+04  1.66467e+01  9.07860e-01
1.79802e+04  1.66735e+01  9.13010e-01
1.79513e+04  1.67003e+01  9.18790e-01
1.79223e+04  1.67273e+01  9.24730e-01
1.78935e+04  1.67543e+01  9.30150e-01
1.78646e+04  1.67814e+01  9.37680e-01
1.78357e+04  1.68086e+01  9.45950e-01
1.78067e+04  1.68359e+01  9.54490e-01
1.77778e+04  1.68633e+01  9.63340e-01
1.77489e+04  1.68908e+01  9.71350e-01
1.77200e+04  1.69183e+01  9.79800e-01
1.76911e+04  1.69459e+01  9.89000e-01
1.76622e+04  1.69737e+01  9.96560e-01
1.76333e+04  1.70015e+01  1.00000e+00
1.76044e+04  1.70294e+01  9.96840e-01
1.75755e+04  1.70574e+01  9.94740e-01
1.75466e+04  1.70855e+01  9.93470e-01
1.75177e+04  1.71137e+01  9.91930e-01
1.74888e+04  1.71420e+01  9.89860e-01
1.74598e+04  1.71704e+01  9.87800e-01
1.74309e+04  1.71989e+01  9.87600e-01
1.74021e+04  1.72274e+01  9.87020e-01
1.73731e+04  1.72561e+01  9.86500e-01
1.73442e+04  1.72849e+01  9.86240e-01
1.73153e+04  1.73137e+01  9.85100e-01
