AZTEC_1100micron
frq          wvl          transmission
[GHz]        [micron]                 
2.00123e+02  1.49804e+03  0.00000e+00
2.00591e+02  1.49454e+03  0.00000e+00
2.01060e+02  1.49106e+03  0.00000e+00
2.01529e+02  1.48759e+03  0.00000e+00
2.01998e+02  1.48414e+03  0.00000e+00
2.02466e+02  1.48070e+03  0.00000e+00
2.02935e+02  1.47728e+03  0.00000e+00
2.03404e+02  1.47388e+03  0.00000e+00
2.03872e+02  1.47049e+03  0.00000e+00
2.04341e+02  1.46712e+03  0.00000e+00
2.04810e+02  1.46376e+03  0.00000e+00
2.05278e+02  1.46042e+03  0.00000e+00
2.05747e+02  1.45709e+03  0.00000e+00
2.06216e+02  1.45378e+03  0.00000e+00
2.06684e+02  1.45049e+03  0.00000e+00
2.07153e+02  1.44720e+03  0.00000e+00
2.07622e+02  1.44394e+03  0.00000e+00
2.08090e+02  1.44068e+03  0.00000e+00
2.08559e+02  1.43745e+03  0.00000e+00
2.09028e+02  1.43422e+03  0.00000e+00
2.09496e+02  1.43102e+03  0.00000e+00
2.09965e+02  1.42782e+03  0.00000e+00
2.10434e+02  1.42464e+03  0.00000e+00
2.10902e+02  1.42148e+03  0.00000e+00
2.11371e+02  1.41832e+03  0.00000e+00
2.11840e+02  1.41519e+03  0.00000e+00
2.12308e+02  1.41206e+03  0.00000e+00
2.12777e+02  1.40895e+03  0.00000e+00
2.13246e+02  1.40586e+03  0.00000e+00
2.13714e+02  1.40277e+03  0.00000e+00
2.14183e+02  1.39970e+03  0.00000e+00
2.14652e+02  1.39665e+03  0.00000e+00
2.15120e+02  1.39360e+03  0.00000e+00
2.15589e+02  1.39057e+03  0.00000e+00
2.16058e+02  1.38756e+03  0.00000e+00
2.16526e+02  1.38455e+03  0.00000e+00
2.16995e+02  1.38156e+03  0.00000e+00
2.17464e+02  1.37859e+03  0.00000e+00
2.17932e+02  1.37562e+03  0.00000e+00
2.18401e+02  1.37267e+03  0.00000e+00
2.18870e+02  1.36973e+03  0.00000e+00
2.19338e+02  1.36680e+03  0.00000e+00
2.19807e+02  1.36389e+03  0.00000e+00
2.20276e+02  1.36099e+03  0.00000e+00
2.20744e+02  1.35810e+03  0.00000e+00
2.21213e+02  1.35522e+03  0.00000e+00
2.21682e+02  1.35236e+03  0.00000e+00
2.22150e+02  1.34950e+03  0.00000e+00
2.22619e+02  1.34666e+03  0.00000e+00
2.23088e+02  1.34383e+03  0.00000e+00
2.23556e+02  1.34101e+03  0.00000e+00
2.24025e+02  1.33821e+03  0.00000e+00
2.24494e+02  1.33542e+03  0.00000e+00
2.24962e+02  1.33263e+03  0.00000e+00
2.25431e+02  1.32986e+03  0.00000e+00
2.25900e+02  1.32710e+03  0.00000e+00
2.26368e+02  1.32436e+03  0.00000e+00
2.26837e+02  1.32162e+03  0.00000e+00
2.27306e+02  1.31890e+03  0.00000e+00
2.27774e+02  1.31618e+03  0.00000e+00
2.28243e+02  1.31348e+03  0.00000e+00
2.28712e+02  1.31079e+03  0.00000e+00
2.29180e+02  1.30811e+03  0.00000e+00
2.29649e+02  1.30544e+03  0.00000e+00
2.30118e+02  1.30278e+03  4.61234e-03
2.30586e+02  1.30013e+03  1.48086e-02
2.31055e+02  1.29749e+03  2.69851e-02
2.31524e+02  1.29487e+03  4.17223e-02
2.31992e+02  1.29225e+03  6.02502e-02
2.32461e+02  1.28965e+03  8.13751e-02
2.32930e+02  1.28705e+03  1.07250e-01
2.33399e+02  1.28447e+03  1.45528e-01
2.33867e+02  1.28189e+03  1.98648e-01
2.34336e+02  1.27933e+03  2.67083e-01
2.34805e+02  1.27677e+03  3.45375e-01
2.35273e+02  1.27423e+03  4.18290e-01
2.35742e+02  1.27170e+03  4.75436e-01
2.36211e+02  1.26917e+03  5.17051e-01
2.36679e+02  1.26666e+03  5.45281e-01
2.37148e+02  1.26416e+03  5.66706e-01
2.37617e+02  1.26166e+03  5.88635e-01
2.38085e+02  1.25918e+03  6.08724e-01
2.38554e+02  1.25671e+03  6.32176e-01
2.39023e+02  1.25424e+03  6.61391e-01
2.39491e+02  1.25179e+03  6.90456e-01
2.39960e+02  1.24934e+03  7.09904e-01
2.40429e+02  1.24691e+03  7.06069e-01
2.40897e+02  1.24448e+03  6.75627e-01
2.41366e+02  1.24207e+03  6.31741e-01
2.41835e+02  1.23966e+03  5.93375e-01
2.42303e+02  1.23726e+03  5.74950e-01
2.42772e+02  1.23487e+03  5.83416e-01
2.43241e+02  1.23249e+03  6.07359e-01
2.43709e+02  1.23012e+03  6.24678e-01
2.44178e+02  1.22776e+03  6.28857e-01
2.44647e+02  1.22541e+03  6.19910e-01
2.45115e+02  1.22307e+03  6.01672e-01
2.45584e+02  1.22073e+03  5.93470e-01
2.46053e+02  1.21841e+03  5.96256e-01
2.46521e+02  1.21609e+03  6.04150e-01
2.46990e+02  1.21378e+03  6.18440e-01
2.47459e+02  1.21149e+03  6.29312e-01
2.47927e+02  1.20919e+03  6.38313e-01
2.48396e+02  1.20691e+03  6.46101e-01
2.48865e+02  1.20464e+03  6.48576e-01
2.49333e+02  1.20238e+03  6.50620e-01
2.49802e+02  1.20012e+03  6.46087e-01
2.50271e+02  1.19787e+03  6.35967e-01
2.50739e+02  1.19563e+03  6.26708e-01
2.51208e+02  1.19340e+03  6.14517e-01
2.51677e+02  1.19118e+03  6.06206e-01
2.52145e+02  1.18897e+03  6.05501e-01
2.52614e+02  1.18676e+03  6.05217e-01
2.53083e+02  1.18456e+03  6.11214e-01
2.53551e+02  1.18237e+03  6.22438e-01
2.54020e+02  1.18019e+03  6.34040e-01
2.54489e+02  1.17802e+03  6.50149e-01
2.54957e+02  1.17585e+03  6.66735e-01
2.55426e+02  1.17370e+03  6.84081e-01
2.55895e+02  1.17155e+03  7.03544e-01
2.56363e+02  1.16940e+03  7.21277e-01
2.56832e+02  1.16727e+03  7.42979e-01
2.57301e+02  1.16514e+03  7.70937e-01
