BOLOCAM_1100micron
frq          wvl          transmission
[GHz]        [micron]                 
2.28900e+02  1.30971e+03  1.40000e-02
2.29800e+02  1.30458e+03  2.90000e-02
2.30700e+02  1.29949e+03  5.40000e-02
2.31600e+02  1.29444e+03  1.02000e-01
2.32500e+02  1.28943e+03  2.04000e-01
2.33500e+02  1.28391e+03  3.57000e-01
2.34400e+02  1.27898e+03  4.84000e-01
2.35300e+02  1.27409e+03  5.33000e-01
2.36200e+02  1.26923e+03  5.13000e-01
2.37100e+02  1.26441e+03  4.34000e-01
2.38100e+02  1.25910e+03  3.91000e-01
2.39000e+02  1.25436e+03  3.60000e-01
2.39900e+02  1.24966e+03  3.89000e-01
2.40800e+02  1.24499e+03  4.11000e-01
2.41700e+02  1.24035e+03  4.14000e-01
2.42600e+02  1.23575e+03  4.09000e-01
2.43600e+02  1.23068e+03  3.90000e-01
2.44500e+02  1.22615e+03  3.86000e-01
2.45400e+02  1.22165e+03  3.56000e-01
2.46300e+02  1.21718e+03  3.43000e-01
2.47200e+02  1.21275e+03  3.50000e-01
2.48200e+02  1.20787e+03  3.48000e-01
2.49100e+02  1.20350e+03  4.09000e-01
2.50000e+02  1.19917e+03  4.48000e-01
2.50900e+02  1.19487e+03  5.13000e-01
2.51800e+02  1.19060e+03  5.34000e-01
2.52800e+02  1.18589e+03  5.19000e-01
2.53700e+02  1.18168e+03  4.79000e-01
2.54600e+02  1.17750e+03  4.38000e-01
2.55500e+02  1.17336e+03  4.08000e-01
2.56400e+02  1.16924e+03  4.24000e-01
2.57400e+02  1.16469e+03  4.80000e-01
2.58300e+02  1.16064e+03  5.46000e-01
2.59200e+02  1.15661e+03  6.22000e-01
2.60100e+02  1.15260e+03  6.58000e-01
2.61000e+02  1.14863e+03  6.96000e-01
2.61900e+02  1.14468e+03  7.15000e-01
2.62900e+02  1.14033e+03  6.76000e-01
2.63800e+02  1.13644e+03  6.19000e-01
2.64700e+02  1.13257e+03  6.22000e-01
2.65600e+02  1.12874e+03  6.60000e-01
2.66500e+02  1.12492e+03  7.12000e-01
2.67500e+02  1.12072e+03  7.58000e-01
2.68400e+02  1.11696e+03  8.13000e-01
2.69300e+02  1.11323e+03  8.62000e-01
2.70200e+02  1.10952e+03  8.87000e-01
2.71100e+02  1.10584e+03  8.80000e-01
2.72100e+02  1.10177e+03  8.62000e-01
2.73000e+02  1.09814e+03  8.27000e-01
2.73900e+02  1.09453e+03  8.50000e-01
2.74800e+02  1.09095e+03  8.42000e-01
2.75700e+02  1.08739e+03  8.33000e-01
2.76700e+02  1.08346e+03  8.31000e-01
2.77600e+02  1.07994e+03  8.53000e-01
2.78500e+02  1.07645e+03  8.45000e-01
2.79400e+02  1.07299e+03  8.00000e-01
2.80300e+02  1.06954e+03  7.82000e-01
2.81200e+02  1.06612e+03  7.84000e-01
2.82200e+02  1.06234e+03  7.70000e-01
2.83100e+02  1.05896e+03  7.45000e-01
2.84000e+02  1.05561e+03  7.82000e-01
2.84900e+02  1.05227e+03  8.11000e-01
2.85800e+02  1.04896e+03  7.66000e-01
2.86800e+02  1.04530e+03  7.22000e-01
2.87700e+02  1.04203e+03  7.14000e-01
2.88600e+02  1.03878e+03  7.25000e-01
2.89500e+02  1.03555e+03  7.20000e-01
2.90400e+02  1.03234e+03  6.60000e-01
2.91400e+02  1.02880e+03  6.08000e-01
2.92300e+02  1.02563e+03  5.64000e-01
2.93200e+02  1.02248e+03  5.17000e-01
2.94100e+02  1.01936e+03  4.88000e-01
2.95000e+02  1.01625e+03  4.10000e-01
2.96000e+02  1.01281e+03  3.28000e-01
2.96900e+02  1.00974e+03  2.83000e-01
2.97800e+02  1.00669e+03  2.53000e-01
2.98700e+02  1.00366e+03  2.07000e-01
2.99600e+02  1.00064e+03  1.49000e-01
3.00600e+02  9.97314e+02  1.07000e-01
3.01500e+02  9.94337e+02  9.80000e-02
3.02400e+02  9.91377e+02  8.20000e-02
3.03300e+02  9.88435e+02  5.20000e-02
3.04200e+02  9.85511e+02  3.10000e-02
3.05100e+02  9.82604e+02  2.20000e-02
3.06100e+02  9.79394e+02  2.10000e-02
3.07000e+02  9.76523e+02  1.60000e-02
3.07900e+02  9.73668e+02  1.20000e-02
