Bessel_K
frq          wvl          transmission
[GHz]        [micron]                 
1.52955e+05  1.96000e+00  0.00000e+00
1.51410e+05  1.98000e+00  2.04000e-01
1.49896e+05  2.00000e+00  3.06000e-01
1.48412e+05  2.02000e+00  5.61000e-01
1.46957e+05  2.04000e+00  7.55000e-01
1.45530e+05  2.06000e+00  5.61000e-01
1.44131e+05  2.08000e+00  7.86000e-01
1.42758e+05  2.10000e+00  8.67000e-01
1.41412e+05  2.12000e+00  9.18000e-01
1.40090e+05  2.14000e+00  9.59000e-01
1.38793e+05  2.16000e+00  9.59000e-01
1.37519e+05  2.18000e+00  9.69000e-01
1.36269e+05  2.20000e+00  9.59000e-01
1.35042e+05  2.22000e+00  9.80000e-01
1.33836e+05  2.24000e+00  1.00000e+00
1.32652e+05  2.26000e+00  9.90000e-01
1.31488e+05  2.28000e+00  9.80000e-01
1.30345e+05  2.30000e+00  9.29000e-01
1.29221e+05  2.32000e+00  8.98000e-01
1.28116e+05  2.34000e+00  8.57000e-01
1.27031e+05  2.36000e+00  8.11000e-01
1.25963e+05  2.38000e+00  7.65000e-01
1.24914e+05  2.40000e+00  6.53000e-01
1.23881e+05  2.42000e+00  3.78000e-01
1.22866e+05  2.44000e+00  1.02000e-01
1.21867e+05  2.46000e+00  5.10000e-02
1.20884e+05  2.48000e+00  0.00000e+00
