CFHT_G
frq          wvl          transmission
[GHz]        [micron]                 
7.82748e+05  3.83000e-01  6.47256e-05
7.81727e+05  3.83500e-01  6.47256e-05
7.80710e+05  3.84000e-01  6.47256e-05
7.79694e+05  3.84500e-01  6.47256e-05
7.78682e+05  3.85000e-01  6.65236e-05
7.77672e+05  3.85500e-01  6.65236e-05
7.76664e+05  3.86000e-01  6.65236e-05
7.75660e+05  3.86500e-01  6.65236e-05
7.74658e+05  3.87000e-01  6.83215e-05
7.73658e+05  3.87500e-01  6.83215e-05
7.72661e+05  3.88000e-01  6.83215e-05
7.71667e+05  3.88500e-01  6.83215e-05
7.70675e+05  3.89000e-01  1.38441e-04
7.69685e+05  3.89500e-01  1.40239e-04
7.68699e+05  3.90000e-01  1.40239e-04
7.67714e+05  3.90500e-01  1.42037e-04
7.66733e+05  3.91000e-01  2.13954e-04
7.65753e+05  3.91500e-01  2.13954e-04
7.64777e+05  3.92000e-01  2.87669e-04
7.63802e+05  3.92500e-01  2.89467e-04
7.62831e+05  3.93000e-01  2.93063e-04
7.61861e+05  3.93500e-01  3.66779e-04
7.60895e+05  3.94000e-01  3.70374e-04
7.59930e+05  3.94500e-01  4.47686e-04
7.58968e+05  3.95000e-01  4.49483e-04
7.58009e+05  3.95500e-01  5.28593e-04
7.57052e+05  3.96000e-01  5.30390e-04
7.56097e+05  3.96500e-01  6.11297e-04
7.55145e+05  3.97000e-01  7.67718e-04
7.54195e+05  3.97500e-01  9.27734e-04
7.53247e+05  3.98000e-01  1.08955e-03
7.52302e+05  3.98500e-01  1.33047e-03
7.51360e+05  3.99000e-01  1.65410e-03
7.50419e+05  3.99500e-01  1.98132e-03
7.49481e+05  4.00000e-01  2.39305e-03
7.48545e+05  4.00500e-01  2.87669e-03
7.47612e+05  4.01000e-01  3.36393e-03
7.46681e+05  4.01500e-01  3.93568e-03
7.45752e+05  4.02000e-01  4.42651e-03
7.44826e+05  4.02500e-01  5.00185e-03
7.43902e+05  4.03000e-01  5.66169e-03
7.42980e+05  4.03500e-01  6.40424e-03
7.42061e+05  4.04000e-01  7.39490e-03
7.41143e+05  4.04500e-01  8.71459e-03
7.40228e+05  4.05000e-01  1.06941e-02
7.39316e+05  4.05500e-01  1.34198e-02
7.38405e+05  4.06000e-01  1.73051e-02
7.37497e+05  4.06500e-01  2.26054e-02
7.36591e+05  4.07000e-01  2.94933e-02
7.35687e+05  4.07500e-01  3.83122e-02
7.34785e+05  4.08000e-01  4.92400e-02
7.33886e+05  4.08500e-01  6.19568e-02
7.32989e+05  4.09000e-01  7.65632e-02
7.32094e+05  4.09500e-01  9.22430e-02
7.31201e+05  4.10000e-01  1.09172e-01
7.30310e+05  4.10500e-01  1.27405e-01
7.29422e+05  4.11000e-01  1.46976e-01
7.28536e+05  4.11500e-01  1.69987e-01
7.27652e+05  4.12000e-01  1.97136e-01
7.26770e+05  4.12500e-01  2.29465e-01
7.25890e+05  4.13000e-01  2.69379e-01
7.25012e+05  4.13500e-01  3.14984e-01
7.24136e+05  4.14000e-01  3.68515e-01
7.23263e+05  4.14500e-01  4.29589e-01
7.22391e+05  4.15000e-01  4.93900e-01
7.21522e+05  4.15500e-01  5.61157e-01
7.20655e+05  4.16000e-01  6.24502e-01
7.19790e+05  4.16500e-01  6.79236e-01
7.18927e+05  4.17000e-01  7.22329e-01
7.18066e+05  4.17500e-01  7.51732e-01
7.17207e+05  4.18000e-01  7.69428e-01
7.16350e+05  4.18500e-01  7.78538e-01
7.15495e+05  4.19000e-01  7.82405e-01
7.14642e+05  4.19500e-01  7.83737e-01
7.13792e+05  4.20000e-01  7.84158e-01
7.12943e+05  4.20500e-01  7.83586e-01
7.12096e+05  4.21000e-01  7.81546e-01
7.11251e+05  4.21500e-01  7.76898e-01
7.10409e+05  4.22000e-01  7.69390e-01
7.09568e+05  4.22500e-01  7.58496e-01
7.08729e+05  4.23000e-01  7.45968e-01
7.07892e+05  4.23500e-01  7.32739e-01
7.07058e+05  4.24000e-01  7.20953e-01
7.06225e+05  4.24500e-01  7.12640e-01
7.05394e+05  4.25000e-01  7.08925e-01
7.04565e+05  4.25500e-01  7.10874e-01
7.03738e+05  4.26000e-01  7.18444e-01
7.02913e+05  4.26500e-01  7.31186e-01
7.02090e+05  4.27000e-01  7.47775e-01
7.01269e+05  4.27500e-01  7.67229e-01
7.00450e+05  4.28000e-01  7.86803e-01
6.99632e+05  4.28500e-01  8.04588e-01
6.98817e+05  4.29000e-01  8.19572e-01
6.98003e+05  4.29500e-01  8.30482e-01
6.97192e+05  4.30000e-01  8.37089e-01
6.96382e+05  4.30500e-01  8.39311e-01
6.95574e+05  4.31000e-01  8.38139e-01
6.94768e+05  4.31500e-01  8.34595e-01
6.93964e+05  4.32000e-01  8.29786e-01
6.93162e+05  4.32500e-01  8.24786e-01
6.92361e+05  4.33000e-01  8.20494e-01
6.91563e+05  4.33500e-01  8.17488e-01
6.90766e+05  4.34000e-01  8.16300e-01
6.89971e+05  4.34500e-01  8.16922e-01
6.89178e+05  4.35000e-01  8.19399e-01
6.88387e+05  4.35500e-01  8.22657e-01
6.87597e+05  4.36000e-01  8.26481e-01
6.86810e+05  4.36500e-01  8.30523e-01
6.86024e+05  4.37000e-01  8.34234e-01
6.85240e+05  4.37500e-01  8.37114e-01
6.84458e+05  4.38000e-01  8.39214e-01
6.83677e+05  4.38500e-01  8.40838e-01
6.82899e+05  4.39000e-01  8.41935e-01
6.82122e+05  4.39500e-01  8.43274e-01
6.81346e+05  4.40000e-01  8.45025e-01
6.80573e+05  4.40500e-01  8.47357e-01
6.79801e+05  4.41000e-01  8.50426e-01
6.79032e+05  4.41500e-01  8.54310e-01
6.78263e+05  4.42000e-01  8.58325e-01
6.77497e+05  4.42500e-01  8.63109e-01
6.76732e+05  4.43000e-01  8.67776e-01
6.75969e+05  4.43500e-01  8.72620e-01
6.75208e+05  4.44000e-01  8.77527e-01
6.74449e+05  4.44500e-01  8.82284e-01
6.73691e+05  4.45000e-01  8.87052e-01
6.72935e+05  4.45500e-01  8.91718e-01
6.72180e+05  4.46000e-01  8.96013e-01
6.71428e+05  4.46500e-01  8.99860e-01
6.70677e+05  4.47000e-01  9.02942e-01
6.69927e+05  4.47500e-01  9.04992e-01
6.69180e+05  4.48000e-01  9.06033e-01
6.68434e+05  4.48500e-01  9.05630e-01
6.67689e+05  4.49000e-01  9.04005e-01
6.66947e+05  4.49500e-01  9.01615e-01
6.66205e+05  4.50000e-01  8.98494e-01
6.65466e+05  4.50500e-01  8.94420e-01
6.64728e+05  4.51000e-01  8.90927e-01
6.63992e+05  4.51500e-01  8.88512e-01
6.63258e+05  4.52000e-01  8.87606e-01
6.62525e+05  4.52500e-01  8.88399e-01
6.61794e+05  4.53000e-01  8.90714e-01
6.61064e+05  4.53500e-01  8.95238e-01
6.60336e+05  4.54000e-01  9.00880e-01
6.59609e+05  4.54500e-01  9.07791e-01
6.58885e+05  4.55000e-01  9.14893e-01
6.58161e+05  4.55500e-01  9.21982e-01
6.57440e+05  4.56000e-01  9.28381e-01
6.56720e+05  4.56500e-01  9.33502e-01
6.56001e+05  4.57000e-01  9.37601e-01
6.55284e+05  4.57500e-01  9.40451e-01
6.54569e+05  4.58000e-01  9.42376e-01
6.53855e+05  4.58500e-01  9.43505e-01
6.53143e+05  4.59000e-01  9.44192e-01
6.52432e+05  4.59500e-01  9.44602e-01
6.51723e+05  4.60000e-01  9.44699e-01
6.51015e+05  4.60500e-01  9.44762e-01
6.50309e+05  4.61000e-01  9.44739e-01
6.49604e+05  4.61500e-01  9.44654e-01
6.48901e+05  4.62000e-01  9.44482e-01
6.48200e+05  4.62500e-01  9.44099e-01
6.47500e+05  4.63000e-01  9.43922e-01
6.46801e+05  4.63500e-01  9.43192e-01
6.46104e+05  4.64000e-01  9.42536e-01
6.45409e+05  4.64500e-01  9.41619e-01
6.44715e+05  4.65000e-01  9.40382e-01
6.44022e+05  4.65500e-01  9.38942e-01
6.43331e+05  4.66000e-01  9.36961e-01
6.42642e+05  4.66500e-01  9.34534e-01
6.41954e+05  4.67000e-01  9.32189e-01
6.41267e+05  4.67500e-01  9.29749e-01
6.40582e+05  4.68000e-01  9.27639e-01
6.39899e+05  4.68500e-01  9.25878e-01
6.39216e+05  4.69000e-01  9.24778e-01
6.38536e+05  4.69500e-01  9.24296e-01
6.37856e+05  4.70000e-01  9.24224e-01
6.37178e+05  4.70500e-01  9.24258e-01
6.36502e+05  4.71000e-01  9.24670e-01
6.35827e+05  4.71500e-01  9.24899e-01
6.35154e+05  4.72000e-01  9.25274e-01
6.34481e+05  4.72500e-01  9.25607e-01
6.33811e+05  4.73000e-01  9.26148e-01
6.33141e+05  4.73500e-01  9.27392e-01
6.32474e+05  4.74000e-01  9.29390e-01
6.31807e+05  4.74500e-01  9.32658e-01
6.31142e+05  4.75000e-01  9.36884e-01
6.30478e+05  4.75500e-01  9.42477e-01
6.29816e+05  4.76000e-01  9.48728e-01
6.29155e+05  4.76500e-01  9.55463e-01
6.28496e+05  4.77000e-01  9.62459e-01
6.27838e+05  4.77500e-01  9.68682e-01
6.27181e+05  4.78000e-01  9.74050e-01
6.26526e+05  4.78500e-01  9.77970e-01
6.25872e+05  4.79000e-01  9.80701e-01
6.25219e+05  4.79500e-01  9.82364e-01
6.24568e+05  4.80000e-01  9.83412e-01
6.23918e+05  4.80500e-01  9.84232e-01
6.23269e+05  4.81000e-01  9.85297e-01
6.22622e+05  4.81500e-01  9.86647e-01
6.21976e+05  4.82000e-01  9.88743e-01
6.21332e+05  4.82500e-01  9.91134e-01
6.20688e+05  4.83000e-01  9.93945e-01
6.20046e+05  4.83500e-01  9.96487e-01
6.19406e+05  4.84000e-01  9.98599e-01
6.18767e+05  4.84500e-01  9.99948e-01
6.18129e+05  4.85000e-01  1.00000e+00
6.17492e+05  4.85500e-01  9.99297e-01
6.16857e+05  4.86000e-01  9.97522e-01
6.16223e+05  4.86500e-01  9.94759e-01
6.15590e+05  4.87000e-01  9.91753e-01
6.14959e+05  4.87500e-01  9.88107e-01
6.14329e+05  4.88000e-01  9.84408e-01
6.13700e+05  4.88500e-01  9.80665e-01
6.13073e+05  4.89000e-01  9.77253e-01
6.12446e+05  4.89500e-01  9.74500e-01
6.11821e+05  4.90000e-01  9.72285e-01
6.11198e+05  4.90500e-01  9.70967e-01
6.10575e+05  4.91000e-01  9.70528e-01
6.09954e+05  4.91500e-01  9.71195e-01
6.09334e+05  4.92000e-01  9.72731e-01
6.08716e+05  4.92500e-01  9.75429e-01
6.08098e+05  4.93000e-01  9.78678e-01
6.07482e+05  4.93500e-01  9.82175e-01
6.06867e+05  4.94000e-01  9.85092e-01
6.06254e+05  4.94500e-01  9.87087e-01
6.05641e+05  4.95000e-01  9.87213e-01
6.05030e+05  4.95500e-01  9.85011e-01
6.04420e+05  4.96000e-01  9.80278e-01
6.03812e+05  4.96500e-01  9.73031e-01
6.03204e+05  4.97000e-01  9.63583e-01
6.02598e+05  4.97500e-01  9.52637e-01
6.01993e+05  4.98000e-01  9.40488e-01
6.01389e+05  4.98500e-01  9.28232e-01
6.00786e+05  4.99000e-01  9.16831e-01
6.00185e+05  4.99500e-01  9.06518e-01
5.99585e+05  5.00000e-01  8.98408e-01
5.98986e+05  5.00500e-01  8.91969e-01
5.98388e+05  5.01000e-01  8.87899e-01
5.97792e+05  5.01500e-01  8.86574e-01
5.97196e+05  5.02000e-01  8.87153e-01
5.96602e+05  5.02500e-01  8.89359e-01
5.96009e+05  5.03000e-01  8.93107e-01
5.95417e+05  5.03500e-01  8.97663e-01
5.94826e+05  5.04000e-01  9.02527e-01
5.94237e+05  5.04500e-01  9.07338e-01
5.93648e+05  5.05000e-01  9.12000e-01
5.93061e+05  5.05500e-01  9.16286e-01
5.92475e+05  5.06000e-01  9.19897e-01
5.91890e+05  5.06500e-01  9.23108e-01
5.91307e+05  5.07000e-01  9.25341e-01
5.90724e+05  5.07500e-01  9.26779e-01
5.90143e+05  5.08000e-01  9.27133e-01
5.89562e+05  5.08500e-01  9.26481e-01
5.88983e+05  5.09000e-01  9.24965e-01
5.88405e+05  5.09500e-01  9.22315e-01
5.87828e+05  5.10000e-01  9.19017e-01
5.87253e+05  5.10500e-01  9.15168e-01
5.86678e+05  5.11000e-01  9.11017e-01
5.86105e+05  5.11500e-01  9.06917e-01
5.85532e+05  5.12000e-01  9.02797e-01
5.84961e+05  5.12500e-01  8.99373e-01
5.84391e+05  5.13000e-01  8.96381e-01
5.83822e+05  5.13500e-01  8.94123e-01
5.83254e+05  5.14000e-01  8.92428e-01
5.82687e+05  5.14500e-01  8.91202e-01
5.82121e+05  5.15000e-01  8.89992e-01
5.81557e+05  5.15500e-01  8.88381e-01
5.80993e+05  5.16000e-01  8.86567e-01
5.80431e+05  5.16500e-01  8.84235e-01
5.79869e+05  5.17000e-01  8.81541e-01
5.79309e+05  5.17500e-01  8.78981e-01
5.78750e+05  5.18000e-01  8.77149e-01
5.78192e+05  5.18500e-01  8.76299e-01
5.77635e+05  5.19000e-01  8.76755e-01
5.77079e+05  5.19500e-01  8.79055e-01
5.76524e+05  5.20000e-01  8.83007e-01
5.75970e+05  5.20500e-01  8.88722e-01
5.75417e+05  5.21000e-01  8.95867e-01
5.74866e+05  5.21500e-01  9.03758e-01
5.74315e+05  5.22000e-01  9.12282e-01
5.73765e+05  5.22500e-01  9.20607e-01
5.73217e+05  5.23000e-01  9.27946e-01
5.72669e+05  5.23500e-01  9.33775e-01
5.72123e+05  5.24000e-01  9.37531e-01
5.71578e+05  5.24500e-01  9.38424e-01
5.71033e+05  5.25000e-01  9.36937e-01
5.70490e+05  5.25500e-01  9.33512e-01
5.69948e+05  5.26000e-01  9.28473e-01
5.69406e+05  5.26500e-01  9.22586e-01
5.68866e+05  5.27000e-01  9.16373e-01
5.68327e+05  5.27500e-01  9.10911e-01
5.67789e+05  5.28000e-01  9.05770e-01
5.67252e+05  5.28500e-01  9.01759e-01
5.66715e+05  5.29000e-01  8.98489e-01
5.66180e+05  5.29500e-01  8.96002e-01
5.65646e+05  5.30000e-01  8.93474e-01
5.65113e+05  5.30500e-01  8.91247e-01
5.64581e+05  5.31000e-01  8.88273e-01
5.64050e+05  5.31500e-01  8.85177e-01
5.63520e+05  5.32000e-01  8.81574e-01
5.62991e+05  5.32500e-01  8.77672e-01
5.62462e+05  5.33000e-01  8.73763e-01
5.61935e+05  5.33500e-01  8.70583e-01
5.61409e+05  5.34000e-01  8.68706e-01
5.60884e+05  5.34500e-01  8.68098e-01
5.60360e+05  5.35000e-01  8.69001e-01
5.59837e+05  5.35500e-01  8.71935e-01
5.59314e+05  5.36000e-01  8.76586e-01
5.58793e+05  5.36500e-01  8.82753e-01
5.58273e+05  5.37000e-01  8.90053e-01
5.57753e+05  5.37500e-01  8.97775e-01
5.57235e+05  5.38000e-01  9.05558e-01
5.56718e+05  5.38500e-01  9.11952e-01
5.56201e+05  5.39000e-01  9.16416e-01
5.55686e+05  5.39500e-01  9.18066e-01
5.55171e+05  5.40000e-01  9.16418e-01
5.54658e+05  5.40500e-01  9.11644e-01
5.54145e+05  5.41000e-01  9.03827e-01
5.53633e+05  5.41500e-01  8.94323e-01
5.53123e+05  5.42000e-01  8.83363e-01
5.52613e+05  5.42500e-01  8.72170e-01
5.52104e+05  5.43000e-01  8.61419e-01
5.51596e+05  5.43500e-01  8.51345e-01
5.51089e+05  5.44000e-01  8.42343e-01
5.50583e+05  5.44500e-01  8.34015e-01
5.50078e+05  5.45000e-01  8.25570e-01
5.49574e+05  5.45500e-01  8.16823e-01
5.49070e+05  5.46000e-01  8.06893e-01
5.48568e+05  5.46500e-01  7.95341e-01
5.48067e+05  5.47000e-01  7.82533e-01
5.47566e+05  5.47500e-01  7.68131e-01
5.47067e+05  5.48000e-01  7.53009e-01
5.46568e+05  5.48500e-01  7.37469e-01
5.46070e+05  5.49000e-01  7.21849e-01
5.45573e+05  5.49500e-01  7.07349e-01
5.45077e+05  5.50000e-01  6.93981e-01
5.44582e+05  5.50500e-01  6.82762e-01
5.44088e+05  5.51000e-01  6.74283e-01
5.43595e+05  5.51500e-01  6.68844e-01
5.43102e+05  5.52000e-01  6.66357e-01
5.42611e+05  5.52500e-01  6.66142e-01
5.42120e+05  5.53000e-01  6.67294e-01
5.41630e+05  5.53500e-01  6.68290e-01
5.41142e+05  5.54000e-01  6.67814e-01
5.40654e+05  5.54500e-01  6.64346e-01
5.40167e+05  5.55000e-01  6.57096e-01
5.39680e+05  5.55500e-01  6.45782e-01
5.39195e+05  5.56000e-01  6.31350e-01
5.38711e+05  5.56500e-01  6.14002e-01
5.38227e+05  5.57000e-01  5.95001e-01
5.37744e+05  5.57500e-01  5.75876e-01
5.37262e+05  5.58000e-01  5.57334e-01
5.36781e+05  5.58500e-01  5.40329e-01
5.36301e+05  5.59000e-01  5.24499e-01
5.35822e+05  5.59500e-01  5.08592e-01
5.35344e+05  5.60000e-01  4.91857e-01
5.34866e+05  5.60500e-01  4.72713e-01
5.34389e+05  5.61000e-01  4.49949e-01
5.33914e+05  5.61500e-01  4.23593e-01
5.33439e+05  5.62000e-01  3.93427e-01
5.32964e+05  5.62500e-01  3.60655e-01
5.32491e+05  5.63000e-01  3.27202e-01
5.32019e+05  5.63500e-01  2.93108e-01
5.31547e+05  5.64000e-01  2.61438e-01
5.31076e+05  5.64500e-01  2.31950e-01
5.30606e+05  5.65000e-01  2.04781e-01
5.30137e+05  5.65500e-01  1.81510e-01
5.29669e+05  5.66000e-01  1.60854e-01
5.29201e+05  5.66500e-01  1.43312e-01
5.28734e+05  5.67000e-01  1.28371e-01
5.28269e+05  5.67500e-01  1.14899e-01
5.27804e+05  5.68000e-01  1.02982e-01
5.27339e+05  5.68500e-01  9.19985e-02
5.26876e+05  5.69000e-01  8.10275e-02
5.26413e+05  5.69500e-01  7.23327e-02
5.25952e+05  5.70000e-01  6.33430e-02
5.25491e+05  5.70500e-01  5.51840e-02
5.25031e+05  5.71000e-01  4.80624e-02
5.24571e+05  5.71500e-01  4.14657e-02
5.24113e+05  5.72000e-01  3.58005e-02
5.23655e+05  5.72500e-01  3.09640e-02
5.23198e+05  5.73000e-01  2.67461e-02
5.22742e+05  5.73500e-01  2.32473e-02
5.22287e+05  5.74000e-01  2.02627e-02
5.21832e+05  5.74500e-01  1.77977e-02
5.21378e+05  5.75000e-01  1.56438e-02
5.20925e+05  5.75500e-01  1.38980e-02
5.20473e+05  5.76000e-01  1.23590e-02
5.20022e+05  5.76500e-01  1.10267e-02
5.19571e+05  5.77000e-01  9.79514e-03
5.19121e+05  5.77500e-01  8.66784e-03
5.18672e+05  5.78000e-01  7.54053e-03
5.18224e+05  5.78500e-01  6.61999e-03
5.17776e+05  5.79000e-01  5.69945e-03
5.17330e+05  5.79500e-01  4.88139e-03
5.16884e+05  5.80000e-01  4.16761e-03
5.16438e+05  5.80500e-01  3.55631e-03
5.15994e+05  5.81000e-01  3.04750e-03
5.15550e+05  5.81500e-01  2.63937e-03
5.15107e+05  5.82000e-01  2.23303e-03
5.14665e+05  5.82500e-01  1.92738e-03
5.14224e+05  5.83000e-01  1.72422e-03
5.13783e+05  5.83500e-01  1.52105e-03
5.13343e+05  5.84000e-01  1.41857e-03
5.12904e+05  5.84500e-01  1.31789e-03
5.12466e+05  5.85000e-01  1.21540e-03
5.12028e+05  5.85500e-01  1.11472e-03
5.11591e+05  5.86000e-01  1.01224e-03
5.11155e+05  5.86500e-01  1.01224e-03
5.10720e+05  5.87000e-01  1.01224e-03
5.10285e+05  5.87500e-01  9.11552e-04
5.09851e+05  5.88000e-01  9.09755e-04
5.09418e+05  5.88500e-01  9.09755e-04
5.08985e+05  5.89000e-01  9.09755e-04
5.08554e+05  5.89500e-01  9.09755e-04
5.08123e+05  5.90000e-01  9.09755e-04
5.07693e+05  5.90500e-01  9.09755e-04
5.07263e+05  5.91000e-01  9.09755e-04
5.06834e+05  5.91500e-01  9.07957e-04
5.06406e+05  5.92000e-01  9.07957e-04
5.05979e+05  5.92500e-01  9.07957e-04
5.05552e+05  5.93000e-01  9.07957e-04
5.05126e+05  5.93500e-01  8.07272e-04
5.04701e+05  5.94000e-01  8.07272e-04
5.04277e+05  5.94500e-01  8.07272e-04
5.03853e+05  5.95000e-01  8.07272e-04
5.03430e+05  5.95500e-01  8.05474e-04
5.03007e+05  5.96000e-01  8.05474e-04
5.02586e+05  5.96500e-01  8.05474e-04
5.02165e+05  5.97000e-01  7.04790e-04
5.01745e+05  5.97500e-01  7.04790e-04
5.01325e+05  5.98000e-01  7.04790e-04
5.00906e+05  5.98500e-01  7.04790e-04
5.00488e+05  5.99000e-01  6.04106e-04
5.00071e+05  5.99500e-01  6.04106e-04
4.99654e+05  6.00000e-01  5.03421e-04
4.99238e+05  6.00500e-01  5.03421e-04
4.98823e+05  6.01000e-01  4.02737e-04
4.98408e+05  6.01500e-01  3.02053e-04
4.97994e+05  6.02000e-01  3.02053e-04
4.97581e+05  6.02500e-01  2.01369e-04
4.97168e+05  6.03000e-01  2.01369e-04
4.96756e+05  6.03500e-01  2.01369e-04
4.96345e+05  6.04000e-01  1.00684e-04
4.95935e+05  6.04500e-01  1.00684e-04
4.95525e+05  6.05000e-01  1.00684e-04
4.95116e+05  6.05500e-01  1.00684e-04
4.94707e+05  6.06000e-01  1.00684e-04
4.94299e+05  6.06500e-01  1.00684e-04
4.93892e+05  6.07000e-01  1.00684e-04
4.93486e+05  6.07500e-01  1.00684e-04
4.93080e+05  6.08000e-01  1.00684e-04
