CFHT_I
frq          wvl          transmission
[GHz]        [micron]                 
4.76239e+05  6.29500e-01  1.16252e-04
4.75861e+05  6.30000e-01  1.16252e-04
4.75484e+05  6.30500e-01  1.16252e-04
4.75107e+05  6.31000e-01  1.16252e-04
4.74731e+05  6.31500e-01  1.16252e-04
4.74355e+05  6.32000e-01  1.16252e-04
4.73980e+05  6.32500e-01  1.16252e-04
4.73606e+05  6.33000e-01  1.16252e-04
4.73232e+05  6.33500e-01  1.16252e-04
4.72859e+05  6.34000e-01  1.16252e-04
4.72486e+05  6.34500e-01  1.16252e-04
4.72114e+05  6.35000e-01  1.16252e-04
4.71743e+05  6.35500e-01  1.16252e-04
4.71372e+05  6.36000e-01  1.16252e-04
4.71002e+05  6.36500e-01  1.16252e-04
4.70632e+05  6.37000e-01  2.32505e-04
4.70263e+05  6.37500e-01  2.32505e-04
4.69894e+05  6.38000e-01  2.32505e-04
4.69526e+05  6.38500e-01  2.32505e-04
4.69159e+05  6.39000e-01  2.32505e-04
4.68792e+05  6.39500e-01  2.32505e-04
4.68426e+05  6.40000e-01  2.32505e-04
4.68060e+05  6.40500e-01  2.32505e-04
4.67695e+05  6.41000e-01  2.32505e-04
4.67330e+05  6.41500e-01  2.32505e-04
4.66966e+05  6.42000e-01  3.48757e-04
4.66603e+05  6.42500e-01  3.48757e-04
4.66240e+05  6.43000e-01  3.48757e-04
4.65878e+05  6.43500e-01  3.48757e-04
4.65516e+05  6.44000e-01  4.65009e-04
4.65155e+05  6.44500e-01  4.65009e-04
4.64795e+05  6.45000e-01  4.65009e-04
4.64434e+05  6.45500e-01  4.65009e-04
4.64075e+05  6.46000e-01  4.62895e-04
4.63716e+05  6.46500e-01  5.79148e-04
4.63358e+05  6.47000e-01  5.79148e-04
4.63000e+05  6.47500e-01  5.79148e-04
4.62643e+05  6.48000e-01  6.95400e-04
4.62286e+05  6.48500e-01  6.95400e-04
4.61930e+05  6.49000e-01  6.95400e-04
4.61574e+05  6.49500e-01  8.09539e-04
4.61219e+05  6.50000e-01  8.09539e-04
4.60865e+05  6.50500e-01  9.25791e-04
4.60511e+05  6.51000e-01  9.25791e-04
