CFHT_R
frq          wvl          transmission
[GHz]        [micron]                 
5.97196e+05  5.02000e-01  1.15605e-04
5.96602e+05  5.02500e-01  1.15605e-04
5.96009e+05  5.03000e-01  1.15605e-04
5.95417e+05  5.03500e-01  1.15605e-04
5.94826e+05  5.04000e-01  1.15605e-04
5.94237e+05  5.04500e-01  1.15605e-04
5.93648e+05  5.05000e-01  1.15605e-04
5.93061e+05  5.05500e-01  1.15605e-04
5.92475e+05  5.06000e-01  1.15605e-04
5.91890e+05  5.06500e-01  1.15605e-04
5.91307e+05  5.07000e-01  1.15605e-04
5.90724e+05  5.07500e-01  1.15605e-04
5.90143e+05  5.08000e-01  1.15605e-04
5.89562e+05  5.08500e-01  1.15605e-04
5.88983e+05  5.09000e-01  1.15605e-04
5.88405e+05  5.09500e-01  1.15605e-04
5.87828e+05  5.10000e-01  1.15605e-04
5.87253e+05  5.10500e-01  1.15605e-04
5.86678e+05  5.11000e-01  1.15605e-04
5.86105e+05  5.11500e-01  1.13710e-04
5.85532e+05  5.12000e-01  1.13710e-04
5.84961e+05  5.12500e-01  2.29315e-04
5.84391e+05  5.13000e-01  2.29315e-04
5.83822e+05  5.13500e-01  2.29315e-04
5.83254e+05  5.14000e-01  2.29315e-04
5.82687e+05  5.14500e-01  2.29315e-04
5.82121e+05  5.15000e-01  2.29315e-04
5.81557e+05  5.15500e-01  2.29315e-04
5.80993e+05  5.16000e-01  2.29315e-04
5.80431e+05  5.16500e-01  2.29315e-04
5.79869e+05  5.17000e-01  3.43025e-04
5.79309e+05  5.17500e-01  3.43025e-04
5.78750e+05  5.18000e-01  3.43025e-04
5.78192e+05  5.18500e-01  3.43025e-04
5.77635e+05  5.19000e-01  3.43025e-04
5.77079e+05  5.19500e-01  4.56735e-04
5.76524e+05  5.20000e-01  4.56735e-04
5.75970e+05  5.20500e-01  4.56735e-04
5.75417e+05  5.21000e-01  4.56735e-04
5.74866e+05  5.21500e-01  5.70445e-04
5.74315e+05  5.22000e-01  5.70445e-04
5.73765e+05  5.22500e-01  5.70445e-04
5.73217e+05  5.23000e-01  6.84155e-04
5.72669e+05  5.23500e-01  6.82260e-04
5.72123e+05  5.24000e-01  7.95970e-04
5.71578e+05  5.24500e-01  7.95970e-04
5.71033e+05  5.25000e-01  9.09680e-04
5.70490e+05  5.25500e-01  9.09680e-04
5.69948e+05  5.26000e-01  1.02150e-03
5.69406e+05  5.26500e-01  1.02150e-03
5.68866e+05  5.27000e-01  1.13521e-03
5.68327e+05  5.27500e-01  1.24891e-03
5.67789e+05  5.28000e-01  1.36073e-03
5.67252e+05  5.28500e-01  1.47444e-03
5.66715e+05  5.29000e-01  1.58625e-03
5.66180e+05  5.29500e-01  1.69996e-03
5.65646e+05  5.30000e-01  1.81178e-03
5.65113e+05  5.30500e-01  1.92359e-03
5.64581e+05  5.31000e-01  2.14912e-03
5.64050e+05  5.31500e-01  2.26283e-03
5.63520e+05  5.32000e-01  2.48835e-03
5.62991e+05  5.32500e-01  2.71198e-03
5.62462e+05  5.33000e-01  2.93751e-03
5.61935e+05  5.33500e-01  3.16303e-03
5.61409e+05  5.34000e-01  3.50037e-03
5.60884e+05  5.34500e-01  3.72400e-03
5.60360e+05  5.35000e-01  4.17505e-03
5.59837e+05  5.35500e-01  4.51239e-03
5.59314e+05  5.36000e-01  4.96155e-03
5.58793e+05  5.36500e-01  5.41070e-03
5.58273e+05  5.37000e-01  5.85796e-03
5.57753e+05  5.37500e-01  6.53264e-03
5.57235e+05  5.38000e-01  7.09171e-03
5.56718e+05  5.38500e-01  7.76260e-03
5.56201e+05  5.39000e-01  8.54531e-03
5.55686e+05  5.39500e-01  9.32612e-03
5.55171e+05  5.40000e-01  1.02206e-02
5.54658e+05  5.40500e-01  1.13350e-02
5.54145e+05  5.41000e-01  1.24494e-02
5.53633e+05  5.41500e-01  1.36774e-02
5.53123e+05  5.42000e-01  1.50154e-02
5.52613e+05  5.42500e-01  1.64633e-02
5.52104e+05  5.43000e-01  1.82448e-02
5.51596e+05  5.43500e-01  2.01380e-02
5.51089e+05  5.44000e-01  2.21412e-02
5.50583e+05  5.44500e-01  2.43681e-02
5.50078e+05  5.45000e-01  2.69246e-02
5.49574e+05  5.45500e-01  2.97048e-02
5.49070e+05  5.46000e-01  3.29266e-02
5.48568e+05  5.46500e-01  3.63683e-02
5.48067e+05  5.47000e-01  4.02496e-02
5.47566e+05  5.47500e-01  4.45724e-02
5.47067e+05  5.48000e-01  4.92251e-02
5.46568e+05  5.48500e-01  5.45391e-02
5.46070e+05  5.49000e-01  6.02928e-02
5.45573e+05  5.49500e-01  6.66000e-02
5.45077e+05  5.50000e-01  7.35628e-02
5.44582e+05  5.50500e-01  8.11738e-02
5.44088e+05  5.51000e-01  8.94405e-02
5.43595e+05  5.51500e-01  9.85942e-02
5.43102e+05  5.52000e-01  1.08292e-01
5.42611e+05  5.52500e-01  1.19077e-01
5.42120e+05  5.53000e-01  1.30514e-01
5.41630e+05  5.53500e-01  1.42723e-01
5.41142e+05  5.54000e-01  1.56133e-01
5.40654e+05  5.54500e-01  1.69959e-01
5.40167e+05  5.55000e-01  1.84864e-01
5.39680e+05  5.55500e-01  2.00967e-01
5.39195e+05  5.56000e-01  2.17603e-01
5.38711e+05  5.56500e-01  2.35427e-01
5.38227e+05  5.57000e-01  2.53780e-01
5.37744e+05  5.57500e-01  2.72857e-01
5.37262e+05  5.58000e-01  2.92474e-01
5.36781e+05  5.58500e-01  3.12204e-01
5.36301e+05  5.59000e-01  3.32246e-01
5.35822e+05  5.59500e-01  3.52933e-01
5.35344e+05  5.60000e-01  3.73367e-01
5.34866e+05  5.60500e-01  3.94301e-01
5.34389e+05  5.61000e-01  4.14983e-01
5.33914e+05  5.61500e-01  4.35657e-01
5.33439e+05  5.62000e-01  4.56855e-01
5.32964e+05  5.62500e-01  4.77525e-01
5.32491e+05  5.63000e-01  4.98490e-01
5.32019e+05  5.63500e-01  5.19594e-01
5.31547e+05  5.64000e-01  5.40233e-01
5.31076e+05  5.64500e-01  5.60992e-01
5.30606e+05  5.65000e-01  5.81396e-01
5.30137e+05  5.65500e-01  6.01547e-01
5.29669e+05  5.66000e-01  6.21586e-01
5.29201e+05  5.66500e-01  6.40818e-01
5.28734e+05  5.67000e-01  6.59708e-01
5.28269e+05  5.67500e-01  6.78402e-01
5.27804e+05  5.68000e-01  6.96190e-01
5.27339e+05  5.68500e-01  7.13564e-01
5.26876e+05  5.69000e-01  7.30589e-01
5.26413e+05  5.69500e-01  7.44990e-01
5.25952e+05  5.70000e-01  7.59270e-01
5.25491e+05  5.70500e-01  7.72550e-01
5.25031e+05  5.71000e-01  7.84713e-01
5.24571e+05  5.71500e-01  7.95733e-01
5.24113e+05  5.72000e-01  8.05355e-01
5.23655e+05  5.72500e-01  8.14012e-01
5.23198e+05  5.73000e-01  8.21013e-01
5.22742e+05  5.73500e-01  8.26757e-01
5.22287e+05  5.74000e-01  8.31071e-01
5.21832e+05  5.74500e-01  8.33993e-01
5.21378e+05  5.75000e-01  8.35765e-01
5.20925e+05  5.75500e-01  8.36212e-01
5.20473e+05  5.76000e-01  8.35265e-01
5.20022e+05  5.76500e-01  8.33032e-01
5.19571e+05  5.77000e-01  8.30117e-01
5.19121e+05  5.77500e-01  8.26063e-01
5.18672e+05  5.78000e-01  8.21121e-01
5.18224e+05  5.78500e-01  8.15490e-01
5.17776e+05  5.79000e-01  8.09454e-01
5.17330e+05  5.79500e-01  8.03534e-01
5.16884e+05  5.80000e-01  7.97746e-01
5.16438e+05  5.80500e-01  7.92182e-01
5.15994e+05  5.81000e-01  7.86947e-01
5.15550e+05  5.81500e-01  7.82314e-01
5.15107e+05  5.82000e-01  7.78224e-01
5.14665e+05  5.82500e-01  7.74960e-01
5.14224e+05  5.83000e-01  7.72334e-01
5.13783e+05  5.83500e-01  7.70605e-01
5.13343e+05  5.84000e-01  7.69750e-01
5.12904e+05  5.84500e-01  7.69633e-01
5.12466e+05  5.85000e-01  7.70344e-01
5.12028e+05  5.85500e-01  7.71816e-01
5.11591e+05  5.86000e-01  7.73833e-01
5.11155e+05  5.86500e-01  7.76509e-01
5.10720e+05  5.87000e-01  7.79533e-01
5.10285e+05  5.87500e-01  7.82787e-01
5.09851e+05  5.88000e-01  7.86271e-01
5.09418e+05  5.88500e-01  7.89851e-01
5.08985e+05  5.89000e-01  7.93197e-01
5.08554e+05  5.89500e-01  7.96404e-01
5.08123e+05  5.90000e-01  7.99247e-01
5.07693e+05  5.90500e-01  8.01858e-01
5.07263e+05  5.91000e-01  8.04044e-01
5.06834e+05  5.91500e-01  8.05939e-01
5.06406e+05  5.92000e-01  8.07637e-01
5.05979e+05  5.92500e-01  8.08918e-01
5.05552e+05  5.93000e-01  8.10004e-01
5.05126e+05  5.93500e-01  8.11137e-01
5.04701e+05  5.94000e-01  8.12047e-01
5.04277e+05  5.94500e-01  8.12972e-01
5.03853e+05  5.95000e-01  8.13976e-01
5.03430e+05  5.95500e-01  8.15284e-01
5.03007e+05  5.96000e-01  8.16800e-01
5.02586e+05  5.96500e-01  8.18657e-01
5.02165e+05  5.97000e-01  8.20740e-01
5.01745e+05  5.97500e-01  8.23437e-01
5.01325e+05  5.98000e-01  8.26672e-01
5.00906e+05  5.98500e-01  8.30182e-01
5.00488e+05  5.99000e-01  8.34198e-01
5.00071e+05  5.99500e-01  8.38418e-01
4.99654e+05  6.00000e-01  8.43198e-01
4.99238e+05  6.00500e-01  8.48728e-01
4.98823e+05  6.01000e-01  8.54409e-01
4.98408e+05  6.01500e-01  8.60423e-01
4.97994e+05  6.02000e-01  8.66692e-01
4.97581e+05  6.02500e-01  8.72876e-01
4.97168e+05  6.03000e-01  8.79367e-01
4.96756e+05  6.03500e-01  8.85839e-01
4.96345e+05  6.04000e-01  8.92264e-01
4.95935e+05  6.04500e-01  8.98732e-01
4.95525e+05  6.05000e-01  9.04863e-01
4.95116e+05  6.05500e-01  9.11084e-01
4.94707e+05  6.06000e-01  9.17102e-01
4.94299e+05  6.06500e-01  9.22980e-01
4.93892e+05  6.07000e-01  9.28867e-01
4.93486e+05  6.07500e-01  9.34226e-01
4.93080e+05  6.08000e-01  9.39349e-01
4.92675e+05  6.08500e-01  9.44085e-01
4.92270e+05  6.09000e-01  9.48372e-01
4.91866e+05  6.09500e-01  9.52191e-01
4.91463e+05  6.10000e-01  9.55596e-01
4.91061e+05  6.10500e-01  9.58653e-01
4.90659e+05  6.11000e-01  9.61276e-01
4.90257e+05  6.11500e-01  9.63806e-01
4.89857e+05  6.12000e-01  9.65741e-01
4.89457e+05  6.12500e-01  9.67344e-01
4.89058e+05  6.13000e-01  9.68728e-01
4.88659e+05  6.13500e-01  9.69854e-01
4.88261e+05  6.14000e-01  9.70737e-01
4.87864e+05  6.14500e-01  9.71301e-01
4.87467e+05  6.15000e-01  9.71787e-01
4.87071e+05  6.15500e-01  9.72471e-01
4.86676e+05  6.16000e-01  9.73206e-01
4.86281e+05  6.16500e-01  9.73822e-01
4.85887e+05  6.17000e-01  9.74540e-01
4.85494e+05  6.17500e-01  9.75613e-01
4.85101e+05  6.18000e-01  9.76911e-01
4.84709e+05  6.18500e-01  9.78181e-01
4.84317e+05  6.19000e-01  9.79648e-01
4.83926e+05  6.19500e-01  9.81304e-01
4.83536e+05  6.20000e-01  9.83076e-01
4.83147e+05  6.20500e-01  9.84695e-01
4.82758e+05  6.21000e-01  9.86650e-01
4.82369e+05  6.21500e-01  9.88447e-01
4.81981e+05  6.22000e-01  9.90261e-01
4.81594e+05  6.22500e-01  9.92078e-01
4.81208e+05  6.23000e-01  9.93670e-01
4.80822e+05  6.23500e-01  9.95148e-01
4.80437e+05  6.24000e-01  9.96420e-01
4.80052e+05  6.24500e-01  9.97517e-01
4.79668e+05  6.25000e-01  9.98383e-01
4.79285e+05  6.25500e-01  9.99035e-01
4.78902e+05  6.26000e-01  9.99479e-01
4.78519e+05  6.26500e-01  9.99744e-01
4.78138e+05  6.27000e-01  1.00000e+00
4.77757e+05  6.27500e-01  9.99833e-01
4.77377e+05  6.28000e-01  9.99549e-01
4.76997e+05  6.28500e-01  9.99306e-01
4.76618e+05  6.29000e-01  9.98888e-01
4.76239e+05  6.29500e-01  9.98535e-01
4.75861e+05  6.30000e-01  9.98219e-01
4.75484e+05  6.30500e-01  9.97908e-01
4.75107e+05  6.31000e-01  9.97529e-01
4.74731e+05  6.31500e-01  9.97184e-01
4.74355e+05  6.32000e-01  9.96513e-01
4.73980e+05  6.32500e-01  9.95764e-01
4.73606e+05  6.33000e-01  9.94877e-01
4.73232e+05  6.33500e-01  9.93915e-01
4.72859e+05  6.34000e-01  9.92533e-01
4.72486e+05  6.34500e-01  9.91098e-01
4.72114e+05  6.35000e-01  9.89578e-01
4.71743e+05  6.35500e-01  9.87606e-01
4.71372e+05  6.36000e-01  9.85523e-01
4.71002e+05  6.36500e-01  9.83222e-01
4.70632e+05  6.37000e-01  9.80832e-01
4.70263e+05  6.37500e-01  9.78010e-01
4.69894e+05  6.38000e-01  9.75321e-01
4.69526e+05  6.38500e-01  9.72503e-01
4.69159e+05  6.39000e-01  9.69725e-01
4.68792e+05  6.39500e-01  9.67090e-01
4.68426e+05  6.40000e-01  9.64445e-01
4.68060e+05  6.40500e-01  9.61672e-01
4.67695e+05  6.41000e-01  9.59174e-01
4.67330e+05  6.41500e-01  9.56741e-01
4.66966e+05  6.42000e-01  9.54298e-01
4.66603e+05  6.42500e-01  9.52319e-01
4.66240e+05  6.43000e-01  9.50168e-01
4.65878e+05  6.43500e-01  9.48565e-01
4.65516e+05  6.44000e-01  9.46954e-01
4.65155e+05  6.44500e-01  9.45224e-01
4.64795e+05  6.45000e-01  9.43664e-01
4.64434e+05  6.45500e-01  9.42017e-01
4.64075e+05  6.46000e-01  9.40255e-01
4.63716e+05  6.46500e-01  9.38371e-01
4.63358e+05  6.47000e-01  9.36328e-01
4.63000e+05  6.47500e-01  9.34243e-01
4.62643e+05  6.48000e-01  9.31865e-01
4.62286e+05  6.48500e-01  9.29153e-01
4.61930e+05  6.49000e-01  9.26109e-01
4.61574e+05  6.49500e-01  9.22717e-01
4.61219e+05  6.50000e-01  9.19107e-01
4.60865e+05  6.50500e-01  9.14683e-01
4.60511e+05  6.51000e-01  9.09978e-01
4.60157e+05  6.51500e-01  9.05204e-01
4.59804e+05  6.52000e-01  9.00339e-01
4.59452e+05  6.52500e-01  8.95104e-01
4.59100e+05  6.53000e-01  8.90069e-01
4.58749e+05  6.53500e-01  8.84715e-01
4.58398e+05  6.54000e-01  8.79331e-01
4.58048e+05  6.54500e-01  8.73791e-01
4.57698e+05  6.55000e-01  8.68161e-01
4.57349e+05  6.55500e-01  8.62801e-01
4.57001e+05  6.56000e-01  8.57154e-01
4.56653e+05  6.56500e-01  8.51834e-01
4.56305e+05  6.57000e-01  8.46340e-01
4.55958e+05  6.57500e-01  8.40764e-01
4.55612e+05  6.58000e-01  8.35204e-01
4.55266e+05  6.58500e-01  8.29579e-01
4.54920e+05  6.59000e-01  8.23740e-01
4.54575e+05  6.59500e-01  8.17981e-01
4.54231e+05  6.60000e-01  8.12111e-01
4.53887e+05  6.60500e-01  8.06075e-01
4.53544e+05  6.61000e-01  8.00168e-01
4.53201e+05  6.61500e-01  7.94062e-01
4.52859e+05  6.62000e-01  7.88154e-01
4.52517e+05  6.62500e-01  7.82338e-01
4.52176e+05  6.63000e-01  7.76639e-01
