CFHT_U
frq          wvl          transmission
[GHz]        [micron]                 
9.42744e+05  3.18000e-01  3.06383e-06
9.41264e+05  3.18500e-01  6.12766e-06
9.39788e+05  3.19000e-01  6.12766e-06
9.38318e+05  3.19500e-01  6.12766e-06
9.36851e+05  3.20000e-01  1.53191e-05
9.35390e+05  3.20500e-01  1.83830e-05
9.33933e+05  3.21000e-01  1.83830e-05
9.32480e+05  3.21500e-01  3.06383e-05
9.31032e+05  3.22000e-01  3.37021e-05
9.29589e+05  3.22500e-01  4.90213e-05
9.28150e+05  3.23000e-01  6.43404e-05
9.26715e+05  3.23500e-01  8.57872e-05
9.25285e+05  3.24000e-01  1.04170e-04
9.23860e+05  3.24500e-01  1.28681e-04
9.22438e+05  3.25000e-01  1.56255e-04
9.21021e+05  3.25500e-01  2.02213e-04
9.19609e+05  3.26000e-01  2.32851e-04
9.18200e+05  3.26500e-01  2.88000e-04
9.16797e+05  3.27000e-01  3.73787e-04
9.15397e+05  3.27500e-01  4.65702e-04
9.14001e+05  3.28000e-01  5.91319e-04
9.12610e+05  3.28500e-01  7.53702e-04
9.11223e+05  3.29000e-01  9.89617e-04
9.09841e+05  3.29500e-01  1.33889e-03
9.08462e+05  3.30000e-01  1.83523e-03
9.07088e+05  3.30500e-01  2.55523e-03
9.05717e+05  3.31000e-01  3.55404e-03
9.04351e+05  3.31500e-01  5.07370e-03
9.02989e+05  3.32000e-01  7.35013e-03
9.01631e+05  3.32500e-01  1.06407e-02
9.00278e+05  3.33000e-01  1.56225e-02
8.98928e+05  3.33500e-01  2.27367e-02
8.97582e+05  3.34000e-01  3.27646e-02
8.96241e+05  3.34500e-01  4.69685e-02
8.94903e+05  3.35000e-01  6.51156e-02
8.93569e+05  3.35500e-01  8.80943e-02
8.92239e+05  3.36000e-01  1.16012e-01
8.90914e+05  3.36500e-01  1.46819e-01
8.89592e+05  3.37000e-01  1.80846e-01
8.88274e+05  3.37500e-01  2.14811e-01
8.86960e+05  3.38000e-01  2.46510e-01
8.85650e+05  3.38500e-01  2.74237e-01
8.84344e+05  3.39000e-01  2.96781e-01
8.83041e+05  3.39500e-01  3.12449e-01
8.81743e+05  3.40000e-01  3.24138e-01
8.80448e+05  3.40500e-01  3.29665e-01
8.79157e+05  3.41000e-01  3.31644e-01
8.77870e+05  3.41500e-01  3.31773e-01
8.76586e+05  3.42000e-01  3.31096e-01
8.75306e+05  3.42500e-01  3.31543e-01
8.74030e+05  3.43000e-01  3.33066e-01
8.72758e+05  3.43500e-01  3.34840e-01
8.71490e+05  3.44000e-01  3.37328e-01
8.70225e+05  3.44500e-01  3.41402e-01
8.68964e+05  3.45000e-01  3.49445e-01
8.67706e+05  3.45500e-01  3.64157e-01
8.66452e+05  3.46000e-01  3.84572e-01
8.65202e+05  3.46500e-01  4.08090e-01
8.63955e+05  3.47000e-01  4.29656e-01
8.62712e+05  3.47500e-01  4.46057e-01
8.61473e+05  3.48000e-01  4.53805e-01
8.60237e+05  3.48500e-01  4.54366e-01
8.59004e+05  3.49000e-01  4.49914e-01
8.57775e+05  3.49500e-01  4.39276e-01
8.56550e+05  3.50000e-01  4.43698e-01
8.55328e+05  3.50500e-01  4.52981e-01
8.54110e+05  3.51000e-01  4.66664e-01
8.52895e+05  3.51500e-01  4.82942e-01
8.51683e+05  3.52000e-01  4.98252e-01
8.50475e+05  3.52500e-01  5.09741e-01
8.49270e+05  3.53000e-01  5.18044e-01
8.48069e+05  3.53500e-01  5.24249e-01
8.46871e+05  3.54000e-01  5.30965e-01
8.45677e+05  3.54500e-01  5.38609e-01
8.44486e+05  3.55000e-01  5.47715e-01
8.43298e+05  3.55500e-01  5.56174e-01
8.42114e+05  3.56000e-01  5.62304e-01
8.40933e+05  3.56500e-01  5.64278e-01
8.39755e+05  3.57000e-01  5.62620e-01
8.38580e+05  3.57500e-01  5.57188e-01
8.37409e+05  3.58000e-01  5.47319e-01
8.36241e+05  3.58500e-01  5.32662e-01
8.35076e+05  3.59000e-01  5.16172e-01
8.33915e+05  3.59500e-01  5.01187e-01
8.32757e+05  3.60000e-01  4.93540e-01
8.31602e+05  3.60500e-01  4.97538e-01
8.30450e+05  3.61000e-01  5.13982e-01
8.29301e+05  3.61500e-01  5.37926e-01
8.28156e+05  3.62000e-01  5.63218e-01
8.27014e+05  3.62500e-01  5.85133e-01
8.25875e+05  3.63000e-01  6.00621e-01
8.24739e+05  3.63500e-01  6.11788e-01
8.23606e+05  3.64000e-01  6.20441e-01
8.22476e+05  3.64500e-01  6.27965e-01
8.21349e+05  3.65000e-01  6.33802e-01
8.20226e+05  3.65500e-01  6.35119e-01
8.19105e+05  3.66000e-01  6.31881e-01
8.17988e+05  3.66500e-01  6.25104e-01
8.16873e+05  3.67000e-01  6.18835e-01
8.15762e+05  3.67500e-01  6.14004e-01
8.14653e+05  3.68000e-01  6.10180e-01
8.13548e+05  3.68500e-01  6.03087e-01
8.12446e+05  3.69000e-01  5.87318e-01
8.11346e+05  3.69500e-01  5.62197e-01
8.10250e+05  3.70000e-01  5.33937e-01
8.09156e+05  3.70500e-01  5.10477e-01
8.08066e+05  3.71000e-01  5.02609e-01
8.06978e+05  3.71500e-01  5.12502e-01
8.05894e+05  3.72000e-01  5.34568e-01
8.04812e+05  3.72500e-01  5.58236e-01
8.03733e+05  3.73000e-01  5.74882e-01
8.02657e+05  3.73500e-01  5.80338e-01
8.01584e+05  3.74000e-01  5.80062e-01
8.00514e+05  3.74500e-01  5.79165e-01
7.99447e+05  3.75000e-01  5.81061e-01
7.98382e+05  3.75500e-01  5.83322e-01
7.97320e+05  3.76000e-01  5.82615e-01
7.96262e+05  3.76500e-01  5.79226e-01
7.95205e+05  3.77000e-01  5.79486e-01
7.94152e+05  3.77500e-01  5.91261e-01
7.93102e+05  3.78000e-01  6.18042e-01
7.92054e+05  3.78500e-01  6.56505e-01
7.91009e+05  3.79000e-01  6.93816e-01
7.89967e+05  3.79500e-01  7.20582e-01
7.88928e+05  3.80000e-01  7.32427e-01
7.87891e+05  3.80500e-01  7.35359e-01
7.86857e+05  3.81000e-01  7.39529e-01
7.85826e+05  3.81500e-01  7.52476e-01
7.84797e+05  3.82000e-01  7.76880e-01
7.83771e+05  3.82500e-01  8.08204e-01
7.82748e+05  3.83000e-01  8.38401e-01
7.81727e+05  3.83500e-01  8.63614e-01
7.80710e+05  3.84000e-01  8.83434e-01
7.79694e+05  3.84500e-01  8.99375e-01
7.78682e+05  3.85000e-01  9.11942e-01
7.77672e+05  3.85500e-01  9.20723e-01
7.76664e+05  3.86000e-01  9.24425e-01
7.75660e+05  3.86500e-01  9.22304e-01
7.74658e+05  3.87000e-01  9.17304e-01
7.73658e+05  3.87500e-01  9.09494e-01
7.72661e+05  3.88000e-01  8.98578e-01
7.71667e+05  3.88500e-01  8.83783e-01
7.70675e+05  3.89000e-01  8.64465e-01
7.69685e+05  3.89500e-01  8.43460e-01
7.68699e+05  3.90000e-01  8.26817e-01
7.67714e+05  3.90500e-01  8.19730e-01
7.66733e+05  3.91000e-01  8.24406e-01
7.65753e+05  3.91500e-01  8.38622e-01
7.64777e+05  3.92000e-01  8.56141e-01
7.63802e+05  3.92500e-01  8.70385e-01
7.62831e+05  3.93000e-01  8.78020e-01
7.61861e+05  3.93500e-01  8.79536e-01
7.60895e+05  3.94000e-01  8.78807e-01
7.59930e+05  3.94500e-01  8.81136e-01
7.58968e+05  3.95000e-01  8.89521e-01
7.58009e+05  3.95500e-01  9.03986e-01
7.57052e+05  3.96000e-01  9.22326e-01
7.56097e+05  3.96500e-01  9.40727e-01
7.55145e+05  3.97000e-01  9.57103e-01
7.54195e+05  3.97500e-01  9.70051e-01
7.53247e+05  3.98000e-01  9.79282e-01
7.52302e+05  3.98500e-01  9.85232e-01
7.51360e+05  3.99000e-01  9.89197e-01
7.50419e+05  3.99500e-01  9.91844e-01
7.49481e+05  4.00000e-01  9.93946e-01
7.48545e+05  4.00500e-01  9.93122e-01
7.47612e+05  4.01000e-01  9.92785e-01
7.46681e+05  4.01500e-01  9.91694e-01
7.45752e+05  4.02000e-01  9.88422e-01
7.44826e+05  4.02500e-01  9.81663e-01
7.43902e+05  4.03000e-01  9.72242e-01
7.42980e+05  4.03500e-01  9.64221e-01
7.42061e+05  4.04000e-01  9.59594e-01
7.41143e+05  4.04500e-01  9.61123e-01
7.40228e+05  4.05000e-01  9.69873e-01
7.39316e+05  4.05500e-01  9.82604e-01
7.38405e+05  4.06000e-01  9.94675e-01
7.37497e+05  4.06500e-01  1.00000e+00
7.36591e+05  4.07000e-01  9.95904e-01
7.35687e+05  4.07500e-01  9.82242e-01
7.34785e+05  4.08000e-01  9.60072e-01
7.33886e+05  4.08500e-01  9.33120e-01
7.32989e+05  4.09000e-01  9.01954e-01
7.32094e+05  4.09500e-01  8.67600e-01
7.31201e+05  4.10000e-01  8.28701e-01
7.30310e+05  4.10500e-01  7.81852e-01
7.29422e+05  4.11000e-01  7.29078e-01
7.28536e+05  4.11500e-01  6.69171e-01
7.27652e+05  4.12000e-01  6.04110e-01
7.26770e+05  4.12500e-01  5.39782e-01
7.25890e+05  4.13000e-01  4.76634e-01
7.25012e+05  4.13500e-01  4.17560e-01
7.24136e+05  4.14000e-01  3.63873e-01
7.23263e+05  4.14500e-01  3.14444e-01
7.22391e+05  4.15000e-01  2.72065e-01
7.21522e+05  4.15500e-01  2.34184e-01
7.20655e+05  4.16000e-01  2.00953e-01
7.19790e+05  4.16500e-01  1.72837e-01
7.18927e+05  4.17000e-01  1.48565e-01
7.18066e+05  4.17500e-01  1.28013e-01
