CFHT_Z
frq          wvl          transmission
[GHz]        [micron]                 
3.95766e+05  7.57500e-01  1.59405e-04
3.95505e+05  7.58000e-01  3.15103e-04
3.95244e+05  7.58500e-01  1.51991e-04
3.94983e+05  7.59000e-01  2.89153e-04
3.94723e+05  7.59500e-01  2.52082e-04
3.94464e+05  7.60000e-01  2.11304e-04
3.94204e+05  7.60500e-01  1.92769e-04
3.93945e+05  7.61000e-01  1.77941e-04
3.93687e+05  7.61500e-01  2.03890e-04
3.93428e+05  7.62000e-01  2.29840e-04
3.93170e+05  7.62500e-01  2.22426e-04
3.92913e+05  7.63000e-01  2.15012e-04
3.92655e+05  7.63500e-01  2.15012e-04
3.92399e+05  7.64000e-01  2.18719e-04
3.92142e+05  7.64500e-01  2.33547e-04
3.91886e+05  7.65000e-01  2.44668e-04
3.91630e+05  7.65500e-01  2.55790e-04
3.91374e+05  7.66000e-01  4.04073e-04
3.91119e+05  7.66500e-01  4.18902e-04
3.90864e+05  7.67000e-01  4.30023e-04
3.90609e+05  7.67500e-01  4.48559e-04
3.90355e+05  7.68000e-01  4.67094e-04
3.90101e+05  7.68500e-01  4.67094e-04
3.89847e+05  7.69000e-01  4.67094e-04
3.89594e+05  7.69500e-01  4.63387e-04
3.89341e+05  7.70000e-01  4.63387e-04
3.89088e+05  7.70500e-01  6.15378e-04
3.88836e+05  7.71000e-01  6.15378e-04
3.88584e+05  7.71500e-01  6.15378e-04
3.88332e+05  7.72000e-01  6.11671e-04
3.88081e+05  7.72500e-01  6.11671e-04
3.87830e+05  7.73000e-01  6.11671e-04
3.87579e+05  7.73500e-01  7.59954e-04
3.87329e+05  7.74000e-01  7.59954e-04
3.87079e+05  7.74500e-01  7.59954e-04
3.86829e+05  7.75000e-01  7.56247e-04
3.86580e+05  7.75500e-01  9.04531e-04
3.86330e+05  7.76000e-01  9.04531e-04
3.86082e+05  7.76500e-01  9.00824e-04
3.85833e+05  7.77000e-01  9.00824e-04
3.85585e+05  7.77500e-01  1.04911e-03
3.85337e+05  7.78000e-01  1.04540e-03
3.85090e+05  7.78500e-01  1.04169e-03
3.84843e+05  7.79000e-01  1.18998e-03
3.84596e+05  7.79500e-01  1.18627e-03
3.84349e+05  7.80000e-01  1.33085e-03
3.84103e+05  7.80500e-01  1.32714e-03
3.83857e+05  7.81000e-01  1.32714e-03
3.83612e+05  7.81500e-01  1.46801e-03
3.83366e+05  7.82000e-01  1.46801e-03
3.83121e+05  7.82500e-01  1.60888e-03
3.82877e+05  7.83000e-01  1.75346e-03
3.82632e+05  7.83500e-01  1.74604e-03
3.82388e+05  7.84000e-01  1.89062e-03
3.82145e+05  7.84500e-01  2.02778e-03
3.81901e+05  7.85000e-01  2.02407e-03
3.81658e+05  7.85500e-01  2.16494e-03
3.81415e+05  7.86000e-01  2.30211e-03
3.81173e+05  7.86500e-01  2.44298e-03
3.80931e+05  7.87000e-01  2.58014e-03
3.80689e+05  7.87500e-01  2.71730e-03
3.80447e+05  7.88000e-01  2.85446e-03
3.80206e+05  7.88500e-01  3.13250e-03
3.79965e+05  7.89000e-01  3.26595e-03
3.79724e+05  7.89500e-01  3.39941e-03
3.79484e+05  7.90000e-01  3.67373e-03
3.79244e+05  7.90500e-01  3.94806e-03
3.79004e+05  7.91000e-01  4.07780e-03
3.78765e+05  7.91500e-01  4.34842e-03
3.78526e+05  7.92000e-01  4.61904e-03
3.78287e+05  7.92500e-01  4.88595e-03
3.78048e+05  7.93000e-01  5.29373e-03
3.77810e+05  7.93500e-01  5.56064e-03
3.77572e+05  7.94000e-01  5.96472e-03
3.77335e+05  7.94500e-01  6.36508e-03
3.77097e+05  7.95000e-01  6.76545e-03
3.76860e+05  7.95500e-01  7.29927e-03
3.76624e+05  7.96000e-01  7.69222e-03
3.76387e+05  7.96500e-01  8.21863e-03
3.76151e+05  7.97000e-01  8.88220e-03
3.75915e+05  7.97500e-01  9.54206e-03
3.75680e+05  7.98000e-01  1.01945e-02
3.75445e+05  7.98500e-01  1.08470e-02
3.75210e+05  7.99000e-01  1.17663e-02
3.74975e+05  7.99500e-01  1.52473e-02
3.74741e+05  8.00000e-01  1.64187e-02
3.74507e+05  8.00500e-01  1.75865e-02
3.74273e+05  8.01000e-01  1.88839e-02
3.74039e+05  8.01500e-01  2.01740e-02
3.73806e+05  8.02000e-01  2.17273e-02
3.73573e+05  8.02500e-01  2.34066e-02
3.73341e+05  8.03000e-01  2.53380e-02
3.73108e+05  8.03500e-01  2.73954e-02
3.72876e+05  8.04000e-01  2.95752e-02
3.72644e+05  8.04500e-01  3.17439e-02
3.72413e+05  8.05000e-01  3.43017e-02
3.72182e+05  8.05500e-01  3.71006e-02
3.71951e+05  8.06000e-01  4.05408e-02
3.71720e+05  8.06500e-01  4.40922e-02
3.71490e+05  8.07000e-01  4.77548e-02
3.71260e+05  8.07500e-01  5.16621e-02
3.71030e+05  8.08000e-01  5.60698e-02
