Cousins_R
frq          wvl          transmission
[GHz]        [micron]                 
5.45077e+05  5.50000e-01  0.00000e+00
5.35344e+05  5.60000e-01  2.30000e-01
5.25952e+05  5.70000e-01  7.40000e-01
5.16884e+05  5.80000e-01  9.10000e-01
5.08123e+05  5.90000e-01  9.80000e-01
4.99654e+05  6.00000e-01  1.00000e+00
4.91463e+05  6.10000e-01  9.80000e-01
4.83536e+05  6.20000e-01  9.60000e-01
4.75861e+05  6.30000e-01  9.30000e-01
4.68426e+05  6.40000e-01  9.00000e-01
4.61219e+05  6.50000e-01  8.60000e-01
4.54231e+05  6.60000e-01  8.10000e-01
4.47451e+05  6.70000e-01  7.80000e-01
4.40871e+05  6.80000e-01  7.20000e-01
4.34482e+05  6.90000e-01  6.70000e-01
4.28275e+05  7.00000e-01  6.10000e-01
4.22243e+05  7.10000e-01  5.60000e-01
4.16378e+05  7.20000e-01  5.10000e-01
4.10675e+05  7.30000e-01  4.60000e-01
4.05125e+05  7.40000e-01  4.00000e-01
3.99723e+05  7.50000e-01  3.50000e-01
3.94464e+05  7.60000e-01  3.08000e-01
3.89341e+05  7.70000e-01  2.66000e-01
3.84349e+05  7.80000e-01  2.24000e-01
3.79484e+05  7.90000e-01  1.82000e-01
3.74741e+05  8.00000e-01  1.40000e-01
3.70114e+05  8.10000e-01  1.18000e-01
3.65601e+05  8.20000e-01  9.60000e-02
3.61196e+05  8.30000e-01  7.40000e-02
3.56896e+05  8.40000e-01  5.20000e-02
3.52697e+05  8.50000e-01  3.00000e-02
3.48596e+05  8.60000e-01  2.40000e-02
3.44589e+05  8.70000e-01  1.80000e-02
3.40673e+05  8.80000e-01  1.20000e-02
3.36845e+05  8.90000e-01  6.00000e-03
3.33103e+05  9.00000e-01  0.00000e+00
