Effels_4.8GHz
frq          wvl          transmission
[GHz]        [micron]                 
4.70000e+00  6.37856e+04  0.00000e+00
4.71000e+00  6.36502e+04  0.00000e+00
4.72000e+00  6.35154e+04  0.00000e+00
4.73000e+00  6.33811e+04  0.00000e+00
4.74000e+00  6.32474e+04  0.00000e+00
4.75000e+00  6.31142e+04  0.00000e+00
4.76000e+00  6.29816e+04  1.00000e+00
4.77000e+00  6.28496e+04  1.00000e+00
4.78000e+00  6.27181e+04  1.00000e+00
4.79000e+00  6.25872e+04  1.00000e+00
4.80000e+00  6.24568e+04  1.00000e+00
4.81000e+00  6.23269e+04  1.00000e+00
4.82000e+00  6.21976e+04  1.00000e+00
4.83000e+00  6.20688e+04  1.00000e+00
4.84000e+00  6.19406e+04  1.00000e+00
4.85000e+00  6.18129e+04  1.00000e+00
4.86000e+00  6.16857e+04  0.00000e+00
4.87000e+00  6.15590e+04  0.00000e+00
4.88000e+00  6.14329e+04  0.00000e+00
4.89000e+00  6.13073e+04  0.00000e+00
