GALEX_FUV
frq          wvl          transmission
[GHz]        [micron]                 
2.23726e+06  1.34000e-01  0.00000e+00
2.23559e+06  1.34100e-01  1.15400e-02
2.23392e+06  1.34200e-01  2.30800e-02
2.23226e+06  1.34300e-01  3.46200e-02
2.23060e+06  1.34400e-01  4.61600e-02
2.22894e+06  1.34500e-01  5.77000e-02
2.22728e+06  1.34600e-01  6.92400e-02
2.22563e+06  1.34700e-01  8.07800e-02
2.22398e+06  1.34800e-01  9.23200e-02
2.22233e+06  1.34900e-01  1.03860e-01
2.22068e+06  1.35000e-01  1.15400e-01
2.21904e+06  1.35100e-01  1.18456e-01
2.21740e+06  1.35200e-01  1.21512e-01
2.21576e+06  1.35300e-01  1.24568e-01
2.21412e+06  1.35400e-01  1.27624e-01
2.21249e+06  1.35500e-01  1.30680e-01
2.21086e+06  1.35600e-01  1.33736e-01
2.20923e+06  1.35700e-01  1.36792e-01
2.20760e+06  1.35800e-01  1.39848e-01
2.20598e+06  1.35900e-01  1.42904e-01
2.20436e+06  1.36000e-01  1.45960e-01
2.20274e+06  1.36100e-01  1.49016e-01
2.20112e+06  1.36200e-01  1.52072e-01
2.19950e+06  1.36300e-01  1.55128e-01
2.19789e+06  1.36400e-01  1.58184e-01
2.19628e+06  1.36500e-01  1.61240e-01
2.19467e+06  1.36600e-01  1.64296e-01
2.19307e+06  1.36700e-01  1.67352e-01
2.19147e+06  1.36800e-01  1.70408e-01
2.18986e+06  1.36900e-01  1.73464e-01
2.18827e+06  1.37000e-01  1.76520e-01
2.18667e+06  1.37100e-01  1.76642e-01
2.18508e+06  1.37200e-01  1.76764e-01
2.18348e+06  1.37300e-01  1.76886e-01
2.18190e+06  1.37400e-01  1.77008e-01
2.18031e+06  1.37500e-01  1.77130e-01
2.17872e+06  1.37600e-01  1.77252e-01
2.17714e+06  1.37700e-01  1.77374e-01
2.17556e+06  1.37800e-01  1.77496e-01
2.17398e+06  1.37900e-01  1.77618e-01
2.17241e+06  1.38000e-01  1.77740e-01
2.17084e+06  1.38100e-01  1.74928e-01
2.16927e+06  1.38200e-01  1.72116e-01
2.16770e+06  1.38300e-01  1.69304e-01
2.16613e+06  1.38400e-01  1.66492e-01
2.16457e+06  1.38500e-01  1.63680e-01
2.16300e+06  1.38600e-01  1.60868e-01
2.16145e+06  1.38700e-01  1.58056e-01
2.15989e+06  1.38800e-01  1.55244e-01
2.15833e+06  1.38900e-01  1.52432e-01
2.15678e+06  1.39000e-01  1.49620e-01
2.15523e+06  1.39100e-01  1.46808e-01
2.15368e+06  1.39200e-01  1.43996e-01
2.15214e+06  1.39300e-01  1.41184e-01
2.15059e+06  1.39400e-01  1.38372e-01
2.14905e+06  1.39500e-01  1.35560e-01
2.14751e+06  1.39600e-01  1.32748e-01
2.14597e+06  1.39700e-01  1.29936e-01
2.14444e+06  1.39800e-01  1.27124e-01
2.14291e+06  1.39900e-01  1.24312e-01
2.14137e+06  1.40000e-01  1.21500e-01
2.13985e+06  1.40100e-01  1.26744e-01
2.13832e+06  1.40200e-01  1.31988e-01
2.13680e+06  1.40300e-01  1.37232e-01
2.13527e+06  1.40400e-01  1.42476e-01
2.13375e+06  1.40500e-01  1.47720e-01
2.13224e+06  1.40600e-01  1.52964e-01
2.13072e+06  1.40700e-01  1.58208e-01
2.12921e+06  1.40800e-01  1.63452e-01
2.12770e+06  1.40900e-01  1.68696e-01
2.12619e+06  1.41000e-01  1.73940e-01
2.12468e+06  1.41100e-01  1.79184e-01
2.12318e+06  1.41200e-01  1.84428e-01
2.12167e+06  1.41300e-01  1.89672e-01
2.12017e+06  1.41400e-01  1.94916e-01
2.11867e+06  1.41500e-01  2.00160e-01
2.11718e+06  1.41600e-01  2.05404e-01
2.11568e+06  1.41700e-01  2.10648e-01
2.11419e+06  1.41800e-01  2.15892e-01
2.11270e+06  1.41900e-01  2.21136e-01
2.11121e+06  1.42000e-01  2.26380e-01
2.10973e+06  1.42100e-01  2.30784e-01
2.10825e+06  1.42200e-01  2.35188e-01
2.10676e+06  1.42300e-01  2.39592e-01
2.10528e+06  1.42400e-01  2.43996e-01
2.10381e+06  1.42500e-01  2.48400e-01
2.10233e+06  1.42600e-01  2.52804e-01
2.10086e+06  1.42700e-01  2.57208e-01
2.09939e+06  1.42800e-01  2.61612e-01
2.09792e+06  1.42900e-01  2.66016e-01
2.09645e+06  1.43000e-01  2.70420e-01
2.09499e+06  1.43100e-01  2.73984e-01
2.09352e+06  1.43200e-01  2.77548e-01
2.09206e+06  1.43300e-01  2.81112e-01
2.09060e+06  1.43400e-01  2.84676e-01
2.08915e+06  1.43500e-01  2.88240e-01
2.08769e+06  1.43600e-01  2.91804e-01
2.08624e+06  1.43700e-01  2.95368e-01
2.08479e+06  1.43800e-01  2.98932e-01
2.08334e+06  1.43900e-01  3.02496e-01
2.08189e+06  1.44000e-01  3.06060e-01
2.08045e+06  1.44100e-01  3.09937e-01
2.07900e+06  1.44200e-01  3.13188e-01
2.07756e+06  1.44300e-01  3.16752e-01
2.07613e+06  1.44400e-01  3.20316e-01
2.07469e+06  1.44500e-01  3.23880e-01
2.07325e+06  1.44600e-01  3.27444e-01
2.07182e+06  1.44700e-01  3.31008e-01
2.07039e+06  1.44800e-01  3.34572e-01
2.06896e+06  1.44900e-01  3.38136e-01
2.06753e+06  1.45000e-01  3.41700e-01
2.06611e+06  1.45100e-01  3.42944e-01
2.06469e+06  1.45200e-01  3.44188e-01
2.06327e+06  1.45300e-01  3.45432e-01
2.06185e+06  1.45400e-01  3.46676e-01
2.06043e+06  1.45500e-01  3.47920e-01
2.05901e+06  1.45600e-01  3.49164e-01
2.05760e+06  1.45700e-01  3.50408e-01
2.05619e+06  1.45800e-01  3.51652e-01
2.05478e+06  1.45900e-01  3.52896e-01
2.05337e+06  1.46000e-01  3.54140e-01
2.05197e+06  1.46100e-01  3.55384e-01
2.05056e+06  1.46200e-01  3.56628e-01
2.04916e+06  1.46300e-01  3.57872e-01
2.04776e+06  1.46400e-01  3.59116e-01
2.04636e+06  1.46500e-01  3.60360e-01
2.04497e+06  1.46600e-01  3.61604e-01
2.04358e+06  1.46700e-01  3.62848e-01
2.04218e+06  1.46800e-01  3.64092e-01
2.04079e+06  1.46900e-01  3.65336e-01
2.03940e+06  1.47000e-01  3.66580e-01
2.03802e+06  1.47100e-01  3.66728e-01
2.03663e+06  1.47200e-01  3.66876e-01
2.03525e+06  1.47300e-01  3.67024e-01
2.03387e+06  1.47400e-01  3.67172e-01
2.03249e+06  1.47500e-01  3.67320e-01
2.03111e+06  1.47600e-01  3.67468e-01
2.02974e+06  1.47700e-01  3.67616e-01
2.02837e+06  1.47800e-01  3.67764e-01
2.02699e+06  1.47900e-01  3.67912e-01
2.02562e+06  1.48000e-01  3.68060e-01
2.02426e+06  1.48100e-01  3.67112e-01
2.02289e+06  1.48200e-01  3.66164e-01
2.02153e+06  1.48300e-01  3.65216e-01
2.02016e+06  1.48400e-01  3.64268e-01
2.01880e+06  1.48500e-01  3.63320e-01
2.01745e+06  1.48600e-01  3.62372e-01
2.01609e+06  1.48700e-01  3.61424e-01
2.01473e+06  1.48800e-01  3.60476e-01
2.01338e+06  1.48900e-01  3.59528e-01
2.01203e+06  1.49000e-01  3.58580e-01
2.01068e+06  1.49100e-01  3.57632e-01
2.00933e+06  1.49200e-01  3.56684e-01
2.00799e+06  1.49300e-01  3.55736e-01
2.00664e+06  1.49400e-01  3.54788e-01
2.00530e+06  1.49500e-01  3.53840e-01
2.00396e+06  1.49600e-01  3.52892e-01
2.00262e+06  1.49700e-01  3.51944e-01
2.00128e+06  1.49800e-01  3.50996e-01
1.99995e+06  1.49900e-01  3.50048e-01
1.99862e+06  1.50000e-01  3.49100e-01
1.99728e+06  1.50100e-01  3.48988e-01
1.99596e+06  1.50200e-01  3.48876e-01
1.99463e+06  1.50300e-01  3.48764e-01
1.99330e+06  1.50400e-01  3.48652e-01
1.99198e+06  1.50500e-01  3.48540e-01
1.99065e+06  1.50600e-01  3.48428e-01
1.98933e+06  1.50700e-01  3.48316e-01
1.98801e+06  1.50800e-01  3.48204e-01
1.98670e+06  1.50900e-01  3.48092e-01
1.98538e+06  1.51000e-01  3.47980e-01
1.98407e+06  1.51100e-01  3.47868e-01
1.98275e+06  1.51200e-01  3.47756e-01
1.98144e+06  1.51300e-01  3.47644e-01
1.98014e+06  1.51400e-01  3.47532e-01
1.97883e+06  1.51500e-01  3.47420e-01
1.97752e+06  1.51600e-01  3.47308e-01
1.97622e+06  1.51700e-01  3.47196e-01
1.97492e+06  1.51800e-01  3.47084e-01
1.97362e+06  1.51900e-01  3.46972e-01
1.97232e+06  1.52000e-01  3.46860e-01
1.97102e+06  1.52100e-01  3.45116e-01
1.96973e+06  1.52200e-01  3.43372e-01
1.96843e+06  1.52300e-01  3.41628e-01
1.96714e+06  1.52400e-01  3.39884e-01
1.96585e+06  1.52500e-01  3.38140e-01
1.96456e+06  1.52600e-01  3.36396e-01
1.96328e+06  1.52700e-01  3.34652e-01
1.96199e+06  1.52800e-01  3.32908e-01
1.96071e+06  1.52900e-01  3.31164e-01
1.95943e+06  1.53000e-01  3.29420e-01
1.95815e+06  1.53100e-01  3.26044e-01
1.95687e+06  1.53200e-01  3.22668e-01
1.95559e+06  1.53300e-01  3.19292e-01
1.95432e+06  1.53400e-01  3.15916e-01
1.95305e+06  1.53500e-01  3.12540e-01
1.95177e+06  1.53600e-01  3.09164e-01
1.95050e+06  1.53700e-01  3.05788e-01
1.94924e+06  1.53800e-01  3.02412e-01
1.94797e+06  1.53900e-01  2.99036e-01
1.94670e+06  1.54000e-01  2.95660e-01
1.94544e+06  1.54100e-01  2.92284e-01
1.94418e+06  1.54200e-01  2.88908e-01
1.94292e+06  1.54300e-01  2.85532e-01
1.94166e+06  1.54400e-01  2.82156e-01
1.94040e+06  1.54500e-01  2.78780e-01
1.93915e+06  1.54600e-01  2.75404e-01
1.93790e+06  1.54700e-01  2.72028e-01
1.93664e+06  1.54800e-01  2.68652e-01
1.93539e+06  1.54900e-01  2.65276e-01
1.93414e+06  1.55000e-01  2.61900e-01
1.93290e+06  1.55100e-01  2.61797e-01
1.93165e+06  1.55200e-01  2.61693e-01
1.93041e+06  1.55300e-01  2.61590e-01
1.92917e+06  1.55400e-01  2.61487e-01
1.92793e+06  1.55500e-01  2.61383e-01
1.92669e+06  1.55600e-01  2.61280e-01
1.92545e+06  1.55700e-01  2.61177e-01
1.92421e+06  1.55800e-01  2.61074e-01
1.92298e+06  1.55900e-01  2.60970e-01
1.92175e+06  1.56000e-01  2.60867e-01
1.92052e+06  1.56100e-01  2.60764e-01
1.91929e+06  1.56200e-01  2.60660e-01
1.91806e+06  1.56300e-01  2.60557e-01
1.91683e+06  1.56400e-01  2.60453e-01
1.91561e+06  1.56500e-01  2.60350e-01
1.91438e+06  1.56600e-01  2.60247e-01
1.91316e+06  1.56700e-01  2.60143e-01
1.91194e+06  1.56800e-01  2.60040e-01
1.91072e+06  1.56900e-01  2.59936e-01
1.90951e+06  1.57000e-01  2.59833e-01
1.90829e+06  1.57100e-01  2.59730e-01
1.90708e+06  1.57200e-01  2.59626e-01
1.90586e+06  1.57300e-01  2.59523e-01
1.90465e+06  1.57400e-01  2.59420e-01
1.90344e+06  1.57500e-01  2.59316e-01
1.90224e+06  1.57600e-01  2.59213e-01
1.90103e+06  1.57700e-01  2.59110e-01
1.89983e+06  1.57800e-01  2.59007e-01
1.89862e+06  1.57900e-01  2.58903e-01
1.89742e+06  1.58000e-01  2.58800e-01
1.89622e+06  1.58100e-01  2.58697e-01
1.89502e+06  1.58200e-01  2.58593e-01
1.89382e+06  1.58300e-01  2.58490e-01
1.89263e+06  1.58400e-01  2.58387e-01
1.89144e+06  1.58500e-01  2.58284e-01
1.89024e+06  1.58600e-01  2.58180e-01
1.88905e+06  1.58700e-01  2.58077e-01
1.88786e+06  1.58800e-01  2.57974e-01
1.88667e+06  1.58900e-01  2.57870e-01
1.88549e+06  1.59000e-01  2.57767e-01
1.88430e+06  1.59100e-01  2.57664e-01
1.88312e+06  1.59200e-01  2.57560e-01
1.88194e+06  1.59300e-01  2.57457e-01
1.88076e+06  1.59400e-01  2.57353e-01
1.87958e+06  1.59500e-01  2.57250e-01
1.87840e+06  1.59600e-01  2.57147e-01
1.87722e+06  1.59700e-01  2.57043e-01
1.87605e+06  1.59800e-01  2.56940e-01
1.87487e+06  1.59900e-01  2.56836e-01
1.87370e+06  1.60000e-01  2.56733e-01
1.87253e+06  1.60100e-01  2.56630e-01
1.87136e+06  1.60200e-01  2.56526e-01
1.87020e+06  1.60300e-01  2.56423e-01
1.86903e+06  1.60400e-01  2.56320e-01
1.86787e+06  1.60500e-01  2.56217e-01
1.86670e+06  1.60600e-01  2.56113e-01
1.86554e+06  1.60700e-01  2.56010e-01
1.86438e+06  1.60800e-01  2.55907e-01
1.86322e+06  1.60900e-01  2.55803e-01
1.86206e+06  1.61000e-01  2.55700e-01
1.86091e+06  1.61100e-01  2.53290e-01
1.85975e+06  1.61200e-01  2.50880e-01
1.85860e+06  1.61300e-01  2.48470e-01
1.85745e+06  1.61400e-01  2.46060e-01
1.85630e+06  1.61500e-01  2.43650e-01
1.85515e+06  1.61600e-01  2.41240e-01
1.85400e+06  1.61700e-01  2.38830e-01
1.85286e+06  1.61800e-01  2.36420e-01
1.85171e+06  1.61900e-01  2.34010e-01
1.85057e+06  1.62000e-01  2.31600e-01
1.84943e+06  1.62100e-01  2.29190e-01
1.84829e+06  1.62200e-01  2.26780e-01
1.84715e+06  1.62300e-01  2.24370e-01
1.84601e+06  1.62400e-01  2.21960e-01
1.84488e+06  1.62500e-01  2.19550e-01
1.84374e+06  1.62600e-01  2.17140e-01
1.84261e+06  1.62700e-01  2.14730e-01
1.84148e+06  1.62800e-01  2.12320e-01
1.84035e+06  1.62900e-01  2.09910e-01
1.83922e+06  1.63000e-01  2.07500e-01
1.83809e+06  1.63100e-01  2.05090e-01
1.83696e+06  1.63200e-01  2.02680e-01
1.83584e+06  1.63300e-01  2.00270e-01
1.83472e+06  1.63400e-01  1.97860e-01
1.83359e+06  1.63500e-01  1.95450e-01
1.83247e+06  1.63600e-01  1.93040e-01
1.83135e+06  1.63700e-01  1.90630e-01
1.83023e+06  1.63800e-01  1.88220e-01
1.82912e+06  1.63900e-01  1.85810e-01
1.82800e+06  1.64000e-01  1.83400e-01
1.82689e+06  1.64100e-01  1.80990e-01
1.82578e+06  1.64200e-01  1.78580e-01
1.82466e+06  1.64300e-01  1.76170e-01
1.82356e+06  1.64400e-01  1.73760e-01
1.82245e+06  1.64500e-01  1.71350e-01
1.82134e+06  1.64600e-01  1.68940e-01
1.82023e+06  1.64700e-01  1.66530e-01
1.81913e+06  1.64800e-01  1.64120e-01
1.81803e+06  1.64900e-01  1.61710e-01
1.81692e+06  1.65000e-01  1.59300e-01
1.81582e+06  1.65100e-01  1.58554e-01
1.81472e+06  1.65200e-01  1.57808e-01
1.81363e+06  1.65300e-01  1.57062e-01
1.81253e+06  1.65400e-01  1.56316e-01
1.81143e+06  1.65500e-01  1.55570e-01
1.81034e+06  1.65600e-01  1.54824e-01
1.80925e+06  1.65700e-01  1.54078e-01
1.80816e+06  1.65800e-01  1.53332e-01
1.80707e+06  1.65900e-01  1.52586e-01
1.80598e+06  1.66000e-01  1.51840e-01
1.80489e+06  1.66100e-01  1.51094e-01
1.80381e+06  1.66200e-01  1.50348e-01
1.80272e+06  1.66300e-01  1.49602e-01
1.80164e+06  1.66400e-01  1.48856e-01
1.80056e+06  1.66500e-01  1.48110e-01
1.79947e+06  1.66600e-01  1.47364e-01
1.79840e+06  1.66700e-01  1.46618e-01
1.79732e+06  1.66800e-01  1.45872e-01
1.79624e+06  1.66900e-01  1.45126e-01
1.79516e+06  1.67000e-01  1.44380e-01
1.79409e+06  1.67100e-01  1.43634e-01
1.79302e+06  1.67200e-01  1.42888e-01
1.79195e+06  1.67300e-01  1.42142e-01
1.79087e+06  1.67400e-01  1.41396e-01
1.78981e+06  1.67500e-01  1.40650e-01
1.78874e+06  1.67600e-01  1.39904e-01
1.78767e+06  1.67700e-01  1.39158e-01
1.78661e+06  1.67800e-01  1.38412e-01
1.78554e+06  1.67900e-01  1.37666e-01
1.78448e+06  1.68000e-01  1.36920e-01
1.78342e+06  1.68100e-01  1.36174e-01
1.78236e+06  1.68200e-01  1.35428e-01
1.78130e+06  1.68300e-01  1.34682e-01
1.78024e+06  1.68400e-01  1.33936e-01
1.77918e+06  1.68500e-01  1.33190e-01
1.77813e+06  1.68600e-01  1.32444e-01
1.77707e+06  1.68700e-01  1.31698e-01
1.77602e+06  1.68800e-01  1.30952e-01
1.77497e+06  1.68900e-01  1.30206e-01
1.77392e+06  1.69000e-01  1.29460e-01
1.77287e+06  1.69100e-01  1.28714e-01
1.77182e+06  1.69200e-01  1.27968e-01
1.77078e+06  1.69300e-01  1.27222e-01
1.76973e+06  1.69400e-01  1.26476e-01
1.76869e+06  1.69500e-01  1.25730e-01
1.76764e+06  1.69600e-01  1.24984e-01
1.76660e+06  1.69700e-01  1.24238e-01
1.76556e+06  1.69800e-01  1.23492e-01
1.76452e+06  1.69900e-01  1.22746e-01
1.76349e+06  1.70000e-01  1.22000e-01
1.76245e+06  1.70100e-01  1.21670e-01
1.76141e+06  1.70200e-01  1.21340e-01
1.76038e+06  1.70300e-01  1.21010e-01
1.75935e+06  1.70400e-01  1.20680e-01
1.75831e+06  1.70500e-01  1.20350e-01
1.75728e+06  1.70600e-01  1.20020e-01
1.75625e+06  1.70700e-01  1.19690e-01
1.75523e+06  1.70800e-01  1.19360e-01
1.75420e+06  1.70900e-01  1.19030e-01
1.75317e+06  1.71000e-01  1.18700e-01
1.75215e+06  1.71100e-01  1.18370e-01
1.75112e+06  1.71200e-01  1.18040e-01
