GALEX_NUV
frq          wvl          transmission
[GHz]        [micron]                 
1.77392e+06  1.69000e-01  0.00000e+00
1.77287e+06  1.69100e-01  2.45000e-03
1.77182e+06  1.69200e-01  4.90000e-03
1.77078e+06  1.69300e-01  7.35000e-03
1.76973e+06  1.69400e-01  9.80000e-03
1.76869e+06  1.69500e-01  1.22500e-02
1.76764e+06  1.69600e-01  1.47000e-02
1.76660e+06  1.69700e-01  1.71500e-02
1.76556e+06  1.69800e-01  1.96000e-02
1.76452e+06  1.69900e-01  2.20500e-02
1.76349e+06  1.70000e-01  2.45000e-02
1.76245e+06  1.70100e-01  2.46760e-02
1.76141e+06  1.70200e-01  2.48520e-02
1.76038e+06  1.70300e-01  2.50280e-02
1.75935e+06  1.70400e-01  2.52040e-02
1.75831e+06  1.70500e-01  2.53800e-02
1.75728e+06  1.70600e-01  2.55560e-02
1.75625e+06  1.70700e-01  2.57320e-02
1.75523e+06  1.70800e-01  2.59080e-02
1.75420e+06  1.70900e-01  2.60840e-02
1.75317e+06  1.71000e-01  2.62600e-02
1.75215e+06  1.71100e-01  2.64360e-02
1.75112e+06  1.71200e-01  2.66120e-02
1.75010e+06  1.71300e-01  2.67880e-02
1.74908e+06  1.71400e-01  2.69640e-02
1.74806e+06  1.71500e-01  2.71400e-02
1.74704e+06  1.71600e-01  2.73160e-02
1.74602e+06  1.71700e-01  2.74920e-02
1.74501e+06  1.71800e-01  2.76680e-02
1.74399e+06  1.71900e-01  2.78440e-02
1.74298e+06  1.72000e-01  2.80200e-02
1.74197e+06  1.72100e-01  2.81960e-02
1.74096e+06  1.72200e-01  2.83720e-02
1.73994e+06  1.72300e-01  2.85480e-02
1.73894e+06  1.72400e-01  2.87240e-02
1.73793e+06  1.72500e-01  2.89000e-02
1.73692e+06  1.72600e-01  2.90760e-02
1.73591e+06  1.72700e-01  2.92520e-02
1.73491e+06  1.72800e-01  2.94280e-02
1.73391e+06  1.72900e-01  2.96040e-02
1.73290e+06  1.73000e-01  2.97800e-02
1.73190e+06  1.73100e-01  2.99560e-02
1.73090e+06  1.73200e-01  3.01320e-02
1.72990e+06  1.73300e-01  3.03080e-02
1.72891e+06  1.73400e-01  3.04840e-02
1.72791e+06  1.73500e-01  3.06600e-02
1.72692e+06  1.73600e-01  3.08360e-02
1.72592e+06  1.73700e-01  3.10120e-02
1.72493e+06  1.73800e-01  3.11880e-02
1.72394e+06  1.73900e-01  3.13640e-02
1.72295e+06  1.74000e-01  3.15400e-02
1.72196e+06  1.74100e-01  3.17160e-02
1.72097e+06  1.74200e-01  3.18920e-02
1.71998e+06  1.74300e-01  3.20680e-02
1.71899e+06  1.74400e-01  3.22440e-02
1.71801e+06  1.74500e-01  3.24200e-02
1.71702e+06  1.74600e-01  3.25960e-02
1.71604e+06  1.74700e-01  3.27720e-02
1.71506e+06  1.74800e-01  3.29480e-02
1.71408e+06  1.74900e-01  3.31240e-02
1.71310e+06  1.75000e-01  3.33000e-02
1.71212e+06  1.75100e-01  3.46720e-02
1.71114e+06  1.75200e-01  3.60440e-02
1.71017e+06  1.75300e-01  3.74160e-02
1.70919e+06  1.75400e-01  3.87880e-02
1.70822e+06  1.75500e-01  4.01600e-02
1.70725e+06  1.75600e-01  4.15320e-02
1.70627e+06  1.75700e-01  4.29040e-02
1.70530e+06  1.75800e-01  4.42760e-02
1.70433e+06  1.75900e-01  4.56480e-02
1.70337e+06  1.76000e-01  4.70200e-02
1.70240e+06  1.76100e-01  4.83920e-02
1.70143e+06  1.76200e-01  4.97640e-02
1.70047e+06  1.76300e-01  5.11360e-02
1.69950e+06  1.76400e-01  5.25080e-02
1.69854e+06  1.76500e-01  5.38800e-02
1.69758e+06  1.76600e-01  5.52520e-02
1.69662e+06  1.76700e-01  5.66240e-02
1.69566e+06  1.76800e-01  5.79960e-02
1.69470e+06  1.76900e-01  5.93680e-02
1.69374e+06  1.77000e-01  6.07400e-02
1.69279e+06  1.77100e-01  6.21120e-02
1.69183e+06  1.77200e-01  6.34840e-02
1.69088e+06  1.77300e-01  6.48560e-02
1.68992e+06  1.77400e-01  6.62280e-02
1.68897e+06  1.77500e-01  6.76000e-02
1.68802e+06  1.77600e-01  6.89720e-02
1.68707e+06  1.77700e-01  7.03440e-02
1.68612e+06  1.77800e-01  7.17160e-02
1.68517e+06  1.77900e-01  7.30880e-02
1.68423e+06  1.78000e-01  7.44600e-02
1.68328e+06  1.78100e-01  7.58320e-02
1.68234e+06  1.78200e-01  7.72040e-02
1.68139e+06  1.78300e-01  7.85760e-02
1.68045e+06  1.78400e-01  7.99480e-02
1.67951e+06  1.78500e-01  8.13200e-02
1.67857e+06  1.78600e-01  8.26920e-02
1.67763e+06  1.78700e-01  8.40640e-02
1.67669e+06  1.78800e-01  8.54360e-02
1.67575e+06  1.78900e-01  8.68080e-02
