GISMO2000
frq          wvl          transmission
[GHz]        [micron]                 
2.99954e+02  9.99000e+02  1.65000e-03
2.99199e+02  1.00200e+03  1.12000e-03
2.98443e+02  1.00500e+03  -8.30000e-04
2.97688e+02  1.00700e+03  -9.00000e-05
2.96932e+02  1.01000e+03  7.00000e-04
2.96176e+02  1.01200e+03  8.60000e-04
2.95421e+02  1.01500e+03  6.90000e-04
2.94665e+02  1.01700e+03  2.80000e-04
2.93910e+02  1.02000e+03  -3.70000e-04
2.93154e+02  1.02300e+03  4.00000e-05
2.92399e+02  1.02500e+03  3.80000e-04
2.91643e+02  1.02800e+03  -8.80000e-04
2.90888e+02  1.03100e+03  -4.90000e-04
2.90132e+02  1.03300e+03  -2.10000e-04
2.89376e+02  1.03600e+03  -1.98000e-03
2.88621e+02  1.03900e+03  -1.70000e-04
2.87865e+02  1.04100e+03  3.53000e-03
2.87110e+02  1.04400e+03  3.03000e-03
2.86354e+02  1.04700e+03  8.50000e-04
2.85599e+02  1.05000e+03  7.20000e-04
2.84843e+02  1.05300e+03  3.60000e-04
2.84088e+02  1.05500e+03  -4.80000e-04
2.83332e+02  1.05800e+03  -1.54000e-03
2.82576e+02  1.06100e+03  -2.45000e-03
2.81821e+02  1.06400e+03  -4.07000e-03
2.81065e+02  1.06700e+03  -3.82000e-03
2.80310e+02  1.07000e+03  -2.50000e-04
2.79554e+02  1.07200e+03  1.82000e-03
2.78799e+02  1.07500e+03  1.58000e-03
2.78043e+02  1.07800e+03  1.09000e-03
2.77288e+02  1.08100e+03  2.51000e-03
2.76532e+02  1.08400e+03  2.26000e-03
2.75776e+02  1.08700e+03  1.05000e-03
2.75021e+02  1.09000e+03  1.88000e-03
2.74265e+02  1.09300e+03  3.71000e-03
2.73510e+02  1.09600e+03  4.85000e-03
2.72754e+02  1.09900e+03  2.69000e-03
2.71999e+02  1.10200e+03  -7.90000e-04
2.71243e+02  1.10500e+03  -7.50000e-04
2.70488e+02  1.10800e+03  3.03000e-03
2.69732e+02  1.11100e+03  3.56000e-03
2.68976e+02  1.11500e+03  -1.40000e-04
2.68221e+02  1.11800e+03  -1.11000e-03
2.67465e+02  1.12100e+03  1.66000e-03
2.66710e+02  1.12400e+03  1.73000e-03
2.65954e+02  1.12700e+03  9.80000e-04
2.65199e+02  1.13000e+03  1.00000e-03
2.64443e+02  1.13400e+03  -4.20000e-04
2.63688e+02  1.13700e+03  2.00000e-05
2.62932e+02  1.14000e+03  8.80000e-04
2.62176e+02  1.14400e+03  -4.10000e-04
2.61421e+02  1.14700e+03  -1.43000e-03
2.60665e+02  1.15000e+03  -1.48000e-03
2.59910e+02  1.15300e+03  4.14000e-03
2.59154e+02  1.15700e+03  5.92000e-03
2.58399e+02  1.16000e+03  -9.80000e-04
2.57643e+02  1.16400e+03  -7.20000e-04
2.56888e+02  1.16700e+03  2.63000e-03
2.56132e+02  1.17000e+03  1.17000e-03
2.55376e+02  1.17400e+03  -8.30000e-04
2.54621e+02  1.17700e+03  1.00000e-03
2.53865e+02  1.18100e+03  1.36000e-03
2.53110e+02  1.18400e+03  -5.16000e-03
2.52354e+02  1.18800e+03  -3.87000e-03
2.51599e+02  1.19200e+03  2.22000e-03
2.50843e+02  1.19500e+03  3.34000e-03
2.50088e+02  1.19900e+03  2.44000e-03
2.49332e+02  1.20200e+03  5.00000e-05
2.48576e+02  1.20600e+03  -8.70000e-04
2.47821e+02  1.21000e+03  1.80000e-04
2.47065e+02  1.21300e+03  8.80000e-04
2.46310e+02  1.21700e+03  -6.50000e-04
2.45554e+02  1.22100e+03  2.11000e-03
2.44799e+02  1.22500e+03  5.67000e-03
2.44043e+02  1.22800e+03  4.33000e-03
2.43288e+02  1.23200e+03  6.50000e-04
2.42532e+02  1.23600e+03  -3.70000e-04
2.41776e+02  1.24000e+03  2.50000e-04
2.41021e+02  1.24400e+03  2.23000e-03
2.40265e+02  1.24800e+03  4.40000e-03
2.39510e+02  1.25200e+03  1.67000e-03
2.38754e+02  1.25600e+03  1.14000e-03
2.37999e+02  1.26000e+03  1.41000e-03
2.37243e+02  1.26400e+03  -8.50000e-04
2.36488e+02  1.26800e+03  2.09000e-03
2.35732e+02  1.27200e+03  3.82000e-03
2.34976e+02  1.27600e+03  -9.00000e-04
2.34221e+02  1.28000e+03  -1.30000e-03
2.33465e+02  1.28400e+03  1.35000e-03
2.32710e+02  1.28800e+03  1.13000e-03
2.31954e+02  1.29200e+03  -8.50000e-04
2.31199e+02  1.29700e+03  -4.30000e-04
2.30443e+02  1.30100e+03  0.00000e+00
2.29688e+02  1.30500e+03  -7.70000e-04
2.28932e+02  1.31000e+03  1.40000e-04
2.28176e+02  1.31400e+03  2.84000e-03
2.27421e+02  1.31800e+03  3.30000e-03
2.26665e+02  1.32300e+03  1.91000e-03
2.25910e+02  1.32700e+03  -1.18000e-03
2.25154e+02  1.33200e+03  -3.88000e-03
2.24399e+02  1.33600e+03  -1.85000e-03
2.23643e+02  1.34100e+03  1.90000e-04
2.22888e+02  1.34500e+03  -3.29000e-03
2.22132e+02  1.35000e+03  -4.03000e-03
2.21376e+02  1.35400e+03  -3.40000e-04
2.20621e+02  1.35900e+03  8.20000e-04
2.19865e+02  1.36400e+03  2.68000e-03
2.19110e+02  1.36800e+03  2.28000e-03
2.18354e+02  1.37300e+03  -6.10000e-04
2.17599e+02  1.37800e+03  1.20000e-04
2.16843e+02  1.38300e+03  5.34000e-03
2.16087e+02  1.38700e+03  5.44000e-03
2.15332e+02  1.39200e+03  2.41000e-03
2.14576e+02  1.39700e+03  2.61000e-03
2.13821e+02  1.40200e+03  6.50000e-04
2.13065e+02  1.40700e+03  -2.67000e-03
2.12310e+02  1.41200e+03  -4.43000e-03
2.11554e+02  1.41700e+03  0.00000e+00
2.10799e+02  1.42200e+03  3.74000e-03
2.10043e+02  1.42700e+03  3.38000e-03
2.09287e+02  1.43200e+03  3.71000e-03
2.08532e+02  1.43800e+03  -3.50000e-03
2.07776e+02  1.44300e+03  -1.20700e-02
2.07021e+02  1.44800e+03  -9.76000e-03
2.06265e+02  1.45300e+03  9.20000e-04
2.05510e+02  1.45900e+03  -3.60000e-04
2.04754e+02  1.46400e+03  -6.77000e-03
2.03999e+02  1.47000e+03  -4.74000e-03
2.03243e+02  1.47500e+03  -2.12000e-03
2.02487e+02  1.48100e+03  3.30000e-04
2.01732e+02  1.48600e+03  4.53000e-03
2.00976e+02  1.49200e+03  6.01000e-03
2.00221e+02  1.49700e+03  7.13000e-03
1.99465e+02  1.50300e+03  6.30000e-03
1.98710e+02  1.50900e+03  -3.10000e-03
1.97954e+02  1.51400e+03  -9.87000e-03
1.97199e+02  1.52000e+03  -5.70000e-03
1.96443e+02  1.52600e+03  2.11000e-03
1.95687e+02  1.53200e+03  7.82000e-03
1.94932e+02  1.53800e+03  6.38000e-03
1.94176e+02  1.54400e+03  8.04000e-03
1.93421e+02  1.55000e+03  6.57000e-03
1.92665e+02  1.55600e+03  -5.98000e-03
1.91910e+02  1.56200e+03  -1.47200e-02
1.91154e+02  1.56800e+03  -1.09900e-02
1.90399e+02  1.57500e+03  -4.22000e-03
1.89643e+02  1.58100e+03  -6.58000e-03
1.88887e+02  1.58700e+03  -3.37000e-03
1.88132e+02  1.59400e+03  4.22000e-03
1.87376e+02  1.60000e+03  2.11000e-03
1.86621e+02  1.60600e+03  7.04000e-03
1.85865e+02  1.61300e+03  8.82000e-03
1.85110e+02  1.62000e+03  5.96000e-03
1.84354e+02  1.62600e+03  8.38000e-03
1.83599e+02  1.63300e+03  1.12000e-03
1.82843e+02  1.64000e+03  -1.18000e-03
1.82087e+02  1.64600e+03  3.79000e-03
1.81332e+02  1.65300e+03  1.84000e-03
1.80576e+02  1.66000e+03  -2.35000e-03
1.79821e+02  1.66700e+03  -5.06000e-03
1.79065e+02  1.67400e+03  -5.77000e-03
1.78310e+02  1.68100e+03  -5.99000e-03
1.77554e+02  1.68800e+03  1.82000e-03
1.76799e+02  1.69600e+03  6.70000e-03
1.76043e+02  1.70300e+03  7.74000e-03
1.75287e+02  1.71000e+03  6.80000e-03
1.74532e+02  1.71800e+03  3.24000e-03
1.73776e+02  1.72500e+03  -3.11000e-03
1.73021e+02  1.73300e+03  -2.10000e-03
1.72265e+02  1.74000e+03  2.38000e-03
1.71510e+02  1.74800e+03  3.89000e-03
1.70754e+02  1.75600e+03  9.25000e-03
1.69999e+02  1.76400e+03  1.74600e-02
1.69243e+02  1.77100e+03  2.10000e-02
1.68487e+02  1.77900e+03  3.30100e-02
1.67732e+02  1.78700e+03  4.09000e-02
1.66976e+02  1.79500e+03  5.01500e-02
1.66221e+02  1.80400e+03  8.72000e-02
1.65465e+02  1.81200e+03  1.35100e-01
1.64710e+02  1.82000e+03  1.58320e-01
1.63954e+02  1.82900e+03  2.09260e-01
1.63199e+02  1.83700e+03  2.90120e-01
1.62443e+02  1.84600e+03  4.08670e-01
1.61687e+02  1.85400e+03  4.94130e-01
1.60932e+02  1.86300e+03  5.42030e-01
1.60176e+02  1.87200e+03  6.18800e-01
1.59421e+02  1.88100e+03  6.84040e-01
1.58665e+02  1.89000e+03  7.08620e-01
1.57910e+02  1.89900e+03  7.36490e-01
1.57154e+02  1.90800e+03  7.77690e-01
1.56399e+02  1.91700e+03  7.80710e-01
1.55643e+02  1.92600e+03  7.53510e-01
1.54887e+02  1.93600e+03  7.69420e-01
1.54132e+02  1.94500e+03  7.87520e-01
1.53376e+02  1.95500e+03  7.70240e-01
1.52621e+02  1.96400e+03  7.70780e-01
1.51865e+02  1.97400e+03  7.85160e-01
1.51110e+02  1.98400e+03  7.91170e-01
1.50354e+02  1.99400e+03  7.90510e-01
1.49599e+02  2.00400e+03  7.94750e-01
1.48843e+02  2.01400e+03  7.84040e-01
1.48087e+02  2.02400e+03  7.47510e-01
1.47332e+02  2.03500e+03  7.17060e-01
1.46576e+02  2.04500e+03  7.16140e-01
1.45821e+02  2.05600e+03  7.28770e-01
1.45065e+02  2.06700e+03  6.53940e-01
1.44310e+02  2.07700e+03  6.29720e-01
1.43554e+02  2.08800e+03  6.55230e-01
1.42799e+02  2.09900e+03  6.05790e-01
