GTC_SLOAN_I
frq          wvl          transmission
[GHz]        [micron]                 
4.61219e+05  6.50000e-01  4.73081e-04
4.60511e+05  6.51000e-01  6.20455e-04
4.59804e+05  6.52000e-01  6.16780e-04
4.59100e+05  6.53000e-01  5.78381e-04
4.58398e+05  6.54000e-01  5.90395e-04
4.57698e+05  6.55000e-01  5.84416e-04
4.57001e+05  6.56000e-01  6.61027e-04
4.56305e+05  6.57000e-01  7.17024e-04
4.55612e+05  6.58000e-01  6.84715e-04
4.54920e+05  6.59000e-01  6.80023e-04
4.54231e+05  6.60000e-01  7.01685e-04
4.53544e+05  6.61000e-01  6.78930e-04
4.52859e+05  6.62000e-01  6.86014e-04
4.52176e+05  6.63000e-01  6.49479e-04
4.51495e+05  6.64000e-01  8.05995e-04
4.50816e+05  6.65000e-01  7.32249e-04
4.50139e+05  6.66000e-01  7.41918e-04
4.49464e+05  6.67000e-01  8.34047e-04
4.48791e+05  6.68000e-01  8.81726e-04
4.48120e+05  6.69000e-01  1.06575e-03
4.47451e+05  6.70000e-01  1.50317e-03
4.46785e+05  6.71000e-01  1.95849e-03
4.46120e+05  6.72000e-01  2.74568e-03
4.45457e+05  6.73000e-01  3.68457e-03
4.44796e+05  6.74000e-01  5.49455e-03
4.44137e+05  6.75000e-01  8.17133e-03
4.43480e+05  6.76000e-01  1.21192e-02
4.42825e+05  6.77000e-01  1.71450e-02
4.42172e+05  6.78000e-01  2.38253e-02
4.41521e+05  6.79000e-01  3.22610e-02
4.40871e+05  6.80000e-01  4.21381e-02
4.40224e+05  6.81000e-01  5.55399e-02
4.39578e+05  6.82000e-01  7.15248e-02
4.38935e+05  6.83000e-01  8.89408e-02
4.38293e+05  6.84000e-01  1.09827e-01
4.37653e+05  6.85000e-01  1.33155e-01
4.37015e+05  6.86000e-01  1.58231e-01
4.36379e+05  6.87000e-01  1.86392e-01
4.35745e+05  6.88000e-01  2.18617e-01
4.35112e+05  6.89000e-01  2.51153e-01
4.34482e+05  6.90000e-01  2.84635e-01
4.33853e+05  6.91000e-01  3.18711e-01
4.33226e+05  6.92000e-01  3.52652e-01
4.32601e+05  6.93000e-01  3.86153e-01
4.31978e+05  6.94000e-01  4.18852e-01
4.31356e+05  6.95000e-01  4.50074e-01
4.30736e+05  6.96000e-01  4.80184e-01
4.30118e+05  6.97000e-01  5.07939e-01
4.29502e+05  6.98000e-01  5.33758e-01
4.28888e+05  6.99000e-01  5.58880e-01
4.28275e+05  7.00000e-01  5.83047e-01
4.27664e+05  7.01000e-01  6.04750e-01
4.27055e+05  7.02000e-01  6.26119e-01
4.26447e+05  7.03000e-01  6.45914e-01
4.25842e+05  7.04000e-01  6.63224e-01
4.25238e+05  7.05000e-01  6.80408e-01
4.24635e+05  7.06000e-01  6.96478e-01
4.24035e+05  7.07000e-01  7.10582e-01
4.23436e+05  7.08000e-01  7.22851e-01
4.22838e+05  7.09000e-01  7.35396e-01
4.22243e+05  7.10000e-01  7.45581e-01
4.21649e+05  7.11000e-01  7.55295e-01
4.21057e+05  7.12000e-01  7.64416e-01
4.20466e+05  7.13000e-01  7.73467e-01
4.19877e+05  7.14000e-01  7.81655e-01
4.19290e+05  7.15000e-01  7.88850e-01
4.18705e+05  7.16000e-01  7.96390e-01
4.18121e+05  7.17000e-01  8.02627e-01
4.17538e+05  7.18000e-01  8.09120e-01
4.16958e+05  7.19000e-01  8.14288e-01
4.16378e+05  7.20000e-01  8.19919e-01
4.15801e+05  7.21000e-01  8.24629e-01
4.15225e+05  7.22000e-01  8.28838e-01
4.14651e+05  7.23000e-01  8.33606e-01
4.14078e+05  7.24000e-01  8.37785e-01
4.13507e+05  7.25000e-01  8.41460e-01
4.12937e+05  7.26000e-01  8.45700e-01
4.12369e+05  7.27000e-01  8.48435e-01
