GTC_SLOAN_Z
frq          wvl          transmission
[GHz]        [micron]                 
3.74741e+05  8.00000e-01  6.06078e-02
3.74273e+05  8.01000e-01  2.51613e-02
3.73806e+05  8.02000e-01  1.33524e-02
3.73341e+05  8.03000e-01  -1.34439e-02
3.72876e+05  8.04000e-01  -8.92515e-03
3.72413e+05  8.05000e-01  -9.54720e-03
3.71951e+05  8.06000e-01  -1.22864e-02
3.71490e+05  8.07000e-01  -5.06084e-04
3.71030e+05  8.08000e-01  -4.47199e-03
3.70572e+05  8.09000e-01  2.23417e-04
3.70114e+05  8.10000e-01  -9.90690e-04
3.69658e+05  8.11000e-01  1.25357e-02
3.69203e+05  8.12000e-01  1.74093e-02
3.68748e+05  8.13000e-01  1.31847e-02
3.68295e+05  8.14000e-01  1.97527e-02
3.67844e+05  8.15000e-01  2.47555e-02
3.67393e+05  8.16000e-01  3.29243e-02
3.66943e+05  8.17000e-01  3.70860e-02
3.66494e+05  8.18000e-01  4.86766e-02
3.66047e+05  8.19000e-01  6.01910e-02
3.65601e+05  8.20000e-01  7.80398e-02
3.65155e+05  8.21000e-01  9.20750e-02
3.64711e+05  8.22000e-01  1.11656e-01
3.64268e+05  8.23000e-01  1.30781e-01
3.63826e+05  8.24000e-01  1.47744e-01
3.63385e+05  8.25000e-01  1.68483e-01
3.62945e+05  8.26000e-01  1.92146e-01
3.62506e+05  8.27000e-01  2.13134e-01
3.62068e+05  8.28000e-01  2.34718e-01
3.61631e+05  8.29000e-01  2.56845e-01
3.61196e+05  8.30000e-01  2.82741e-01
3.60761e+05  8.31000e-01  3.05096e-01
3.60327e+05  8.32000e-01  3.33156e-01
3.59895e+05  8.33000e-01  3.55516e-01
3.59463e+05  8.34000e-01  3.80433e-01
3.59033e+05  8.35000e-01  4.04383e-01
3.58603e+05  8.36000e-01  4.29016e-01
3.58175e+05  8.37000e-01  4.48981e-01
3.57748e+05  8.38000e-01  4.75318e-01
3.57321e+05  8.39000e-01  4.98203e-01
3.56896e+05  8.40000e-01  5.22441e-01
3.56471e+05  8.41000e-01  5.44771e-01
3.56048e+05  8.42000e-01  5.67264e-01
3.55626e+05  8.43000e-01  5.90117e-01
3.55204e+05  8.44000e-01  6.09245e-01
3.54784e+05  8.45000e-01  6.27111e-01
3.54365e+05  8.46000e-01  6.47542e-01
3.53946e+05  8.47000e-01  6.64648e-01
3.53529e+05  8.48000e-01  6.82092e-01
3.53112e+05  8.49000e-01  6.97267e-01
3.52697e+05  8.50000e-01  7.16011e-01
3.52283e+05  8.51000e-01  7.28661e-01
3.51869e+05  8.52000e-01  7.43669e-01
3.51457e+05  8.53000e-01  7.54212e-01
3.51045e+05  8.54000e-01  7.68182e-01
3.50634e+05  8.55000e-01  7.79587e-01
3.50225e+05  8.56000e-01  7.91366e-01
3.49816e+05  8.57000e-01  7.99616e-01
3.49408e+05  8.58000e-01  8.10602e-01
3.49002e+05  8.59000e-01  8.20339e-01
3.48596e+05  8.60000e-01  8.29024e-01
3.48191e+05  8.61000e-01  8.37354e-01
3.47787e+05  8.62000e-01  8.44175e-01
3.47384e+05  8.63000e-01  8.50207e-01
3.46982e+05  8.64000e-01  8.58370e-01
3.46581e+05  8.65000e-01  8.64733e-01
3.46181e+05  8.66000e-01  8.70261e-01
3.45781e+05  8.67000e-01  8.76143e-01
3.45383e+05  8.68000e-01  8.80996e-01
3.44986e+05  8.69000e-01  8.86590e-01
3.44589e+05  8.70000e-01  8.91212e-01
3.44193e+05  8.71000e-01  8.95061e-01
3.43799e+05  8.72000e-01  8.99129e-01
3.43405e+05  8.73000e-01  9.04572e-01
3.43012e+05  8.74000e-01  9.07793e-01
3.42620e+05  8.75000e-01  9.12447e-01
3.42229e+05  8.76000e-01  9.14389e-01
3.41839e+05  8.77000e-01  9.18800e-01
3.41449e+05  8.78000e-01  9.22325e-01
3.41061e+05  8.79000e-01  9.24225e-01
3.40673e+05  8.80000e-01  9.27219e-01
3.40287e+05  8.81000e-01  9.29873e-01
3.39901e+05  8.82000e-01  9.32549e-01
3.39516e+05  8.83000e-01  9.34370e-01
3.39132e+05  8.84000e-01  9.36809e-01
3.38749e+05  8.85000e-01  9.37760e-01
3.38366e+05  8.86000e-01  9.40640e-01
3.37985e+05  8.87000e-01  9.41908e-01
3.37604e+05  8.88000e-01  9.43116e-01
3.37224e+05  8.89000e-01  9.45470e-01
3.36845e+05  8.90000e-01  9.46475e-01
3.36467e+05  8.91000e-01  9.47974e-01
3.36090e+05  8.92000e-01  9.49059e-01
3.35714e+05  8.93000e-01  9.50177e-01
3.35338e+05  8.94000e-01  9.52051e-01
3.34964e+05  8.95000e-01  9.52748e-01
3.34590e+05  8.96000e-01  9.53620e-01
3.34217e+05  8.97000e-01  9.54663e-01
3.33845e+05  8.98000e-01  9.55903e-01
3.33473e+05  8.99000e-01  9.56183e-01
3.33103e+05  9.00000e-01  9.57111e-01
3.32733e+05  9.01000e-01  9.58175e-01
3.32364e+05  9.02000e-01  9.59265e-01
3.31996e+05  9.03000e-01  9.59713e-01
3.31629e+05  9.04000e-01  9.60614e-01
3.31262e+05  9.05000e-01  9.61346e-01
3.30897e+05  9.06000e-01  9.61467e-01
3.30532e+05  9.07000e-01  9.62332e-01
3.30168e+05  9.08000e-01  9.63361e-01
3.29805e+05  9.09000e-01  9.63926e-01
3.29442e+05  9.10000e-01  9.63891e-01
3.29081e+05  9.11000e-01  9.63862e-01
3.28720e+05  9.12000e-01  9.64130e-01
3.28360e+05  9.13000e-01  9.65125e-01
3.28001e+05  9.14000e-01  9.65360e-01
3.27642e+05  9.15000e-01  9.66324e-01
3.27284e+05  9.16000e-01  9.66711e-01
3.26927e+05  9.17000e-01  9.66944e-01
3.26571e+05  9.18000e-01  9.67588e-01
3.26216e+05  9.19000e-01  9.67407e-01
3.25861e+05  9.20000e-01  9.67767e-01
3.25508e+05  9.21000e-01  9.67713e-01
3.25155e+05  9.22000e-01  9.68070e-01
3.24802e+05  9.23000e-01  9.68410e-01
3.24451e+05  9.24000e-01  9.68621e-01
3.24100e+05  9.25000e-01  9.68957e-01
3.23750e+05  9.26000e-01  9.69010e-01
3.23401e+05  9.27000e-01  9.69181e-01
3.23052e+05  9.28000e-01  9.69204e-01
3.22704e+05  9.29000e-01  9.69987e-01
3.22357e+05  9.30000e-01  9.69830e-01
3.22011e+05  9.31000e-01  9.69910e-01
3.21666e+05  9.32000e-01  9.69833e-01
3.21321e+05  9.33000e-01  9.70404e-01
3.20977e+05  9.34000e-01  9.70478e-01
3.20634e+05  9.35000e-01  9.70478e-01
3.20291e+05  9.36000e-01  9.70009e-01
3.19949e+05  9.37000e-01  9.70445e-01
3.19608e+05  9.38000e-01  9.70790e-01
3.19268e+05  9.39000e-01  9.70485e-01
3.18928e+05  9.40000e-01  9.70884e-01
3.18589e+05  9.41000e-01  9.70943e-01
3.18251e+05  9.42000e-01  9.71182e-01
3.17914e+05  9.43000e-01  9.71442e-01
3.17577e+05  9.44000e-01  9.71143e-01
3.17241e+05  9.45000e-01  9.71111e-01
3.16905e+05  9.46000e-01  9.71338e-01
3.16571e+05  9.47000e-01  9.71152e-01
3.16237e+05  9.48000e-01  9.71313e-01
3.15904e+05  9.49000e-01  9.71096e-01
3.15571e+05  9.50000e-01  9.71267e-01
3.15239e+05  9.51000e-01  9.71186e-01
3.14908e+05  9.52000e-01  9.71097e-01
3.14578e+05  9.53000e-01  9.71236e-01
3.14248e+05  9.54000e-01  9.71123e-01
3.13919e+05  9.55000e-01  9.71619e-01
3.13590e+05  9.56000e-01  9.71254e-01
3.13263e+05  9.57000e-01  9.70765e-01
3.12936e+05  9.58000e-01  9.71002e-01
3.12609e+05  9.59000e-01  9.70739e-01
3.12284e+05  9.60000e-01  9.70955e-01
3.11959e+05  9.61000e-01  9.71044e-01
3.11635e+05  9.62000e-01  9.70876e-01
3.11311e+05  9.63000e-01  9.70700e-01
3.10988e+05  9.64000e-01  9.71016e-01
3.10666e+05  9.65000e-01  9.70837e-01
3.10344e+05  9.66000e-01  9.71266e-01
3.10023e+05  9.67000e-01  9.70582e-01
3.09703e+05  9.68000e-01  9.70634e-01
3.09383e+05  9.69000e-01  9.70545e-01
3.09064e+05  9.70000e-01  9.70205e-01
3.08746e+05  9.71000e-01  9.70350e-01
3.08428e+05  9.72000e-01  9.70620e-01
3.08111e+05  9.73000e-01  9.70246e-01
3.07795e+05  9.74000e-01  9.70131e-01
3.07479e+05  9.75000e-01  9.70007e-01
3.07164e+05  9.76000e-01  9.69997e-01
3.06850e+05  9.77000e-01  9.69868e-01
3.06536e+05  9.78000e-01  9.69598e-01
3.06223e+05  9.79000e-01  9.69705e-01
3.05911e+05  9.80000e-01  9.69553e-01
3.05599e+05  9.81000e-01  9.69120e-01
3.05288e+05  9.82000e-01  9.69084e-01
3.04977e+05  9.83000e-01  9.68774e-01
3.04667e+05  9.84000e-01  9.69135e-01
3.04358e+05  9.85000e-01  9.68532e-01
3.04049e+05  9.86000e-01  9.68329e-01
3.03741e+05  9.87000e-01  9.68257e-01
3.03434e+05  9.88000e-01  9.68031e-01
3.03127e+05  9.89000e-01  9.67961e-01
3.02821e+05  9.90000e-01  9.68409e-01
3.02515e+05  9.91000e-01  9.68033e-01
3.02210e+05  9.92000e-01  9.68207e-01
3.01906e+05  9.93000e-01  9.67544e-01
3.01602e+05  9.94000e-01  9.68289e-01
3.01299e+05  9.95000e-01  9.67441e-01
3.00996e+05  9.96000e-01  9.66751e-01
3.00695e+05  9.97000e-01  9.66901e-01
3.00393e+05  9.98000e-01  9.66181e-01
3.00093e+05  9.99000e-01  9.66333e-01
2.99792e+05  1.00000e+00  9.66489e-01
2.99493e+05  1.00100e+00  9.66044e-01
2.99194e+05  1.00200e+00  9.66194e-01
2.98896e+05  1.00300e+00  9.66022e-01
2.98598e+05  1.00400e+00  9.65533e-01
2.98301e+05  1.00500e+00  9.65505e-01
2.98004e+05  1.00600e+00  9.65147e-01
2.97708e+05  1.00700e+00  9.64787e-01
2.97413e+05  1.00800e+00  9.64739e-01
2.97118e+05  1.00900e+00  9.64397e-01
2.96824e+05  1.01000e+00  9.63673e-01
2.96531e+05  1.01100e+00  9.64136e-01
2.96238e+05  1.01200e+00  9.63765e-01
2.95945e+05  1.01300e+00  9.63385e-01
2.95653e+05  1.01400e+00  9.63337e-01
2.95362e+05  1.01500e+00  9.63308e-01
2.95071e+05  1.01600e+00  9.63105e-01
2.94781e+05  1.01700e+00  9.62526e-01
2.94492e+05  1.01800e+00  9.62515e-01
2.94203e+05  1.01900e+00  9.61910e-01
2.93914e+05  1.02000e+00  9.62066e-01
2.93626e+05  1.02100e+00  9.61662e-01
2.93339e+05  1.02200e+00  9.61035e-01
2.93052e+05  1.02300e+00  9.60642e-01
