GTC_SLOAN_r
frq          wvl          transmission
[GHz]        [micron]                 
5.99585e+05  5.00000e-01  3.28779e-02
5.98388e+05  5.01000e-01  2.81127e-02
5.97196e+05  5.02000e-01  2.11078e-02
5.96009e+05  5.03000e-01  -1.08289e-02
5.94826e+05  5.04000e-01  1.33402e-02
5.93648e+05  5.05000e-01  4.50146e-02
5.92475e+05  5.06000e-01  5.43651e-02
5.91307e+05  5.07000e-01  -6.54765e-03
5.90143e+05  5.08000e-01  2.05181e-02
5.88983e+05  5.09000e-01  4.58250e-02
5.87828e+05  5.10000e-01  3.36661e-02
5.86678e+05  5.11000e-01  4.69328e-02
5.85532e+05  5.12000e-01  3.01010e-02
5.84391e+05  5.13000e-01  8.90685e-03
5.83254e+05  5.14000e-01  3.65725e-02
5.82121e+05  5.15000e-01  7.64967e-03
5.80993e+05  5.16000e-01  1.36639e-02
5.79869e+05  5.17000e-01  6.54591e-03
5.78750e+05  5.18000e-01  1.50338e-02
5.77635e+05  5.19000e-01  4.07737e-02
5.76524e+05  5.20000e-01  3.18655e-02
5.75417e+05  5.21000e-01  2.47618e-02
5.74315e+05  5.22000e-01  1.49537e-02
5.73217e+05  5.23000e-01  2.15245e-02
5.72123e+05  5.24000e-01  3.76748e-02
5.71033e+05  5.25000e-01  2.87050e-02
5.69948e+05  5.26000e-01  1.23134e-02
5.68866e+05  5.27000e-01  -1.60522e-02
5.67789e+05  5.28000e-01  3.49833e-02
5.66715e+05  5.29000e-01  3.24764e-02
5.65646e+05  5.30000e-01  3.91486e-02
5.64581e+05  5.31000e-01  4.07310e-02
5.63520e+05  5.32000e-01  5.43764e-02
5.62462e+05  5.33000e-01  3.50538e-02
5.61409e+05  5.34000e-01  2.83445e-02
5.60360e+05  5.35000e-01  5.06843e-02
5.59314e+05  5.36000e-01  4.29140e-02
5.58273e+05  5.37000e-01  2.31895e-02
5.57235e+05  5.38000e-01  3.45021e-02
5.56201e+05  5.39000e-01  1.61502e-02
5.55171e+05  5.40000e-01  1.62063e-02
5.54145e+05  5.41000e-01  3.12778e-02
5.53123e+05  5.42000e-01  4.38141e-02
5.52104e+05  5.43000e-01  6.71902e-02
5.51089e+05  5.44000e-01  1.08715e-01
5.50078e+05  5.45000e-01  1.44549e-01
5.49070e+05  5.46000e-01  1.79635e-01
5.48067e+05  5.47000e-01  2.24303e-01
5.47067e+05  5.48000e-01  2.65315e-01
5.46070e+05  5.49000e-01  3.07698e-01
5.45077e+05  5.50000e-01  3.51062e-01
5.44088e+05  5.51000e-01  3.92272e-01
5.43102e+05  5.52000e-01  4.31861e-01
5.42120e+05  5.53000e-01  4.70727e-01
5.41142e+05  5.54000e-01  5.09244e-01
5.40167e+05  5.55000e-01  5.46905e-01
5.39195e+05  5.56000e-01  5.83504e-01
5.38227e+05  5.57000e-01  6.19488e-01
5.37262e+05  5.58000e-01  6.51271e-01
5.36301e+05  5.59000e-01  6.80096e-01
5.35344e+05  5.60000e-01  7.06325e-01
5.34389e+05  5.61000e-01  7.27798e-01
