HST_ACS_F775W
frq          wvl          transmission
[GHz]        [micron]                 
4.52828e+05  6.62045e-01  3.80665e-03
4.52785e+05  6.62108e-01  3.82688e-03
4.52741e+05  6.62172e-01  3.84721e-03
4.52697e+05  6.62236e-01  3.86744e-03
4.52654e+05  6.62300e-01  3.88766e-03
4.52610e+05  6.62364e-01  3.90800e-03
4.52567e+05  6.62427e-01  3.92812e-03
4.52523e+05  6.62491e-01  3.94848e-03
4.52479e+05  6.62555e-01  3.96884e-03
4.52436e+05  6.62618e-01  3.98897e-03
4.52393e+05  6.62682e-01  4.00933e-03
4.52349e+05  6.62746e-01  4.02969e-03
4.52305e+05  6.62810e-01  4.04983e-03
4.52262e+05  6.62873e-01  4.07021e-03
4.52219e+05  6.62937e-01  4.09047e-03
4.52175e+05  6.63001e-01  4.11074e-03
4.52131e+05  6.63065e-01  4.13111e-03
4.52088e+05  6.63129e-01  4.15136e-03
4.52045e+05  6.63192e-01  4.17162e-03
4.52001e+05  6.63256e-01  4.19201e-03
4.51958e+05  6.63320e-01  4.21215e-03
4.51914e+05  6.63384e-01  4.23253e-03
4.51870e+05  6.63448e-01  4.25292e-03
4.51827e+05  6.63511e-01  4.27308e-03
4.51783e+05  6.63576e-01  4.29347e-03
4.51740e+05  6.63640e-01  4.31387e-03
4.51697e+05  6.63703e-01  4.33403e-03
4.51653e+05  6.63767e-01  4.35443e-03
4.51610e+05  6.63831e-01  4.37473e-03
4.51566e+05  6.63895e-01  4.39502e-03
4.51523e+05  6.63959e-01  4.41542e-03
4.51479e+05  6.64023e-01  4.43576e-03
4.51436e+05  6.64087e-01  4.45627e-03
4.51392e+05  6.64151e-01  4.47667e-03
4.51349e+05  6.64214e-01  4.49695e-03
4.51306e+05  6.64278e-01  4.51746e-03
4.51262e+05  6.64342e-01  4.53799e-03
4.51219e+05  6.64406e-01  4.55829e-03
4.51175e+05  6.64470e-01  4.57881e-03
4.51132e+05  6.64534e-01  4.59934e-03
4.51088e+05  6.64598e-01  4.61965e-03
4.51045e+05  6.64662e-01  4.64019e-03
4.51002e+05  6.64726e-01  4.66062e-03
4.50958e+05  6.64790e-01  4.68119e-03
4.50915e+05  6.64854e-01  4.70163e-03
4.50871e+05  6.64918e-01  4.72207e-03
4.50828e+05  6.64982e-01  4.74263e-03
4.50785e+05  6.65046e-01  4.76305e-03
4.50741e+05  6.65110e-01  4.78336e-03
4.50698e+05  6.65174e-01  4.80390e-03
4.50654e+05  6.65238e-01  4.82447e-03
4.50611e+05  6.65302e-01  4.84501e-03
4.50568e+05  6.65366e-01  4.86534e-03
4.50524e+05  6.65430e-01  4.88578e-03
4.50481e+05  6.65494e-01  4.90635e-03
4.50438e+05  6.65558e-01  4.92679e-03
4.50394e+05  6.65622e-01  4.94725e-03
4.50351e+05  6.65686e-01  4.96782e-03
4.50308e+05  6.65750e-01  4.98828e-03
4.50265e+05  6.65814e-01  5.00862e-03
4.50221e+05  6.65878e-01  5.02921e-03
4.50177e+05  6.65943e-01  5.04981e-03
4.50134e+05  6.66007e-01  5.07038e-03
4.50092e+05  6.66070e-01  5.09062e-03
4.50048e+05  6.66135e-01  5.11108e-03
4.50004e+05  6.66199e-01  5.13156e-03
4.49961e+05  6.66263e-01  5.15179e-03
4.49918e+05  6.66327e-01  5.17215e-03
4.49875e+05  6.66391e-01  5.19264e-03
4.49832e+05  6.66455e-01  5.21300e-03
4.49788e+05  6.66519e-01  5.23336e-03
4.49744e+05  6.66584e-01  5.25385e-03
4.49701e+05  6.66648e-01  5.27424e-03
4.49658e+05  6.66712e-01  5.29473e-03
4.49615e+05  6.66776e-01  5.31498e-03
4.49572e+05  6.66840e-01  5.33549e-03
4.49528e+05  6.66905e-01  5.35598e-03
4.49486e+05  6.66968e-01  5.37626e-03
4.49442e+05  6.67033e-01  5.39687e-03
4.49399e+05  6.67097e-01  5.41757e-03
4.49355e+05  6.67161e-01  5.43805e-03
4.49312e+05  6.67226e-01  5.45877e-03
4.49269e+05  6.67290e-01  5.47936e-03
4.49226e+05  6.67354e-01  5.49997e-03
4.49182e+05  6.67418e-01  5.52071e-03
4.49139e+05  6.67482e-01  5.54132e-03
4.49096e+05  6.67546e-01  5.56194e-03
4.49053e+05  6.67611e-01  5.58267e-03
4.49010e+05  6.67675e-01  5.60319e-03
4.48967e+05  6.67739e-01  5.62394e-03
4.48923e+05  6.67804e-01  5.64469e-03
