ACS_F814W
frq          wvl          transmission
[GHz]        [micron]                 
7.49481e+05  4.00000e-01  3.22241e-07
6.66205e+05  4.50000e-01  1.40239e-07
5.99585e+05  5.00000e-01  7.11229e-07
5.45077e+05  5.50000e-01  4.02407e-07
4.99654e+05  6.00000e-01  3.82257e-07
4.61219e+05  6.50000e-01  4.91000e-07
4.35745e+05  6.88000e-01  7.23465e-03
4.35112e+05  6.89000e-01  1.13558e-02
4.34482e+05  6.90000e-01  1.63559e-02
4.33853e+05  6.91000e-01  2.42448e-02
4.33226e+05  6.92000e-01  3.41073e-02
4.32601e+05  6.93000e-01  4.69120e-02
4.31978e+05  6.94000e-01  6.31533e-02
4.31356e+05  6.95000e-01  8.22619e-02
4.30736e+05  6.96000e-01  1.05840e-01
4.30118e+05  6.97000e-01  1.30738e-01
4.29502e+05  6.98000e-01  1.59559e-01
4.28888e+05  6.99000e-01  1.92415e-01
4.28275e+05  7.00000e-01  1.98203e-01
4.27664e+05  7.01000e-01  2.39316e-01
4.27055e+05  7.02000e-01  2.71823e-01
4.26447e+05  7.03000e-01  3.15945e-01
4.25842e+05  7.04000e-01  3.54272e-01
4.25238e+05  7.05000e-01  3.92311e-01
4.24635e+05  7.06000e-01  4.27523e-01
4.24035e+05  7.07000e-01  4.67090e-01
4.23436e+05  7.08000e-01  5.04259e-01
4.22838e+05  7.09000e-01  5.37557e-01
4.22243e+05  7.10000e-01  5.60580e-01
4.21649e+05  7.11000e-01  5.93298e-01
4.21057e+05  7.12000e-01  6.10174e-01
4.20466e+05  7.13000e-01  6.37771e-01
4.19877e+05  7.14000e-01  6.52454e-01
4.19290e+05  7.15000e-01  6.82262e-01
4.18705e+05  7.16000e-01  6.86953e-01
4.18121e+05  7.17000e-01  7.03087e-01
4.17538e+05  7.18000e-01  7.27181e-01
4.16958e+05  7.19000e-01  7.41855e-01
4.16378e+05  7.20000e-01  7.68663e-01
4.15801e+05  7.21000e-01  7.78179e-01
4.15225e+05  7.22000e-01  7.89953e-01
4.14651e+05  7.23000e-01  7.98837e-01
4.14078e+05  7.24000e-01  8.17746e-01
4.13507e+05  7.25000e-01  8.19624e-01
4.12937e+05  7.26000e-01  8.46294e-01
4.12369e+05  7.27000e-01  8.40665e-01
4.11803e+05  7.28000e-01  8.41128e-01
4.11238e+05  7.29000e-01  8.44296e-01
4.10675e+05  7.30000e-01  8.45665e-01
4.10113e+05  7.31000e-01  8.42619e-01
4.09553e+05  7.32000e-01  8.54538e-01
4.08994e+05  7.33000e-01  8.44509e-01
4.08437e+05  7.34000e-01  8.60847e-01
4.07881e+05  7.35000e-01  8.55607e-01
4.07327e+05  7.36000e-01  8.51784e-01
4.06774e+05  7.37000e-01  8.62805e-01
4.06223e+05  7.38000e-01  8.43575e-01
4.05673e+05  7.39000e-01  8.79284e-01
4.05125e+05  7.40000e-01  8.65472e-01
4.04578e+05  7.41000e-01  8.61400e-01
4.04033e+05  7.42000e-01  8.59887e-01
4.03489e+05  7.43000e-01  8.66797e-01
4.02947e+05  7.44000e-01  8.75957e-01
4.02406e+05  7.45000e-01  8.69538e-01
4.01867e+05  7.46000e-01  8.92295e-01
4.01329e+05  7.47000e-01  8.47984e-01
4.00792e+05  7.48000e-01  8.55346e-01
4.00257e+05  7.49000e-01  8.80270e-01
3.99723e+05  7.50000e-01  8.59415e-01
3.99191e+05  7.51000e-01  8.37271e-01
3.98660e+05  7.52000e-01  8.62039e-01
3.98131e+05  7.53000e-01  8.42892e-01
3.97603e+05  7.54000e-01  8.36580e-01
3.97076e+05  7.55000e-01  8.32497e-01
3.96551e+05  7.56000e-01  8.12213e-01
3.96027e+05  7.57000e-01  8.19846e-01
3.95505e+05  7.58000e-01  8.34553e-01
3.94983e+05  7.59000e-01  8.20642e-01
3.94464e+05  7.60000e-01  8.08800e-01
3.93945e+05  7.61000e-01  8.36026e-01
3.93428e+05  7.62000e-01  7.94815e-01
3.92913e+05  7.63000e-01  8.36121e-01
3.92399e+05  7.64000e-01  8.39800e-01
3.91886e+05  7.65000e-01  8.43008e-01
3.91374e+05  7.66000e-01  8.57537e-01
3.90864e+05  7.67000e-01  8.47386e-01
3.90355e+05  7.68000e-01  8.42149e-01
3.89847e+05  7.69000e-01  8.41264e-01
3.89341e+05  7.70000e-01  8.18312e-01
3.88836e+05  7.71000e-01  8.26508e-01
3.88332e+05  7.72000e-01  8.07481e-01
3.87830e+05  7.73000e-01  8.16016e-01
3.87329e+05  7.74000e-01  7.91405e-01
3.86829e+05  7.75000e-01  7.95270e-01
3.86330e+05  7.76000e-01  7.99882e-01
3.85833e+05  7.77000e-01  7.80039e-01
3.85337e+05  7.78000e-01  7.72900e-01
3.84843e+05  7.79000e-01  7.61364e-01
3.84349e+05  7.80000e-01  7.72789e-01
3.83857e+05  7.81000e-01  7.70785e-01
3.83366e+05  7.82000e-01  7.70721e-01
3.82877e+05  7.83000e-01  7.73813e-01
3.82388e+05  7.84000e-01  7.75233e-01
3.81901e+05  7.85000e-01  7.79472e-01
3.81415e+05  7.86000e-01  7.77025e-01
3.80931e+05  7.87000e-01  7.91248e-01
3.80447e+05  7.88000e-01  7.81721e-01
3.79965e+05  7.89000e-01  7.80687e-01
3.79484e+05  7.90000e-01  7.82666e-01
3.79004e+05  7.91000e-01  7.79575e-01
3.78526e+05  7.92000e-01  7.84977e-01
3.78048e+05  7.93000e-01  7.69444e-01
3.77572e+05  7.94000e-01  7.67088e-01
3.77097e+05  7.95000e-01  7.74396e-01
3.76624e+05  7.96000e-01  7.43881e-01
3.76151e+05  7.97000e-01  7.58785e-01
3.75680e+05  7.98000e-01  7.51076e-01
3.75210e+05  7.99000e-01  7.64707e-01
3.74741e+05  8.00000e-01  7.47436e-01
3.74273e+05  8.01000e-01  7.47774e-01
3.73806e+05  8.02000e-01  7.40713e-01
3.73341e+05  8.03000e-01  7.27573e-01
3.72876e+05  8.04000e-01  7.44271e-01
3.72413e+05  8.05000e-01  7.29460e-01
3.71951e+05  8.06000e-01  7.36509e-01
3.71490e+05  8.07000e-01  7.22191e-01
3.71030e+05  8.08000e-01  7.21591e-01
3.70572e+05  8.09000e-01  7.27251e-01
3.70114e+05  8.10000e-01  7.09988e-01
3.69658e+05  8.11000e-01  7.21343e-01
3.69203e+05  8.12000e-01  7.21391e-01
3.68748e+05  8.13000e-01  7.28941e-01
3.68295e+05  8.14000e-01  7.06491e-01
3.67844e+05  8.15000e-01  6.92596e-01
3.67393e+05  8.16000e-01  7.08119e-01
3.66943e+05  8.17000e-01  6.96596e-01
3.66494e+05  8.18000e-01  6.85598e-01
3.66047e+05  8.19000e-01  6.91089e-01
3.65601e+05  8.20000e-01  6.80589e-01
3.65155e+05  8.21000e-01  6.91138e-01
3.64711e+05  8.22000e-01  6.79193e-01
3.64268e+05  8.23000e-01  6.68988e-01
3.63826e+05  8.24000e-01  6.71539e-01
3.63385e+05  8.25000e-01  6.69376e-01
3.62945e+05  8.26000e-01  6.69484e-01
3.62506e+05  8.27000e-01  6.59141e-01
3.62068e+05  8.28000e-01  6.66649e-01
3.61631e+05  8.29000e-01  6.60229e-01
3.61196e+05  8.30000e-01  6.50574e-01
3.60761e+05  8.31000e-01  6.40974e-01
3.60327e+05  8.32000e-01  6.42847e-01
3.59895e+05  8.33000e-01  6.41205e-01
3.59463e+05  8.34000e-01  6.34564e-01
3.59033e+05  8.35000e-01  6.33469e-01
3.58603e+05  8.36000e-01  6.30448e-01
3.58175e+05  8.37000e-01  6.26094e-01
3.57748e+05  8.38000e-01  6.24943e-01
3.57321e+05  8.39000e-01  6.14349e-01
3.56896e+05  8.40000e-01  6.24840e-01
3.56471e+05  8.41000e-01  6.11020e-01
3.56048e+05  8.42000e-01  6.12333e-01
3.55626e+05  8.43000e-01  6.12713e-01
3.55204e+05  8.44000e-01  6.07601e-01
3.54784e+05  8.45000e-01  6.06241e-01
3.54365e+05  8.46000e-01  5.88161e-01
3.53946e+05  8.47000e-01  5.94724e-01
3.53529e+05  8.48000e-01  5.93059e-01
3.53112e+05  8.49000e-01  5.89252e-01
3.52697e+05  8.50000e-01  5.77371e-01
3.52283e+05  8.51000e-01  5.79259e-01
3.51869e+05  8.52000e-01  5.73356e-01
3.51457e+05  8.53000e-01  5.88048e-01
3.51045e+05  8.54000e-01  5.62858e-01
3.50634e+05  8.55000e-01  5.69294e-01
3.50225e+05  8.56000e-01  5.76211e-01
3.49816e+05  8.57000e-01  5.78623e-01
3.49408e+05  8.58000e-01  5.51540e-01
3.49002e+05  8.59000e-01  5.66053e-01
3.48596e+05  8.60000e-01  5.49700e-01
3.48191e+05  8.61000e-01  5.47349e-01
3.47787e+05  8.62000e-01  5.42843e-01
3.47384e+05  8.63000e-01  5.45827e-01
3.46982e+05  8.64000e-01  5.42381e-01
3.46581e+05  8.65000e-01  5.30290e-01
3.46181e+05  8.66000e-01  5.32834e-01
3.45781e+05  8.67000e-01  5.29427e-01
3.45383e+05  8.68000e-01  5.17972e-01
3.44986e+05  8.69000e-01  5.18506e-01
3.44589e+05  8.70000e-01  5.13198e-01
3.44193e+05  8.71000e-01  5.04064e-01
3.43799e+05  8.72000e-01  5.09014e-01
3.43405e+05  8.73000e-01  4.97977e-01
3.43012e+05  8.74000e-01  4.95203e-01
3.42620e+05  8.75000e-01  4.92891e-01
3.42229e+05  8.76000e-01  4.82608e-01
3.41839e+05  8.77000e-01  4.87029e-01
3.41449e+05  8.78000e-01  4.83768e-01
3.41061e+05  8.79000e-01  4.79690e-01
3.40673e+05  8.80000e-01  4.75342e-01
3.40287e+05  8.81000e-01  4.76274e-01
3.39901e+05  8.82000e-01  4.72059e-01
3.39516e+05  8.83000e-01  4.69406e-01
3.39132e+05  8.84000e-01  4.66445e-01
3.38749e+05  8.85000e-01  4.66023e-01
3.38366e+05  8.86000e-01  4.59779e-01
3.37985e+05  8.87000e-01  4.56297e-01
3.37604e+05  8.88000e-01  4.49440e-01
3.37224e+05  8.89000e-01  4.46536e-01
3.36845e+05  8.90000e-01  4.41660e-01
3.36467e+05  8.91000e-01  4.41273e-01
3.36090e+05  8.92000e-01  4.25976e-01
3.35714e+05  8.93000e-01  4.22642e-01
3.35338e+05  8.94000e-01  4.24314e-01
3.34964e+05  8.95000e-01  4.18430e-01
3.34590e+05  8.96000e-01  4.11590e-01
3.34217e+05  8.97000e-01  4.01920e-01
3.33845e+05  8.98000e-01  4.03432e-01
3.33473e+05  8.99000e-01  3.99180e-01
3.33103e+05  9.00000e-01  3.98714e-01
3.32733e+05  9.01000e-01  3.98602e-01
3.32364e+05  9.02000e-01  3.95334e-01
3.31996e+05  9.03000e-01  3.90614e-01
