HST_ACS_F850LP
frq          wvl          transmission
[GHz]        [micron]                 
3.74676e+05  8.00138e-01  6.34723e-03
3.74638e+05  8.00219e-01  6.60718e-03
3.74600e+05  8.00300e-01  6.86714e-03
3.74562e+05  8.00381e-01  7.12975e-03
3.74524e+05  8.00462e-01  7.38923e-03
3.74486e+05  8.00543e-01  7.64729e-03
3.74449e+05  8.00624e-01  7.90817e-03
3.74411e+05  8.00705e-01  8.16731e-03
3.74373e+05  8.00786e-01  8.42645e-03
3.74335e+05  8.00867e-01  8.68669e-03
3.74297e+05  8.00948e-01  8.94552e-03
3.74259e+05  8.01029e-01  9.16313e-03
3.74221e+05  8.01110e-01  9.30422e-03
3.74184e+05  8.01191e-01  9.44529e-03
3.74146e+05  8.01272e-01  9.58618e-03
3.74108e+05  8.01353e-01  9.72708e-03
3.74070e+05  8.01434e-01  9.86788e-03
3.74032e+05  8.01516e-01  1.00101e-02
3.73994e+05  8.01596e-01  1.01500e-02
3.73957e+05  8.01677e-01  1.02906e-02
3.73918e+05  8.01759e-01  1.04319e-02
3.73881e+05  8.01840e-01  1.05723e-02
3.73843e+05  8.01921e-01  1.07134e-02
3.73805e+05  8.02002e-01  1.08542e-02
3.73767e+05  8.02083e-01  1.10135e-02
3.73729e+05  8.02165e-01  1.11736e-02
3.73691e+05  8.02246e-01  1.13328e-02
3.73654e+05  8.02327e-01  1.14918e-02
3.73616e+05  8.02408e-01  1.16508e-02
3.73578e+05  8.02489e-01  1.18097e-02
3.73541e+05  8.02570e-01  1.19687e-02
3.73502e+05  8.02652e-01  1.21292e-02
3.73465e+05  8.02732e-01  1.22871e-02
3.73427e+05  8.02814e-01  1.24465e-02
3.73389e+05  8.02895e-01  1.26051e-02
3.73352e+05  8.02976e-01  1.27635e-02
3.73314e+05  8.03058e-01  1.29539e-02
3.73276e+05  8.03139e-01  1.31559e-02
3.73238e+05  8.03220e-01  1.33577e-02
3.73200e+05  8.03302e-01  1.35606e-02
3.73163e+05  8.03383e-01  1.37623e-02
3.73125e+05  8.03464e-01  1.39638e-02
3.73087e+05  8.03545e-01  1.41652e-02
