HST_NICMOS3_F160W
frq          wvl          transmission
[GHz]        [micron]                 
2.21853e+05  1.35131e+00  4.02000e-04
2.21841e+05  1.35138e+00  4.06000e-04
2.21830e+05  1.35145e+00  4.09000e-04
2.21819e+05  1.35152e+00  4.11000e-04
2.21807e+05  1.35159e+00  4.11000e-04
2.21796e+05  1.35166e+00  4.12000e-04
2.21784e+05  1.35173e+00  4.12000e-04
2.21773e+05  1.35180e+00  4.12000e-04
2.21762e+05  1.35187e+00  4.12000e-04
2.21750e+05  1.35194e+00  4.13000e-04
2.21739e+05  1.35201e+00  4.14000e-04
2.21728e+05  1.35208e+00  4.21000e-04
2.21716e+05  1.35215e+00  4.28000e-04
2.21705e+05  1.35221e+00  4.35000e-04
2.21694e+05  1.35228e+00  4.43000e-04
2.21682e+05  1.35235e+00  4.50000e-04
2.21671e+05  1.35242e+00  4.57000e-04
2.21659e+05  1.35249e+00  4.64000e-04
2.21648e+05  1.35256e+00  4.71000e-04
2.21637e+05  1.35263e+00  4.79000e-04
2.21625e+05  1.35270e+00  4.86000e-04
2.21614e+05  1.35277e+00  4.93000e-04
2.21603e+05  1.35284e+00  5.00000e-04
2.21591e+05  1.35291e+00  5.07000e-04
2.21580e+05  1.35298e+00  5.14000e-04
2.21569e+05  1.35305e+00  5.21000e-04
2.21557e+05  1.35312e+00  5.27000e-04
2.21546e+05  1.35319e+00  5.34000e-04
2.21535e+05  1.35325e+00  5.40000e-04
2.21523e+05  1.35332e+00  5.47000e-04
2.21512e+05  1.35339e+00  5.53000e-04
2.21500e+05  1.35346e+00  5.59000e-04
2.21489e+05  1.35353e+00  5.66000e-04
2.21478e+05  1.35360e+00  5.72000e-04
2.21466e+05  1.35367e+00  5.79000e-04
2.21455e+05  1.35374e+00  5.85000e-04
2.21444e+05  1.35381e+00  5.92000e-04
2.21432e+05  1.35388e+00  5.98000e-04
2.21421e+05  1.35395e+00  6.05000e-04
2.21410e+05  1.35402e+00  6.11000e-04
2.21398e+05  1.35409e+00  6.14000e-04
2.21387e+05  1.35416e+00  6.17000e-04
2.21376e+05  1.35423e+00  6.20000e-04
2.21364e+05  1.35430e+00  6.23000e-04
2.21353e+05  1.35437e+00  6.26000e-04
2.21342e+05  1.35443e+00  6.29000e-04
2.21330e+05  1.35450e+00  6.32000e-04
2.21319e+05  1.35457e+00  6.42000e-04
2.21308e+05  1.35464e+00  6.51000e-04
2.21296e+05  1.35471e+00  6.61000e-04
2.21285e+05  1.35478e+00  6.71000e-04
2.21273e+05  1.35485e+00  6.80000e-04
2.21262e+05  1.35492e+00  6.90000e-04
2.21251e+05  1.35499e+00  7.00000e-04
2.21239e+05  1.35506e+00  7.06000e-04
2.21228e+05  1.35513e+00  7.12000e-04
2.21217e+05  1.35520e+00  7.18000e-04
2.21205e+05  1.35527e+00  7.23000e-04
2.21194e+05  1.35534e+00  7.29000e-04
2.21183e+05  1.35541e+00  7.35000e-04
2.21171e+05  1.35548e+00  7.41000e-04
2.21160e+05  1.35555e+00  7.49000e-04
2.21149e+05  1.35562e+00  7.58000e-04
2.21137e+05  1.35569e+00  7.68000e-04
2.21126e+05  1.35575e+00  7.77000e-04
2.21115e+05  1.35582e+00  7.87000e-04
2.21103e+05  1.35589e+00  7.96000e-04
2.21092e+05  1.35596e+00  8.06000e-04
2.21081e+05  1.35603e+00  8.16000e-04
2.21069e+05  1.35610e+00  8.28000e-04
2.21058e+05  1.35617e+00  8.39000e-04
2.21047e+05  1.35624e+00  8.51000e-04
2.21035e+05  1.35631e+00  8.62000e-04
