HST_WFC3_F110W
frq          wvl          transmission
[GHz]        [micron]                 
3.43461e+05  8.72856e-01  4.01000e-04
3.43434e+05  8.72927e-01  4.07000e-04
3.43406e+05  8.72998e-01  4.14000e-04
3.43378e+05  8.73069e-01  4.20000e-04
3.43350e+05  8.73140e-01  4.26000e-04
3.43322e+05  8.73210e-01  4.32000e-04
3.43294e+05  8.73281e-01  4.36000e-04
3.43266e+05  8.73352e-01  4.37000e-04
3.43239e+05  8.73423e-01  4.38000e-04
3.43211e+05  8.73494e-01  4.40000e-04
3.43183e+05  8.73565e-01  4.41000e-04
3.43155e+05  8.73635e-01  4.43000e-04
3.43127e+05  8.73706e-01  4.44000e-04
3.43099e+05  8.73777e-01  4.46000e-04
3.43072e+05  8.73848e-01  4.47000e-04
3.43044e+05  8.73919e-01  4.48000e-04
3.43016e+05  8.73990e-01  4.50000e-04
3.42988e+05  8.74061e-01  4.51000e-04
3.42960e+05  8.74132e-01  4.53000e-04
3.42933e+05  8.74202e-01  4.54000e-04
3.42905e+05  8.74274e-01  4.59000e-04
3.42877e+05  8.74344e-01  4.69000e-04
3.42849e+05  8.74415e-01  4.78000e-04
3.42821e+05  8.74486e-01  4.88000e-04
3.42793e+05  8.74557e-01  4.98000e-04
3.42766e+05  8.74628e-01  5.07000e-04
3.42738e+05  8.74699e-01  5.17000e-04
3.42710e+05  8.74770e-01  5.26000e-04
3.42682e+05  8.74841e-01  5.36000e-04
3.42654e+05  8.74912e-01  5.46000e-04
3.42627e+05  8.74983e-01  5.55000e-04
3.42599e+05  8.75054e-01  5.65000e-04
3.42571e+05  8.75125e-01  5.75000e-04
3.42543e+05  8.75196e-01  5.84000e-04
3.42515e+05  8.75267e-01  5.97000e-04
3.42488e+05  8.75338e-01  6.15000e-04
3.42460e+05  8.75409e-01  6.33000e-04
3.42432e+05  8.75480e-01  6.50000e-04
3.42404e+05  8.75551e-01  6.68000e-04
3.42377e+05  8.75622e-01  6.86000e-04
3.42349e+05  8.75693e-01  7.04000e-04
3.42321e+05  8.75764e-01  7.22000e-04
3.42293e+05  8.75835e-01  7.40000e-04
3.42265e+05  8.75906e-01  7.58000e-04
3.42238e+05  8.75977e-01  7.76000e-04
3.42210e+05  8.76048e-01  7.94000e-04
3.42182e+05  8.76119e-01  8.11000e-04
3.42154e+05  8.76190e-01  8.29000e-04
3.42127e+05  8.76262e-01  8.47000e-04
3.42099e+05  8.76333e-01  8.65000e-04
3.42071e+05  8.76404e-01  8.83000e-04
3.42043e+05  8.76475e-01  9.01000e-04
3.42016e+05  8.76546e-01  9.19000e-04
3.41988e+05  8.76617e-01  9.37000e-04
3.41960e+05  8.76688e-01  9.55000e-04
3.41932e+05  8.76759e-01  9.73000e-04
3.41905e+05  8.76830e-01  9.92000e-04
3.41877e+05  8.76902e-01  1.01000e-03
3.41849e+05  8.76973e-01  1.02800e-03
3.41822e+05  8.77044e-01  1.04600e-03
3.41794e+05  8.77115e-01  1.06400e-03
3.41766e+05  8.77186e-01  1.08200e-03
3.41738e+05  8.77257e-01  1.10000e-03
3.41711e+05  8.77328e-01  1.11800e-03
3.41683e+05  8.77400e-01  1.13600e-03
3.41655e+05  8.77471e-01  1.15400e-03
3.41628e+05  8.77542e-01  1.17200e-03
3.41600e+05  8.77613e-01  1.19000e-03
3.41572e+05  8.77684e-01  1.20900e-03
3.41544e+05  8.77756e-01  1.22700e-03
3.41517e+05  8.77827e-01  1.24500e-03
3.41489e+05  8.77898e-01  1.26300e-03
3.41461e+05  8.77969e-01  1.28100e-03
3.41434e+05  8.78040e-01  1.29900e-03
3.41406e+05  8.78112e-01  1.31800e-03
3.41378e+05  8.78183e-01  1.33600e-03
