HST_WFC3_F130N
frq          wvl          transmission
[GHz]        [micron]                 
2.32595e+05  1.28891e+00  4.13000e-04
2.32576e+05  1.28901e+00  4.66000e-04
2.32557e+05  1.28912e+00  4.93000e-04
2.32538e+05  1.28922e+00  6.30000e-04
2.32519e+05  1.28932e+00  8.28000e-04
2.32500e+05  1.28943e+00  1.02600e-03
2.32481e+05  1.28953e+00  1.22500e-03
2.32462e+05  1.28964e+00  1.49200e-03
2.32444e+05  1.28974e+00  1.77600e-03
2.32425e+05  1.28985e+00  2.00900e-03
2.32406e+05  1.28995e+00  2.23600e-03
2.32387e+05  1.29006e+00  2.71700e-03
2.32368e+05  1.29016e+00  3.20500e-03
2.32350e+05  1.29026e+00  3.74500e-03
2.32331e+05  1.29037e+00  4.33900e-03
2.32312e+05  1.29048e+00  5.19900e-03
2.32293e+05  1.29058e+00  6.08800e-03
2.32274e+05  1.29068e+00  7.06200e-03
2.32255e+05  1.29079e+00  8.20300e-03
2.32236e+05  1.29089e+00  9.66300e-03
2.32218e+05  1.29100e+00  1.13200e-02
2.32199e+05  1.29110e+00  1.32350e-02
2.32180e+05  1.29121e+00  1.56740e-02
2.32161e+05  1.29131e+00  1.85910e-02
2.32142e+05  1.29142e+00  2.21170e-02
2.32123e+05  1.29152e+00  2.60320e-02
2.32105e+05  1.29163e+00  3.10720e-02
2.32086e+05  1.29173e+00  3.65880e-02
2.32067e+05  1.29184e+00  4.37330e-02
2.32048e+05  1.29194e+00  5.13010e-02
2.32029e+05  1.29205e+00  6.12470e-02
2.32010e+05  1.29215e+00  7.15130e-02
2.31992e+05  1.29226e+00  8.45250e-02
2.31973e+05  1.29236e+00  9.78570e-02
2.31954e+05  1.29246e+00  1.14753e-01
2.31935e+05  1.29257e+00  1.32119e-01
2.31916e+05  1.29268e+00  1.51930e-01
2.31898e+05  1.29278e+00  1.72622e-01
2.31879e+05  1.29289e+00  1.95881e-01
2.31860e+05  1.29299e+00  2.19556e-01
2.31841e+05  1.29310e+00  2.44046e-01
2.31822e+05  1.29320e+00  2.69160e-01
2.31804e+05  1.29330e+00  2.95101e-01
2.31785e+05  1.29341e+00  3.20268e-01
2.31766e+05  1.29351e+00  3.44771e-01
2.31747e+05  1.29362e+00  3.67919e-01
2.31728e+05  1.29372e+00  3.90214e-01
2.31709e+05  1.29383e+00  4.09898e-01
2.31691e+05  1.29393e+00  4.28540e-01
2.31672e+05  1.29404e+00  4.48020e-01
2.31653e+05  1.29414e+00  4.67674e-01
2.31634e+05  1.29425e+00  4.77595e-01
2.31616e+05  1.29435e+00  4.86496e-01
2.31597e+05  1.29446e+00  4.91498e-01
2.31578e+05  1.29456e+00  4.96246e-01
2.31559e+05  1.29467e+00  4.98534e-01
2.31540e+05  1.29477e+00  5.00461e-01
2.31522e+05  1.29488e+00  5.00858e-01
2.31503e+05  1.29498e+00  5.01001e-01
2.31484e+05  1.29509e+00  5.00511e-01
2.31465e+05  1.29519e+00  4.99834e-01
2.31447e+05  1.29530e+00  4.98856e-01
2.31428e+05  1.29540e+00  4.97810e-01
2.31409e+05  1.29551e+00  4.96689e-01
2.31390e+05  1.29561e+00  4.95715e-01
2.31371e+05  1.29572e+00  4.94852e-01
2.31353e+05  1.29583e+00  4.94275e-01
2.31334e+05  1.29593e+00  4.93842e-01
2.31315e+05  1.29604e+00  4.93581e-01
2.31296e+05  1.29614e+00  4.93374e-01
2.31278e+05  1.29625e+00  4.93466e-01
2.31259e+05  1.29635e+00  4.93605e-01
2.31240e+05  1.29646e+00  4.94075e-01
2.31221e+05  1.29656e+00  4.94568e-01
2.31203e+05  1.29667e+00  4.95223e-01
2.31184e+05  1.29677e+00  4.95878e-01
2.31165e+05  1.29688e+00  4.96534e-01
2.31146e+05  1.29698e+00  4.97305e-01
