WFC3_F160W
frq          wvl          transmission
[GHz]        [micron]                 
3.74787e+05  7.99900e-01  0.00000e+00
3.74757e+05  7.99965e-01  5.54146e-06
3.74727e+05  8.00029e-01  1.14350e-04
3.74696e+05  8.00094e-01  1.14347e-04
3.74666e+05  8.00160e-01  1.14344e-04
3.74635e+05  8.00225e-01  1.14341e-04
3.74605e+05  8.00290e-01  1.14339e-04
3.74575e+05  8.00355e-01  1.14336e-04
3.74544e+05  8.00419e-01  1.14333e-04
3.74514e+05  8.00484e-01  1.14331e-04
3.74483e+05  8.00549e-01  1.14328e-04
3.74453e+05  8.00614e-01  1.14325e-04
3.74423e+05  8.00679e-01  1.14323e-04
3.74392e+05  8.00744e-01  1.14320e-04
3.74362e+05  8.00809e-01  1.14317e-04
3.74332e+05  8.00874e-01  1.14314e-04
3.74301e+05  8.00939e-01  1.14312e-04
3.74271e+05  8.01004e-01  1.14309e-04
3.74241e+05  8.01069e-01  1.14307e-04
3.74210e+05  8.01134e-01  1.14305e-04
3.74180e+05  8.01199e-01  1.14304e-04
3.74150e+05  8.01264e-01  1.14302e-04
3.74119e+05  8.01329e-01  1.14300e-04
3.74089e+05  8.01394e-01  1.14298e-04
3.74059e+05  8.01459e-01  1.14296e-04
3.74028e+05  8.01524e-01  1.14295e-04
3.73998e+05  8.01589e-01  1.14293e-04
3.73968e+05  8.01654e-01  1.14291e-04
3.73937e+05  8.01719e-01  1.14289e-04
3.73907e+05  8.01784e-01  1.14287e-04
3.73877e+05  8.01848e-01  1.14285e-04
3.73846e+05  8.01914e-01  1.14284e-04
3.73816e+05  8.01979e-01  1.14282e-04
3.73786e+05  8.02044e-01  1.14280e-04
3.73755e+05  8.02109e-01  1.14279e-04
3.73725e+05  8.02174e-01  1.14278e-04
3.73695e+05  8.02239e-01  1.14276e-04
3.73664e+05  8.02304e-01  1.14275e-04
3.73634e+05  8.02369e-01  1.14273e-04
3.73604e+05  8.02434e-01  1.14272e-04
3.73573e+05  8.02499e-01  1.14271e-04
3.73543e+05  8.02565e-01  1.14269e-04
3.73513e+05  8.02630e-01  1.14268e-04
3.73482e+05  8.02695e-01  1.14267e-04
3.73452e+05  8.02760e-01  1.14265e-04
3.73422e+05  8.02825e-01  1.14264e-04
3.73392e+05  8.02890e-01  1.14262e-04
3.73361e+05  8.02956e-01  1.14261e-04
3.73331e+05  8.03020e-01  1.14259e-04
3.73301e+05  8.03086e-01  1.14257e-04
