HST_WFPC2_F702W
frq          wvl          transmission
[GHz]        [micron]                 
5.12466e+05  5.85000e-01  5.05800e-03
5.12291e+05  5.85200e-01  5.53000e-03
5.12116e+05  5.85400e-01  6.08000e-03
5.11941e+05  5.85600e-01  6.63000e-03
5.11766e+05  5.85800e-01  7.21800e-03
5.11591e+05  5.86000e-01  7.90500e-03
5.11417e+05  5.86200e-01  8.61100e-03
5.11242e+05  5.86400e-01  9.39500e-03
5.11068e+05  5.86600e-01  1.01960e-02
5.10894e+05  5.86800e-01  1.10790e-02
5.10720e+05  5.87000e-01  1.20210e-02
5.10546e+05  5.87200e-01  1.30320e-02
5.10372e+05  5.87400e-01  1.41700e-02
5.10198e+05  5.87600e-01  1.53380e-02
5.10025e+05  5.87800e-01  1.66330e-02
5.09851e+05  5.88000e-01  1.80560e-02
5.09678e+05  5.88200e-01  1.95580e-02
5.09505e+05  5.88400e-01  2.12160e-02
5.09331e+05  5.88600e-01  2.30120e-02
5.09158e+05  5.88800e-01  2.49450e-02
5.08985e+05  5.89000e-01  2.70350e-02
5.08813e+05  5.89200e-01  2.93410e-02
5.08640e+05  5.89400e-01  3.18040e-02
5.08468e+05  5.89600e-01  3.44830e-02
5.08295e+05  5.89800e-01  3.74470e-02
5.08123e+05  5.90000e-01  4.06760e-02
5.07951e+05  5.90200e-01  4.42280e-02
5.07779e+05  5.90400e-01  4.80940e-02
5.07607e+05  5.90600e-01  5.23140e-02
5.07435e+05  5.90800e-01  5.68970e-02
5.07263e+05  5.91000e-01  6.19210e-02
5.07091e+05  5.91200e-01  6.72890e-02
5.06920e+05  5.91400e-01  7.30690e-02
5.06749e+05  5.91600e-01  7.93100e-02
5.06577e+05  5.91800e-01  8.59930e-02
5.06406e+05  5.92000e-01  9.31860e-02
5.06235e+05  5.92200e-01  1.00879e-01
5.06064e+05  5.92400e-01  1.09024e-01
5.05893e+05  5.92600e-01  1.17660e-01
5.05723e+05  5.92800e-01  1.26786e-01
5.05552e+05  5.93000e-01  1.36501e-01
5.05382e+05  5.93200e-01  1.46707e-01
5.05211e+05  5.93400e-01  1.57698e-01
5.05041e+05  5.93600e-01  1.69277e-01
5.04871e+05  5.93800e-01  1.81642e-01
5.04701e+05  5.94000e-01  1.94693e-01
5.04531e+05  5.94200e-01  2.08628e-01
5.04361e+05  5.94400e-01  2.23053e-01
5.04192e+05  5.94600e-01  2.38264e-01
5.04022e+05  5.94800e-01  2.54161e-01
5.03853e+05  5.95000e-01  2.70647e-01
5.03684e+05  5.95200e-01  2.88213e-01
5.03514e+05  5.95400e-01  3.06465e-01
5.03345e+05  5.95600e-01  3.25503e-01
5.03176e+05  5.95800e-01  3.45129e-01
5.03007e+05  5.96000e-01  3.65246e-01
5.02839e+05  5.96200e-01  3.85952e-01
5.02670e+05  5.96400e-01  4.06952e-01
5.02502e+05  5.96600e-01  4.28443e-01
5.02333e+05  5.96800e-01  4.50326e-01
5.02165e+05  5.97000e-01  4.72013e-01
5.01997e+05  5.97200e-01  4.93700e-01
5.01829e+05  5.97400e-01  5.14897e-01
5.01661e+05  5.97600e-01  5.35701e-01
5.01493e+05  5.97800e-01  5.55916e-01
5.01325e+05  5.98000e-01  5.75150e-01
5.01158e+05  5.98200e-01  5.93402e-01
5.00990e+05  5.98400e-01  6.10575e-01
5.00823e+05  5.98600e-01  6.26767e-01
5.00655e+05  5.98800e-01  6.41683e-01
5.00488e+05  5.99000e-01  6.55029e-01
5.00321e+05  5.99200e-01  6.67099e-01
5.00154e+05  5.99400e-01  6.77894e-01
4.99987e+05  5.99600e-01  6.87314e-01
4.99821e+05  5.99800e-01  6.95263e-01
4.99654e+05  6.00000e-01  7.02034e-01
4.99488e+05  6.00200e-01  7.07627e-01
4.99321e+05  6.00400e-01  7.12043e-01
4.99155e+05  6.00600e-01  7.15380e-01
4.98989e+05  6.00800e-01  7.17637e-01
4.98823e+05  6.01000e-01  7.19011e-01
4.98657e+05  6.01200e-01  7.19599e-01
4.98491e+05  6.01400e-01  7.19599e-01
4.98325e+05  6.01600e-01  7.18815e-01
4.98160e+05  6.01800e-01  7.17441e-01
4.97994e+05  6.02000e-01  7.15674e-01
4.97829e+05  6.02200e-01  7.13515e-01
4.97663e+05  6.02400e-01  7.11160e-01
4.97498e+05  6.02600e-01  7.08413e-01
4.97333e+05  6.02800e-01  7.05665e-01
4.97168e+05  6.03000e-01  7.02819e-01
4.97003e+05  6.03200e-01  6.99973e-01
4.96839e+05  6.03400e-01  6.97029e-01
4.96674e+05  6.03600e-01  6.94380e-01
4.96510e+05  6.03800e-01  6.91828e-01
4.96345e+05  6.04000e-01  6.89473e-01
4.96181e+05  6.04200e-01  6.87314e-01
4.96017e+05  6.04400e-01  6.85352e-01
4.95853e+05  6.04600e-01  6.83683e-01
4.95689e+05  6.04800e-01  6.82408e-01
4.95525e+05  6.05000e-01  6.81328e-01
4.95361e+05  6.05200e-01  6.80543e-01
4.95197e+05  6.05400e-01  6.80249e-01
4.95034e+05  6.05600e-01  6.80151e-01
4.94870e+05  6.05800e-01  6.80347e-01
4.94707e+05  6.06000e-01  6.80838e-01
4.94544e+05  6.06200e-01  6.81623e-01
4.94381e+05  6.06400e-01  6.82604e-01
4.94218e+05  6.06600e-01  6.83585e-01
4.94055e+05  6.06800e-01  6.84567e-01
4.93892e+05  6.07000e-01  6.85352e-01
4.93729e+05  6.07200e-01  6.86235e-01
4.93567e+05  6.07400e-01  6.87118e-01
4.93404e+05  6.07600e-01  6.87903e-01
4.93242e+05  6.07800e-01  6.88590e-01
4.93080e+05  6.08000e-01  6.89179e-01
4.92918e+05  6.08200e-01  6.89767e-01
4.92756e+05  6.08400e-01  6.90160e-01
4.92594e+05  6.08600e-01  6.90553e-01
4.92432e+05  6.08800e-01  6.90847e-01
4.92270e+05  6.09000e-01  6.91338e-01
4.92108e+05  6.09200e-01  6.91926e-01
4.91947e+05  6.09400e-01  6.92810e-01
4.91786e+05  6.09600e-01  6.93791e-01
4.91624e+05  6.09800e-01  6.95067e-01
4.91463e+05  6.10000e-01  6.96440e-01
4.91302e+05  6.10200e-01  6.98011e-01
4.91141e+05  6.10400e-01  6.99777e-01
4.90980e+05  6.10600e-01  7.01838e-01
4.90819e+05  6.10800e-01  7.03997e-01
4.90659e+05  6.11000e-01  7.06548e-01
4.90498e+05  6.11200e-01  7.09492e-01
4.90338e+05  6.11400e-01  7.12632e-01
4.90177e+05  6.11600e-01  7.15969e-01
4.90017e+05  6.11800e-01  7.19599e-01
4.89857e+05  6.12000e-01  7.23525e-01
4.89697e+05  6.12200e-01  7.27745e-01
4.89537e+05  6.12400e-01  7.32062e-01
4.89377e+05  6.12600e-01  7.36674e-01
4.89217e+05  6.12800e-01  7.41483e-01
4.89058e+05  6.13000e-01  7.46586e-01
4.88898e+05  6.13200e-01  7.51885e-01
4.88739e+05  6.13400e-01  7.57380e-01
4.88580e+05  6.13600e-01  7.63072e-01
4.88420e+05  6.13800e-01  7.68764e-01
4.88261e+05  6.14000e-01  7.74455e-01
4.88102e+05  6.14200e-01  7.80147e-01
4.87943e+05  6.14400e-01  7.85838e-01
4.87785e+05  6.14600e-01  7.91236e-01
4.87626e+05  6.14800e-01  7.96535e-01
4.87467e+05  6.15000e-01  8.01539e-01
4.87309e+05  6.15200e-01  8.06348e-01
4.87151e+05  6.15400e-01  8.11058e-01
4.86992e+05  6.15600e-01  8.15867e-01
4.86834e+05  6.15800e-01  8.20381e-01
4.86676e+05  6.16000e-01  8.24699e-01
4.86518e+05  6.16200e-01  8.28722e-01
4.86360e+05  6.16400e-01  8.32549e-01
4.86202e+05  6.16600e-01  8.36376e-01
4.86045e+05  6.16800e-01  8.40105e-01
4.85887e+05  6.17000e-01  8.43736e-01
4.85730e+05  6.17200e-01  8.47269e-01
4.85572e+05  6.17400e-01  8.50900e-01
4.85415e+05  6.17600e-01  8.54334e-01
4.85258e+05  6.17800e-01  8.57867e-01
4.85101e+05  6.18000e-01  8.61400e-01
4.84944e+05  6.18200e-01  8.64834e-01
4.84787e+05  6.18400e-01  8.68269e-01
4.84631e+05  6.18600e-01  8.71704e-01
4.84474e+05  6.18800e-01  8.75138e-01
4.84317e+05  6.19000e-01  8.78573e-01
4.84161e+05  6.19200e-01  8.81909e-01
4.84005e+05  6.19400e-01  8.85344e-01
4.83848e+05  6.19600e-01  8.88779e-01
4.83692e+05  6.19800e-01  8.91919e-01
4.83536e+05  6.20000e-01  8.94961e-01
4.83380e+05  6.20200e-01  8.98101e-01
4.83224e+05  6.20400e-01  9.01339e-01
4.83069e+05  6.20600e-01  9.04578e-01
4.82913e+05  6.20800e-01  9.07522e-01
4.82758e+05  6.21000e-01  9.10367e-01
4.82602e+05  6.21200e-01  9.13115e-01
4.82447e+05  6.21400e-01  9.15667e-01
4.82292e+05  6.21600e-01  9.17924e-01
4.82136e+05  6.21800e-01  9.20181e-01
4.81981e+05  6.22000e-01  9.22143e-01
4.81827e+05  6.22200e-01  9.24008e-01
4.81672e+05  6.22400e-01  9.25676e-01
4.81517e+05  6.22600e-01  9.27050e-01
4.81362e+05  6.22800e-01  9.28522e-01
4.81208e+05  6.23000e-01  9.29896e-01
4.81053e+05  6.23200e-01  9.31171e-01
4.80899e+05  6.23400e-01  9.32251e-01
4.80745e+05  6.23600e-01  9.33134e-01
4.80591e+05  6.23800e-01  9.33723e-01
4.80437e+05  6.24000e-01  9.34410e-01
4.80283e+05  6.24200e-01  9.34802e-01
4.80129e+05  6.24400e-01  9.35097e-01
4.79975e+05  6.24600e-01  9.35391e-01
4.79821e+05  6.24800e-01  9.35685e-01
4.79668e+05  6.25000e-01  9.35784e-01
4.79514e+05  6.25200e-01  9.35685e-01
4.79361e+05  6.25400e-01  9.35489e-01
4.79208e+05  6.25600e-01  9.35293e-01
4.79055e+05  6.25800e-01  9.35097e-01
4.78902e+05  6.26000e-01  9.34998e-01
4.78749e+05  6.26200e-01  9.34802e-01
4.78596e+05  6.26400e-01  9.34410e-01
4.78443e+05  6.26600e-01  9.34017e-01
4.78290e+05  6.26800e-01  9.33723e-01
4.78138e+05  6.27000e-01  9.33232e-01
4.77985e+05  6.27200e-01  9.32545e-01
4.77833e+05  6.27400e-01  9.31760e-01
4.77681e+05  6.27600e-01  9.30975e-01
4.77529e+05  6.27800e-01  9.30288e-01
4.77377e+05  6.28000e-01  9.29700e-01
4.77225e+05  6.28200e-01  9.29012e-01
4.77073e+05  6.28400e-01  9.28522e-01
4.76921e+05  6.28600e-01  9.27835e-01
4.76769e+05  6.28800e-01  9.27148e-01
4.76618e+05  6.29000e-01  9.26363e-01
4.76466e+05  6.29200e-01  9.25578e-01
4.76315e+05  6.29400e-01  9.24989e-01
4.76163e+05  6.29600e-01  9.24400e-01
4.76012e+05  6.29800e-01  9.23615e-01
4.75861e+05  6.30000e-01  9.22830e-01
4.75710e+05  6.30200e-01  9.22143e-01
4.75559e+05  6.30400e-01  9.21653e-01
4.75408e+05  6.30600e-01  9.21064e-01
4.75258e+05  6.30800e-01  9.20377e-01
4.75107e+05  6.31000e-01  9.19788e-01
4.74956e+05  6.31200e-01  9.19101e-01
4.74806e+05  6.31400e-01  9.18414e-01
4.74656e+05  6.31600e-01  9.17825e-01
4.74505e+05  6.31800e-01  9.17139e-01
4.74355e+05  6.32000e-01  9.16255e-01
