IRAC_4.5micron
frq          wvl          transmission
[GHz]        [micron]                 
8.05355e+04  3.72249e+00  1.20100e-03
8.04777e+04  3.72516e+00  1.09900e-03
8.04199e+04  3.72784e+00  1.11700e-03
8.03621e+04  3.73052e+00  1.21300e-03
8.03042e+04  3.73321e+00  1.21100e-03
8.02464e+04  3.73590e+00  1.25300e-03
8.01886e+04  3.73859e+00  1.23100e-03
8.01308e+04  3.74129e+00  1.20900e-03
8.00730e+04  3.74399e+00  1.23700e-03
8.00153e+04  3.74669e+00  1.19700e-03
7.99574e+04  3.74940e+00  1.12800e-03
7.98995e+04  3.75212e+00  1.09100e-03
7.98418e+04  3.75483e+00  1.03700e-03
7.97840e+04  3.75755e+00  9.56000e-04
7.97261e+04  3.76028e+00  8.58000e-04
7.96683e+04  3.76301e+00  7.17000e-04
7.96105e+04  3.76574e+00  6.02000e-04
7.95526e+04  3.76848e+00  5.78000e-04
7.94948e+04  3.77122e+00  5.87000e-04
7.94371e+04  3.77396e+00  4.74000e-04
7.93793e+04  3.77671e+00  3.77000e-04
7.93215e+04  3.77946e+00  3.17000e-04
7.92636e+04  3.78222e+00  2.33000e-04
7.92058e+04  3.78498e+00  2.30000e-04
7.91479e+04  3.78775e+00  1.57000e-04
7.90903e+04  3.79051e+00  2.28000e-04
7.90323e+04  3.79329e+00  4.24000e-04
7.89746e+04  3.79606e+00  4.74000e-04
7.89168e+04  3.79884e+00  5.63000e-04
7.88589e+04  3.80163e+00  6.33000e-04
7.88011e+04  3.80442e+00  4.51000e-04
7.87433e+04  3.80721e+00  4.64000e-04
7.86855e+04  3.81001e+00  8.50000e-04
7.86277e+04  3.81281e+00  9.42000e-04
7.85698e+04  3.81562e+00  8.12000e-04
7.85120e+04  3.81843e+00  1.03900e-03
7.84542e+04  3.82124e+00  1.13600e-03
7.83964e+04  3.82406e+00  1.04000e-03
7.83386e+04  3.82688e+00  1.32200e-03
7.82807e+04  3.82971e+00  1.36100e-03
7.82229e+04  3.83254e+00  1.19400e-03
7.81652e+04  3.83537e+00  1.18400e-03
7.81074e+04  3.83821e+00  1.10800e-03
7.80496e+04  3.84105e+00  1.12700e-03
7.79917e+04  3.84390e+00  1.19100e-03
7.79340e+04  3.84675e+00  1.14200e-03
7.78761e+04  3.84961e+00  1.13800e-03
7.78182e+04  3.85247e+00  9.46000e-04
7.77605e+04  3.85533e+00  9.72000e-04
7.77027e+04  3.85820e+00  1.02100e-03
7.76449e+04  3.86107e+00  7.73000e-04
7.75870e+04  3.86395e+00  6.93000e-04
7.75293e+04  3.86683e+00  6.47000e-04
7.74714e+04  3.86972e+00  5.23000e-04
7.74135e+04  3.87261e+00  4.51000e-04
7.73558e+04  3.87550e+00  3.66000e-04
7.72980e+04  3.87840e+00  3.98000e-04
7.72402e+04  3.88130e+00  3.91000e-04
7.71824e+04  3.88421e+00  2.23000e-04
7.71246e+04  3.88712e+00  2.26000e-04
7.70667e+04  3.89004e+00  3.07000e-04
7.70089e+04  3.89296e+00  4.01000e-04
7.69510e+04  3.89589e+00  6.64000e-04
7.68933e+04  3.89881e+00  1.20600e-03
7.68354e+04  3.90175e+00  1.62400e-03
7.67775e+04  3.90469e+00  1.92000e-03
7.67198e+04  3.90763e+00  2.69700e-03
7.66619e+04  3.91058e+00  3.55900e-03
7.66041e+04  3.91353e+00  4.23600e-03
7.65464e+04  3.91648e+00  5.16300e-03
7.64886e+04  3.91944e+00  6.27300e-03
7.64307e+04  3.92241e+00  7.32700e-03
7.63729e+04  3.92538e+00  8.78600e-03
7.63151e+04  3.92835e+00  1.06800e-02
7.62573e+04  3.93133e+00  1.23700e-02
7.61995e+04  3.93431e+00  1.43200e-02
7.61416e+04  3.93730e+00  1.66800e-02
7.60839e+04  3.94029e+00  1.93700e-02
7.60260e+04  3.94329e+00  2.23200e-02
7.59682e+04  3.94629e+00  2.58100e-02
7.59105e+04  3.94929e+00  2.99400e-02
7.58527e+04  3.95230e+00  3.47900e-02
7.57947e+04  3.95532e+00  4.02400e-02
7.57369e+04  3.95834e+00  4.69000e-02
7.56792e+04  3.96136e+00  5.48100e-02
7.56213e+04  3.96439e+00  6.38100e-02
7.55636e+04  3.96742e+00  7.43600e-02
7.55057e+04  3.97046e+00  8.66900e-02
7.54480e+04  3.97350e+00  1.01000e-01
7.53901e+04  3.97655e+00  1.17500e-01
7.53323e+04  3.97960e+00  1.35800e-01
7.52744e+04  3.98266e+00  1.57300e-01
7.52166e+04  3.98572e+00  1.79300e-01
7.51587e+04  3.98879e+00  2.02300e-01
7.51009e+04  3.99186e+00  2.28100e-01
7.50432e+04  3.99493e+00  2.52200e-01
7.49854e+04  3.99801e+00  2.77500e-01
7.49275e+04  4.00110e+00  3.00400e-01
7.48697e+04  4.00419e+00  3.20700e-01
7.48120e+04  4.00728e+00  3.39000e-01
7.47541e+04  4.01038e+00  3.55000e-01
7.46962e+04  4.01349e+00  3.66900e-01
7.46386e+04  4.01659e+00  3.75500e-01
7.45806e+04  4.01971e+00  3.80500e-01
7.45228e+04  4.02283e+00  3.83700e-01
7.44650e+04  4.02595e+00  3.85400e-01
7.44072e+04  4.02908e+00  3.84600e-01
7.43494e+04  4.03221e+00  3.82400e-01
7.42916e+04  4.03535e+00  3.79800e-01
7.42338e+04  4.03849e+00  3.78100e-01
7.41759e+04  4.04164e+00  3.74300e-01
7.41182e+04  4.04479e+00  3.69500e-01
7.40603e+04  4.04795e+00  3.65700e-01
7.40025e+04  4.05111e+00  3.60700e-01
7.39447e+04  4.05428e+00  3.56800e-01
7.38869e+04  4.05745e+00  3.53100e-01
7.38291e+04  4.06063e+00  3.48800e-01
7.37713e+04  4.06381e+00  3.44300e-01
7.37134e+04  4.06700e+00  3.40200e-01
7.36556e+04  4.07019e+00  3.36700e-01
7.35978e+04  4.07339e+00  3.33700e-01
7.35400e+04  4.07659e+00  3.30800e-01
7.34821e+04  4.07980e+00  3.28300e-01
7.34244e+04  4.08301e+00  3.26800e-01
7.33665e+04  4.08623e+00  3.26200e-01
7.33087e+04  4.08945e+00  3.25400e-01
7.32509e+04  4.09268e+00  3.24900e-01
7.31931e+04  4.09591e+00  3.25100e-01
7.31353e+04  4.09915e+00  3.26000e-01
7.30775e+04  4.10239e+00  3.28300e-01
7.30197e+04  4.10564e+00  3.30300e-01
7.29619e+04  4.10889e+00  3.32400e-01
7.29041e+04  4.11215e+00  3.35100e-01
7.28461e+04  4.11542e+00  3.38600e-01
7.27885e+04  4.11868e+00  3.44800e-01
7.27306e+04  4.12196e+00  3.50700e-01
7.26727e+04  4.12524e+00  3.55200e-01
7.26150e+04  4.12852e+00  3.61700e-01
7.25572e+04  4.13181e+00  3.68900e-01
7.24993e+04  4.13511e+00  3.76400e-01
7.24415e+04  4.13841e+00  3.83800e-01
7.23837e+04  4.14171e+00  3.91600e-01
7.23259e+04  4.14502e+00  3.99500e-01
7.22681e+04  4.14834e+00  4.08500e-01
7.22103e+04  4.15166e+00  4.18100e-01
7.21524e+04  4.15499e+00  4.26900e-01
7.20946e+04  4.15832e+00  4.34900e-01
7.20367e+04  4.16166e+00  4.41100e-01
7.19790e+04  4.16500e+00  4.47300e-01
7.19211e+04  4.16835e+00  4.54500e-01
7.18634e+04  4.17170e+00  4.60500e-01
7.18055e+04  4.17506e+00  4.66000e-01
7.17478e+04  4.17842e+00  4.70900e-01
7.16900e+04  4.18179e+00  4.75500e-01
7.16321e+04  4.18517e+00  4.79800e-01
7.15743e+04  4.18855e+00  4.84100e-01
7.15166e+04  4.19193e+00  4.88500e-01
7.14586e+04  4.19533e+00  4.90800e-01
7.14009e+04  4.19872e+00  4.92200e-01
7.13430e+04  4.20213e+00  4.94800e-01
7.12853e+04  4.20553e+00  4.96700e-01
7.12274e+04  4.20895e+00  4.97200e-01
7.11695e+04  4.21237e+00  4.97400e-01
7.11118e+04  4.21579e+00  4.97000e-01
7.10540e+04  4.21922e+00  4.97200e-01
7.09961e+04  4.22266e+00  4.96300e-01
7.09383e+04  4.22610e+00  4.94200e-01
7.08805e+04  4.22955e+00  4.92300e-01
7.08227e+04  4.23300e+00  4.90400e-01
7.07649e+04  4.23646e+00  4.88300e-01
7.07071e+04  4.23992e+00  4.87300e-01
7.06493e+04  4.24339e+00  4.84700e-01
7.05914e+04  4.24687e+00  4.80500e-01
7.05336e+04  4.25035e+00  4.77300e-01
7.04759e+04  4.25383e+00  4.74900e-01
7.04180e+04  4.25733e+00  4.72800e-01
7.03603e+04  4.26082e+00  4.70400e-01
7.03024e+04  4.26433e+00  4.68000e-01
7.02445e+04  4.26784e+00  4.67400e-01
7.01868e+04  4.27135e+00  4.66400e-01
7.01290e+04  4.27487e+00  4.64600e-01
7.00712e+04  4.27840e+00  4.65100e-01
7.00134e+04  4.28193e+00  4.65900e-01
6.99556e+04  4.28547e+00  4.65700e-01
6.98977e+04  4.28902e+00  4.66200e-01
6.98399e+04  4.29257e+00  4.67700e-01
6.97820e+04  4.29613e+00  4.71400e-01
6.97242e+04  4.29969e+00  4.74400e-01
6.96664e+04  4.30326e+00  4.77300e-01
6.96086e+04  4.30683e+00  4.80700e-01
6.95508e+04  4.31041e+00  4.83200e-01
6.94929e+04  4.31400e+00  4.86400e-01
6.94351e+04  4.31759e+00  4.90200e-01
6.93773e+04  4.32119e+00  4.92900e-01
6.93195e+04  4.32479e+00  4.95400e-01
6.92617e+04  4.32840e+00  4.98300e-01
6.92038e+04  4.33202e+00  5.01400e-01
6.91461e+04  4.33564e+00  5.04600e-01
6.90882e+04  4.33927e+00  5.06900e-01
6.90305e+04  4.34290e+00  5.09000e-01
6.89727e+04  4.34654e+00  5.10800e-01
6.89148e+04  4.35019e+00  5.12800e-01
6.88570e+04  4.35384e+00  5.14800e-01
6.87992e+04  4.35750e+00  5.15600e-01
6.87414e+04  4.36116e+00  5.16200e-01
6.86837e+04  4.36483e+00  5.19400e-01
6.86258e+04  4.36851e+00  5.22800e-01
6.85680e+04  4.37219e+00  5.23700e-01
6.85102e+04  4.37588e+00  5.25200e-01
6.84523e+04  4.37958e+00  5.27900e-01
6.83945e+04  4.38328e+00  5.29900e-01
6.83367e+04  4.38699e+00  5.31300e-01
6.82788e+04  4.39071e+00  5.33600e-01
6.82210e+04  4.39443e+00  5.36800e-01
6.81633e+04  4.39815e+00  5.39100e-01
6.81054e+04  4.40189e+00  5.40700e-01
6.80476e+04  4.40563e+00  5.42300e-01
6.79899e+04  4.40937e+00  5.43800e-01
6.79319e+04  4.41313e+00  5.45900e-01
6.78741e+04  4.41689e+00  5.47300e-01
6.78164e+04  4.42065e+00  5.47000e-01
6.77586e+04  4.42442e+00  5.47100e-01
6.77007e+04  4.42820e+00  5.47900e-01
6.76429e+04  4.43199e+00  5.48000e-01
6.75851e+04  4.43578e+00  5.48100e-01
6.75274e+04  4.43957e+00  5.48100e-01
6.74695e+04  4.44338e+00  5.46400e-01
6.74117e+04  4.44719e+00  5.46200e-01
6.73538e+04  4.45101e+00  5.46700e-01
6.72960e+04  4.45483e+00  5.44300e-01
6.72382e+04  4.45866e+00  5.41900e-01
6.71804e+04  4.46250e+00  5.41700e-01
6.71226e+04  4.46634e+00  5.41800e-01
6.70648e+04  4.47019e+00  5.40000e-01
6.70070e+04  4.47405e+00  5.37500e-01
6.69492e+04  4.47791e+00  5.36500e-01
6.68914e+04  4.48178e+00  5.35100e-01
6.68335e+04  4.48566e+00  5.32300e-01
6.67758e+04  4.48954e+00  5.31000e-01
6.67180e+04  4.49343e+00  5.29700e-01
6.66601e+04  4.49733e+00  5.26600e-01
6.66022e+04  4.50124e+00  5.23500e-01
6.65444e+04  4.50515e+00  5.21800e-01
6.64867e+04  4.50906e+00  5.19100e-01
6.64288e+04  4.51299e+00  5.16500e-01
6.63710e+04  4.51692e+00  5.15500e-01
6.63131e+04  4.52086e+00  5.13500e-01
6.62554e+04  4.52480e+00  5.11000e-01
6.61976e+04  4.52875e+00  5.09900e-01
6.61398e+04  4.53271e+00  5.08200e-01
6.60819e+04  4.53668e+00  5.06700e-01
6.60241e+04  4.54065e+00  5.06900e-01
6.59663e+04  4.54463e+00  5.06900e-01
6.59084e+04  4.54862e+00  5.05200e-01
6.58507e+04  4.55261e+00  5.04000e-01
6.57929e+04  4.55661e+00  5.03700e-01
6.57350e+04  4.56062e+00  5.03200e-01
6.56773e+04  4.56463e+00  5.03400e-01
6.56195e+04  4.56865e+00  5.03200e-01
6.55617e+04  4.57268e+00  5.01800e-01
6.55038e+04  4.57672e+00  5.00600e-01
6.54460e+04  4.58076e+00  4.99800e-01
6.53882e+04  4.58481e+00  4.98100e-01
6.53303e+04  4.58887e+00  4.95500e-01
6.52726e+04  4.59293e+00  4.93900e-01
6.52147e+04  4.59701e+00  4.93000e-01
6.51568e+04  4.60109e+00  4.91100e-01
6.50991e+04  4.60517e+00  4.88900e-01
6.50412e+04  4.60927e+00  4.86000e-01
6.49834e+04  4.61337e+00  4.83600e-01
6.49257e+04  4.61747e+00  4.81200e-01
6.48678e+04  4.62159e+00  4.77700e-01
6.48100e+04  4.62571e+00  4.75200e-01
6.47522e+04  4.62984e+00  4.72500e-01
6.46944e+04  4.63398e+00  4.69700e-01
6.46366e+04  4.63812e+00  4.70500e-01
6.45787e+04  4.64228e+00  4.71700e-01
6.45209e+04  4.64644e+00  4.72600e-01
6.44632e+04  4.65060e+00  4.74400e-01
6.44053e+04  4.65478e+00  4.75100e-01
6.43475e+04  4.65896e+00  4.76500e-01
6.42897e+04  4.66315e+00  4.79700e-01
6.42318e+04  4.66735e+00  4.82600e-01
6.41741e+04  4.67155e+00  4.84500e-01
6.41163e+04  4.67576e+00  4.86300e-01
6.40585e+04  4.67998e+00  4.88900e-01
6.40006e+04  4.68421e+00  4.91000e-01
6.39428e+04  4.68845e+00  4.92300e-01
6.38850e+04  4.69269e+00  4.94100e-01
6.38272e+04  4.69694e+00  4.95500e-01
6.37693e+04  4.70120e+00  4.97000e-01
6.37115e+04  4.70547e+00  4.98300e-01
6.36537e+04  4.70974e+00  4.98500e-01
6.35959e+04  4.71402e+00  4.97900e-01
6.35381e+04  4.71831e+00  4.96600e-01
6.34802e+04  4.72261e+00  4.94600e-01
6.34225e+04  4.72691e+00  4.93800e-01
6.33646e+04  4.73123e+00  4.92300e-01
6.33068e+04  4.73555e+00  4.89100e-01
6.32491e+04  4.73987e+00  4.85300e-01
6.31912e+04  4.74421e+00  4.83300e-01
6.31333e+04  4.74856e+00  4.80500e-01
6.30756e+04  4.75291e+00  4.76700e-01
6.30178e+04  4.75727e+00  4.73800e-01
6.29599e+04  4.76164e+00  4.70700e-01
6.29022e+04  4.76601e+00  4.67100e-01
6.28443e+04  4.77040e+00  4.64800e-01
6.27865e+04  4.77479e+00  4.62200e-01
6.27287e+04  4.77919e+00  4.58200e-01
6.26709e+04  4.78360e+00  4.54300e-01
6.26130e+04  4.78802e+00  4.51300e-01
6.25553e+04  4.79244e+00  4.49600e-01
6.24974e+04  4.79688e+00  4.48500e-01
6.24396e+04  4.80132e+00  4.46700e-01
6.23818e+04  4.80577e+00  4.45200e-01
6.23239e+04  4.81023e+00  4.43600e-01
6.22662e+04  4.81469e+00  4.42100e-01
6.22083e+04  4.81917e+00  4.42100e-01
6.21505e+04  4.82365e+00  4.42100e-01
6.20927e+04  4.82814e+00  4.40500e-01
6.20349e+04  4.83264e+00  4.39900e-01
6.19771e+04  4.83715e+00  4.41000e-01
6.19194e+04  4.84166e+00  4.41100e-01
6.18615e+04  4.84619e+00  4.40500e-01
6.18037e+04  4.85072e+00  4.40900e-01
6.17458e+04  4.85527e+00  4.41000e-01
6.16880e+04  4.85982e+00  4.40600e-01
6.16303e+04  4.86437e+00  4.41100e-01
6.15724e+04  4.86894e+00  4.41000e-01
6.15146e+04  4.87352e+00  4.41100e-01
6.14568e+04  4.87810e+00  4.41400e-01
6.13989e+04  4.88270e+00  4.41800e-01
6.13411e+04  4.88730e+00  4.43500e-01
6.12833e+04  4.89191e+00  4.44100e-01
6.12255e+04  4.89653e+00  4.44600e-01
6.11677e+04  4.90116e+00  4.45400e-01
6.11099e+04  4.90579e+00  4.46100e-01
6.10521e+04  4.91044e+00  4.46000e-01
6.09943e+04  4.91509e+00  4.43800e-01
6.09364e+04  4.91976e+00  4.41900e-01
6.08786e+04  4.92443e+00  4.39100e-01
6.08208e+04  4.92911e+00  4.34400e-01
6.07630e+04  4.93380e+00  4.27100e-01
6.07052e+04  4.93850e+00  4.18700e-01
6.06473e+04  4.94321e+00  4.10800e-01
6.05896e+04  4.94792e+00  4.02300e-01
6.05317e+04  4.95265e+00  3.93600e-01
6.04740e+04  4.95738e+00  3.86100e-01
6.04161e+04  4.96213e+00  3.80000e-01
6.03583e+04  4.96688e+00  3.76400e-01
6.03005e+04  4.97164e+00  3.74300e-01
6.02427e+04  4.97641e+00  3.72600e-01
6.01849e+04  4.98119e+00  3.71600e-01
6.01271e+04  4.98598e+00  3.72800e-01
6.00693e+04  4.99078e+00  3.68600e-01
6.00114e+04  4.99559e+00  3.56200e-01
5.99536e+04  5.00041e+00  3.30300e-01
5.98958e+04  5.00523e+00  2.93200e-01
5.98380e+04  5.01007e+00  2.47800e-01
5.97801e+04  5.01492e+00  1.92700e-01
5.97223e+04  5.01977e+00  1.39000e-01
5.96646e+04  5.02463e+00  9.68400e-02
5.96067e+04  5.02951e+00  6.53500e-02
5.95489e+04  5.03439e+00  4.23600e-02
5.94911e+04  5.03928e+00  2.73500e-02
5.94332e+04  5.04419e+00  1.74900e-02
5.93754e+04  5.04910e+00  1.08100e-02
5.93176e+04  5.05402e+00  6.69400e-03
5.92598e+04  5.05895e+00  3.75800e-03
5.92020e+04  5.06389e+00  1.99300e-03
5.91442e+04  5.06884e+00  9.01000e-04
5.90864e+04  5.07380e+00  5.91000e-04
5.90286e+04  5.07877e+00  4.86000e-04
5.89707e+04  5.08375e+00  3.03000e-04
5.89129e+04  5.08874e+00  3.00000e-04
5.88551e+04  5.09374e+00  3.69000e-04
5.87974e+04  5.09874e+00  3.03000e-04
5.87395e+04  5.10376e+00  2.05000e-04
5.86817e+04  5.10879e+00  1.80000e-04
5.86239e+04  5.11383e+00  9.60000e-05
5.85660e+04  5.11888e+00  1.08000e-04
5.85082e+04  5.12394e+00  1.18000e-04
5.84505e+04  5.12900e+00  1.90000e-04
5.83926e+04  5.13408e+00  2.74000e-04
5.83348e+04  5.13917e+00  2.65000e-04
5.82770e+04  5.14427e+00  3.05000e-04
5.82191e+04  5.14938e+00  3.15000e-04
5.81613e+04  5.15450e+00  2.83000e-04
5.81035e+04  5.15963e+00  3.71000e-04
5.80458e+04  5.16476e+00  4.58000e-04
5.79879e+04  5.16991e+00  4.66000e-04
5.79301e+04  5.17507e+00  4.60000e-04
5.78723e+04  5.18024e+00  5.00000e-04
5.78145e+04  5.18542e+00  4.89000e-04
5.77567e+04  5.19061e+00  4.11000e-04
5.76989e+04  5.19581e+00  4.21000e-04
5.76410e+04  5.20103e+00  4.77000e-04
5.75832e+04  5.20625e+00  4.31000e-04
5.75254e+04  5.21148e+00  3.84000e-04
5.74676e+04  5.21672e+00  4.02000e-04
5.74097e+04  5.22198e+00  3.86000e-04
