IRAS_60micron
frq          wvl          transmission
[GHz]        [micron]                 
1.11034e+04  2.70000e+01  0.00000e+00
9.99308e+03  3.00000e+01  1.00000e-02
9.08462e+03  3.30000e+01  3.60000e-02
8.32757e+03  3.60000e+01  6.80000e-02
7.68699e+03  3.90000e+01  1.74000e-01
7.13792e+03  4.20000e+01  3.15000e-01
6.66205e+03  4.50000e+01  4.83000e-01
6.24568e+03  4.80000e+01  5.85000e-01
5.87828e+03  5.10000e+01  6.58000e-01
5.55171e+03  5.40000e+01  7.16000e-01
5.25952e+03  5.70000e+01  8.24000e-01
4.99654e+03  6.00000e+01  9.15000e-01
4.75861e+03  6.30000e+01  9.87000e-01
4.54231e+03  6.60000e+01  9.90000e-01
4.34482e+03  6.90000e+01  1.00000e+00
4.16378e+03  7.20000e+01  9.46000e-01
3.99723e+03  7.50000e+01  7.13000e-01
3.84349e+03  7.80000e+01  5.31000e-01
3.70114e+03  8.10000e+01  1.74000e-01
3.56896e+03  8.40000e+01  4.70000e-02
3.44589e+03  8.70000e+01  0.00000e+00
