IRS_22micron
frq          wvl          transmission
[GHz]        [micron]                 
2.09289e+04  1.43243e+01  2.15000e-02
2.08711e+04  1.43640e+01  -1.32000e-02
2.08134e+04  1.44038e+01  7.22000e-03
2.07555e+04  1.44440e+01  3.29000e-03
2.06978e+04  1.44843e+01  -4.04000e-03
2.06399e+04  1.45249e+01  -8.52000e-03
2.05821e+04  1.45657e+01  -4.29000e-03
2.05243e+04  1.46067e+01  -1.22000e-02
2.04664e+04  1.46480e+01  -1.24000e-02
2.04086e+04  1.46895e+01  1.09000e-02
2.03509e+04  1.47312e+01  6.69000e-03
2.02930e+04  1.47732e+01  1.09000e-02
2.02352e+04  1.48154e+01  5.91000e-03
2.01774e+04  1.48578e+01  4.87000e-03
2.01196e+04  1.49005e+01  -6.79000e-03
2.00617e+04  1.49435e+01  6.84000e-03
2.00039e+04  1.49867e+01  3.35000e-03
1.99461e+04  1.50301e+01  7.48000e-03
1.98883e+04  1.50738e+01  1.03000e-02
1.98306e+04  1.51177e+01  7.28000e-03
1.97727e+04  1.51619e+01  4.76000e-04
1.97149e+04  1.52064e+01  4.64000e-03
1.96571e+04  1.52511e+01  3.71000e-03
1.95993e+04  1.52961e+01  2.59000e-03
1.95414e+04  1.53414e+01  4.91000e-03
1.94836e+04  1.53869e+01  6.74000e-03
1.94258e+04  1.54327e+01  1.73000e-03
1.93681e+04  1.54787e+01  2.94000e-03
1.93102e+04  1.55251e+01  5.04000e-03
1.92524e+04  1.55717e+01  8.09000e-03
1.91946e+04  1.56186e+01  6.06000e-03
1.91367e+04  1.56658e+01  3.44000e-03
1.90789e+04  1.57133e+01  4.95000e-03
1.90212e+04  1.57610e+01  -3.50000e-03
1.89633e+04  1.58091e+01  -8.23000e-03
1.89055e+04  1.58574e+01  -8.71000e-03
1.88476e+04  1.59061e+01  -5.80000e-04
1.87899e+04  1.59550e+01  -1.04000e-02
1.87320e+04  1.60043e+01  -8.07000e-03
1.86742e+04  1.60538e+01  -8.27000e-03
1.86164e+04  1.61037e+01  -6.01000e-03
1.85586e+04  1.61538e+01  -6.95000e-03
1.85008e+04  1.62043e+01  4.91000e-03
1.84430e+04  1.62551e+01  6.13000e-03
1.83852e+04  1.63062e+01  9.37000e-03
1.83273e+04  1.63577e+01  7.62000e-03
1.82696e+04  1.64094e+01  2.79000e-03
1.82117e+04  1.64615e+01  -1.61000e-03
1.81538e+04  1.65140e+01  2.07000e-03
1.80961e+04  1.65667e+01  -1.08000e-03
1.80383e+04  1.66198e+01  -1.75000e-03
1.79804e+04  1.66733e+01  -7.53000e-04
1.79226e+04  1.67271e+01  3.87000e-04
1.78648e+04  1.67812e+01  -4.31000e-03
1.78069e+04  1.68357e+01  -7.15000e-03
1.77492e+04  1.68905e+01  -6.42000e-03
1.76914e+04  1.69457e+01  -3.98000e-03
1.76335e+04  1.70013e+01  -6.85000e-03
1.75757e+04  1.70572e+01  -5.34000e-03
1.75179e+04  1.71135e+01  -2.63000e-03
1.74600e+04  1.71702e+01  1.96000e-03
1.74023e+04  1.72272e+01  3.00000e-04
1.73445e+04  1.72846e+01  5.41000e-03
1.72867e+04  1.73424e+01  5.76000e-03
1.72289e+04  1.74006e+01  9.51000e-03
1.71710e+04  1.74592e+01  1.51000e-02
1.71132e+04  1.75182e+01  6.13000e-03
1.70554e+04  1.75776e+01  8.97000e-03
1.69975e+04  1.76374e+01  1.21000e-02
1.69398e+04  1.76975e+01  1.16000e-02
1.68819e+04  1.77582e+01  1.55000e-03
