ISAAC_H
frq          wvl          transmission
[GHz]        [micron]                 
2.36840e+05  1.26580e+00  8.80000e-03
2.36803e+05  1.26600e+00  9.30000e-03
2.36784e+05  1.26610e+00  9.60000e-03
2.36747e+05  1.26630e+00  7.30000e-03
2.36709e+05  1.26650e+00  3.70000e-03
2.36691e+05  1.26660e+00  2.40000e-03
2.36653e+05  1.26680e+00  3.90000e-03
2.36635e+05  1.26690e+00  6.30000e-03
2.36597e+05  1.26710e+00  7.60000e-03
2.36560e+05  1.26730e+00  6.50000e-03
2.36541e+05  1.26740e+00  2.80000e-03
2.36504e+05  1.26760e+00  -2.30000e-03
2.36485e+05  1.26770e+00  -7.70000e-03
2.36448e+05  1.26790e+00  -1.21000e-02
2.36411e+05  1.26810e+00  -1.47000e-02
2.36392e+05  1.26820e+00  -1.54000e-02
2.36355e+05  1.26840e+00  -1.38000e-02
2.36318e+05  1.26860e+00  -1.02000e-02
2.36299e+05  1.26870e+00  -6.00000e-03
2.36262e+05  1.26890e+00  -2.40000e-03
2.36243e+05  1.26900e+00  2.00000e-04
2.36206e+05  1.26920e+00  2.40000e-03
2.36169e+05  1.26940e+00  4.90000e-03
2.36150e+05  1.26950e+00  8.00000e-03
2.36113e+05  1.26970e+00  1.08000e-02
2.36094e+05  1.26980e+00  1.24000e-02
2.36057e+05  1.27000e+00  1.24000e-02
2.36020e+05  1.27020e+00  1.07000e-02
2.36001e+05  1.27030e+00  8.20000e-03
2.35964e+05  1.27050e+00  5.90000e-03
2.35946e+05  1.27060e+00  4.80000e-03
2.35908e+05  1.27080e+00  5.50000e-03
2.35871e+05  1.27100e+00  7.70000e-03
2.35853e+05  1.27110e+00  9.50000e-03
2.35816e+05  1.27130e+00  8.80000e-03
2.35779e+05  1.27150e+00  5.00000e-03
2.35760e+05  1.27160e+00  -4.00000e-04
2.35723e+05  1.27180e+00  -4.50000e-03
2.35704e+05  1.27190e+00  -4.30000e-03
2.35667e+05  1.27210e+00  -8.00000e-04
2.35630e+05  1.27230e+00  3.30000e-03
2.35612e+05  1.27240e+00  5.40000e-03
2.35575e+05  1.27260e+00  3.70000e-03
2.35538e+05  1.27280e+00  -5.00000e-04
2.35519e+05  1.27290e+00  -4.70000e-03
2.35482e+05  1.27310e+00  -8.00000e-03
2.35464e+05  1.27320e+00  -9.40000e-03
2.35427e+05  1.27340e+00  -9.20000e-03
2.35390e+05  1.27360e+00  -7.90000e-03
2.35371e+05  1.27370e+00  -4.80000e-03
2.35334e+05  1.27390e+00  -8.00000e-04
2.35316e+05  1.27400e+00  1.70000e-03
2.35279e+05  1.27420e+00  1.20000e-03
2.35242e+05  1.27440e+00  -2.50000e-03
2.35224e+05  1.27450e+00  -7.40000e-03
2.35187e+05  1.27470e+00  -9.80000e-03
2.35150e+05  1.27490e+00  -8.30000e-03
2.35131e+05  1.27500e+00  -4.50000e-03
2.35094e+05  1.27520e+00  -2.00000e-04
2.35076e+05  1.27530e+00  2.60000e-03
2.35039e+05  1.27550e+00  3.40000e-03
2.35002e+05  1.27570e+00  2.70000e-03
2.34984e+05  1.27580e+00  6.00000e-04
2.34947e+05  1.27600e+00  -2.50000e-03
2.34910e+05  1.27620e+00  -5.70000e-03
2.34892e+05  1.27630e+00  -7.50000e-03
2.34855e+05  1.27650e+00  -6.60000e-03
2.34818e+05  1.27670e+00  -2.10000e-03
2.34800e+05  1.27680e+00  4.20000e-03
2.34763e+05  1.27700e+00  1.02000e-02
2.34745e+05  1.27710e+00  1.50000e-02
2.34708e+05  1.27730e+00  1.83000e-02
2.34671e+05  1.27750e+00  2.08000e-02
2.34653e+05  1.27760e+00  2.27000e-02
2.34616e+05  1.27780e+00  2.31000e-02
2.34579e+05  1.27800e+00  2.06000e-02
2.34561e+05  1.27810e+00  1.52000e-02
2.34524e+05  1.27830e+00  7.50000e-03
2.34506e+05  1.27840e+00  -1.00000e-04
2.34469e+05  1.27860e+00  -6.30000e-03
2.34433e+05  1.27880e+00  -1.12000e-02
2.34414e+05  1.27890e+00  -1.46000e-02
2.34378e+05  1.27910e+00  -1.58000e-02
