ISAAC_J
frq          wvl          transmission
[GHz]        [micron]                 
3.59765e+05  8.33300e-01  -8.48255e+01
3.59722e+05  8.33400e-01  -4.41615e+01
3.59679e+05  8.33500e-01  -3.63744e+02
3.59679e+05  8.33500e-01  -5.12000e+02
3.59636e+05  8.33600e-01  -5.12000e+02
3.59593e+05  8.33700e-01  -3.48011e+02
3.59550e+05  8.33800e-01  -2.07709e+01
3.59550e+05  8.33800e-01  -1.28422e+02
3.59506e+05  8.33900e-01  -4.67062e+02
3.59463e+05  8.34000e-01  -4.19278e+02
3.59463e+05  8.34000e-01  -7.33282e+01
3.59420e+05  8.34100e-01  1.19304e+02
3.59377e+05  8.34200e-01  3.78789e+01
3.59377e+05  8.34200e-01  -2.75218e+02
3.59334e+05  8.34300e-01  -5.10601e+02
3.59291e+05  8.34400e-01  -3.16829e+02
3.59291e+05  8.34400e-01  -4.09520e+00
3.59248e+05  8.34500e-01  3.58000e-02
3.59205e+05  8.34600e-01  9.10750e+00
3.59162e+05  8.34700e-01  3.13887e+02
3.59162e+05  8.34700e-01  5.12000e+02
3.59119e+05  8.34800e-01  3.07481e+02
3.59076e+05  8.34900e-01  -6.79360e+01
3.59076e+05  8.34900e-01  -3.69936e+02
3.59033e+05  8.35000e-01  -5.12000e+02
3.58990e+05  8.35100e-01  -5.12000e+02
3.58990e+05  8.35100e-01  -4.63364e+02
3.58947e+05  8.35200e-01  -2.01240e+02
3.58904e+05  8.35300e-01  1.56689e+02
3.58861e+05  8.35400e-01  4.71708e+02
3.58861e+05  8.35400e-01  4.47122e+02
3.58818e+05  8.35500e-01  1.34376e+02
3.58775e+05  8.35600e-01  -9.60892e+01
3.58775e+05  8.35600e-01  -6.99678e+01
3.58732e+05  8.35700e-01  1.62115e+02
3.58689e+05  8.35800e-01  4.56703e+02
3.58689e+05  8.35800e-01  5.12000e+02
3.58646e+05  8.35900e-01  5.12000e+02
3.58603e+05  8.36000e-01  4.82276e+02
3.58561e+05  8.36100e-01  5.06969e+02
3.58561e+05  8.36100e-01  5.09964e+02
3.58518e+05  8.36200e-01  5.12000e+02
3.58475e+05  8.36300e-01  -1.17672e+01
3.58475e+05  8.36300e-01  -5.07937e+02
3.58432e+05  8.36400e-01  -3.55877e+02
3.58389e+05  8.36500e-01  9.27400e+00
3.58389e+05  8.36500e-01  6.87639e+01
3.58346e+05  8.36600e-01  -5.81500e+00
3.58303e+05  8.36700e-01  -2.10774e+01
3.58261e+05  8.36800e-01  1.26228e+01
3.58261e+05  8.36800e-01  6.93552e+01
3.58218e+05  8.36900e-01  -7.05612e+01
3.58175e+05  8.37000e-01  -4.18491e+02
3.58175e+05  8.37000e-01  -4.63181e+02
3.58132e+05  8.37100e-01  -1.21240e+02
3.58089e+05  8.37200e-01  -2.55454e+01
3.58089e+05  8.37200e-01  -3.57130e+02
3.58047e+05  8.37300e-01  -5.12000e+02
