ISAAC_SZ
frq          wvl          transmission
[GHz]        [micron]                 
3.16003e+05  9.48700e-01  -1.62700e-04
3.15977e+05  9.48780e-01  -1.64400e-04
3.15950e+05  9.48860e-01  -2.12400e-03
3.15924e+05  9.48940e-01  -2.40600e-03
3.15897e+05  9.49021e-01  -2.40800e-03
3.15870e+05  9.49101e-01  -2.40900e-03
3.15843e+05  9.49181e-01  -2.41100e-03
3.15817e+05  9.49261e-01  -2.41300e-03
3.15790e+05  9.49341e-01  -2.41400e-03
3.15763e+05  9.49421e-01  -2.13600e-03
3.15737e+05  9.49501e-01  -2.13800e-03
3.15710e+05  9.49581e-01  -2.42000e-03
3.15684e+05  9.49661e-01  -2.42100e-03
3.15657e+05  9.49742e-01  -2.42300e-03
3.15630e+05  9.49822e-01  -2.42500e-03
3.15604e+05  9.49902e-01  -2.42600e-03
3.15577e+05  9.49982e-01  -2.42800e-03
3.15550e+05  9.50062e-01  -2.43000e-03
3.15524e+05  9.50142e-01  -2.43100e-03
3.15497e+05  9.50222e-01  -2.43300e-03
3.15471e+05  9.50302e-01  -2.43500e-03
3.15444e+05  9.50383e-01  -2.43700e-03
3.15417e+05  9.50463e-01  -2.43800e-03
3.15391e+05  9.50543e-01  -2.44000e-03
3.15364e+05  9.50623e-01  -2.44200e-03
3.15338e+05  9.50703e-01  -2.44300e-03
3.15311e+05  9.50783e-01  -2.44500e-03
3.15285e+05  9.50863e-01  -2.44700e-03
3.15258e+05  9.50943e-01  -2.16900e-03
3.15232e+05  9.51023e-01  -2.17000e-03
3.15205e+05  9.51104e-01  -2.17200e-03
3.15178e+05  9.51184e-01  -2.17400e-03
3.15152e+05  9.51264e-01  -2.17600e-03
3.15125e+05  9.51344e-01  -2.17700e-03
3.15099e+05  9.51424e-01  -2.17900e-03
3.15072e+05  9.51504e-01  -2.18100e-03
3.15046e+05  9.51584e-01  -2.18200e-03
3.15019e+05  9.51664e-01  -2.18400e-03
3.14992e+05  9.51745e-01  -2.18600e-03
3.14966e+05  9.51825e-01  -2.18700e-03
3.14939e+05  9.51905e-01  -2.46900e-03
3.14913e+05  9.51985e-01  -2.47100e-03
3.14887e+05  9.52065e-01  -1.91300e-03
3.14860e+05  9.52145e-01  -2.36000e-04
3.14834e+05  9.52225e-01  -1.63700e-03
3.14807e+05  9.52305e-01  -1.63800e-03
3.14780e+05  9.52386e-01  -1.64000e-03
3.14754e+05  9.52466e-01  -1.64200e-03
3.14728e+05  9.52546e-01  -1.64300e-03
3.14701e+05  9.52626e-01  -1.36500e-03
3.14675e+05  9.52706e-01  -1.36700e-03
3.14648e+05  9.52786e-01  -1.36900e-03
3.14622e+05  9.52866e-01  -1.37000e-03
3.14595e+05  9.52946e-01  -1.37200e-03
3.14569e+05  9.53026e-01  -1.37400e-03
3.14542e+05  9.53107e-01  -1.37600e-03
