ISOCAM7
frq          wvl          transmission
[GHz]        [micron]                 
6.66205e+04  4.50000e+00  5.07180e-03
6.51723e+04  4.60000e+00  5.70400e-03
6.37856e+04  4.70000e+00  6.92720e-03
6.24568e+04  4.80000e+00  3.62163e-02
6.11821e+04  4.90000e+00  1.47750e-01
5.99585e+04  5.00000e+00  2.75319e-01
5.87828e+04  5.10000e+00  3.82382e-01
5.76524e+04  5.20000e+00  3.46498e-01
5.65646e+04  5.30000e+00  4.01191e-01
5.55171e+04  5.40000e+00  4.26128e-01
5.45077e+04  5.50000e+00  4.04865e-01
5.35344e+04  5.60000e+00  4.47668e-01
5.25952e+04  5.70000e+00  4.11386e-01
5.16884e+04  5.80000e+00  3.97280e-01
5.08123e+04  5.90000e+00  3.72600e-01
4.99654e+04  6.00000e+00  3.77832e-01
4.91463e+04  6.10000e+00  4.19516e-01
4.83536e+04  6.20000e+00  4.35045e-01
4.75861e+04  6.30000e+00  4.29138e-01
4.68426e+04  6.40000e+00  4.70250e-01
4.61219e+04  6.50000e+00  4.91030e-01
4.54231e+04  6.60000e+00  4.91330e-01
4.47451e+04  6.70000e+00  5.24052e-01
4.40871e+04  6.80000e+00  5.53543e-01
4.34482e+04  6.90000e+00  5.31960e-01
4.28275e+04  7.00000e+00  5.25205e-01
4.22243e+04  7.10000e+00  5.44367e-01
4.16378e+04  7.20000e+00  6.16468e-01
4.10675e+04  7.30000e+00  6.02623e-01
4.05125e+04  7.40000e+00  6.02302e-01
3.99723e+04  7.50000e+00  5.68665e-01
3.94464e+04  7.60000e+00  6.08330e-01
3.89341e+04  7.70000e+00  5.90633e-01
3.84349e+04  7.80000e+00  5.47469e-01
3.79484e+04  7.90000e+00  5.42426e-01
3.74741e+04  8.00000e+00  5.88868e-01
3.70114e+04  8.10000e+00  5.96842e-01
3.65601e+04  8.20000e+00  6.03201e-01
3.61196e+04  8.30000e+00  5.25596e-01
3.56896e+04  8.40000e+00  1.81131e-01
3.52697e+04  8.50000e+00  6.19699e-02
3.48596e+04  8.60000e+00  1.34425e-02
3.44589e+04  8.70000e+00  4.04583e-02
3.40673e+04  8.80000e+00  2.19858e-02
3.36845e+04  8.90000e+00  1.69667e-03
3.33103e+04  9.00000e+00  3.08173e-02
3.29442e+04  9.10000e+00  1.85672e-02
3.25861e+04  9.20000e+00  1.03079e-02
3.22357e+04  9.30000e+00  1.11829e-02
3.18928e+04  9.40000e+00  0.00000e+00
