ISOCAM_15micron
frq          wvl          transmission
[GHz]        [micron]                 
2.32397e+04  1.29000e+01  1.44092e-02
2.30610e+04  1.30000e+01  2.04855e-03
2.28849e+04  1.31000e+01  9.17385e-03
2.27115e+04  1.32000e+01  8.11487e-03
2.25408e+04  1.33000e+01  1.31222e-02
2.23726e+04  1.34000e+01  1.70756e-02
2.22068e+04  1.35000e+01  1.31484e-02
2.20436e+04  1.36000e+01  3.05514e-03
2.18827e+04  1.37000e+01  1.94816e-02
2.17241e+04  1.38000e+01  6.29714e-02
2.15678e+04  1.39000e+01  1.33029e-01
2.14137e+04  1.40000e+01  3.30038e-01
2.12619e+04  1.41000e+01  6.12800e-01
2.11121e+04  1.42000e+01  7.07410e-01
2.09645e+04  1.43000e+01  7.14383e-01
2.08189e+04  1.44000e+01  7.53769e-01
2.06753e+04  1.45000e+01  7.74708e-01
2.05337e+04  1.46000e+01  7.55119e-01
2.03940e+04  1.47000e+01  7.07460e-01
2.02562e+04  1.48000e+01  7.52379e-01
2.01203e+04  1.49000e+01  7.90000e-01
1.99862e+04  1.50000e+01  6.91593e-01
1.98538e+04  1.51000e+01  6.89971e-01
1.97232e+04  1.52000e+01  5.92161e-01
1.95943e+04  1.53000e+01  6.45392e-01
1.94670e+04  1.54000e+01  5.97991e-01
1.93414e+04  1.55000e+01  5.72093e-01
1.92175e+04  1.56000e+01  5.92879e-01
1.90951e+04  1.57000e+01  5.45677e-01
1.89742e+04  1.58000e+01  3.81431e-01
1.88549e+04  1.59000e+01  2.47367e-01
1.87370e+04  1.60000e+01  1.60062e-01
1.86207e+04  1.61000e+01  7.02248e-02
1.85057e+04  1.62000e+01  9.29579e-02
1.83922e+04  1.63000e+01  3.13391e-02
1.82800e+04  1.64000e+01  4.77818e-02
1.81692e+04  1.65000e+01  5.37810e-02
1.80598e+04  1.66000e+01  6.80888e-03
1.79516e+04  1.67000e+01  6.55038e-02
1.78448e+04  1.68000e+01  0.00000e+00
