JohnsonCousins_U
frq          wvl          transmission
[GHz]        [micron]                 
2.72539e+06  1.10000e-01  -7.74307e-05
2.72663e+06  1.09950e-01  -6.18563e-05
2.72787e+06  1.09900e-01  -8.42172e-05
2.72911e+06  1.09850e-01  -9.33609e-05
2.73035e+06  1.09800e-01  -5.59355e-05
2.73159e+06  1.09750e-01  -6.82366e-05
2.73284e+06  1.09700e-01  -1.11678e-04
2.73409e+06  1.09650e-01  -1.02230e-04
2.73533e+06  1.09600e-01  -6.65332e-05
2.73658e+06  1.09550e-01  -5.46187e-05
2.73783e+06  1.09500e-01  -8.83456e-05
2.73908e+06  1.09450e-01  -6.44851e-05
2.74033e+06  1.09400e-01  -9.68588e-05
2.74159e+06  1.09350e-01  -6.02624e-05
2.74284e+06  1.09300e-01  -8.46771e-05
2.74410e+06  1.09250e-01  -6.50993e-05
2.74535e+06  1.09200e-01  -5.85646e-05
2.74661e+06  1.09150e-01  -6.82306e-05
2.74787e+06  1.09100e-01  -5.82148e-05
2.74913e+06  1.09050e-01  -7.85725e-05
2.75039e+06  1.09000e-01  -3.92237e-05
2.75165e+06  1.08950e-01  -6.99965e-05
2.75292e+06  1.08900e-01  -8.32585e-05
2.75418e+06  1.08850e-01  -8.37441e-05
2.75545e+06  1.08800e-01  -8.60839e-05
2.75671e+06  1.08750e-01  -6.47607e-05
2.75798e+06  1.08700e-01  -3.95738e-05
2.75925e+06  1.08650e-01  -9.77209e-05
2.76052e+06  1.08600e-01  -7.61750e-05
2.76179e+06  1.08550e-01  -5.06672e-05
2.76306e+06  1.08500e-01  -8.73666e-05
2.76434e+06  1.08450e-01  -7.13947e-05
2.76561e+06  1.08400e-01  -7.12324e-05
2.76689e+06  1.08350e-01  -6.89353e-05
2.76817e+06  1.08300e-01  -8.18075e-05
2.76945e+06  1.08250e-01  -6.22552e-05
2.77073e+06  1.08200e-01  -5.24098e-05
2.77201e+06  1.08150e-01  -9.31853e-05
2.77329e+06  1.08100e-01  -8.38989e-05
2.77457e+06  1.08050e-01  -5.51347e-05
2.77586e+06  1.08000e-01  -6.35440e-05
2.77714e+06  1.07950e-01  -7.58565e-05
2.77843e+06  1.07900e-01  -1.20428e-04
2.77972e+06  1.07850e-01  -8.35477e-05
2.78101e+06  1.07800e-01  -8.10042e-05
2.78230e+06  1.07750e-01  -5.97410e-05
2.78359e+06  1.07700e-01  -7.61856e-05
2.78488e+06  1.07650e-01  -9.17857e-05
2.78618e+06  1.07600e-01  -6.85099e-05
2.78747e+06  1.07550e-01  -7.35346e-05
2.78877e+06  1.07500e-01  -9.19630e-05
2.79006e+06  1.07450e-01  -7.47643e-05
2.79136e+06  1.07400e-01  -7.12834e-05
2.79266e+06  1.07350e-01  -6.71067e-05
2.79397e+06  1.07300e-01  -7.03279e-05
2.79527e+06  1.07250e-01  -9.98018e-05
2.79657e+06  1.07200e-01  -1.02295e-04
2.79788e+06  1.07150e-01  -5.58484e-05
2.79918e+06  1.07100e-01  -6.44480e-05
2.80049e+06  1.07050e-01  -1.22563e-04
2.80180e+06  1.07000e-01  -3.44310e-05
2.80311e+06  1.06950e-01  -6.05572e-05
2.80442e+06  1.06900e-01  -8.88694e-05
2.80573e+06  1.06850e-01  -6.57998e-05
2.80705e+06  1.06800e-01  -6.45223e-05
2.80836e+06  1.06750e-01  -8.23557e-05
2.80968e+06  1.06700e-01  -8.08535e-05
