KECKDEIMOS_R
frq          wvl          transmission
[GHz]        [micron]                 
5.45077e+05  5.50000e-01  0.00000e+00
5.45047e+05  5.50030e-01  1.59287e-04
5.45018e+05  5.50060e-01  3.17297e-04
5.44988e+05  5.50090e-01  4.77127e-04
5.44958e+05  5.50120e-01  6.35166e-04
5.44928e+05  5.50151e-01  7.96577e-04
5.44899e+05  5.50180e-01  9.53098e-04
5.44869e+05  5.50210e-01  1.11299e-03
5.44839e+05  5.50240e-01  1.27109e-03
5.44809e+05  5.50271e-01  1.43101e-03
5.44780e+05  5.50300e-01  1.58914e-03
5.44749e+05  5.50331e-01  1.74908e-03
5.44720e+05  5.50361e-01  1.90905e-03
5.44690e+05  5.50391e-01  2.06722e-03
5.44660e+05  5.50421e-01  2.22877e-03
5.44631e+05  5.50451e-01  2.38723e-03
5.44601e+05  5.50481e-01  2.54726e-03
5.44571e+05  5.50511e-01  2.70420e-03
5.44542e+05  5.50541e-01  2.86399e-03
5.44512e+05  5.50571e-01  3.02251e-03
5.44482e+05  5.50601e-01  3.18260e-03
5.44453e+05  5.50631e-01  3.34114e-03
5.44422e+05  5.50662e-01  3.50126e-03
5.44392e+05  5.50692e-01  3.66320e-03
5.44363e+05  5.50722e-01  3.82179e-03
5.44333e+05  5.50752e-01  3.98195e-03
5.44303e+05  5.50782e-01  4.14057e-03
5.44274e+05  5.50812e-01  4.30076e-03
5.44244e+05  5.50842e-01  4.45941e-03
5.44214e+05  5.50872e-01  4.61808e-03
5.44185e+05  5.50902e-01  4.77676e-03
5.44154e+05  5.50933e-01  4.93727e-03
5.44124e+05  5.50963e-01  5.09754e-03
5.44095e+05  5.50993e-01  5.25807e-03
5.44065e+05  5.51023e-01  5.41837e-03
5.44036e+05  5.51053e-01  5.57738e-03
5.44006e+05  5.51083e-01  5.73770e-03
5.43976e+05  5.51113e-01  5.89675e-03
5.43946e+05  5.51144e-01  6.05710e-03
5.43916e+05  5.51174e-01  6.21618e-03
5.43887e+05  5.51204e-01  6.37501e-03
5.43857e+05  5.51234e-01  6.53566e-03
5.43827e+05  5.51264e-01  6.69634e-03
5.43798e+05  5.51294e-01  6.85521e-03
5.43768e+05  5.51324e-01  7.01591e-03
5.43738e+05  5.51355e-01  7.17663e-03
5.43708e+05  5.51385e-01  7.33581e-03
5.43678e+05  5.51415e-01  7.49656e-03
5.43649e+05  5.51445e-01  7.65576e-03
5.43619e+05  5.51475e-01  7.81654e-03
5.43590e+05  5.51505e-01  7.97733e-03
5.43560e+05  5.51535e-01  8.13633e-03
5.43531e+05  5.51565e-01  8.29559e-03
5.43500e+05  5.51596e-01  8.45669e-03
5.43471e+05  5.51625e-01  8.61572e-03
5.43441e+05  5.51656e-01  8.77685e-03
5.43411e+05  5.51686e-01  8.93773e-03
5.43382e+05  5.51716e-01  9.09707e-03
5.43352e+05  5.51746e-01  9.25798e-03
5.43322e+05  5.51777e-01  9.41917e-03
5.43292e+05  5.51807e-01  9.58011e-03
5.43263e+05  5.51837e-01  9.73951e-03
5.43233e+05  5.51867e-01  9.89919e-03
5.43204e+05  5.51897e-01  1.00586e-02
5.43174e+05  5.51927e-01  1.02196e-02
5.43145e+05  5.51957e-01  1.03793e-02
5.43114e+05  5.51988e-01  1.05404e-02
5.43085e+05  5.52018e-01  1.07017e-02
5.43055e+05  5.52048e-01  1.08630e-02
5.43025e+05  5.52079e-01  1.10241e-02
5.42996e+05  5.52108e-01  1.11839e-02
5.42966e+05  5.52139e-01  1.13452e-02
5.42936e+05  5.52169e-01  1.15048e-02
5.42907e+05  5.52199e-01  1.16646e-02
5.42877e+05  5.52229e-01  1.18242e-02
5.42848e+05  5.52259e-01  1.19857e-02
5.42818e+05  5.52289e-01  1.21455e-02
5.42788e+05  5.52320e-01  1.23086e-02
5.42758e+05  5.52350e-01  1.24700e-02
5.42729e+05  5.52380e-01  1.26300e-02
5.42699e+05  5.52410e-01  1.27915e-02
