KECKLRIS_G
frq          wvl          transmission
[GHz]        [micron]                 
9.61043e+05  3.11945e-01  0.00000e+00
9.60666e+05  3.12067e-01  0.00000e+00
9.60290e+05  3.12190e-01  0.00000e+00
9.59914e+05  3.12312e-01  0.00000e+00
9.59538e+05  3.12434e-01  0.00000e+00
9.59162e+05  3.12556e-01  0.00000e+00
9.58787e+05  3.12679e-01  0.00000e+00
9.58412e+05  3.12801e-01  0.00000e+00
9.58038e+05  3.12923e-01  0.00000e+00
9.57663e+05  3.13046e-01  0.00000e+00
9.57289e+05  3.13168e-01  0.00000e+00
9.56916e+05  3.13290e-01  0.00000e+00
9.56542e+05  3.13413e-01  0.00000e+00
9.56169e+05  3.13535e-01  0.00000e+00
9.55796e+05  3.13657e-01  0.00000e+00
9.55423e+05  3.13780e-01  0.00000e+00
9.55051e+05  3.13902e-01  0.00000e+00
9.54679e+05  3.14024e-01  0.00000e+00
9.54307e+05  3.14147e-01  0.00000e+00
9.53936e+05  3.14269e-01  0.00000e+00
9.53565e+05  3.14391e-01  0.00000e+00
9.53194e+05  3.14514e-01  0.00000e+00
9.52823e+05  3.14636e-01  0.00000e+00
9.52453e+05  3.14758e-01  0.00000e+00
9.52083e+05  3.14881e-01  0.00000e+00
9.51713e+05  3.15003e-01  0.00000e+00
9.51344e+05  3.15125e-01  0.00000e+00
9.50975e+05  3.15247e-01  0.00000e+00
9.50606e+05  3.15370e-01  0.00000e+00
9.50238e+05  3.15492e-01  0.00000e+00
9.49869e+05  3.15614e-01  0.00000e+00
9.49501e+05  3.15737e-01  0.00000e+00
9.49134e+05  3.15859e-01  0.00000e+00
9.48766e+05  3.15981e-01  0.00000e+00
9.48399e+05  3.16104e-01  0.00000e+00
9.48032e+05  3.16226e-01  0.00000e+00
9.47666e+05  3.16348e-01  0.00000e+00
9.47299e+05  3.16471e-01  0.00000e+00
9.46933e+05  3.16593e-01  0.00000e+00
9.46568e+05  3.16715e-01  0.00000e+00
9.46202e+05  3.16838e-01  0.00000e+00
9.45837e+05  3.16960e-01  0.00000e+00
9.45472e+05  3.17082e-01  0.00000e+00
9.45108e+05  3.17205e-01  0.00000e+00
9.44743e+05  3.17327e-01  0.00000e+00
9.44379e+05  3.17449e-01  0.00000e+00
9.44015e+05  3.17572e-01  0.00000e+00
9.43652e+05  3.17694e-01  0.00000e+00
9.43289e+05  3.17816e-01  0.00000e+00
9.42926e+05  3.17939e-01  0.00000e+00
9.42563e+05  3.18061e-01  0.00000e+00
9.42201e+05  3.18183e-01  0.00000e+00
9.41839e+05  3.18305e-01  0.00000e+00
9.41477e+05  3.18428e-01  0.00000e+00
9.41116e+05  3.18550e-01  0.00000e+00
9.40754e+05  3.18672e-01  0.00000e+00
9.40393e+05  3.18795e-01  0.00000e+00
9.40033e+05  3.18917e-01  0.00000e+00
9.39672e+05  3.19039e-01  0.00000e+00
9.39312e+05  3.19162e-01  0.00000e+00
9.38952e+05  3.19284e-01  0.00000e+00
9.38593e+05  3.19406e-01  0.00000e+00
9.38233e+05  3.19529e-01  0.00000e+00
9.37874e+05  3.19651e-01  0.00000e+00
9.37516e+05  3.19773e-01  0.00000e+00
9.37157e+05  3.19896e-01  0.00000e+00
9.36799e+05  3.20018e-01  0.00000e+00
9.36441e+05  3.20140e-01  0.00000e+00
9.36083e+05  3.20263e-01  0.00000e+00
9.35726e+05  3.20385e-01  0.00000e+00
9.35369e+05  3.20507e-01  0.00000e+00
9.35012e+05  3.20630e-01  0.00000e+00
9.34655e+05  3.20752e-01  0.00000e+00
9.34299e+05  3.20874e-01  0.00000e+00
9.33943e+05  3.20996e-01  0.00000e+00
9.33587e+05  3.21119e-01  0.00000e+00
9.33232e+05  3.21241e-01  0.00000e+00
9.32877e+05  3.21363e-01  0.00000e+00
9.32522e+05  3.21486e-01  0.00000e+00
9.32167e+05  3.21608e-01  0.00000e+00
9.31813e+05  3.21730e-01  0.00000e+00
9.31459e+05  3.21853e-01  0.00000e+00
9.31105e+05  3.21975e-01  0.00000e+00
9.30751e+05  3.22097e-01  0.00000e+00
9.30398e+05  3.22220e-01  0.00000e+00
9.30045e+05  3.22342e-01  0.00000e+00
9.29692e+05  3.22464e-01  0.00000e+00
9.29339e+05  3.22587e-01  0.00000e+00
9.28987e+05  3.22709e-01  0.00000e+00
9.28635e+05  3.22831e-01  0.00000e+00
9.28283e+05  3.22954e-01  0.00000e+00
9.27932e+05  3.23076e-01  0.00000e+00
9.27581e+05  3.23198e-01  0.00000e+00
9.27230e+05  3.23321e-01  0.00000e+00
9.26879e+05  3.23443e-01  0.00000e+00
9.26529e+05  3.23565e-01  0.00000e+00
9.26179e+05  3.23687e-01  0.00000e+00
9.25829e+05  3.23810e-01  0.00000e+00
9.25479e+05  3.23932e-01  0.00000e+00
9.25130e+05  3.24054e-01  0.00000e+00
9.24781e+05  3.24177e-01  0.00000e+00
9.24432e+05  3.24299e-01  0.00000e+00
9.24084e+05  3.24421e-01  0.00000e+00
9.23735e+05  3.24544e-01  0.00000e+00
9.23387e+05  3.24666e-01  0.00000e+00
9.23039e+05  3.24788e-01  0.00000e+00
9.22692e+05  3.24911e-01  0.00000e+00
9.22345e+05  3.25033e-01  0.00000e+00
9.21998e+05  3.25155e-01  0.00000e+00
9.21651e+05  3.25278e-01  0.00000e+00
9.21305e+05  3.25400e-01  0.00000e+00
9.20958e+05  3.25522e-01  0.00000e+00
9.20612e+05  3.25645e-01  0.00000e+00
9.20267e+05  3.25767e-01  0.00000e+00
9.19921e+05  3.25889e-01  0.00000e+00
9.19576e+05  3.26012e-01  0.00000e+00
9.19231e+05  3.26134e-01  0.00000e+00
9.18887e+05  3.26256e-01  0.00000e+00
9.18542e+05  3.26378e-01  0.00000e+00
9.18198e+05  3.26501e-01  0.00000e+00
9.17854e+05  3.26623e-01  0.00000e+00
9.17511e+05  3.26745e-01  0.00000e+00
9.17167e+05  3.26868e-01  0.00000e+00
9.16824e+05  3.26990e-01  0.00000e+00
9.16481e+05  3.27112e-01  0.00000e+00
9.16139e+05  3.27235e-01  0.00000e+00
9.15797e+05  3.27357e-01  0.00000e+00
9.15455e+05  3.27479e-01  0.00000e+00
9.15113e+05  3.27602e-01  0.00000e+00
9.14771e+05  3.27724e-01  0.00000e+00
9.14430e+05  3.27846e-01  0.00000e+00
9.14089e+05  3.27969e-01  0.00000e+00
9.13748e+05  3.28091e-01  0.00000e+00
9.13408e+05  3.28213e-01  0.00000e+00
9.13067e+05  3.28336e-01  0.00000e+00
9.12727e+05  3.28458e-01  0.00000e+00
9.12387e+05  3.28580e-01  0.00000e+00
9.12048e+05  3.28703e-01  0.00000e+00
9.11709e+05  3.28825e-01  0.00000e+00
9.11370e+05  3.28947e-01  0.00000e+00
9.11031e+05  3.29069e-01  0.00000e+00
9.10692e+05  3.29192e-01  0.00000e+00
9.10354e+05  3.29314e-01  0.00000e+00
9.10016e+05  3.29436e-01  0.00000e+00
9.09678e+05  3.29559e-01  0.00000e+00
9.09341e+05  3.29681e-01  0.00000e+00
9.09004e+05  3.29803e-01  0.00000e+00
9.08667e+05  3.29926e-01  0.00000e+00
9.08330e+05  3.30048e-01  0.00000e+00
9.07993e+05  3.30170e-01  0.00000e+00
9.07657e+05  3.30293e-01  0.00000e+00
9.07321e+05  3.30415e-01  0.00000e+00
9.06985e+05  3.30537e-01  0.00000e+00
9.06650e+05  3.30660e-01  0.00000e+00
9.06314e+05  3.30782e-01  0.00000e+00
9.05979e+05  3.30904e-01  0.00000e+00
9.05645e+05  3.31027e-01  0.00000e+00
9.05310e+05  3.31149e-01  0.00000e+00
9.04976e+05  3.31271e-01  0.00000e+00
9.04642e+05  3.31394e-01  0.00000e+00
9.04308e+05  3.31516e-01  0.00000e+00
9.03974e+05  3.31638e-01  0.00000e+00
9.03641e+05  3.31761e-01  0.00000e+00
9.03308e+05  3.31883e-01  0.00000e+00
9.02975e+05  3.32005e-01  0.00000e+00
9.02643e+05  3.32127e-01  0.00000e+00
9.02310e+05  3.32250e-01  0.00000e+00
9.01978e+05  3.32372e-01  0.00000e+00
9.01647e+05  3.32494e-01  0.00000e+00
9.01315e+05  3.32617e-01  0.00000e+00
9.00984e+05  3.32739e-01  0.00000e+00
9.00653e+05  3.32861e-01  0.00000e+00
9.00322e+05  3.32984e-01  0.00000e+00
8.99991e+05  3.33106e-01  0.00000e+00
8.99661e+05  3.33228e-01  0.00000e+00
8.99331e+05  3.33351e-01  0.00000e+00
8.99001e+05  3.33473e-01  0.00000e+00
8.98671e+05  3.33595e-01  0.00000e+00
8.98342e+05  3.33718e-01  0.00000e+00
8.98013e+05  3.33840e-01  0.00000e+00
8.97684e+05  3.33962e-01  0.00000e+00
8.97355e+05  3.34085e-01  0.00000e+00
8.97027e+05  3.34207e-01  0.00000e+00
8.96698e+05  3.34329e-01  0.00000e+00
8.96370e+05  3.34452e-01  0.00000e+00
8.96043e+05  3.34574e-01  0.00000e+00
8.95715e+05  3.34696e-01  0.00000e+00
8.95388e+05  3.34818e-01  0.00000e+00
8.95061e+05  3.34941e-01  0.00000e+00
8.94734e+05  3.35063e-01  0.00000e+00
8.94408e+05  3.35185e-01  0.00000e+00
8.94082e+05  3.35308e-01  0.00000e+00
8.93755e+05  3.35430e-01  0.00000e+00
8.93430e+05  3.35552e-01  0.00000e+00
8.93104e+05  3.35675e-01  0.00000e+00
8.92779e+05  3.35797e-01  0.00000e+00
8.92454e+05  3.35919e-01  0.00000e+00
8.92129e+05  3.36042e-01  0.00000e+00
8.91804e+05  3.36164e-01  0.00000e+00
8.91480e+05  3.36286e-01  0.00000e+00
8.91156e+05  3.36409e-01  0.00000e+00
8.90832e+05  3.36531e-01  0.00000e+00
8.90508e+05  3.36653e-01  0.00000e+00
8.90185e+05  3.36776e-01  0.00000e+00
8.89862e+05  3.36898e-01  0.00000e+00
8.89539e+05  3.37020e-01  0.00000e+00
8.89216e+05  3.37143e-01  0.00000e+00
8.88893e+05  3.37265e-01  0.00000e+00
8.88571e+05  3.37387e-01  0.00000e+00
8.88249e+05  3.37509e-01  0.00000e+00
8.87927e+05  3.37632e-01  0.00000e+00
8.87606e+05  3.37754e-01  0.00000e+00
8.87284e+05  3.37876e-01  0.00000e+00
8.86963e+05  3.37999e-01  0.00000e+00
8.86642e+05  3.38121e-01  0.00000e+00
8.86322e+05  3.38243e-01  0.00000e+00
8.86001e+05  3.38366e-01  0.00000e+00
8.85681e+05  3.38488e-01  0.00000e+00
8.85361e+05  3.38610e-01  0.00000e+00
8.85041e+05  3.38733e-01  0.00000e+00
8.84722e+05  3.38855e-01  0.00000e+00
8.84403e+05  3.38977e-01  0.00000e+00
8.84084e+05  3.39100e-01  0.00000e+00
8.83765e+05  3.39222e-01  0.00000e+00
8.83446e+05  3.39344e-01  0.00000e+00
8.83128e+05  3.39467e-01  0.00000e+00
8.82810e+05  3.39589e-01  0.00000e+00
8.82492e+05  3.39711e-01  0.00000e+00
8.82174e+05  3.39834e-01  0.00000e+00
8.81857e+05  3.39956e-01  0.00000e+00
8.81540e+05  3.40078e-01  0.00000e+00
8.81223e+05  3.40200e-01  0.00000e+00
8.80906e+05  3.40323e-01  0.00000e+00
8.80590e+05  3.40445e-01  0.00000e+00
8.80273e+05  3.40567e-01  0.00000e+00
8.79957e+05  3.40690e-01  0.00000e+00
8.79642e+05  3.40812e-01  0.00000e+00
8.79326e+05  3.40934e-01  0.00000e+00
8.79011e+05  3.41057e-01  0.00000e+00
8.78695e+05  3.41179e-01  0.00000e+00
8.78381e+05  3.41301e-01  0.00000e+00
8.78066e+05  3.41424e-01  0.00000e+00
8.77751e+05  3.41546e-01  0.00000e+00
8.77437e+05  3.41668e-01  0.00000e+00
8.77123e+05  3.41791e-01  0.00000e+00
8.76809e+05  3.41913e-01  0.00000e+00
8.76496e+05  3.42035e-01  0.00000e+00
8.76182e+05  3.42158e-01  0.00000e+00
8.75869e+05  3.42280e-01  0.00000e+00
8.75556e+05  3.42402e-01  0.00000e+00
8.75244e+05  3.42525e-01  0.00000e+00
8.74931e+05  3.42647e-01  0.00000e+00
8.74619e+05  3.42769e-01  0.00000e+00
8.74307e+05  3.42891e-01  0.00000e+00
8.73995e+05  3.43014e-01  0.00000e+00
8.73684e+05  3.43136e-01  0.00000e+00
8.73372e+05  3.43258e-01  0.00000e+00
8.73061e+05  3.43381e-01  0.00000e+00
