KECKLRIS_I.dat
frq          wvl          transmission
[GHz]        [micron]                 
4.99654e+05  6.00000e-01  1.40700e-02
4.99446e+05  6.00250e-01  1.36300e-02
4.99238e+05  6.00500e-01  1.60100e-02
4.99030e+05  6.00750e-01  1.94400e-02
4.98823e+05  6.01000e-01  1.27700e-02
4.98615e+05  6.01250e-01  9.80100e-03
4.98408e+05  6.01500e-01  8.09400e-03
4.98201e+05  6.01750e-01  7.80900e-03
4.97994e+05  6.02000e-01  1.11900e-02
4.97787e+05  6.02250e-01  8.20500e-03
4.97581e+05  6.02500e-01  0.00000e+00
4.97374e+05  6.02750e-01  0.00000e+00
4.97168e+05  6.03000e-01  0.00000e+00
4.96962e+05  6.03250e-01  0.00000e+00
4.96756e+05  6.03500e-01  0.00000e+00
4.96551e+05  6.03750e-01  0.00000e+00
4.96345e+05  6.04000e-01  0.00000e+00
4.96140e+05  6.04250e-01  8.73500e-04
4.95935e+05  6.04500e-01  7.56600e-03
4.95730e+05  6.04750e-01  1.56600e-02
4.95525e+05  6.05000e-01  1.85700e-02
4.95320e+05  6.05250e-01  1.19600e-02
4.95116e+05  6.05500e-01  6.89100e-03
4.94911e+05  6.05750e-01  0.00000e+00
4.94707e+05  6.06000e-01  0.00000e+00
4.94503e+05  6.06250e-01  0.00000e+00
4.94299e+05  6.06500e-01  0.00000e+00
4.94096e+05  6.06750e-01  0.00000e+00
4.93892e+05  6.07000e-01  0.00000e+00
4.93689e+05  6.07250e-01  0.00000e+00
4.93486e+05  6.07500e-01  0.00000e+00
4.93283e+05  6.07750e-01  0.00000e+00
4.93080e+05  6.08000e-01  0.00000e+00
4.92877e+05  6.08250e-01  0.00000e+00
4.92675e+05  6.08500e-01  9.38300e-03
4.92472e+05  6.08750e-01  1.84100e-02
4.92270e+05  6.09000e-01  1.67000e-02
4.92068e+05  6.09250e-01  1.69700e-02
4.91866e+05  6.09500e-01  1.29500e-02
4.91665e+05  6.09750e-01  8.81600e-03
4.91463e+05  6.10000e-01  8.47300e-03
4.91262e+05  6.10250e-01  3.15000e-03
4.91061e+05  6.10500e-01  0.00000e+00
4.90860e+05  6.10750e-01  0.00000e+00
4.90659e+05  6.11000e-01  0.00000e+00
4.90458e+05  6.11250e-01  0.00000e+00
4.90257e+05  6.11500e-01  0.00000e+00
4.90057e+05  6.11750e-01  9.41800e-04
4.89857e+05  6.12000e-01  7.82600e-03
4.89657e+05  6.12250e-01  6.78400e-03
4.89457e+05  6.12500e-01  1.03500e-03
4.89257e+05  6.12750e-01  0.00000e+00
4.89058e+05  6.13000e-01  0.00000e+00
4.88858e+05  6.13250e-01  5.04500e-03
4.88659e+05  6.13500e-01  4.63600e-03
4.88460e+05  6.13750e-01  0.00000e+00
4.88261e+05  6.14000e-01  0.00000e+00
4.88063e+05  6.14250e-01  0.00000e+00
4.87864e+05  6.14500e-01  0.00000e+00
4.87666e+05  6.14750e-01  8.40300e-03
4.87467e+05  6.15000e-01  1.01900e-02
4.87269e+05  6.15250e-01  9.78200e-03
4.87071e+05  6.15500e-01  7.48400e-03
4.86874e+05  6.15750e-01  1.17800e-03
4.86676e+05  6.16000e-01  0.00000e+00
4.86479e+05  6.16250e-01  0.00000e+00
4.86281e+05  6.16500e-01  0.00000e+00
4.86084e+05  6.16750e-01  0.00000e+00
4.85887e+05  6.17000e-01  0.00000e+00
4.85690e+05  6.17250e-01  0.00000e+00
4.85494e+05  6.17500e-01  0.00000e+00
4.85297e+05  6.17750e-01  3.76600e-03
4.85101e+05  6.18000e-01  9.18100e-03
4.84905e+05  6.18250e-01  1.02700e-02
4.84709e+05  6.18500e-01  7.39300e-03
4.84513e+05  6.18750e-01  3.62400e-03
4.84317e+05  6.19000e-01  3.37900e-04
4.84122e+05  6.19250e-01  0.00000e+00
4.83926e+05  6.19500e-01  0.00000e+00
4.83731e+05  6.19750e-01  0.00000e+00
4.83536e+05  6.20000e-01  0.00000e+00
4.83341e+05  6.20250e-01  0.00000e+00
4.83147e+05  6.20500e-01  0.00000e+00
4.82952e+05  6.20750e-01  0.00000e+00
4.82758e+05  6.21000e-01  3.10000e-03
4.82563e+05  6.21250e-01  1.02500e-02
4.82369e+05  6.21500e-01  1.42500e-02
4.82175e+05  6.21750e-01  8.93200e-03
4.81981e+05  6.22000e-01  0.00000e+00
4.81788e+05  6.22250e-01  0.00000e+00
4.81594e+05  6.22500e-01  0.00000e+00
4.81401e+05  6.22750e-01  7.93500e-04
4.81208e+05  6.23000e-01  5.87600e-03
4.81015e+05  6.23250e-01  3.47800e-03
4.80822e+05  6.23500e-01  0.00000e+00
4.80629e+05  6.23750e-01  0.00000e+00
4.80437e+05  6.24000e-01  0.00000e+00
4.80244e+05  6.24250e-01  0.00000e+00
4.80052e+05  6.24500e-01  0.00000e+00
4.79860e+05  6.24750e-01  0.00000e+00
4.79668e+05  6.25000e-01  0.00000e+00
4.79476e+05  6.25250e-01  0.00000e+00
4.79285e+05  6.25500e-01  0.00000e+00
4.79093e+05  6.25750e-01  1.42000e-04
4.78902e+05  6.26000e-01  1.05300e-03
4.78711e+05  6.26250e-01  6.75800e-04
4.78519e+05  6.26500e-01  0.00000e+00
4.78329e+05  6.26750e-01  0.00000e+00
4.78138e+05  6.27000e-01  0.00000e+00
4.77947e+05  6.27250e-01  0.00000e+00
4.77757e+05  6.27500e-01  4.70000e-03
4.77567e+05  6.27750e-01  9.59100e-03
4.77377e+05  6.28000e-01  7.25500e-03
4.77187e+05  6.28250e-01  4.07600e-03
4.76997e+05  6.28500e-01  8.91200e-04
4.76807e+05  6.28750e-01  0.00000e+00
4.76618e+05  6.29000e-01  0.00000e+00
4.76428e+05  6.29250e-01  0.00000e+00
4.76239e+05  6.29500e-01  0.00000e+00
4.76050e+05  6.29750e-01  0.00000e+00
4.75861e+05  6.30000e-01  0.00000e+00
4.75672e+05  6.30250e-01  0.00000e+00
4.75484e+05  6.30500e-01  0.00000e+00
4.75295e+05  6.30750e-01  5.18000e-03
4.75107e+05  6.31000e-01  8.70900e-03
4.74919e+05  6.31250e-01  7.80100e-03
4.74731e+05  6.31500e-01  1.02900e-03
4.74543e+05  6.31750e-01  0.00000e+00
4.74355e+05  6.32000e-01  0.00000e+00
4.74168e+05  6.32250e-01  1.05200e-03
4.73980e+05  6.32500e-01  1.68500e-03
4.73793e+05  6.32750e-01  0.00000e+00
4.73606e+05  6.33000e-01  0.00000e+00
4.73419e+05  6.33250e-01  0.00000e+00
4.73232e+05  6.33500e-01  0.00000e+00
4.73045e+05  6.33750e-01  0.00000e+00
4.72859e+05  6.34000e-01  0.00000e+00
4.72672e+05  6.34250e-01  0.00000e+00
4.72486e+05  6.34500e-01  0.00000e+00
4.72300e+05  6.34750e-01  7.36600e-05
4.72114e+05  6.35000e-01  4.02700e-03
4.71928e+05  6.35250e-01  4.52100e-03
4.71743e+05  6.35500e-01  5.66000e-03
4.71557e+05  6.35750e-01  3.59300e-03
4.71372e+05  6.36000e-01  6.25900e-04
4.71187e+05  6.36250e-01  2.97400e-04
4.71002e+05  6.36500e-01  4.64900e-04
4.70817e+05  6.36750e-01  2.02000e-03
4.70632e+05  6.37000e-01  4.38300e-03
4.70447e+05  6.37250e-01  5.02400e-03
4.70263e+05  6.37500e-01  3.94800e-03
4.70078e+05  6.37750e-01  2.87600e-03
4.69894e+05  6.38000e-01  4.59800e-04
4.69710e+05  6.38250e-01  5.90200e-04
4.69526e+05  6.38500e-01  3.38000e-03
4.69342e+05  6.38750e-01  5.77300e-03
4.69159e+05  6.39000e-01  5.46200e-03
4.68975e+05  6.39250e-01  1.10500e-03
4.68792e+05  6.39500e-01  0.00000e+00
4.68609e+05  6.39750e-01  0.00000e+00
4.68426e+05  6.40000e-01  0.00000e+00
4.68243e+05  6.40250e-01  4.29500e-03
4.68060e+05  6.40500e-01  5.14800e-03
4.67877e+05  6.40750e-01  3.66700e-03
4.67695e+05  6.41000e-01  2.99600e-03
4.67513e+05  6.41250e-01  2.08400e-03
4.67330e+05  6.41500e-01  6.03600e-04
4.67148e+05  6.41750e-01  0.00000e+00
4.66966e+05  6.42000e-01  0.00000e+00
4.66785e+05  6.42250e-01  0.00000e+00
4.66603e+05  6.42500e-01  0.00000e+00
4.66422e+05  6.42750e-01  0.00000e+00
4.66240e+05  6.43000e-01  3.49100e-03
4.66059e+05  6.43250e-01  6.00400e-03
4.65878e+05  6.43500e-01  7.41300e-03
4.65697e+05  6.43750e-01  7.37600e-03
4.65516e+05  6.44000e-01  5.77200e-03
4.65336e+05  6.44250e-01  4.81900e-03
4.65155e+05  6.44500e-01  5.65000e-03
4.64975e+05  6.44750e-01  5.73100e-03
4.64795e+05  6.45000e-01  3.51500e-03
4.64614e+05  6.45250e-01  1.09000e-04
4.64434e+05  6.45500e-01  0.00000e+00
4.64255e+05  6.45750e-01  0.00000e+00
4.64075e+05  6.46000e-01  0.00000e+00
4.63895e+05  6.46250e-01  3.07300e-03
4.63716e+05  6.46500e-01  3.24000e-03
4.63537e+05  6.46750e-01  9.47300e-04
4.63358e+05  6.47000e-01  0.00000e+00
4.63179e+05  6.47250e-01  0.00000e+00
4.63000e+05  6.47500e-01  0.00000e+00
4.62821e+05  6.47750e-01  5.38400e-04
4.62643e+05  6.48000e-01  1.52600e-03
4.62464e+05  6.48250e-01  1.00700e-03
