KECKLRIS_R
frq          wvl          transmission
[GHz]        [micron]                 
5.72361e+05  5.23782e-01  1.00309e-03
5.72094e+05  5.24027e-01  1.38147e-03
5.71825e+05  5.24273e-01  1.41212e-03
5.71557e+05  5.24519e-01  1.28648e-03
5.71290e+05  5.24764e-01  1.28531e-03
5.71022e+05  5.25010e-01  1.40338e-03
5.70755e+05  5.25256e-01  1.38880e-03
5.70488e+05  5.25502e-01  1.31450e-03
5.70222e+05  5.25747e-01  1.32795e-03
5.69955e+05  5.25993e-01  1.41933e-03
5.69689e+05  5.26239e-01  1.39250e-03
5.69423e+05  5.26485e-01  1.34949e-03
5.69158e+05  5.26730e-01  1.55658e-03
5.68892e+05  5.26976e-01  1.57379e-03
5.68627e+05  5.27222e-01  1.43688e-03
5.68361e+05  5.27468e-01  1.44831e-03
5.68098e+05  5.27713e-01  1.37328e-03
5.67833e+05  5.27959e-01  1.39868e-03
5.67568e+05  5.28205e-01  1.41826e-03
5.67305e+05  5.28450e-01  1.51863e-03
5.67041e+05  5.28696e-01  1.55066e-03
5.66778e+05  5.28942e-01  1.45780e-03
5.66514e+05  5.29188e-01  1.38901e-03
5.66252e+05  5.29433e-01  1.25804e-03
5.65989e+05  5.29679e-01  1.07621e-03
5.65726e+05  5.29925e-01  1.32180e-03
5.65464e+05  5.30171e-01  1.46694e-03
5.65203e+05  5.30416e-01  1.43991e-03
5.64941e+05  5.30662e-01  1.20956e-03
5.64679e+05  5.30908e-01  1.39883e-03
5.64418e+05  5.31153e-01  1.41473e-03
5.64157e+05  5.31399e-01  1.45917e-03
5.63896e+05  5.31645e-01  1.56597e-03
5.63635e+05  5.31891e-01  1.37554e-03
5.63376e+05  5.32136e-01  1.46036e-03
5.63115e+05  5.32382e-01  1.39164e-03
5.62855e+05  5.32628e-01  1.44849e-03
5.62595e+05  5.32874e-01  1.50244e-03
5.62337e+05  5.33119e-01  1.39573e-03
5.62077e+05  5.33365e-01  1.24923e-03
5.61818e+05  5.33611e-01  1.28999e-03
5.61559e+05  5.33857e-01  1.53339e-03
5.61302e+05  5.34102e-01  1.66758e-03
5.61043e+05  5.34348e-01  1.52459e-03
5.60785e+05  5.34594e-01  1.46227e-03
5.60528e+05  5.34839e-01  1.43604e-03
5.60271e+05  5.35085e-01  1.63860e-03
5.60013e+05  5.35331e-01  1.63073e-03
5.59756e+05  5.35577e-01  1.40743e-03
5.59500e+05  5.35822e-01  1.40684e-03
5.59243e+05  5.36068e-01  1.46399e-03
5.58987e+05  5.36314e-01  1.58906e-03
5.58731e+05  5.36560e-01  1.59673e-03
5.58476e+05  5.36805e-01  1.70336e-03
5.58220e+05  5.37051e-01  1.75984e-03
5.57964e+05  5.37297e-01  1.66515e-03
5.57710e+05  5.37542e-01  1.65079e-03
5.57455e+05  5.37788e-01  1.65516e-03
5.57200e+05  5.38034e-01  1.61348e-03
5.56945e+05  5.38280e-01  1.74467e-03
5.56692e+05  5.38525e-01  1.99757e-03
5.56438e+05  5.38771e-01  1.75699e-03
5.56184e+05  5.39017e-01  1.85137e-03
5.55930e+05  5.39263e-01  1.82250e-03
5.55678e+05  5.39508e-01  2.02683e-03
5.55424e+05  5.39754e-01  1.87937e-03
5.55171e+05  5.40000e-01  1.92336e-03
5.54918e+05  5.40246e-01  1.97543e-03
5.54667e+05  5.40491e-01  2.05722e-03
5.54415e+05  5.40737e-01  1.95486e-03
5.54162e+05  5.40983e-01  2.04283e-03
5.53912e+05  5.41228e-01  1.99240e-03
5.53660e+05  5.41474e-01  1.96291e-03
5.53409e+05  5.41720e-01  2.04007e-03
5.53157e+05  5.41966e-01  1.99421e-03
5.52907e+05  5.42211e-01  1.90071e-03
5.52657e+05  5.42457e-01  1.81629e-03
5.52406e+05  5.42703e-01  1.94293e-03
5.52156e+05  5.42949e-01  1.89865e-03
5.51907e+05  5.43194e-01  1.88398e-03
5.51657e+05  5.43440e-01  1.96253e-03
5.51407e+05  5.43686e-01  1.91517e-03
5.51159e+05  5.43931e-01  1.77042e-03
5.50910e+05  5.44177e-01  1.96856e-03
5.50661e+05  5.44423e-01  2.02175e-03
5.50412e+05  5.44669e-01  2.00792e-03
5.50165e+05  5.44914e-01  2.24691e-03
5.49916e+05  5.45160e-01  2.21904e-03
5.49668e+05  5.45406e-01  2.11604e-03
5.49421e+05  5.45652e-01  2.25429e-03
5.49174e+05  5.45897e-01  2.19737e-03
5.48927e+05  5.46143e-01  1.99140e-03
5.48680e+05  5.46389e-01  2.18833e-03
5.48433e+05  5.46635e-01  2.17037e-03
5.48187e+05  5.46880e-01  2.24536e-03
5.47940e+05  5.47126e-01  2.23027e-03
5.47694e+05  5.47372e-01  2.41627e-03
5.47449e+05  5.47617e-01  2.42129e-03
5.47203e+05  5.47863e-01  2.47239e-03
5.46958e+05  5.48109e-01  2.52827e-03
5.46712e+05  5.48355e-01  2.40524e-03
5.46468e+05  5.48600e-01  2.54669e-03
5.46223e+05  5.48846e-01  2.51463e-03
5.45979e+05  5.49092e-01  2.43275e-03
5.45734e+05  5.49338e-01  2.57835e-03
5.45491e+05  5.49583e-01  2.75857e-03
5.45247e+05  5.49829e-01  2.62748e-03
5.45003e+05  5.50075e-01  2.56377e-03
5.44760e+05  5.50320e-01  2.70829e-03
5.44517e+05  5.50566e-01  2.86088e-03
5.44274e+05  5.50812e-01  2.89649e-03
5.44031e+05  5.51058e-01  2.82585e-03
5.43789e+05  5.51303e-01  2.90697e-03
5.43546e+05  5.51549e-01  3.03041e-03
5.43304e+05  5.51795e-01  3.13889e-03
5.43062e+05  5.52041e-01  3.30131e-03
5.42821e+05  5.52286e-01  3.55803e-03
5.42579e+05  5.52532e-01  3.49242e-03
5.42338e+05  5.52778e-01  3.67331e-03
5.42097e+05  5.53024e-01  4.07820e-03
5.41857e+05  5.53269e-01  4.31173e-03
5.41616e+05  5.53515e-01  4.62348e-03
5.41375e+05  5.53761e-01  5.19126e-03
5.41136e+05  5.54006e-01  5.35745e-03
5.40896e+05  5.54252e-01  5.86840e-03
5.40656e+05  5.54498e-01  6.45158e-03
5.40416e+05  5.54744e-01  7.28731e-03
5.40177e+05  5.54989e-01  7.81757e-03
5.39938e+05  5.55235e-01  8.65754e-03
5.39699e+05  5.55481e-01  9.73419e-03
5.39460e+05  5.55727e-01  1.09865e-02
5.39222e+05  5.55972e-01  1.24037e-02
5.38984e+05  5.56218e-01  1.38201e-02
5.38745e+05  5.56464e-01  1.54720e-02
5.38508e+05  5.56709e-01  1.71637e-02
5.38271e+05  5.56955e-01  1.92163e-02
5.38033e+05  5.57201e-01  2.16478e-02
5.37795e+05  5.57447e-01  2.39840e-02
5.37559e+05  5.57692e-01  2.68926e-02
5.37322e+05  5.57938e-01  2.99776e-02
5.37085e+05  5.58184e-01  3.34150e-02
5.36849e+05  5.58430e-01  3.68526e-02
5.36613e+05  5.58675e-01  4.08154e-02
5.36377e+05  5.58921e-01  4.52992e-02
5.36141e+05  5.59167e-01  4.96846e-02
5.35906e+05  5.59412e-01  5.45245e-02
5.35671e+05  5.59658e-01  5.98146e-02
5.35435e+05  5.59904e-01  6.54290e-02
5.35200e+05  5.60150e-01  7.16074e-02
5.34966e+05  5.60395e-01  7.77711e-02
5.34732e+05  5.60641e-01  8.42508e-02
5.34497e+05  5.60887e-01  9.14309e-02
5.34263e+05  5.61133e-01  9.87000e-02
5.34030e+05  5.61378e-01  1.06398e-01
5.33796e+05  5.61624e-01  1.14257e-01
5.33562e+05  5.61870e-01  1.22594e-01
5.33328e+05  5.62116e-01  1.31036e-01
5.33096e+05  5.62361e-01  1.39736e-01
5.32863e+05  5.62607e-01  1.48741e-01
5.32630e+05  5.62853e-01  1.58214e-01
5.32398e+05  5.63098e-01  1.67805e-01
5.32166e+05  5.63344e-01  1.77837e-01
5.31934e+05  5.63590e-01  1.87586e-01
5.31702e+05  5.63836e-01  1.97762e-01
5.31471e+05  5.64081e-01  2.08130e-01
5.31239e+05  5.64327e-01  2.18465e-01
5.31007e+05  5.64573e-01  2.29302e-01
5.30776e+05  5.64819e-01  2.39913e-01
5.30546e+05  5.65064e-01  2.50677e-01
5.30315e+05  5.65310e-01  2.61510e-01
5.30084e+05  5.65556e-01  2.72355e-01
5.29855e+05  5.65801e-01  2.83389e-01
5.29625e+05  5.66047e-01  2.94426e-01
5.29395e+05  5.66293e-01  3.05663e-01
5.29165e+05  5.66539e-01  3.16444e-01
5.28936e+05  5.66784e-01  3.27215e-01
5.28707e+05  5.67030e-01  3.38139e-01
5.28477e+05  5.67276e-01  3.48933e-01
5.28248e+05  5.67522e-01  3.59810e-01
5.28020e+05  5.67767e-01  3.70275e-01
5.27792e+05  5.68013e-01  3.80942e-01
5.27563e+05  5.68259e-01  3.91528e-01
5.27335e+05  5.68505e-01  4.01683e-01
5.27108e+05  5.68750e-01  4.11974e-01
5.26880e+05  5.68996e-01  4.22043e-01
5.26652e+05  5.69242e-01  4.31968e-01
5.26425e+05  5.69487e-01  4.41952e-01
5.26198e+05  5.69733e-01  4.51828e-01
5.25971e+05  5.69979e-01  4.61303e-01
5.25744e+05  5.70225e-01  4.70581e-01
5.25518e+05  5.70470e-01  4.79708e-01
5.25292e+05  5.70716e-01  4.88924e-01
5.25066e+05  5.70962e-01  4.97931e-01
5.24839e+05  5.71208e-01  5.06547e-01
5.24614e+05  5.71453e-01  5.14633e-01
5.24389e+05  5.71699e-01  5.22771e-01
5.24163e+05  5.71945e-01  5.31362e-01
5.23939e+05  5.72190e-01  5.39827e-01
5.23713e+05  5.72436e-01  5.47256e-01
5.23489e+05  5.72682e-01  5.54683e-01
5.23264e+05  5.72928e-01  5.62421e-01
5.23040e+05  5.73173e-01  5.69816e-01
5.22816e+05  5.73419e-01  5.76511e-01
5.22592e+05  5.73665e-01  5.83808e-01
