KPNO_R
frq          wvl          transmission
[GHz]        [micron]                 
5.76524e+05  5.20000e-01  1.00000e-04
5.76081e+05  5.20400e-01  -2.00000e-04
5.75638e+05  5.20800e-01  2.50000e-04
5.75197e+05  5.21200e-01  1.00000e-04
5.74755e+05  5.21600e-01  -2.00000e-04
5.74315e+05  5.22000e-01  -5.00000e-05
5.73875e+05  5.22400e-01  5.00000e-05
5.73436e+05  5.22800e-01  1.00000e-04
5.72998e+05  5.23200e-01  -1.50000e-04
5.72560e+05  5.23600e-01  -2.00000e-04
5.72123e+05  5.24000e-01  2.00000e-04
5.71687e+05  5.24400e-01  -5.00000e-05
5.71251e+05  5.24800e-01  2.00000e-04
5.70816e+05  5.25200e-01  5.50000e-04
5.70381e+05  5.25600e-01  3.00000e-04
5.69948e+05  5.26000e-01  -5.00000e-05
5.69515e+05  5.26400e-01  -1.50000e-04
5.69082e+05  5.26800e-01  3.50000e-04
5.68650e+05  5.27200e-01  6.50000e-04
5.68219e+05  5.27600e-01  2.00000e-04
5.67789e+05  5.28000e-01  2.50000e-04
5.67359e+05  5.28400e-01  -4.00000e-04
5.66930e+05  5.28800e-01  1.00000e-04
5.66501e+05  5.29200e-01  2.50000e-04
5.66073e+05  5.29600e-01  2.00000e-04
5.65646e+05  5.30000e-01  5.50000e-04
5.65220e+05  5.30400e-01  5.00000e-05
5.64794e+05  5.30800e-01  2.50000e-04
5.64368e+05  5.31200e-01  0.00000e+00
5.63944e+05  5.31600e-01  1.00000e-04
5.63520e+05  5.32000e-01  1.50000e-04
5.63096e+05  5.32400e-01  -4.00000e-04
5.62674e+05  5.32800e-01  5.00000e-05
5.62251e+05  5.33200e-01  -1.50000e-04
5.61830e+05  5.33600e-01  3.00000e-04
5.61409e+05  5.34000e-01  2.50000e-04
5.60989e+05  5.34400e-01  1.00000e-04
5.60569e+05  5.34800e-01  1.00000e-04
5.60150e+05  5.35200e-01  3.50000e-04
5.59732e+05  5.35600e-01  0.00000e+00
5.59314e+05  5.36000e-01  -7.00000e-04
5.58897e+05  5.36400e-01  -1.00000e-04
5.58481e+05  5.36800e-01  0.00000e+00
5.58065e+05  5.37200e-01  5.00000e-04
5.57650e+05  5.37600e-01  4.00000e-04
5.57235e+05  5.38000e-01  2.00000e-04
5.56821e+05  5.38400e-01  2.50000e-04
5.56408e+05  5.38800e-01  3.50000e-04
5.55995e+05  5.39200e-01  -7.00000e-04
5.55583e+05  5.39600e-01  -2.50000e-04
