KPNO_U
frq          wvl          transmission
[GHz]        [micron]                 
9.99308e+05  3.00000e-01  6.20000e-05
9.98642e+05  3.00200e-01  4.00000e-05
9.97978e+05  3.00400e-01  -1.40000e-05
9.97314e+05  3.00600e-01  4.10000e-05
9.96650e+05  3.00800e-01  7.80000e-05
9.95988e+05  3.01000e-01  -9.00000e-06
9.95327e+05  3.01200e-01  1.90000e-05
9.94666e+05  3.01400e-01  5.20000e-05
9.94007e+05  3.01600e-01  1.01000e-04
9.93348e+05  3.01800e-01  9.70000e-05
9.92690e+05  3.02000e-01  3.40000e-05
9.92033e+05  3.02200e-01  5.40000e-05
9.91377e+05  3.02400e-01  1.49000e-04
9.90722e+05  3.02600e-01  2.00000e-05
9.90068e+05  3.02800e-01  6.10000e-05
9.89414e+05  3.03000e-01  1.28000e-04
9.88761e+05  3.03200e-01  1.34000e-04
9.88110e+05  3.03400e-01  1.30000e-04
9.87459e+05  3.03600e-01  1.99000e-04
9.86809e+05  3.03800e-01  1.85000e-04
9.86159e+05  3.04000e-01  1.39000e-04
9.85511e+05  3.04200e-01  2.32000e-04
9.84864e+05  3.04400e-01  2.66000e-04
9.84217e+05  3.04600e-01  3.23000e-04
9.83571e+05  3.04800e-01  3.04000e-04
9.82926e+05  3.05000e-01  3.62000e-04
9.82282e+05  3.05200e-01  4.49000e-04
9.81639e+05  3.05400e-01  3.62000e-04
9.80996e+05  3.05600e-01  4.68000e-04
9.80355e+05  3.05800e-01  5.63000e-04
9.79714e+05  3.06000e-01  7.24000e-04
9.79074e+05  3.06200e-01  8.23000e-04
9.78435e+05  3.06400e-01  8.00000e-04
9.77797e+05  3.06600e-01  8.42000e-04
9.77159e+05  3.06800e-01  8.25000e-04
9.76523e+05  3.07000e-01  9.15000e-04
9.75887e+05  3.07200e-01  1.18300e-03
9.75252e+05  3.07400e-01  1.16100e-03
9.74618e+05  3.07600e-01  1.15200e-03
9.73985e+05  3.07800e-01  1.54500e-03
9.73352e+05  3.08000e-01  1.52500e-03
9.72720e+05  3.08200e-01  1.71800e-03
9.72090e+05  3.08400e-01  1.90800e-03
9.71460e+05  3.08600e-01  1.99900e-03
9.70830e+05  3.08800e-01  2.14100e-03
9.70202e+05  3.09000e-01  2.37700e-03
9.69575e+05  3.09200e-01  2.47800e-03
9.68948e+05  3.09400e-01  2.71200e-03
9.68322e+05  3.09600e-01  2.79000e-03
9.67697e+05  3.09800e-01  3.10900e-03
9.67072e+05  3.10000e-01  3.31100e-03
9.66449e+05  3.10200e-01  3.78600e-03
9.65826e+05  3.10400e-01  3.79800e-03
9.65204e+05  3.10600e-01  3.92600e-03
9.64583e+05  3.10800e-01  4.51000e-03
9.63963e+05  3.11000e-01  4.72600e-03
9.63343e+05  3.11200e-01  4.75700e-03
9.62725e+05  3.11400e-01  5.23800e-03
9.62107e+05  3.11600e-01  5.85100e-03
9.61490e+05  3.11800e-01  6.19500e-03
9.60873e+05  3.12000e-01  6.22700e-03
9.60258e+05  3.12200e-01  6.61900e-03
9.59643e+05  3.12400e-01  7.31400e-03
9.59029e+05  3.12600e-01  7.52700e-03
9.58416e+05  3.12800e-01  8.21300e-03
9.57803e+05  3.13000e-01  8.65500e-03
9.57192e+05  3.13200e-01  9.31700e-03
9.56581e+05  3.13400e-01  9.54600e-03
9.55971e+05  3.13600e-01  9.69500e-03
9.55362e+05  3.13800e-01  1.00410e-02
9.54753e+05  3.14000e-01  1.08090e-02
9.54145e+05  3.14200e-01  1.16700e-02
9.53538e+05  3.14400e-01  1.24480e-02
9.52932e+05  3.14600e-01  1.25440e-02
9.52327e+05  3.14800e-01  1.31170e-02
9.51722e+05  3.15000e-01  1.42200e-02
9.51118e+05  3.15200e-01  1.48940e-02
9.50515e+05  3.15400e-01  1.53760e-02
9.49913e+05  3.15600e-01  1.56000e-02
9.49311e+05  3.15800e-01  1.65070e-02
9.48710e+05  3.16000e-01  1.71330e-02
9.48110e+05  3.16200e-01  1.80160e-02
9.47511e+05  3.16400e-01  1.90710e-02
9.46912e+05  3.16600e-01  1.95300e-02
9.46315e+05  3.16800e-01  1.99110e-02
9.45718e+05  3.17000e-01  2.13470e-02
9.45121e+05  3.17200e-01  2.21480e-02
9.44526e+05  3.17400e-01  2.27130e-02
9.43931e+05  3.17600e-01  2.32160e-02
9.43337e+05  3.17800e-01  2.41800e-02
9.42744e+05  3.18000e-01  2.58690e-02
9.42151e+05  3.18200e-01  2.69060e-02
9.41559e+05  3.18400e-01  2.74790e-02
9.40968e+05  3.18600e-01  2.76680e-02
9.40378e+05  3.18800e-01  2.88310e-02
9.39788e+05  3.19000e-01  2.96810e-02
9.39199e+05  3.19200e-01  3.03100e-02
9.38611e+05  3.19400e-01  3.23670e-02
9.38024e+05  3.19600e-01  3.35550e-02
9.37437e+05  3.19800e-01  3.41820e-02
9.36851e+05  3.20000e-01  3.51010e-02
9.36266e+05  3.20200e-01  3.55420e-02
9.35682e+05  3.20400e-01  3.64660e-02
9.35098e+05  3.20600e-01  3.88510e-02
9.34515e+05  3.20800e-01  3.94970e-02
9.33933e+05  3.21000e-01  4.04900e-02
9.33351e+05  3.21200e-01  4.24020e-02
