LABOCA_870micron
frq          wvl          transmission
[GHz]        [micron]                 
2.26541e+02  1.32335e+03  3.06600e-15
2.28170e+02  1.31390e+03  1.85375e-14
2.29800e+02  1.30458e+03  5.86616e-14
2.31430e+02  1.29539e+03  1.43390e-13
2.33060e+02  1.28633e+03  2.92383e-13
2.34689e+02  1.27740e+03  5.14918e-13
2.36319e+02  1.26859e+03  8.15023e-13
2.37949e+02  1.25990e+03  1.19429e-12
2.39579e+02  1.25133e+03  1.65021e-12
2.41209e+02  1.24287e+03  2.22570e-12
2.42838e+02  1.23454e+03  3.14041e-12
2.44468e+02  1.22631e+03  5.30987e-12
2.46098e+02  1.21818e+03  1.28394e-11
2.47728e+02  1.21017e+03  3.66208e-11
2.49358e+02  1.20226e+03  9.73018e-11
2.50987e+02  1.19445e+03  2.34390e-10
2.52617e+02  1.18675e+03  5.21195e-10
2.54247e+02  1.17914e+03  1.07733e-09
2.55877e+02  1.17163e+03  2.11218e-09
2.57506e+02  1.16422e+03  4.03563e-09
2.59136e+02  1.15689e+03  7.58346e-09
2.60766e+02  1.14966e+03  1.39840e-08
2.62396e+02  1.14252e+03  2.52545e-08
2.64026e+02  1.13547e+03  4.46837e-08
2.65655e+02  1.12850e+03  7.77511e-08
2.67285e+02  1.12162e+03  1.34393e-07
2.68915e+02  1.11482e+03  2.33151e-07
2.70545e+02  1.10811e+03  4.06544e-07
2.72175e+02  1.10147e+03  7.08319e-07
2.73804e+02  1.09492e+03  1.22738e-06
2.75434e+02  1.08844e+03  2.11218e-06
2.77064e+02  1.08203e+03  3.60421e-06
2.78694e+02  1.07570e+03  6.11692e-06
2.80324e+02  1.06945e+03  1.03700e-05
2.81953e+02  1.06327e+03  1.75910e-05
2.83583e+02  1.05716e+03  2.98536e-05
2.85213e+02  1.05112e+03  5.05028e-05
2.86843e+02  1.04514e+03  8.49419e-05
2.88472e+02  1.03924e+03  1.41958e-04
2.90102e+02  1.03340e+03  2.35616e-04
2.91732e+02  1.02763e+03  3.87520e-04
2.93362e+02  1.02192e+03  6.32300e-04
2.94992e+02  1.01627e+03  1.03000e-03
2.96621e+02  1.01069e+03  1.67000e-03
2.98251e+02  1.00517e+03  2.73000e-03
2.99881e+02  9.99705e+02  4.50000e-03
3.01511e+02  9.94300e+02  7.49000e-03
3.03141e+02  9.88954e+02  1.25300e-02
3.04770e+02  9.83668e+02  2.09300e-02
3.06400e+02  9.78435e+02  3.47600e-02
3.08030e+02  9.73257e+02  5.72700e-02
3.09660e+02  9.68134e+02  9.35200e-02
3.11289e+02  9.63068e+02  1.98590e-01
3.12919e+02  9.58051e+02  2.99450e-01
3.14549e+02  9.53087e+02  4.00600e-01
3.16179e+02  9.48173e+02  4.43920e-01
3.17809e+02  9.43310e+02  4.53480e-01
3.19438e+02  9.38500e+02  4.56670e-01
3.21068e+02  9.33735e+02  4.61540e-01
3.22698e+02  9.29019e+02  4.73070e-01
3.24328e+02  9.24350e+02  4.92640e-01
3.25958e+02  9.19727e+02  5.16880e-01
3.27587e+02  9.15154e+02  5.40100e-01
3.29217e+02  9.10623e+02  5.58760e-01
3.30847e+02  9.06136e+02  5.71120e-01
3.32477e+02  9.01694e+02  5.75850e-01
3.34107e+02  8.97295e+02  5.73710e-01
3.35736e+02  8.92941e+02  5.67920e-01
3.37366e+02  8.88627e+02  5.60850e-01
3.38996e+02  8.84354e+02  5.54480e-01
3.40626e+02  8.80122e+02  5.49980e-01
3.42255e+02  8.75933e+02  5.47690e-01
3.43885e+02  8.71781e+02  5.47540e-01
3.45515e+02  8.67668e+02  5.48270e-01
3.47145e+02  8.63594e+02  5.46080e-01
3.48775e+02  8.59558e+02  5.36490e-01
3.50404e+02  8.55562e+02  5.19090e-01
3.52034e+02  8.51601e+02  4.96860e-01
3.53664e+02  8.47676e+02  4.73230e-01
3.55294e+02  8.43787e+02  4.52130e-01
3.56924e+02  8.39934e+02  4.37800e-01
3.58553e+02  8.36118e+02  4.30780e-01
3.60183e+02  8.32334e+02  4.27860e-01
3.61813e+02  8.28584e+02  4.24810e-01
3.63443e+02  8.24868e+02  4.17080e-01
3.65072e+02  8.21187e+02  4.02800e-01
3.66702e+02  8.17537e+02  3.82880e-01
3.68332e+02  8.13919e+02  3.59100e-01
3.69962e+02  8.10333e+02  3.33710e-01
3.71592e+02  8.06779e+02  3.08830e-01
3.73221e+02  8.03257e+02  2.83670e-01
3.74851e+02  7.99764e+02  2.55950e-01
3.76481e+02  7.96302e+02  2.25180e-01
3.78111e+02  7.92869e+02  1.92600e-01
3.79741e+02  7.89466e+02  1.60310e-01
3.81370e+02  7.86093e+02  1.30520e-01
3.83000e+02  7.82748e+02  1.04130e-01
3.84630e+02  7.79431e+02  8.09200e-02
3.86260e+02  7.76142e+02  6.09900e-02
3.87890e+02  7.72880e+02  4.43200e-02
3.89519e+02  7.69648e+02  3.10800e-02
3.91149e+02  7.66441e+02  2.19600e-02
3.92779e+02  7.63260e+02  1.66200e-02
3.94409e+02  7.60106e+02  1.34100e-02
3.96038e+02  7.56979e+02  1.10300e-02
3.97668e+02  7.53876e+02  9.19000e-03
3.99298e+02  7.50799e+02  7.79000e-03
4.00928e+02  7.47746e+02  6.71000e-03
4.02558e+02  7.44719e+02  6.14000e-03
4.04187e+02  7.41717e+02  6.49000e-03
4.05817e+02  7.38738e+02  7.39000e-03
4.07447e+02  7.35783e+02  7.80000e-03
4.09077e+02  7.32851e+02  7.59000e-03
4.10707e+02  7.29942e+02  7.07000e-03
4.12336e+02  7.27059e+02  6.05000e-03
4.13966e+02  7.24196e+02  4.63000e-03
4.15596e+02  7.21356e+02  3.76000e-03
4.17226e+02  7.18537e+02  3.67000e-03
4.18855e+02  7.15743e+02  3.64000e-03
4.20485e+02  7.12968e+02  3.33000e-03
4.22115e+02  7.10215e+02  3.02000e-03
4.23745e+02  7.07483e+02  2.71000e-03
4.25375e+02  7.04772e+02  2.14000e-03
4.27004e+02  7.02083e+02  1.59000e-03
4.28634e+02  6.99414e+02  1.38000e-03
4.30264e+02  6.96764e+02  1.26000e-03
4.31894e+02  6.94134e+02  1.06000e-03
4.33524e+02  6.91524e+02  8.83139e-04
4.35153e+02  6.88936e+02  7.94494e-04
4.36783e+02  6.86365e+02  7.45281e-04
4.38413e+02  6.83813e+02  6.87034e-04
4.40043e+02  6.81280e+02  6.73196e-04
4.41673e+02  6.78766e+02  7.04905e-04
4.43302e+02  6.76271e+02  6.96239e-04
4.44932e+02  6.73794e+02  6.24015e-04
4.46562e+02  6.71334e+02  5.64916e-04
4.48192e+02  6.68893e+02  5.42192e-04
4.49821e+02  6.66471e+02  4.98827e-04
4.51451e+02  6.64064e+02  4.46556e-04
4.53081e+02  6.61675e+02  4.43365e-04
4.54711e+02  6.59303e+02  4.54354e-04
4.56341e+02  6.56948e+02  4.15156e-04
4.57970e+02  6.54612e+02  3.55537e-04
4.59600e+02  6.52290e+02  3.28098e-04
4.61230e+02  6.49985e+02  2.94356e-04
4.62860e+02  6.47696e+02  2.10853e-04
4.64490e+02  6.45423e+02  1.31437e-04
4.66119e+02  6.43167e+02  9.42788e-05
4.67749e+02  6.40926e+02  2.67307e-05
