MAMBO_1200micron
frq          wvl          transmission
[GHz]        [micron]                 
9.92780e+01  3.01973e+03  2.07120e-02
1.00600e+02  2.98004e+03  3.37840e-02
1.01930e+02  2.94116e+03  2.64540e-02
1.03250e+02  2.90356e+03  7.52640e-02
1.04570e+02  2.86691e+03  5.13770e-02
1.05900e+02  2.83090e+03  -2.46270e-02
1.07220e+02  2.79605e+03  4.42680e-02
1.08540e+02  2.76205e+03  5.82340e-02
1.09870e+02  2.72861e+03  1.42510e-03
1.11190e+02  2.69622e+03  -4.18930e-03
1.12510e+02  2.66458e+03  1.63450e-02
1.13840e+02  2.63345e+03  3.75350e-02
1.15160e+02  2.60327e+03  3.53460e-02
1.16490e+02  2.57355e+03  5.00600e-03
1.17810e+02  2.54471e+03  9.61760e-03
1.19130e+02  2.51652e+03  3.93270e-02
1.20460e+02  2.48873e+03  1.38980e-02
1.21780e+02  2.46175e+03  4.60540e-02
1.23100e+02  2.43536e+03  4.76730e-02
1.24430e+02  2.40933e+03  1.79430e-02
1.25750e+02  2.38404e+03  3.59420e-02
1.27080e+02  2.35908e+03  -1.79490e-02
1.28400e+02  2.33483e+03  2.22060e-02
1.29720e+02  2.31107e+03  5.65980e-02
1.31050e+02  2.28762e+03  6.44690e-04
1.32370e+02  2.26481e+03  -3.05120e-03
1.33690e+02  2.24244e+03  1.90770e-02
1.35020e+02  2.22036e+03  1.04280e-02
1.36340e+02  2.19886e+03  2.39080e-02
1.37670e+02  2.17762e+03  2.28670e-02
1.38990e+02  2.15694e+03  -6.03090e-04
1.40310e+02  2.13664e+03  2.32100e-02
1.41640e+02  2.11658e+03  1.80030e-02
1.42960e+02  2.09704e+03  6.96090e-03
1.44280e+02  2.07785e+03  -9.79920e-04
1.45610e+02  2.05887e+03  6.70330e-03
1.46930e+02  2.04038e+03  3.10660e-03
1.48260e+02  2.02207e+03  6.17310e-03
1.49580e+02  2.00423e+03  3.81520e-02
1.50900e+02  1.98670e+03  3.87020e-02
1.52230e+02  1.96934e+03  1.73070e-02
1.53550e+02  1.95241e+03  5.21760e-03
1.54870e+02  1.93577e+03  3.06210e-02
1.56200e+02  1.91929e+03  4.34240e-02
1.57520e+02  1.90320e+03  1.29110e-02
1.58840e+02  1.88739e+03  4.42420e-03
1.60170e+02  1.87171e+03  1.43400e-02
1.61490e+02  1.85641e+03  -4.45390e-03
1.62820e+02  1.84125e+03  6.38190e-03
1.64140e+02  1.82644e+03  2.41760e-02
1.65460e+02  1.81187e+03  7.52660e-03
1.66790e+02  1.79742e+03  8.60440e-03
1.68110e+02  1.78331e+03  2.88630e-02
1.69430e+02  1.76942e+03  3.50580e-02
1.70760e+02  1.75564e+03  2.40680e-02
1.72080e+02  1.74217e+03  9.26150e-03
1.73410e+02  1.72881e+03  2.63060e-03
1.74730e+02  1.71575e+03  -7.93120e-03
1.76050e+02  1.70288e+03  3.95970e-03
1.77380e+02  1.69011e+03  2.11170e-02
1.78700e+02  1.67763e+03  1.18060e-02
1.80020e+02  1.66533e+03  -2.03640e-03
1.81350e+02  1.65312e+03  -3.07850e-04
1.82670e+02  1.64117e+03  9.69690e-03
1.84000e+02  1.62931e+03  3.28890e-02
1.85320e+02  1.61770e+03  5.13460e-02
1.86640e+02  1.60626e+03  3.16260e-02
1.87970e+02  1.59490e+03  3.01670e-02
1.89290e+02  1.58377e+03  5.49370e-02
1.90610e+02  1.57281e+03  4.68630e-02
1.91940e+02  1.56191e+03  9.73140e-02
1.93260e+02  1.55124e+03  1.33870e-01
1.94580e+02  1.54072e+03  1.38020e-01
1.95910e+02  1.53026e+03  1.67470e-01
1.97230e+02  1.52001e+03  2.08770e-01
1.98560e+02  1.50983e+03  3.56880e-01
1.99880e+02  1.49986e+03  4.20080e-01
2.01200e+02  1.49002e+03  5.06530e-01
2.02530e+02  1.48024e+03  6.58790e-01
2.03850e+02  1.47065e+03  5.89150e-01
2.05170e+02  1.46119e+03  7.36740e-01
2.06500e+02  1.45178e+03  9.23830e-01
2.07820e+02  1.44256e+03  6.08860e-01
2.09150e+02  1.43338e+03  4.66890e-01
2.10470e+02  1.42440e+03  6.84170e-01
2.11790e+02  1.41552e+03  6.92020e-01
2.13120e+02  1.40668e+03  6.52060e-01
2.14440e+02  1.39802e+03  6.85940e-01
2.15760e+02  1.38947e+03  7.77750e-01
2.17090e+02  1.38096e+03  6.90050e-01
2.18410e+02  1.37261e+03  5.96380e-01
2.19740e+02  1.36431e+03  8.68260e-01
2.21060e+02  1.35616e+03  9.53570e-01
2.22380e+02  1.34811e+03  8.21620e-01
