MIPS_24micron
frq          wvl          transmission
[GHz]        [micron]                 
1.66505e+04  1.80050e+01  2.37000e-04
1.65925e+04  1.80680e+01  2.31000e-04
1.65348e+04  1.81310e+01  1.73000e-04
1.64775e+04  1.81940e+01  1.17000e-05
1.64198e+04  1.82580e+01  2.29000e-04
1.63615e+04  1.83230e+01  2.28000e-04
1.63037e+04  1.83880e+01  2.37000e-04
1.62463e+04  1.84530e+01  2.41000e-04
1.61884e+04  1.85190e+01  2.45000e-04
1.61300e+04  1.85860e+01  5.73000e-04
1.60729e+04  1.86520e+01  5.95000e-04
1.60146e+04  1.87200e+01  4.01000e-04
1.59566e+04  1.87880e+01  1.35000e-04
1.58990e+04  1.88560e+01  2.75000e-04
1.58411e+04  1.89250e+01  2.77000e-04
1.57835e+04  1.89940e+01  1.85000e-04
1.57256e+04  1.90640e+01  1.90000e-04
1.56680e+04  1.91340e+01  6.44000e-04
1.56101e+04  1.92050e+01  7.64000e-04
1.55518e+04  1.92770e+01  5.57000e-04
1.54948e+04  1.93480e+01  6.57000e-04
1.54365e+04  1.94210e+01  7.36000e-04
1.53787e+04  1.94940e+01  1.57300e-03
1.53213e+04  1.95670e+01  2.12900e-03
1.52628e+04  1.96420e+01  3.62700e-03
1.52055e+04  1.97160e+01  4.66200e-03
1.51472e+04  1.97920e+01  6.71000e-03
1.50900e+04  1.98670e+01  8.83500e-03
1.50317e+04  1.99440e+01  1.29140e-02
1.49739e+04  2.00210e+01  1.45000e-02
1.49165e+04  2.00980e+01  1.95320e-02
1.48581e+04  2.01770e+01  2.44680e-02
1.48009e+04  2.02550e+01  3.19530e-02
1.47427e+04  2.03350e+01  5.09730e-02
1.46849e+04  2.04150e+01  7.64470e-02
1.46269e+04  2.04960e+01  1.20929e-01
1.45693e+04  2.05770e+01  1.77656e-01
1.45115e+04  2.06590e+01  2.52554e-01
1.44534e+04  2.07420e+01  3.77777e-01
1.43958e+04  2.08250e+01  5.28659e-01
1.43380e+04  2.09090e+01  7.35924e-01
1.42806e+04  2.09930e+01  8.13463e-01
1.42223e+04  2.10790e+01  8.57335e-01
1.41645e+04  2.11650e+01  8.82477e-01
1.41066e+04  2.12520e+01  9.07091e-01
1.40490e+04  2.13390e+01  9.32828e-01
1.39913e+04  2.14270e+01  9.57009e-01
1.39335e+04  2.15160e+01  9.73634e-01
1.38754e+04  2.16060e+01  9.84957e-01
1.38179e+04  2.16960e+01  9.91663e-01
1.37602e+04  2.17870e+01  9.97749e-01
1.37023e+04  2.18790e+01  1.00000e+00
1.36443e+04  2.19720e+01  9.98522e-01
1.35868e+04  2.20650e+01  9.88564e-01
1.35285e+04  2.21600e+01  9.70058e-01
1.34708e+04  2.22550e+01  9.35205e-01
