MIOS_70micron
frq          wvl          transmission
[GHz]        [micron]                 
6.00065e+03  4.99600e+01  -2.90000e-04
5.97065e+03  5.02110e+01  6.60000e-05
5.94065e+03  5.04646e+01  8.66000e-04
5.91064e+03  5.07208e+01  1.81600e-03
5.88064e+03  5.09796e+01  2.93600e-03
5.85064e+03  5.12410e+01  4.34600e-03
5.82063e+03  5.15051e+01  6.08700e-03
5.79063e+03  5.17720e+01  8.17000e-03
5.76063e+03  5.20416e+01  1.06770e-02
5.73062e+03  5.23141e+01  1.40900e-02
5.70062e+03  5.25895e+01  1.84540e-02
5.67062e+03  5.28677e+01  2.31090e-02
5.64061e+03  5.31489e+01  2.74430e-02
5.61061e+03  5.34331e+01  3.25230e-02
5.58061e+03  5.37204e+01  4.01730e-02
5.55060e+03  5.40108e+01  4.97110e-02
5.52060e+03  5.43043e+01  6.05040e-02
5.49060e+03  5.46011e+01  7.36170e-02
5.46059e+03  5.49011e+01  9.01470e-02
5.43059e+03  5.52044e+01  1.09523e-01
5.40059e+03  5.55111e+01  1.29620e-01
5.37058e+03  5.58212e+01  1.45772e-01
5.34058e+03  5.61348e+01  1.53541e-01
5.31058e+03  5.64520e+01  1.58599e-01
5.28057e+03  5.67727e+01  1.70037e-01
5.25057e+03  5.70971e+01  1.89803e-01
5.22057e+03  5.74253e+01  2.14929e-01
5.19056e+03  5.77572e+01  2.41451e-01
5.16056e+03  5.80930e+01  2.63499e-01
5.13056e+03  5.84327e+01  2.79945e-01
5.10055e+03  5.87764e+01  2.94817e-01
5.07055e+03  5.91242e+01  3.12668e-01
5.04055e+03  5.94762e+01  3.36648e-01
5.01054e+03  5.98323e+01  3.69982e-01
4.98054e+03  6.01927e+01  4.12077e-01
4.95054e+03  6.05576e+01  4.54126e-01
4.92053e+03  6.09268e+01  4.91189e-01
4.89053e+03  6.13006e+01  5.26436e-01
4.86053e+03  6.16790e+01  5.59559e-01
4.83052e+03  6.20621e+01  5.95150e-01
4.80052e+03  6.24500e+01  6.41587e-01
4.77052e+03  6.28428e+01  6.94072e-01
4.74051e+03  6.32405e+01  7.37970e-01
4.71051e+03  6.36433e+01  7.74680e-01
4.68051e+03  6.40513e+01  8.08052e-01
4.65050e+03  6.44645e+01  8.27862e-01
4.62050e+03  6.48831e+01  8.38341e-01
4.59050e+03  6.53072e+01  8.48857e-01
4.56050e+03  6.57368e+01  8.60528e-01
4.53049e+03  6.61722e+01  8.69998e-01
4.50049e+03  6.66133e+01  8.83175e-01
4.47049e+03  6.70604e+01  9.03375e-01
4.44048e+03  6.75135e+01  9.23421e-01
4.41048e+03  6.79728e+01  9.45281e-01
4.38048e+03  6.84383e+01  9.70016e-01
4.35047e+03  6.89103e+01  9.84766e-01
4.32047e+03  6.93889e+01  9.89037e-01
4.29047e+03  6.98741e+01  9.95237e-01
4.26046e+03  7.03662e+01  1.00000e+00
4.23046e+03  7.08652e+01  9.98268e-01
4.20046e+03  7.13714e+01  9.99989e-01
4.17045e+03  7.18849e+01  1.00065e+00
4.14045e+03  7.24058e+01  9.92201e-01
4.11045e+03  7.29343e+01  9.82083e-01
4.08044e+03  7.34706e+01  9.72578e-01
4.05044e+03  7.40148e+01  9.58518e-01
4.02044e+03  7.45671e+01  9.38603e-01
3.99043e+03  7.51278e+01  9.17937e-01
3.96043e+03  7.56970e+01  8.83038e-01
3.93043e+03  7.62748e+01  8.32029e-01
3.90042e+03  7.68615e+01  7.81721e-01
3.87042e+03  7.74573e+01  7.29882e-01
3.84042e+03  7.80625e+01  6.70221e-01
3.81041e+03  7.86771e+01  6.11989e-01
3.78041e+03  7.93016e+01  5.58421e-01
3.75041e+03  7.99360e+01  5.05731e-01
3.72040e+03  8.05806e+01  4.56761e-01
