MOL_408MHz
frq          wvl          transmission
[GHz]        [micron]                 
4.05000e-01  7.40228e+05  0.00000e+00
4.05100e-01  7.40046e+05  0.00000e+00
4.05200e-01  7.39863e+05  0.00000e+00
4.05300e-01  7.39680e+05  0.00000e+00
4.05400e-01  7.39498e+05  0.00000e+00
4.05500e-01  7.39316e+05  0.00000e+00
4.05600e-01  7.39133e+05  0.00000e+00
4.05700e-01  7.38951e+05  0.00000e+00
4.05800e-01  7.38769e+05  0.00000e+00
4.05900e-01  7.38587e+05  0.00000e+00
4.06000e-01  7.38405e+05  0.00000e+00
4.06100e-01  7.38223e+05  0.00000e+00
4.06200e-01  7.38042e+05  0.00000e+00
4.06300e-01  7.37860e+05  0.00000e+00
4.06400e-01  7.37678e+05  0.00000e+00
4.06500e-01  7.37497e+05  0.00000e+00
4.06600e-01  7.37315e+05  1.00000e+00
4.06700e-01  7.37134e+05  1.00000e+00
4.06800e-01  7.36953e+05  1.00000e+00
4.06900e-01  7.36772e+05  1.00000e+00
4.07000e-01  7.36591e+05  1.00000e+00
4.07100e-01  7.36410e+05  1.00000e+00
4.07200e-01  7.36229e+05  1.00000e+00
4.07300e-01  7.36048e+05  1.00000e+00
4.07400e-01  7.35868e+05  1.00000e+00
4.07500e-01  7.35687e+05  1.00000e+00
4.07600e-01  7.35507e+05  1.00000e+00
4.07700e-01  7.35326e+05  1.00000e+00
4.07800e-01  7.35146e+05  1.00000e+00
4.07900e-01  7.34966e+05  1.00000e+00
4.08000e-01  7.34785e+05  1.00000e+00
4.08100e-01  7.34605e+05  1.00000e+00
4.08200e-01  7.34425e+05  1.00000e+00
4.08300e-01  7.34246e+05  1.00000e+00
4.08400e-01  7.34066e+05  1.00000e+00
4.08500e-01  7.33886e+05  1.00000e+00
4.08600e-01  7.33706e+05  1.00000e+00
4.08700e-01  7.33527e+05  1.00000e+00
4.08800e-01  7.33348e+05  1.00000e+00
4.08900e-01  7.33168e+05  1.00000e+00
4.09000e-01  7.32989e+05  1.00000e+00
4.09100e-01  7.32810e+05  1.00000e+00
4.09200e-01  7.32631e+05  1.00000e+00
4.09300e-01  7.32452e+05  1.00000e+00
4.09400e-01  7.32273e+05  1.00000e+00
4.09500e-01  7.32094e+05  1.00000e+00
4.09600e-01  7.31915e+05  0.00000e+00
4.09700e-01  7.31737e+05  0.00000e+00
4.09800e-01  7.31558e+05  0.00000e+00
4.09900e-01  7.31380e+05  0.00000e+00
4.10000e-01  7.31201e+05  0.00000e+00
4.10100e-01  7.31023e+05  0.00000e+00
4.10200e-01  7.30845e+05  0.00000e+00
4.10300e-01  7.30666e+05  0.00000e+00
4.10400e-01  7.30488e+05  0.00000e+00
4.10500e-01  7.30310e+05  0.00000e+00
4.10600e-01  7.30133e+05  0.00000e+00
4.10700e-01  7.29955e+05  0.00000e+00
4.10800e-01  7.29777e+05  0.00000e+00
4.10900e-01  7.29600e+05  0.00000e+00
4.11000e-01  7.29422e+05  0.00000e+00
