NICMOS_F160W
frq          wvl          transmission
[GHz]        [micron]                 
2.32487e+05  1.28950e+00  1.79838e-04
2.32397e+05  1.29000e+00  1.11713e-04
2.32307e+05  1.29050e+00  2.48480e-05
2.32217e+05  1.29100e+00  4.35876e-05
2.32127e+05  1.29150e+00  1.36664e-05
2.32038e+05  1.29200e+00  4.36912e-05
2.31948e+05  1.29250e+00  1.86775e-04
2.31858e+05  1.29300e+00  5.61152e-05
2.31768e+05  1.29350e+00  8.73823e-05
2.31679e+05  1.29400e+00  8.74858e-05
2.31589e+05  1.29450e+00  1.00013e-04
2.31500e+05  1.29500e+00  6.87463e-05
2.31411e+05  1.29550e+00  2.50551e-05
2.31321e+05  1.29600e+00  7.52689e-05
2.31232e+05  1.29650e+00  1.37907e-04
2.31143e+05  1.29700e+00  8.16880e-05
2.31054e+05  1.29750e+00  1.19374e-04
2.30965e+05  1.29800e+00  1.32005e-04
2.30876e+05  1.29850e+00  3.77897e-05
2.30787e+05  1.29900e+00  1.32316e-04
2.30698e+05  1.29950e+00  1.26104e-04
2.30610e+05  1.30000e+00  1.89363e-04
2.30521e+05  1.30050e+00  8.85212e-05
2.30432e+05  1.30100e+00  1.07571e-04
2.30344e+05  1.30150e+00  1.01359e-04
2.30255e+05  1.30200e+00  1.59235e-04
2.30167e+05  1.30250e+00  4.46230e-05
2.30079e+05  1.30300e+00  2.16696e-04
2.29990e+05  1.30350e+00  1.46603e-04
2.29902e+05  1.30400e+00  2.42372e-04
2.29814e+05  1.30450e+00  7.68219e-05
2.29726e+05  1.30500e+00  1.72901e-04
2.29638e+05  1.30550e+00  3.01490e-04
2.29550e+05  1.30600e+00  2.76538e-04
2.29462e+05  1.30650e+00  3.60711e-04
2.29374e+05  1.30700e+00  2.77056e-04
2.29287e+05  1.30750e+00  2.57591e-04
2.29199e+05  1.30800e+00  2.89687e-04
2.29112e+05  1.30850e+00  3.59779e-04
2.29024e+05  1.30900e+00  2.17627e-04
2.28937e+05  1.30950e+00  2.93207e-04
2.28849e+05  1.31000e+00  3.99639e-04
2.28762e+05  1.31050e+00  2.90722e-04
2.28675e+05  1.31100e+00  2.26635e-04
2.28587e+05  1.31150e+00  3.13500e-04
2.28500e+05  1.31200e+00  2.81094e-04
2.28413e+05  1.31250e+00  3.60918e-04
2.28326e+05  1.31300e+00  3.87630e-04
2.28239e+05  1.31350e+00  2.57074e-04
2.28153e+05  1.31400e+00  3.30376e-04
2.28066e+05  1.31450e+00  4.41985e-04
2.27979e+05  1.31500e+00  2.81715e-04
2.27892e+05  1.31550e+00  2.74882e-04
2.27806e+05  1.31600e+00  4.18793e-04
2.27719e+05  1.31650e+00  3.88872e-04
2.27633e+05  1.31700e+00  4.48404e-04
2.27546e+05  1.31750e+00  3.20643e-04
2.27460e+05  1.31800e+00  4.40639e-04
2.27374e+05  1.31850e+00  2.89480e-04
2.27288e+05  1.31900e+00  3.55017e-04
2.27202e+05  1.31950e+00  3.42592e-04
2.27115e+05  1.32000e+00  3.54292e-04
2.27030e+05  1.32050e+00  3.30065e-04
2.26944e+05  1.32100e+00  4.79153e-04
2.26858e+05  1.32150e+00  4.12892e-04
2.26772e+05  1.32200e+00  2.81301e-04
2.26686e+05  1.32250e+00  3.94670e-04
2.26600e+05  1.32300e+00  4.00468e-04
2.26515e+05  1.32350e+00  3.52739e-04
2.26429e+05  1.32400e+00  5.08557e-04
2.26344e+05  1.32450e+00  3.76344e-04
2.26258e+05  1.32500e+00  3.88251e-04
2.26173e+05  1.32550e+00  2.99833e-04
2.26088e+05  1.32600e+00  4.61345e-04
2.26003e+05  1.32650e+00  3.29030e-04
2.25917e+05  1.32700e+00  3.89183e-04
2.25832e+05  1.32750e+00  4.91163e-04
2.25747e+05  1.32800e+00  5.69434e-04
2.25662e+05  1.32850e+00  5.16115e-04
2.25577e+05  1.32900e+00  6.06603e-04
2.25493e+05  1.32950e+00  5.71195e-04
2.25408e+05  1.33000e+00  5.83722e-04
2.25323e+05  1.33050e+00  5.00171e-04
2.25239e+05  1.33100e+00  5.55147e-04
2.25154e+05  1.33150e+00  5.07418e-04
2.25069e+05  1.33200e+00  5.08039e-04
2.24985e+05  1.33250e+00  5.32784e-04
2.24901e+05  1.33300e+00  5.15183e-04
2.24816e+05  1.33350e+00  5.03898e-04
2.24732e+05  1.33400e+00  7.28876e-04
2.24648e+05  1.33450e+00  6.75763e-04
2.24564e+05  1.33500e+00  7.31464e-04
2.24480e+05  1.33550e+00  7.14485e-04
2.24396e+05  1.33600e+00  6.79076e-04
2.24312e+05  1.33650e+00  8.38829e-04
2.24228e+05  1.33700e+00  7.36227e-04
2.24144e+05  1.33750e+00  8.10668e-04
2.24060e+05  1.33800e+00  7.99797e-04
2.23976e+05  1.33850e+00  9.24244e-04
2.23893e+05  1.33900e+00  9.49817e-04
2.23809e+05  1.33950e+00  8.78171e-04
2.23726e+05  1.34000e+00  1.01608e-03
2.23642e+05  1.34050e+00  1.13473e-03
2.23559e+05  1.34100e+00  1.17500e-03
2.23476e+05  1.34150e+00  1.07768e-03
2.23392e+05  1.34200e+00  1.26073e-03
2.23309e+05  1.34250e+00  1.30732e-03
2.23226e+05  1.34300e+00  1.29241e-03
2.23143e+05  1.34350e+00  1.39056e-03
2.23060e+05  1.34400e+00  1.55890e-03
2.22977e+05  1.34450e+00  1.54431e-03
2.22894e+05  1.34500e+00  1.70696e-03
2.22811e+05  1.34550e+00  1.86091e-03
2.22728e+05  1.34600e+00  1.96010e-03
2.22646e+05  1.34650e+00  2.09749e-03
2.22563e+05  1.34700e+00  2.16033e-03
2.22480e+05  1.34750e+00  2.36947e-03
2.22398e+05  1.34800e+00  2.50002e-03
2.22316e+05  1.34850e+00  2.76745e-03
2.22233e+05  1.34900e+00  2.86664e-03
2.22151e+05  1.34950e+00  3.07733e-03
2.22068e+05  1.35000e+00  3.22321e-03
2.21986e+05  1.35050e+00  3.46889e-03
2.21904e+05  1.35100e+00  3.83923e-03
2.21822e+05  1.35150e+00  4.03253e-03
2.21740e+05  1.35200e+00  4.31735e-03
2.21658e+05  1.35250e+00  4.64099e-03
2.21576e+05  1.35300e+00  5.03442e-03
2.21494e+05  1.35350e+00  5.35382e-03
2.21412e+05  1.35400e+00  5.85886e-03
2.21331e+05  1.35450e+00  6.30581e-03
2.21249e+05  1.35500e+00  6.88074e-03
2.21167e+05  1.35550e+00  7.47450e-03
2.21086e+05  1.35600e+00  7.94734e-03
2.21004e+05  1.35650e+00  8.58510e-03
2.20923e+05  1.35700e+00  9.31284e-03
2.20842e+05  1.35750e+00  9.92835e-03
2.20760e+05  1.35800e+00  1.07681e-02
2.20679e+05  1.35850e+00  1.16122e-02
2.20598e+05  1.35900e+00  1.24929e-02
2.20517e+05  1.35950e+00  1.35576e-02
2.20436e+05  1.36000e+00  1.45435e-02
2.20355e+05  1.36050e+00  1.57300e-02
2.20274e+05  1.36100e+00  1.68507e-02
2.20193e+05  1.36150e+00  1.83151e-02
2.20112e+05  1.36200e+00  1.97444e-02
2.20031e+05  1.36250e+00  2.12221e-02
2.19950e+05  1.36300e+00  2.27172e-02
2.19870e+05  1.36350e+00  2.42331e-02
2.19789e+05  1.36400e+00  2.58466e-02
2.19709e+05  1.36450e+00  2.73817e-02
2.19628e+05  1.36500e+00  2.93990e-02
2.19548e+05  1.36550e+00  3.12781e-02
2.19467e+05  1.36600e+00  3.30138e-02
2.19387e+05  1.36650e+00  3.50079e-02
2.19307e+05  1.36700e+00  3.69057e-02
2.19227e+05  1.36750e+00  3.90445e-02
2.19147e+05  1.36800e+00  4.11689e-02
2.19066e+05  1.36850e+00  4.34171e-02
2.18986e+05  1.36900e+00  4.57056e-02
2.18907e+05  1.36950e+00  4.79837e-02
2.18827e+05  1.37000e+00  5.00444e-02
2.18747e+05  1.37050e+00  5.23485e-02
2.18667e+05  1.37100e+00  5.48163e-02
2.18587e+05  1.37150e+00  5.72335e-02
2.18508e+05  1.37200e+00  5.97792e-02
2.18428e+05  1.37250e+00  6.25715e-02
2.18348e+05  1.37300e+00  6.51995e-02
2.18269e+05  1.37350e+00  6.76834e-02
2.18190e+05  1.37400e+00  7.04994e-02
2.18110e+05  1.37450e+00  7.31250e-02
2.18031e+05  1.37500e+00  7.62990e-02
2.17952e+05  1.37550e+00  7.96689e-02
2.17872e+05  1.37600e+00  8.33819e-02
2.17793e+05  1.37650e+00  8.68001e-02
2.17714e+05  1.37700e+00  9.06162e-02
2.17635e+05  1.37750e+00  9.46097e-02
2.17556e+05  1.37800e+00  9.87766e-02
2.17477e+05  1.37850e+00  1.03216e-01
2.17398e+05  1.37900e+00  1.08297e-01
2.17320e+05  1.37950e+00  1.13606e-01
2.17241e+05  1.38000e+00  1.19822e-01
2.17162e+05  1.38050e+00  1.25483e-01
2.17084e+05  1.38100e+00  1.31920e-01
2.17005e+05  1.38150e+00  1.39459e-01
2.16927e+05  1.38200e+00  1.47898e-01
2.16848e+05  1.38250e+00  1.57102e-01
2.16770e+05  1.38300e+00  1.66109e-01
2.16691e+05  1.38350e+00  1.76225e-01
2.16613e+05  1.38400e+00  1.86469e-01
2.16535e+05  1.38450e+00  1.97683e-01
2.16457e+05  1.38500e+00  2.09864e-01
2.16379e+05  1.38550e+00  2.24029e-01
2.16300e+05  1.38600e+00  2.38184e-01
2.16222e+05  1.38650e+00  2.53214e-01
2.16145e+05  1.38700e+00  2.69144e-01
2.16067e+05  1.38750e+00  2.87201e-01
2.15989e+05  1.38800e+00  3.07202e-01
2.15911e+05  1.38850e+00  3.29770e-01
2.15833e+05  1.38900e+00  3.53055e-01
2.15756e+05  1.38950e+00  3.75788e-01
2.15678e+05  1.39000e+00  3.98832e-01
2.15600e+05  1.39050e+00  4.21305e-01
2.15523e+05  1.39100e+00  4.48014e-01
2.15446e+05  1.39150e+00  4.78147e-01
2.15368e+05  1.39200e+00  5.10471e-01
2.15291e+05  1.39250e+00  5.40091e-01
2.15214e+05  1.39300e+00  5.69355e-01
2.15136e+05  1.39350e+00  5.97401e-01
2.15059e+05  1.39400e+00  6.26014e-01
2.14982e+05  1.39450e+00  6.54241e-01
2.14905e+05  1.39500e+00  6.85924e-01
2.14828e+05  1.39550e+00  7.15178e-01
2.14751e+05  1.39600e+00  7.40629e-01
