P200WIRC_J
frq          wvl          transmission
[GHz]        [micron]                 
2.82823e+05  1.06000e+00  0.00000e+00
2.77586e+05  1.08000e+00  1.17000e-01
2.72539e+05  1.10000e+00  4.47000e-01
2.67672e+05  1.12000e+00  3.40000e-01
2.62976e+05  1.14000e+00  5.00000e-01
2.58442e+05  1.16000e+00  6.70000e-01
2.54061e+05  1.18000e+00  7.77000e-01
2.49827e+05  1.20000e+00  8.19000e-01
2.45732e+05  1.22000e+00  8.62000e-01
2.41768e+05  1.24000e+00  8.83000e-01
2.37931e+05  1.26000e+00  9.36000e-01
2.34213e+05  1.28000e+00  1.00000e+00
2.30610e+05  1.30000e+00  9.68000e-01
2.27115e+05  1.32000e+00  8.40000e-01
2.23726e+05  1.34000e+00  7.23000e-01
2.20436e+05  1.36000e+00  4.30000e-02
2.17241e+05  1.38000e+00  1.17000e-01
2.14137e+05  1.40000e+00  7.40000e-02
2.11121e+05  1.42000e+00  3.20000e-02
2.08189e+05  1.44000e+00  0.00000e+00
