PACS_160micron
frq          wvl          transmission
[GHz]        [micron]                 
2.48828e+03  1.20482e+02  1.75564e-02
2.45830e+03  1.21951e+02  3.17968e-02
2.42831e+03  1.23457e+02  5.67781e-02
2.39834e+03  1.25000e+02  9.96466e-02
2.36837e+03  1.26582e+02  1.66544e-01
2.33838e+03  1.28205e+02  2.52862e-01
2.30840e+03  1.29870e+02  3.43256e-01
2.27842e+03  1.31579e+02  4.22941e-01
2.24845e+03  1.33333e+02  4.54161e-01
2.21847e+03  1.35135e+02  4.50510e-01
2.18849e+03  1.36986e+02  4.73924e-01
2.15850e+03  1.38889e+02  5.08083e-01
2.12853e+03  1.40845e+02  5.17551e-01
2.09855e+03  1.42857e+02  5.17146e-01
2.06856e+03  1.44928e+02  5.21576e-01
2.03859e+03  1.47059e+02  5.35338e-01
2.00861e+03  1.49254e+02  5.43501e-01
1.97863e+03  1.51515e+02  5.40914e-01
1.94865e+03  1.53846e+02  5.43259e-01
1.91867e+03  1.56250e+02  5.44672e-01
1.88869e+03  1.58730e+02  5.29592e-01
1.85872e+03  1.61290e+02  5.09749e-01
1.82874e+03  1.63934e+02  5.01560e-01
1.79875e+03  1.66667e+02  4.85033e-01
1.76877e+03  1.69492e+02  4.60580e-01
1.73879e+03  1.72414e+02  4.49159e-01
1.70881e+03  1.75439e+02  4.45406e-01
1.67884e+03  1.78571e+02  4.35159e-01
1.64886e+03  1.81818e+02  4.30561e-01
1.61888e+03  1.85185e+02  4.33453e-01
1.58890e+03  1.88679e+02  4.35832e-01
1.55892e+03  1.92308e+02  4.15795e-01
1.52894e+03  1.96078e+02  3.74824e-01
1.49896e+03  2.00000e+02  3.33008e-01
1.46898e+03  2.04082e+02  2.64420e-01
1.43901e+03  2.08333e+02  1.81573e-01
1.40902e+03  2.12766e+02  1.21540e-01
1.37905e+03  2.17391e+02  7.28849e-02
1.34907e+03  2.22222e+02  4.16941e-02
1.31909e+03  2.27273e+02  2.46204e-02
1.28911e+03  2.32558e+02  1.42240e-02
