PDBI_157.6GHz
frq          wvl          transmission
[GHz]        [micron]                 
1.54000e+02  1.94670e+03  0.00000e+00
1.54010e+02  1.94658e+03  0.00000e+00
1.54020e+02  1.94645e+03  0.00000e+00
1.54030e+02  1.94633e+03  0.00000e+00
1.54040e+02  1.94620e+03  0.00000e+00
1.54050e+02  1.94607e+03  0.00000e+00
1.54060e+02  1.94595e+03  0.00000e+00
1.54070e+02  1.94582e+03  0.00000e+00
1.54080e+02  1.94569e+03  0.00000e+00
1.54090e+02  1.94557e+03  0.00000e+00
1.54100e+02  1.94544e+03  0.00000e+00
1.54110e+02  1.94531e+03  0.00000e+00
1.54120e+02  1.94519e+03  0.00000e+00
1.54130e+02  1.94506e+03  0.00000e+00
1.54140e+02  1.94494e+03  0.00000e+00
1.54150e+02  1.94481e+03  0.00000e+00
1.54160e+02  1.94468e+03  0.00000e+00
1.54170e+02  1.94456e+03  0.00000e+00
1.54180e+02  1.94443e+03  0.00000e+00
1.54190e+02  1.94431e+03  0.00000e+00
1.54200e+02  1.94418e+03  0.00000e+00
1.54210e+02  1.94405e+03  0.00000e+00
1.54220e+02  1.94393e+03  0.00000e+00
1.54230e+02  1.94380e+03  0.00000e+00
1.54240e+02  1.94368e+03  0.00000e+00
1.54250e+02  1.94355e+03  0.00000e+00
1.54260e+02  1.94342e+03  0.00000e+00
1.54270e+02  1.94330e+03  0.00000e+00
1.54280e+02  1.94317e+03  0.00000e+00
1.54290e+02  1.94305e+03  0.00000e+00
1.54300e+02  1.94292e+03  0.00000e+00
1.54310e+02  1.94279e+03  0.00000e+00
1.54320e+02  1.94267e+03  0.00000e+00
1.54330e+02  1.94254e+03  0.00000e+00
1.54340e+02  1.94242e+03  0.00000e+00
1.54350e+02  1.94229e+03  0.00000e+00
1.54360e+02  1.94216e+03  0.00000e+00
1.54370e+02  1.94204e+03  0.00000e+00
1.54380e+02  1.94191e+03  0.00000e+00
1.54390e+02  1.94179e+03  0.00000e+00
1.54400e+02  1.94166e+03  0.00000e+00
1.54410e+02  1.94154e+03  0.00000e+00
1.54420e+02  1.94141e+03  0.00000e+00
1.54430e+02  1.94128e+03  0.00000e+00
1.54440e+02  1.94116e+03  0.00000e+00
1.54450e+02  1.94103e+03  0.00000e+00
1.54460e+02  1.94091e+03  0.00000e+00
1.54470e+02  1.94078e+03  0.00000e+00
1.54480e+02  1.94066e+03  0.00000e+00
1.54490e+02  1.94053e+03  0.00000e+00
1.54500e+02  1.94040e+03  0.00000e+00
1.54510e+02  1.94028e+03  0.00000e+00
1.54520e+02  1.94015e+03  0.00000e+00
1.54530e+02  1.94003e+03  0.00000e+00
1.54540e+02  1.93990e+03  0.00000e+00
1.54550e+02  1.93978e+03  0.00000e+00
1.54560e+02  1.93965e+03  0.00000e+00
1.54570e+02  1.93953e+03  0.00000e+00
1.54580e+02  1.93940e+03  0.00000e+00
1.54590e+02  1.93927e+03  0.00000e+00
1.54600e+02  1.93915e+03  0.00000e+00
1.54610e+02  1.93902e+03  0.00000e+00
1.54620e+02  1.93890e+03  0.00000e+00
1.54630e+02  1.93877e+03  0.00000e+00
1.54640e+02  1.93865e+03  0.00000e+00
1.54650e+02  1.93852e+03  0.00000e+00
1.54660e+02  1.93840e+03  0.00000e+00
1.54670e+02  1.93827e+03  0.00000e+00
1.54680e+02  1.93815e+03  0.00000e+00
1.54690e+02  1.93802e+03  0.00000e+00
1.54700e+02  1.93790e+03  0.00000e+00
1.54710e+02  1.93777e+03  0.00000e+00
1.54720e+02  1.93765e+03  0.00000e+00
1.54730e+02  1.93752e+03  0.00000e+00
1.54740e+02  1.93739e+03  0.00000e+00
1.54750e+02  1.93727e+03  0.00000e+00
1.54760e+02  1.93714e+03  0.00000e+00
1.54770e+02  1.93702e+03  0.00000e+00
1.54780e+02  1.93689e+03  0.00000e+00
1.54790e+02  1.93677e+03  0.00000e+00
1.54800e+02  1.93664e+03  0.00000e+00
1.54810e+02  1.93652e+03  0.00000e+00
1.54820e+02  1.93639e+03  0.00000e+00
1.54830e+02  1.93627e+03  0.00000e+00
1.54840e+02  1.93614e+03  0.00000e+00
1.54850e+02  1.93602e+03  0.00000e+00
1.54860e+02  1.93589e+03  0.00000e+00
1.54870e+02  1.93577e+03  0.00000e+00
1.54880e+02  1.93564e+03  0.00000e+00
1.54890e+02  1.93552e+03  0.00000e+00
1.54900e+02  1.93539e+03  0.00000e+00
1.54910e+02  1.93527e+03  0.00000e+00
1.54920e+02  1.93514e+03  0.00000e+00
1.54930e+02  1.93502e+03  0.00000e+00
1.54940e+02  1.93489e+03  0.00000e+00
1.54950e+02  1.93477e+03  0.00000e+00
1.54960e+02  1.93464e+03  0.00000e+00
1.54970e+02  1.93452e+03  0.00000e+00
1.54980e+02  1.93439e+03  0.00000e+00
1.54990e+02  1.93427e+03  0.00000e+00
1.55000e+02  1.93414e+03  0.00000e+00
1.55010e+02  1.93402e+03  0.00000e+00
1.55020e+02  1.93390e+03  0.00000e+00
1.55030e+02  1.93377e+03  0.00000e+00
1.55040e+02  1.93365e+03  0.00000e+00
1.55050e+02  1.93352e+03  0.00000e+00
1.55060e+02  1.93340e+03  0.00000e+00
1.55070e+02  1.93327e+03  0.00000e+00
1.55080e+02  1.93315e+03  0.00000e+00
1.55090e+02  1.93302e+03  0.00000e+00
1.55100e+02  1.93290e+03  0.00000e+00
1.55110e+02  1.93277e+03  0.00000e+00
1.55120e+02  1.93265e+03  0.00000e+00
1.55130e+02  1.93252e+03  0.00000e+00
1.55140e+02  1.93240e+03  0.00000e+00
1.55150e+02  1.93227e+03  0.00000e+00
1.55160e+02  1.93215e+03  0.00000e+00
1.55170e+02  1.93203e+03  0.00000e+00
1.55180e+02  1.93190e+03  0.00000e+00
1.55190e+02  1.93178e+03  0.00000e+00
1.55200e+02  1.93165e+03  0.00000e+00
1.55210e+02  1.93153e+03  0.00000e+00
1.55220e+02  1.93140e+03  0.00000e+00
