Parkes_4.85GHz
frq          wvl          transmission
[GHz]        [micron]                 
4.75000e+00  6.31142e+04  0.00000e+00
4.76000e+00  6.29816e+04  0.00000e+00
4.77000e+00  6.28496e+04  0.00000e+00
4.78000e+00  6.27181e+04  0.00000e+00
4.79000e+00  6.25872e+04  0.00000e+00
4.80000e+00  6.24568e+04  0.00000e+00
4.81000e+00  6.23269e+04  1.00000e+00
4.82000e+00  6.21976e+04  1.00000e+00
4.83000e+00  6.20688e+04  1.00000e+00
4.84000e+00  6.19406e+04  1.00000e+00
4.85000e+00  6.18129e+04  1.00000e+00
4.86000e+00  6.16857e+04  1.00000e+00
4.87000e+00  6.15590e+04  1.00000e+00
4.88000e+00  6.14329e+04  1.00000e+00
4.89000e+00  6.13073e+04  1.00000e+00
4.90000e+00  6.11821e+04  1.00000e+00
4.91000e+00  6.10575e+04  0.00000e+00
4.92000e+00  6.09334e+04  0.00000e+00
4.93000e+00  6.08098e+04  0.00000e+00
4.94000e+00  6.06867e+04  0.00000e+00
