Parkes_5GHz
frq          wvl          transmission
[GHz]        [micron]                 
4.86000e+00  6.16857e+04  0.00000e+00
4.87000e+00  6.15590e+04  0.00000e+00
4.88000e+00  6.14329e+04  0.00000e+00
4.89000e+00  6.13073e+04  0.00000e+00
4.90000e+00  6.11821e+04  0.00000e+00
4.91000e+00  6.10575e+04  0.00000e+00
4.92000e+00  6.09334e+04  0.00000e+00
4.93000e+00  6.08098e+04  0.00000e+00
4.94000e+00  6.06867e+04  1.00000e+00
4.95000e+00  6.05641e+04  1.00000e+00
4.96000e+00  6.04420e+04  1.00000e+00
4.97000e+00  6.03204e+04  1.00000e+00
4.98000e+00  6.01993e+04  1.00000e+00
4.99000e+00  6.00786e+04  1.00000e+00
5.00000e+00  5.99585e+04  1.00000e+00
5.01000e+00  5.98388e+04  1.00000e+00
5.02000e+00  5.97196e+04  1.00000e+00
5.03000e+00  5.96009e+04  1.00000e+00
5.04000e+00  5.94826e+04  1.00000e+00
5.05000e+00  5.93648e+04  1.00000e+00
5.06000e+00  5.92475e+04  1.00000e+00
5.07000e+00  5.91307e+04  1.00000e+00
5.08000e+00  5.90143e+04  1.00000e+00
5.09000e+00  5.88983e+04  0.00000e+00
5.10000e+00  5.87828e+04  0.00000e+00
5.11000e+00  5.86678e+04  0.00000e+00
5.12000e+00  5.85532e+04  0.00000e+00
5.13000e+00  5.84391e+04  0.00000e+00
5.14000e+00  5.83254e+04  0.00000e+00
5.15000e+00  5.82121e+04  0.00000e+00
5.16000e+00  5.80993e+04  0.00000e+00
