SABOCA_350micron
frq          wvl          transmission
[GHz]        [micron]                 
6.00906e+02  4.98901e+02  3.24675e-03
6.04966e+02  4.95553e+02  3.06720e-03
6.09026e+02  4.92249e+02  3.00870e-03
6.13086e+02  4.88989e+02  3.11047e-03
6.17146e+02  4.85772e+02  3.43735e-03
6.21206e+02  4.82597e+02  3.85676e-03
6.25267e+02  4.79463e+02  4.08114e-03
6.29327e+02  4.76370e+02  4.12052e-03
6.33387e+02  4.73316e+02  4.20326e-03
6.37447e+02  4.70302e+02  4.33083e-03
6.41507e+02  4.67325e+02  4.46368e-03
6.45568e+02  4.64386e+02  4.72674e-03
6.49628e+02  4.61483e+02  5.03975e-03
6.53688e+02  4.58617e+02  5.06066e-03
6.57748e+02  4.55786e+02  4.89270e-03
6.61808e+02  4.52990e+02  4.96778e-03
6.65868e+02  4.50228e+02  5.17972e-03
6.69929e+02  4.47499e+02  5.05626e-03
6.73989e+02  4.44803e+02  4.74600e-03
6.78049e+02  4.42140e+02  4.72931e-03
6.82109e+02  4.39508e+02  4.96572e-03
6.86169e+02  4.36907e+02  5.27382e-03
6.90229e+02  4.34337e+02  5.91718e-03
6.94290e+02  4.31797e+02  7.02782e-03
6.98350e+02  4.29287e+02  7.79347e-03
7.02410e+02  4.26806e+02  7.66027e-03
7.06470e+02  4.24353e+02  7.45158e-03
7.10530e+02  4.21928e+02  7.65996e-03
7.14590e+02  4.19530e+02  7.90073e-03
7.18651e+02  4.17160e+02  8.31210e-03
7.22711e+02  4.14817e+02  9.61442e-03
7.26771e+02  4.12499e+02  1.13202e-02
7.30831e+02  4.10208e+02  1.20380e-02
7.34891e+02  4.07941e+02  1.23301e-02
7.38952e+02  4.05700e+02  1.33836e-02
7.43012e+02  4.03483e+02  1.39082e-02
7.47072e+02  4.01290e+02  1.34197e-02
7.51132e+02  3.99121e+02  1.46114e-02
7.55192e+02  3.96975e+02  1.87412e-02
7.59252e+02  3.94852e+02  2.21264e-02
7.63313e+02  3.92752e+02  2.33568e-02
7.67373e+02  3.90674e+02  2.90534e-02
7.71433e+02  3.88618e+02  3.90466e-02
7.75493e+02  3.86583e+02  4.13670e-02
7.79553e+02  3.84570e+02  4.40006e-02
7.83613e+02  3.82577e+02  9.12441e-02
7.87674e+02  3.80605e+02  2.26861e-01
7.91734e+02  3.78653e+02  4.40645e-01
7.95794e+02  3.76721e+02  6.53759e-01
7.99854e+02  3.74809e+02  7.85119e-01
8.03914e+02  3.72916e+02  8.26214e-01
8.07974e+02  3.71042e+02  8.21525e-01
8.12035e+02  3.69187e+02  8.05118e-01
8.16095e+02  3.67350e+02  7.90641e-01
8.20155e+02  3.65531e+02  7.96463e-01
8.24215e+02  3.63731e+02  8.39061e-01
8.28275e+02  3.61948e+02  9.09163e-01
8.32336e+02  3.60182e+02  9.72708e-01
8.36396e+02  3.58434e+02  1.00000e+00
8.40456e+02  3.56702e+02  9.86594e-01
8.44516e+02  3.54987e+02  9.44160e-01
8.48576e+02  3.53289e+02  8.90027e-01
8.52636e+02  3.51606e+02  8.46655e-01
8.56697e+02  3.49940e+02  8.32407e-01
8.60757e+02  3.48289e+02  8.48128e-01
8.64817e+02  3.46654e+02  8.78508e-01
8.68877e+02  3.45034e+02  9.04528e-01
8.72937e+02  3.43430e+02  9.11720e-01
8.76997e+02  3.41840e+02  8.92746e-01
8.81058e+02  3.40264e+02  8.51529e-01
8.85118e+02  3.38703e+02  8.04312e-01
8.89178e+02  3.37157e+02  7.70279e-01
8.93238e+02  3.35624e+02  7.58842e-01
8.97298e+02  3.34106e+02  7.64626e-01
9.01358e+02  3.32601e+02  7.71963e-01
9.05419e+02  3.31109e+02  7.65292e-01
9.09479e+02  3.29631e+02  7.37883e-01
9.13539e+02  3.28166e+02  6.93234e-01
9.17599e+02  3.26714e+02  6.40811e-01
9.21659e+02  3.25275e+02  5.91228e-01
9.25720e+02  3.23848e+02  5.52723e-01
9.29780e+02  3.22434e+02  5.28837e-01
9.33840e+02  3.21032e+02  5.17574e-01
9.37900e+02  3.19642e+02  5.11938e-01
9.41960e+02  3.18264e+02  5.02608e-01
9.46020e+02  3.16899e+02  4.82536e-01
9.50081e+02  3.15544e+02  4.50638e-01
