SCUBA1350_1350micron
frq          wvl          transmission
[GHz]        [micron]                 
2.10896e+02  1.42152e+03  0.00000e+00
2.10951e+02  1.42115e+03  0.00000e+00
2.11006e+02  1.42078e+03  0.00000e+00
2.11061e+02  1.42041e+03  0.00000e+00
2.11116e+02  1.42004e+03  0.00000e+00
2.11171e+02  1.41967e+03  0.00000e+00
2.11226e+02  1.41930e+03  0.00000e+00
2.11281e+02  1.41893e+03  0.00000e+00
2.11336e+02  1.41856e+03  0.00000e+00
2.11391e+02  1.41819e+03  0.00000e+00
2.11446e+02  1.41782e+03  0.00000e+00
2.11501e+02  1.41745e+03  0.00000e+00
2.11556e+02  1.41708e+03  0.00000e+00
2.11611e+02  1.41671e+03  0.00000e+00
2.11666e+02  1.41635e+03  0.00000e+00
2.11721e+02  1.41598e+03  0.00000e+00
2.11776e+02  1.41561e+03  0.00000e+00
2.11831e+02  1.41524e+03  0.00000e+00
2.11886e+02  1.41488e+03  0.00000e+00
2.11941e+02  1.41451e+03  0.00000e+00
2.11996e+02  1.41414e+03  0.00000e+00
2.12051e+02  1.41378e+03  0.00000e+00
2.12106e+02  1.41341e+03  0.00000e+00
2.12161e+02  1.41304e+03  0.00000e+00
2.12216e+02  1.41268e+03  0.00000e+00
2.12271e+02  1.41231e+03  0.00000e+00
2.12326e+02  1.41194e+03  0.00000e+00
2.12381e+02  1.41158e+03  0.00000e+00
2.12436e+02  1.41121e+03  0.00000e+00
2.12491e+02  1.41085e+03  0.00000e+00
2.12546e+02  1.41048e+03  0.00000e+00
2.12601e+02  1.41012e+03  0.00000e+00
2.12656e+02  1.40975e+03  0.00000e+00
2.12711e+02  1.40939e+03  0.00000e+00
2.12766e+02  1.40902e+03  0.00000e+00
2.12821e+02  1.40866e+03  0.00000e+00
2.12876e+02  1.40830e+03  0.00000e+00
2.12931e+02  1.40793e+03  0.00000e+00
2.12986e+02  1.40757e+03  0.00000e+00
2.13041e+02  1.40721e+03  0.00000e+00
2.13096e+02  1.40684e+03  0.00000e+00
2.13151e+02  1.40648e+03  0.00000e+00
2.13206e+02  1.40612e+03  0.00000e+00
2.13261e+02  1.40575e+03  0.00000e+00
2.13316e+02  1.40539e+03  0.00000e+00
2.13371e+02  1.40503e+03  0.00000e+00
2.13426e+02  1.40467e+03  0.00000e+00
2.13481e+02  1.40431e+03  0.00000e+00
2.13536e+02  1.40394e+03  0.00000e+00
2.13591e+02  1.40358e+03  0.00000e+00
2.13646e+02  1.40322e+03  0.00000e+00
2.13701e+02  1.40286e+03  0.00000e+00
2.13756e+02  1.40250e+03  0.00000e+00
2.13811e+02  1.40214e+03  0.00000e+00
2.13866e+02  1.40178e+03  0.00000e+00
2.13921e+02  1.40142e+03  0.00000e+00
2.13976e+02  1.40106e+03  0.00000e+00
2.14031e+02  1.40070e+03  0.00000e+00
2.14086e+02  1.40034e+03  0.00000e+00
2.14141e+02  1.39998e+03  0.00000e+00
2.14196e+02  1.39962e+03  0.00000e+00
2.14251e+02  1.39926e+03  0.00000e+00
2.14306e+02  1.39890e+03  0.00000e+00
2.14361e+02  1.39854e+03  0.00000e+00
2.14416e+02  1.39818e+03  0.00000e+00
2.14471e+02  1.39782e+03  0.00000e+00
