SCUBA_350micron
frq          wvl          transmission
[GHz]        [micron]                 
6.98058e+02  4.29466e+02  1.10367e-03
6.99933e+02  4.28316e+02  1.04633e-03
7.01811e+02  4.27170e+02  9.03000e-04
7.03686e+02  4.26032e+02  7.38167e-04
7.05564e+02  4.24898e+02  4.87333e-04
7.07439e+02  4.23771e+02  2.43667e-04
7.09317e+02  4.22649e+02  1.07500e-04
7.11192e+02  4.21535e+02  2.15000e-05
7.13070e+02  4.20425e+02  -1.79167e-04
7.14945e+02  4.19322e+02  -4.15667e-04
7.16823e+02  4.18224e+02  -5.44667e-04
7.18698e+02  4.17133e+02  -5.94833e-04
7.20576e+02  4.16046e+02  -7.45333e-04
7.22451e+02  4.14966e+02  -9.38833e-04
7.24329e+02  4.13890e+02  -1.07500e-03
7.26204e+02  4.12821e+02  -1.15383e-03
7.28082e+02  4.11756e+02  -1.23267e-03
7.29957e+02  4.10699e+02  -1.29000e-03
7.31835e+02  4.09645e+02  -1.27567e-03
7.33710e+02  4.08598e+02  -1.29717e-03
7.35588e+02  4.07555e+02  -1.40467e-03
7.37463e+02  4.06519e+02  -1.40467e-03
7.39341e+02  4.05486e+02  -1.29000e-03
7.41216e+02  4.04460e+02  -1.32583e-03
7.43094e+02  4.03438e+02  -1.26850e-03
7.44969e+02  4.02423e+02  -1.13233e-03
7.46847e+02  4.01411e+02  -1.15383e-03
7.48722e+02  4.00406e+02  -1.16817e-03
7.50600e+02  3.99404e+02  -1.08217e-03
7.52475e+02  3.98409e+02  -9.96167e-04
7.54353e+02  3.97417e+02  -9.74667e-04
7.56228e+02  3.96431e+02  -9.96167e-04
7.58106e+02  3.95449e+02  -9.38833e-04
7.59981e+02  3.94474e+02  -8.52833e-04
7.61859e+02  3.93501e+02  -8.24167e-04
7.63734e+02  3.92535e+02  -8.60000e-04
7.65612e+02  3.91572e+02  -9.17333e-04
7.67487e+02  3.90616e+02  -8.88667e-04
7.69365e+02  3.89662e+02  -8.52833e-04
7.71240e+02  3.88715e+02  -8.45667e-04
7.73118e+02  3.87771e+02  -7.52500e-04
7.74993e+02  3.86832e+02  -6.73667e-04
7.76871e+02  3.85897e+02  -6.45000e-04
7.78746e+02  3.84968e+02  -6.52167e-04
7.80624e+02  3.84042e+02  -6.66500e-04
7.82499e+02  3.83122e+02  -5.94833e-04
7.84377e+02  3.82205e+02  -5.94833e-04
7.86252e+02  3.81293e+02  -5.51833e-04
7.88130e+02  3.80385e+02  -4.73000e-04
7.90005e+02  3.79482e+02  -4.22833e-04
7.91883e+02  3.78582e+02  -3.65500e-04
7.93758e+02  3.77687e+02  -3.65500e-04
7.95636e+02  3.76796e+02  -3.58333e-04
7.97511e+02  3.75910e+02  -2.00667e-04
7.99389e+02  3.75027e+02  0.00000e+00
8.01264e+02  3.74149e+02  7.88333e-05
8.03142e+02  3.73275e+02  2.22167e-04
8.05017e+02  3.72405e+02  4.44333e-04
8.06895e+02  3.71538e+02  6.09167e-04
8.08770e+02  3.70677e+02  7.81167e-04
8.10648e+02  3.69818e+02  1.12517e-03
8.12523e+02  3.68965e+02  1.51933e-03
8.14401e+02  3.68114e+02  1.97083e-03
8.16276e+02  3.67268e+02  2.58000e-03
8.18154e+02  3.66425e+02  3.22500e-03
8.20029e+02  3.65588e+02  4.05633e-03
8.21907e+02  3.64752e+02  5.08833e-03
8.23782e+02  3.63922e+02  6.45000e-03
8.25660e+02  3.63094e+02  8.18433e-03
8.27535e+02  3.62272e+02  1.02842e-02
8.29413e+02  3.61451e+02  1.32010e-02
8.31288e+02  3.60636e+02  1.67198e-02
8.33166e+02  3.59823e+02  2.10342e-02
8.35041e+02  3.59015e+02  2.71688e-02
8.36919e+02  3.58210e+02  3.53388e-02
8.38794e+02  3.57409e+02  4.64113e-02
8.40672e+02  3.56610e+02  6.14613e-02
8.42547e+02  3.55817e+02  8.10980e-02
8.44425e+02  3.55026e+02  1.07694e-01
8.46300e+02  3.54239e+02  1.42918e-01
8.48178e+02  3.53455e+02  1.87279e-01
8.50053e+02  3.52675e+02  2.39610e-01
8.51931e+02  3.51898e+02  2.94443e-01
8.53806e+02  3.51125e+02  3.46071e-01
8.55684e+02  3.50354e+02  3.89616e-01
8.57559e+02  3.49588e+02  4.21837e-01
8.59437e+02  3.48824e+02  4.39166e-01
8.61312e+02  3.48065e+02  4.46340e-01
8.63190e+02  3.47308e+02  4.51163e-01
8.65065e+02  3.46555e+02  4.55900e-01
8.66943e+02  3.45804e+02  4.62400e-01
8.68818e+02  3.45058e+02  4.66615e-01
8.70696e+02  3.44314e+02  4.67303e-01
8.72571e+02  3.43574e+02  4.64701e-01
8.74449e+02  3.42836e+02  4.53664e-01
8.76324e+02  3.42102e+02  4.29541e-01
8.78202e+02  3.41371e+02  3.86219e-01
8.80077e+02  3.40643e+02  3.26406e-01
8.81955e+02  3.39918e+02  2.61641e-01
8.83830e+02  3.39197e+02  2.03311e-01
8.85708e+02  3.38478e+02  1.56226e-01
8.87583e+02  3.37763e+02  1.18787e-01
8.89461e+02  3.37050e+02  8.89312e-02
8.91336e+02  3.36341e+02  6.63992e-02
8.93214e+02  3.35633e+02  4.99732e-02
8.95089e+02  3.34930e+02  3.81697e-02
8.96967e+02  3.34229e+02  3.01860e-02
8.98842e+02  3.33532e+02  2.45243e-02
9.00720e+02  3.32836e+02  2.00523e-02
9.02595e+02  3.32145e+02  1.64188e-02
9.04473e+02  3.31455e+02  1.36597e-02
9.06348e+02  3.30770e+02  1.16602e-02
9.08226e+02  3.30086e+02  9.93300e-03
9.10101e+02  3.29406e+02  8.72183e-03
9.11979e+02  3.28727e+02  7.81883e-03
9.13854e+02  3.28053e+02  7.03050e-03
9.15732e+02  3.27380e+02  6.29233e-03
