SDSS_g
frq          wvl          transmission
[GHz]        [micron]                 
8.25875e+05  3.63000e-01  0.00000e+00
8.20226e+05  3.65500e-01  3.00000e-04
8.14653e+05  3.68000e-01  8.00000e-04
8.09156e+05  3.70500e-01  1.30000e-03
8.03733e+05  3.73000e-01  1.90000e-03
7.98382e+05  3.75500e-01  2.40000e-03
7.93102e+05  3.78000e-01  3.40000e-03
7.87891e+05  3.80500e-01  5.50000e-03
7.82748e+05  3.83000e-01  1.03000e-02
7.77672e+05  3.85500e-01  1.94000e-02
7.72661e+05  3.88000e-01  3.26000e-02
7.67714e+05  3.90500e-01  4.92000e-02
7.62831e+05  3.93000e-01  6.86000e-02
7.58009e+05  3.95500e-01  9.00000e-02
7.53247e+05  3.98000e-01  1.12300e-01
7.48545e+05  4.00500e-01  1.34200e-01
7.43902e+05  4.03000e-01  1.54500e-01
7.39316e+05  4.05500e-01  1.72200e-01
7.34785e+05  4.08000e-01  1.87300e-01
7.30310e+05  4.10500e-01  2.00300e-01
7.25890e+05  4.13000e-01  2.11600e-01
7.21522e+05  4.15500e-01  2.21400e-01
7.17207e+05  4.18000e-01  2.30100e-01
7.12943e+05  4.20500e-01  2.37800e-01
7.08729e+05  4.23000e-01  2.44800e-01
7.04565e+05  4.25500e-01  2.51300e-01
7.00450e+05  4.28000e-01  2.57400e-01
6.96382e+05  4.30500e-01  2.63300e-01
6.92361e+05  4.33000e-01  2.69100e-01
6.88387e+05  4.35500e-01  2.74700e-01
6.84458e+05  4.38000e-01  2.80100e-01
6.80573e+05  4.40500e-01  2.85200e-01
6.76732e+05  4.43000e-01  2.89900e-01
6.72935e+05  4.45500e-01  2.94000e-01
6.69180e+05  4.48000e-01  2.97900e-01
6.65466e+05  4.50500e-01  3.01600e-01
6.61794e+05  4.53000e-01  3.05500e-01
6.58161e+05  4.55500e-01  3.09700e-01
6.54569e+05  4.58000e-01  3.14100e-01
6.51015e+05  4.60500e-01  3.18400e-01
6.47500e+05  4.63000e-01  3.22400e-01
6.44022e+05  4.65500e-01  3.25700e-01
6.40582e+05  4.68000e-01  3.28400e-01
6.37178e+05  4.70500e-01  3.30700e-01
6.33811e+05  4.73000e-01  3.32700e-01
6.30478e+05  4.75500e-01  3.34600e-01
6.27181e+05  4.78000e-01  3.36400e-01
6.23918e+05  4.80500e-01  3.38300e-01
6.20688e+05  4.83000e-01  3.40300e-01
6.17492e+05  4.85500e-01  3.42500e-01
6.14329e+05  4.88000e-01  3.44800e-01
6.11198e+05  4.90500e-01  3.47200e-01
6.08098e+05  4.93000e-01  3.49500e-01
6.05030e+05  4.95500e-01  3.51900e-01
6.01993e+05  4.98000e-01  3.54100e-01
5.98986e+05  5.00500e-01  3.56200e-01
5.96009e+05  5.03000e-01  3.58100e-01
5.93061e+05  5.05500e-01  3.59700e-01
5.90143e+05  5.08000e-01  3.60900e-01
5.87253e+05  5.10500e-01  3.61300e-01
5.84391e+05  5.13000e-01  3.60900e-01
5.81557e+05  5.15500e-01  3.59500e-01
5.78750e+05  5.18000e-01  3.58100e-01
5.75970e+05  5.20500e-01  3.55800e-01
5.73217e+05  5.23000e-01  3.45200e-01
5.70490e+05  5.25500e-01  3.19400e-01
5.67789e+05  5.28000e-01  2.80700e-01
5.65113e+05  5.30500e-01  2.33900e-01
5.62462e+05  5.33000e-01  1.83900e-01
5.59837e+05  5.35500e-01  1.35200e-01
5.57235e+05  5.38000e-01  9.11000e-02
5.54658e+05  5.40500e-01  5.48000e-02
5.52104e+05  5.43000e-01  2.95000e-02
5.49574e+05  5.45500e-01  1.66000e-02
5.47067e+05  5.48000e-01  1.12000e-02
5.44582e+05  5.50500e-01  7.70000e-03
5.42120e+05  5.53000e-01  5.00000e-03
5.39680e+05  5.55500e-01  3.20000e-03
5.37262e+05  5.58000e-01  2.10000e-03
5.34866e+05  5.60500e-01  1.50000e-03
5.32491e+05  5.63000e-01  1.20000e-03
5.30137e+05  5.65500e-01  1.00000e-03
5.27804e+05  5.68000e-01  9.00000e-04
5.25491e+05  5.70500e-01  8.00000e-04
5.23198e+05  5.73000e-01  6.00000e-04
5.20925e+05  5.75500e-01  5.00000e-04
5.18672e+05  5.78000e-01  3.00000e-04
5.16438e+05  5.80500e-01  1.00000e-04
5.14224e+05  5.83000e-01  0.00000e+00
