SDSS_i
frq          wvl          transmission
[GHz]        [micron]                 
4.66240e+05  6.43000e-01  0.00000e+00
4.64434e+05  6.45500e-01  1.00000e-04
4.62643e+05  6.48000e-01  3.00000e-04
4.60865e+05  6.50500e-01  4.00000e-04
4.59100e+05  6.53000e-01  4.00000e-04
4.57349e+05  6.55500e-01  3.00000e-04
4.55612e+05  6.58000e-01  3.00000e-04
4.53887e+05  6.60500e-01  4.00000e-04
4.52176e+05  6.63000e-01  9.00000e-04
4.50477e+05  6.65500e-01  1.90000e-03
4.48791e+05  6.68000e-01  3.40000e-03
4.47118e+05  6.70500e-01  5.60000e-03
4.45457e+05  6.73000e-01  1.03000e-02
4.43808e+05  6.75500e-01  1.94000e-02
4.42172e+05  6.78000e-01  3.44000e-02
4.40547e+05  6.80500e-01  5.61000e-02
4.38935e+05  6.83000e-01  8.39000e-02
4.37334e+05  6.85500e-01  1.16400e-01
4.35745e+05  6.88000e-01  1.52800e-01
4.34167e+05  6.90500e-01  1.94800e-01
4.32601e+05  6.93000e-01  2.40800e-01
4.31046e+05  6.95500e-01  2.85700e-01
4.29502e+05  6.98000e-01  3.23300e-01
4.27969e+05  7.00500e-01  3.50300e-01
4.26447e+05  7.03000e-01  3.75900e-01
4.24936e+05  7.05500e-01  3.99000e-01
4.23436e+05  7.08000e-01  4.16200e-01
4.21946e+05  7.10500e-01  4.23300e-01
4.20466e+05  7.13000e-01  4.16500e-01
4.18997e+05  7.15500e-01  3.94300e-01
4.17538e+05  7.18000e-01  3.76000e-01
4.16089e+05  7.20500e-01  3.82300e-01
4.14651e+05  7.23000e-01  3.91800e-01
4.13222e+05  7.25500e-01  3.89200e-01
4.11803e+05  7.28000e-01  3.82800e-01
4.10394e+05  7.30500e-01  3.82000e-01
4.08994e+05  7.33000e-01  3.88400e-01
4.07604e+05  7.35500e-01  3.87200e-01
4.06223e+05  7.38000e-01  3.82100e-01
4.04851e+05  7.40500e-01  3.78700e-01
4.03489e+05  7.43000e-01  3.75900e-01
4.02136e+05  7.45500e-01  3.72700e-01
4.00792e+05  7.48000e-01  3.68100e-01
3.99457e+05  7.50500e-01  3.61800e-01
3.98131e+05  7.53000e-01  3.56500e-01
3.96813e+05  7.55500e-01  3.55400e-01
3.95505e+05  7.58000e-01  3.47800e-01
3.94204e+05  7.60500e-01  1.47300e-01
3.92913e+05  7.63000e-01  2.09600e-01
3.91630e+05  7.65500e-01  2.64800e-01
3.90355e+05  7.68000e-01  3.30000e-01
3.89088e+05  7.70500e-01  3.25600e-01
3.87830e+05  7.73000e-01  3.22300e-01
3.86580e+05  7.75500e-01  3.17900e-01
3.85337e+05  7.78000e-01  3.12900e-01
3.84103e+05  7.80500e-01  3.07700e-01
3.82877e+05  7.83000e-01  3.02600e-01
3.81658e+05  7.85500e-01  2.98000e-01
3.80447e+05  7.88000e-01  2.94400e-01
3.79244e+05  7.90500e-01  2.92100e-01
3.78048e+05  7.93000e-01  2.91600e-01
3.76860e+05  7.95500e-01  2.92100e-01
3.75680e+05  7.98000e-01  2.92700e-01
3.74507e+05  8.00500e-01  2.92300e-01
3.73341e+05  8.03000e-01  2.89600e-01
3.72182e+05  8.05500e-01  2.84000e-01
3.71030e+05  8.08000e-01  2.75800e-01
3.69886e+05  8.10500e-01  2.64200e-01
3.68748e+05  8.13000e-01  2.42700e-01
3.67618e+05  8.15500e-01  2.09100e-01
3.66494e+05  8.18000e-01  1.68900e-01
3.65378e+05  8.20500e-01  1.27600e-01
3.64268e+05  8.23000e-01  9.01000e-02
3.63165e+05  8.25500e-01  6.03000e-02
3.62068e+05  8.28000e-01  3.78000e-02
3.60978e+05  8.30500e-01  2.18000e-02
3.59895e+05  8.33000e-01  1.17000e-02
3.58818e+05  8.35500e-01  6.80000e-03
3.57748e+05  8.38000e-01  4.80000e-03
3.56683e+05  8.40500e-01  3.30000e-03
3.55626e+05  8.43000e-01  2.00000e-03
3.54574e+05  8.45500e-01  1.30000e-03
3.53529e+05  8.48000e-01  1.00000e-03
3.52490e+05  8.50500e-01  9.00000e-04
3.51457e+05  8.53000e-01  9.00000e-04
3.50430e+05  8.55500e-01  8.00000e-04
3.49408e+05  8.58000e-01  5.00000e-04
3.48393e+05  8.60500e-01  2.00000e-04
3.47384e+05  8.63000e-01  0.00000e+00
