SDSS_r
frq          wvl          transmission
[GHz]        [micron]                 
5.57235e+05  5.38000e-01  0.00000e+00
5.54658e+05  5.40500e-01  1.40000e-03
5.52104e+05  5.43000e-01  9.90000e-03
5.49574e+05  5.45500e-01  2.59000e-02
5.47067e+05  5.48000e-01  4.97000e-02
5.44582e+05  5.50500e-01  8.07000e-02
5.42120e+05  5.53000e-01  1.18600e-01
5.39680e+05  5.55500e-01  1.62500e-01
5.37262e+05  5.58000e-01  2.09300e-01
5.34866e+05  5.60500e-01  2.55500e-01
5.32491e+05  5.63000e-01  2.97500e-01
5.30137e+05  5.65500e-01  3.32600e-01
5.27804e+05  5.68000e-01  3.60900e-01
5.25491e+05  5.70500e-01  3.83400e-01
5.23198e+05  5.73000e-01  4.01000e-01
5.20925e+05  5.75500e-01  4.14700e-01
5.18672e+05  5.78000e-01  4.25300e-01
5.16438e+05  5.80500e-01  4.33300e-01
5.14224e+05  5.83000e-01  4.39500e-01
5.12028e+05  5.85500e-01  4.44600e-01
5.09851e+05  5.88000e-01  4.48900e-01
5.07693e+05  5.90500e-01  4.52700e-01
5.05552e+05  5.93000e-01  4.56300e-01
5.03430e+05  5.95500e-01  4.59900e-01
5.01325e+05  5.98000e-01  4.63400e-01
4.99238e+05  6.00500e-01  4.66500e-01
4.97168e+05  6.03000e-01  4.68900e-01
4.95116e+05  6.05500e-01  4.70300e-01
4.93080e+05  6.08000e-01  4.71100e-01
4.91061e+05  6.10500e-01  4.71700e-01
4.89058e+05  6.13000e-01  4.72700e-01
4.87071e+05  6.15500e-01  4.74400e-01
4.85101e+05  6.18000e-01  4.76700e-01
4.83147e+05  6.20500e-01  4.79200e-01
4.81208e+05  6.23000e-01  4.81900e-01
4.79285e+05  6.25500e-01  4.84400e-01
4.77377e+05  6.28000e-01  4.86700e-01
4.75484e+05  6.30500e-01  4.88700e-01
4.73606e+05  6.33000e-01  4.90200e-01
4.71743e+05  6.35500e-01  4.90900e-01
4.69894e+05  6.38000e-01  4.91200e-01
4.68060e+05  6.40500e-01  4.91200e-01
4.66240e+05  6.43000e-01  4.91200e-01
4.64434e+05  6.45500e-01  4.91400e-01
4.62643e+05  6.48000e-01  4.91500e-01
4.60865e+05  6.50500e-01  4.91200e-01
4.59100e+05  6.53000e-01  4.90100e-01
4.57349e+05  6.55500e-01  4.87800e-01
4.55612e+05  6.58000e-01  4.85200e-01
4.53887e+05  6.60500e-01  4.81800e-01
4.52176e+05  6.63000e-01  4.69700e-01
4.50477e+05  6.65500e-01  4.42100e-01
4.48791e+05  6.68000e-01  4.00900e-01
4.47118e+05  6.70500e-01  3.49900e-01
4.45457e+05  6.73000e-01  2.92400e-01
4.43808e+05  6.75500e-01  2.31800e-01
4.42172e+05  6.78000e-01  1.71500e-01
4.40547e+05  6.80500e-01  1.15200e-01
4.38935e+05  6.83000e-01  6.87000e-02
4.37334e+05  6.85500e-01  3.80000e-02
4.35745e+05  6.88000e-01  2.12000e-02
4.34167e+05  6.90500e-01  1.34000e-02
4.32601e+05  6.93000e-01  9.90000e-03
4.31046e+05  6.95500e-01  7.60000e-03
4.29502e+05  6.98000e-01  5.50000e-03
4.27969e+05  7.00500e-01  3.90000e-03
4.26447e+05  7.03000e-01  2.70000e-03
4.24936e+05  7.05500e-01  2.00000e-03
4.23436e+05  7.08000e-01  1.50000e-03
4.21946e+05  7.10500e-01  1.20000e-03
4.20466e+05  7.13000e-01  1.00000e-03
4.18997e+05  7.15500e-01  7.00000e-04
4.17538e+05  7.18000e-01  4.00000e-04
4.16089e+05  7.20500e-01  2.00000e-04
4.14651e+05  7.23000e-01  0.00000e+00
