SDSS_u
frq          wvl          transmission
[GHz]        [micron]                 
1.00601e+06  2.98000e-01  0.00000e+00
9.97645e+05  3.00500e-01  1.00000e-04
9.89414e+05  3.03000e-01  5.00000e-04
9.81317e+05  3.05500e-01  1.30000e-03
9.73352e+05  3.08000e-01  2.60000e-03
9.65515e+05  3.10500e-01  5.20000e-03
9.57803e+05  3.13000e-01  9.30000e-03
9.50214e+05  3.15500e-01  1.61000e-02
9.42744e+05  3.18000e-01  2.40000e-02
9.35390e+05  3.20500e-01  3.23000e-02
9.28150e+05  3.23000e-01  4.05000e-02
9.21021e+05  3.25500e-01  4.85000e-02
9.14001e+05  3.28000e-01  5.61000e-02
9.07088e+05  3.30500e-01  6.34000e-02
9.00278e+05  3.33000e-01  7.00000e-02
8.93569e+05  3.35500e-01  7.56000e-02
8.86960e+05  3.38000e-01  8.03000e-02
8.80448e+05  3.40500e-01  8.48000e-02
8.74030e+05  3.43000e-01  8.83000e-02
8.67706e+05  3.45500e-01  9.17000e-02
8.61473e+05  3.48000e-01  9.59000e-02
8.55328e+05  3.50500e-01  1.00100e-01
8.49270e+05  3.53000e-01  1.02900e-01
8.43298e+05  3.55500e-01  1.04400e-01
8.37409e+05  3.58000e-01  1.05300e-01
8.31602e+05  3.60500e-01  1.06300e-01
8.25875e+05  3.63000e-01  1.07500e-01
8.20226e+05  3.65500e-01  1.08500e-01
8.14653e+05  3.68000e-01  1.08400e-01
8.09156e+05  3.70500e-01  1.06400e-01
8.03733e+05  3.73000e-01  1.02400e-01
7.98382e+05  3.75500e-01  9.66000e-02
7.93102e+05  3.78000e-01  8.87000e-02
7.87891e+05  3.80500e-01  7.87000e-02
7.82748e+05  3.83000e-01  6.72000e-02
7.77672e+05  3.85500e-01  5.49000e-02
7.72661e+05  3.88000e-01  4.13000e-02
7.67714e+05  3.90500e-01  2.68000e-02
7.62831e+05  3.93000e-01  1.45000e-02
7.58009e+05  3.95500e-01  7.50000e-03
7.53247e+05  3.98000e-01  4.20000e-03
7.48545e+05  4.00500e-01  2.20000e-03
7.43902e+05  4.03000e-01  1.00000e-03
7.39316e+05  4.05500e-01  6.00000e-04
7.34785e+05  4.08000e-01  4.00000e-04
7.30310e+05  4.10500e-01  2.00000e-04
7.25890e+05  4.13000e-01  0.00000e+00
