SDSS_z
frq          wvl          transmission
[GHz]        [micron]                 
3.87830e+05  7.73000e-01  0.00000e+00
3.86580e+05  7.75500e-01  0.00000e+00
3.85337e+05  7.78000e-01  1.00000e-04
3.84103e+05  7.80500e-01  1.00000e-04
3.82877e+05  7.83000e-01  1.00000e-04
3.81658e+05  7.85500e-01  2.00000e-04
3.80447e+05  7.88000e-01  2.00000e-04
3.79244e+05  7.90500e-01  3.00000e-04
3.78048e+05  7.93000e-01  5.00000e-04
3.76860e+05  7.95500e-01  7.00000e-04
3.75680e+05  7.98000e-01  1.10000e-03
3.74507e+05  8.00500e-01  1.70000e-03
3.73341e+05  8.03000e-01  2.70000e-03
3.72182e+05  8.05500e-01  4.00000e-03
3.71030e+05  8.08000e-01  5.70000e-03
3.69886e+05  8.10500e-01  7.90000e-03
3.68748e+05  8.13000e-01  1.06000e-02
3.67618e+05  8.15500e-01  1.39000e-02
3.66494e+05  8.18000e-01  1.78000e-02
3.65378e+05  8.20500e-01  2.22000e-02
3.64268e+05  8.23000e-01  2.71000e-02
3.63165e+05  8.25500e-01  3.24000e-02
3.62068e+05  8.28000e-01  3.82000e-02
3.60978e+05  8.30500e-01  4.46000e-02
3.59895e+05  8.33000e-01  5.11000e-02
3.58818e+05  8.35500e-01  5.64000e-02
3.57748e+05  8.38000e-01  6.03000e-02
3.56683e+05  8.40500e-01  6.37000e-02
3.55626e+05  8.43000e-01  6.67000e-02
3.54574e+05  8.45500e-01  6.94000e-02
3.53529e+05  8.48000e-01  7.17000e-02
3.52490e+05  8.50500e-01  7.36000e-02
3.51457e+05  8.53000e-01  7.52000e-02
3.50430e+05  8.55500e-01  7.65000e-02
3.49408e+05  8.58000e-01  7.75000e-02
3.48393e+05  8.60500e-01  7.82000e-02
3.47384e+05  8.63000e-01  7.86000e-02
3.46381e+05  8.65500e-01  7.87000e-02
3.45383e+05  8.68000e-01  7.85000e-02
3.44391e+05  8.70500e-01  7.80000e-02
3.43405e+05  8.73000e-01  7.72000e-02
3.42424e+05  8.75500e-01  7.63000e-02
3.41449e+05  8.78000e-01  7.51000e-02
3.40480e+05  8.80500e-01  7.38000e-02
3.39516e+05  8.83000e-01  7.23000e-02
3.38557e+05  8.85500e-01  7.08000e-02
3.37604e+05  8.88000e-01  6.93000e-02
3.36656e+05  8.90500e-01  6.74000e-02
3.35714e+05  8.93000e-01  6.32000e-02
3.34777e+05  8.95500e-01  5.81000e-02
3.33845e+05  8.98000e-01  5.43000e-02
3.32918e+05  9.00500e-01  5.26000e-02
3.31996e+05  9.03000e-01  5.23000e-02
3.31079e+05  9.05500e-01  5.22000e-02
3.30168e+05  9.08000e-01  5.12000e-02
3.29261e+05  9.10500e-01  4.96000e-02
3.28360e+05  9.13000e-01  4.81000e-02
3.27463e+05  9.15500e-01  4.73000e-02
3.26571e+05  9.18000e-01  4.76000e-02
3.25684e+05  9.20500e-01  4.82000e-02
3.24802e+05  9.23000e-01  4.76000e-02
3.23925e+05  9.25500e-01  4.47000e-02
3.23052e+05  9.28000e-01  3.91000e-02
3.22184e+05  9.30500e-01  3.29000e-02
3.21321e+05  9.33000e-01  2.83000e-02
3.20462e+05  9.35500e-01  2.64000e-02
3.19608e+05  9.38000e-01  2.71000e-02
3.18759e+05  9.40500e-01  2.83000e-02
3.17914e+05  9.43000e-01  2.75000e-02
3.17073e+05  9.45500e-01  2.54000e-02
3.16237e+05  9.48000e-01  2.52000e-02
3.15405e+05  9.50500e-01  2.56000e-02
3.14578e+05  9.53000e-01  2.46000e-02
3.13755e+05  9.55500e-01  2.44000e-02
3.12936e+05  9.58000e-01  2.52000e-02
3.12121e+05  9.60500e-01  2.58000e-02
3.11311e+05  9.63000e-01  2.65000e-02
3.10505e+05  9.65500e-01  2.74000e-02
3.09703e+05  9.68000e-01  2.79000e-02
3.08905e+05  9.70500e-01  2.71000e-02
3.08111e+05  9.73000e-01  2.52000e-02
3.07322e+05  9.75500e-01  2.36000e-02
3.06536e+05  9.78000e-01  2.27000e-02
3.05755e+05  9.80500e-01  2.22000e-02
3.04977e+05  9.83000e-01  2.16000e-02
3.04203e+05  9.85500e-01  2.08000e-02
3.03434e+05  9.88000e-01  1.96000e-02
3.02668e+05  9.90500e-01  1.83000e-02
3.01906e+05  9.93000e-01  1.71000e-02
3.01148e+05  9.95500e-01  1.60000e-02
3.00393e+05  9.98000e-01  1.49000e-02
2.99643e+05  1.00050e+00  1.38000e-02
2.98896e+05  1.00300e+00  1.28000e-02
2.98153e+05  1.00550e+00  1.18000e-02
2.97413e+05  1.00800e+00  1.08000e-02
2.96677e+05  1.01050e+00  9.90000e-03
2.95945e+05  1.01300e+00  9.10000e-03
2.95217e+05  1.01550e+00  8.30000e-03
2.94492e+05  1.01800e+00  7.50000e-03
2.93770e+05  1.02050e+00  6.80000e-03
2.93052e+05  1.02300e+00  6.10000e-03
2.92338e+05  1.02550e+00  5.50000e-03
2.91627e+05  1.02800e+00  5.00000e-03
2.90919e+05  1.03050e+00  4.50000e-03
2.90215e+05  1.03300e+00  4.10000e-03
2.89515e+05  1.03550e+00  3.70000e-03
2.88817e+05  1.03800e+00  3.30000e-03
2.88123e+05  1.04050e+00  3.00000e-03
2.87433e+05  1.04300e+00  2.70000e-03
2.86746e+05  1.04550e+00  2.50000e-03
2.86062e+05  1.04800e+00  2.30000e-03
2.85381e+05  1.05050e+00  2.10000e-03
2.84703e+05  1.05300e+00  1.90000e-03
2.84029e+05  1.05550e+00  1.80000e-03
2.83358e+05  1.05800e+00  1.70000e-03
2.82690e+05  1.06050e+00  1.60000e-03
2.82025e+05  1.06300e+00  1.50000e-03
2.81363e+05  1.06550e+00  1.40000e-03
2.80705e+05  1.06800e+00  1.30000e-03
2.80049e+05  1.07050e+00  1.20000e-03
2.79397e+05  1.07300e+00  1.10000e-03
2.78747e+05  1.07550e+00  1.00000e-03
2.78101e+05  1.07800e+00  9.00000e-04
2.77457e+05  1.08050e+00  8.00000e-04
2.76817e+05  1.08300e+00  8.00000e-04
2.76179e+05  1.08550e+00  7.00000e-04
2.75545e+05  1.08800e+00  6.00000e-04
2.74913e+05  1.09050e+00  6.00000e-04
2.74284e+05  1.09300e+00  6.00000e-04
2.73658e+05  1.09550e+00  5.00000e-04
2.73035e+05  1.09800e+00  5.00000e-04
2.72415e+05  1.10050e+00  4.00000e-04
2.71797e+05  1.10300e+00  4.00000e-04
2.71183e+05  1.10550e+00  3.00000e-04
2.70571e+05  1.10800e+00  3.00000e-04
2.69962e+05  1.11050e+00  2.00000e-04
2.69355e+05  1.11300e+00  2.00000e-04
2.68752e+05  1.11550e+00  1.00000e-04
2.68151e+05  1.11800e+00  1.00000e-04
2.67552e+05  1.12050e+00  0.00000e+00
2.66957e+05  1.12300e+00  0.00000e+00
